acc_x_axis_g,acc_y_axis_g,acc_z_axis_g,gyr_x_axis_deg/s,gyr_y_axis_deg/s,gyr_z_axis_deg/s
-0.484,-0.786,0.38,6.159,2.134,0.549
-0.559,-0.799,0.39,6.524,-11.098,-0.427
-0.607,-0.798,0.395,6.524,-21.159,-3.476
-0.649,-0.801,0.394,6.28,-30.61,-6.159
-0.676,-0.816,0.412,5.366,-42.805,-7.622
-0.676,-0.812,0.44,1.89,-59.451,-9.146
-0.65,-0.781,0.445,-3.963,-79.085,-10.915
-0.625,-0.772,0.44,-7.744,-102.561,-13.537
-0.602,-0.782,0.433,-11.707,-128.049,-15.244
-0.53,-0.761,0.438,-15.122,-153.72,-13.963
-0.445,-0.77,0.432,-15.732,-176.403,-12.866
-0.402,-0.772,0.417,-18.049,-195.366,-12.317
-0.368,-0.775,0.41,-23.232,-214.634,-11.524
-0.345,-0.785,0.412,-26.28,-236.098,-12.195
-0.317,-0.81,0.403,-27.5,-257.927,-15.854
-0.261,-0.81,0.399,-27.439,-269.085,-17.683
-0.11,-0.792,0.452,-23.841,-265.183,-18.415
0.034,-0.792,0.51,-21.585,-249.512,-20.122
0.071,-0.789,0.503,-19.573,-226.037,-18.415
0.109,-0.822,0.531,-14.207,-194.939,-14.024
0.231,-0.847,0.6,-10.549,-157.561,-12.134
0.271,-0.843,0.641,-7.927,-111.768,-9.939
0.231,-0.858,0.656,-5.61,-64.085,-5.976
0.209,-0.854,0.657,-3.78,-26.341,-2.988
0.098,-0.827,0.637,-2.683,-1.768,-3.232
-0.043,-0.816,0.612,-0.61,10.61,-4.451
-0.031,-0.811,0.632,2.5,16.28,-5.732
0.08,-0.795,0.676,3.72,31.098,-5.0
0.213,-0.787,0.736,4.329,64.573,-1.22
0.346,-0.79,0.825,3.415,112.439,5.183
0.355,-0.779,0.815,2.012,159.573,12.5
0.263,-0.786,0.747,2.195,196.707,14.756
0.19,-0.802,0.722,1.463,224.634,13.537
0.105,-0.809,0.731,0.61,245.671,14.207
0.0,-0.81,0.668,1.951,260.305,16.707
-0.066,-0.812,0.572,3.598,274.146,15.305
-0.094,-0.821,0.514,3.72,291.646,12.317
-0.141,-0.833,0.428,4.756,308.537,12.378
-0.204,-0.848,0.325,5.976,317.744,13.598
-0.325,-0.855,0.255,6.22,313.232,14.146
-0.44,-0.862,0.224,5.793,291.646,14.573
-0.53,-0.867,0.219,4.207,259.207,14.268
-0.611,-0.883,0.206,2.683,222.134,13.598
-0.677,-0.905,0.186,1.951,183.293,12.561
-0.721,-0.918,0.171,1.829,144.085,10.671
-0.758,-0.917,0.167,2.195,104.634,7.866
-0.777,-0.919,0.172,2.866,65.915,5.0
-0.796,-0.908,0.187,3.78,27.012,2.256
-0.789,-0.89,0.211,3.415,-11.098,0.122
-0.754,-0.882,0.255,4.085,-51.22,-1.524
-0.739,-0.874,0.256,4.024,-91.22,-4.268
-0.751,-0.844,0.212,2.317,-128.72,-7.805
-0.74,-0.834,0.17,-0.122,-164.146,-10.305
-0.662,-0.833,0.187,-2.744,-193.293,-9.512
-0.54,-0.83,0.268,-4.634,-216.098,-8.232
-0.443,-0.837,0.313,-4.817,-232.378,-10.488
-0.402,-0.806,0.311,-6.829,-240.732,-12.744
-0.33,-0.785,0.385,-5.183,-244.878,-11.585
-0.274,-0.79,0.374,-5.61,-243.598,-11.524
-0.31,-0.782,0.351,-8.598,-252.134,-13.902
-0.438,-0.78,0.254,-11.524,-269.756,-16.402
-0.468,-0.811,0.261,-11.585,-291.768,-19.085
-0.299,-0.85,0.345,-12.927,-305.061,-22.439
-0.113,-0.861,0.427,-15.366,-303.537,-24.756
-0.033,-0.854,0.478,-18.11,-292.622,-25.488
0.023,-0.841,0.559,-21.829,-279.207,-26.829
0.1,-0.821,0.604,-21.463,-261.89,-23.72
0.249,-0.819,0.623,-16.159,-230.366,-16.951
0.423,-0.795,0.67,-14.207,-181.098,-11.28
0.482,-0.737,0.705,-12.256,-121.89,-7.012
0.427,-0.724,0.684,-9.146,-65.0,-0.732
0.36,-0.788,0.626,-6.402,-15.61,4.268
0.329,-0.863,0.564,-4.39,26.707,5.244
0.341,-0.859,0.551,-3.232,66.585,6.22
0.362,-0.824,0.625,-2.561,105.854,10.915
0.385,-0.824,0.675,-0.61,135.732,17.378
0.282,-0.823,0.669,-2.927,157.317,22.683
0.153,-0.804,0.692,-6.829,173.659,26.098
0.102,-0.802,0.765,-9.146,190.732,27.012
0.106,-0.808,0.803,-10.061,212.012,26.829
0.089,-0.813,0.77,-8.659,237.317,26.585
0.044,-0.811,0.694,-6.951,263.537,23.476
-0.005,-0.819,0.576,-5.793,291.098,17.5
-0.04,-0.845,0.444,-4.024,317.195,12.317
-0.074,-0.88,0.296,-1.098,333.354,13.354
-0.178,-0.899,0.151,2.439,327.988,17.561
-0.379,-0.894,0.083,6.22,297.683,19.329
-0.605,-0.897,0.051,8.415,249.085,18.841
-0.789,-0.909,0.067,8.537,192.805,16.098
-0.871,-0.933,0.099,8.293,137.317,13.537
-0.873,-0.953,0.136,8.415,84.817,11.037
-0.817,-0.965,0.174,8.11,38.415,7.622
-0.751,-0.973,0.225,7.927,-1.22,3.537
-0.676,-0.967,0.292,9.817,-39.207,-0.061
-0.656,-0.943,0.31,8.476,-77.988,-2.744
-0.702,-0.883,0.325,3.659,-118.232,-4.512
-0.696,-0.843,0.367,-0.976,-159.451,-5.0
-0.625,-0.827,0.389,-6.28,-194.939,-5.122
-0.533,-0.815,0.405,-10.122,-219.756,-5.61
-0.434,-0.821,0.406,-10.854,-233.293,-6.22
-0.363,-0.816,0.403,-11.585,-237.622,-8.598
-0.365,-0.823,0.381,-11.585,-247.561,-14.329
-0.468,-0.844,0.263,-11.707,-264.634,-19.817
-0.475,-0.878,0.227,-9.878,-284.024,-22.439
-0.343,-0.902,0.253,-8.415,-289.634,-24.512
-0.143,-0.893,0.343,-6.951,-278.476,-27.134
-0.012,-0.858,0.403,-6.89,-252.134,-29.756
0.037,-0.83,0.459,-5.427,-219.207,-31.22
0.106,-0.808,0.49,-1.159,-184.39,-30.427
0.271,-0.771,0.46,5.0,-148.476,-27.805
0.367,-0.729,0.471,9.146,-104.878,-21.098
0.507,-0.742,0.538,11.89,-57.073,-9.756
0.618,-0.801,0.581,13.354,-7.561,-1.402
0.548,-0.835,0.586,13.902,38.476,2.439
0.403,-0.848,0.588,14.573,77.378,6.341
0.372,-0.861,0.637,14.024,115.915,11.463
0.452,-0.829,0.77,8.72,153.781,18.902
0.409,-0.786,0.787,2.256,187.744,27.073
0.181,-0.774,0.809,-1.585,216.951,28.476
0.001,-0.771,0.823,-3.659,239.39,26.159
-0.052,-0.784,0.792,-3.659,258.293,21.646
-0.067,-0.822,0.727,-1.341,276.281,16.524
-0.034,-0.835,0.643,0.915,296.951,12.5
0.003,-0.825,0.551,1.098,321.463,10.244
-0.013,-0.813,0.417,1.28,340.305,11.585
-0.112,-0.819,0.247,3.11,341.159,15.976
-0.29,-0.836,0.115,5.244,315.793,19.573
-0.537,-0.857,0.054,5.732,268.11,19.329
-0.751,-0.901,0.05,5.305,210.976,16.098
-0.818,-0.952,0.095,5.427,163.11,14.451
-0.741,-0.976,0.156,5.122,132.134,14.878
-0.659,-0.948,0.189,5.488,113.354,16.402
-0.633,-0.918,0.197,6.524,95.0,15.732
-0.667,-0.9,0.201,7.073,70.488,12.317
-0.719,-0.89,0.208,6.341,39.634,7.439
-0.729,-0.89,0.231,7.073,2.073,3.78
-0.745,-0.884,0.252,6.585,-41.524,-0.122
-0.807,-0.813,0.235,0.061,-85.122,-2.683
-0.833,-0.776,0.273,-4.268,-128.781,-4.268
-0.809,-0.765,0.281,-10.488,-165.549,-5.549
-0.728,-0.766,0.341,-15.793,-196.463,-6.585
-0.675,-0.793,0.333,-18.78,-221.098,-10.366
-0.638,-0.819,0.297,-20.305,-237.012,-14.024
-0.518,-0.862,0.31,-20.671,-247.195,-14.878
-0.42,-0.893,0.302,-23.232,-260.305,-16.646
-0.426,-0.879,0.237,-25.793,-276.89,-19.39
-0.424,-0.884,0.167,-23.476,-293.415,-20.732
-0.319,-0.877,0.162,-22.134,-304.207,-20.915
-0.171,-0.854,0.198,-20.976,-297.988,-20.671
0.008,-0.834,0.337,-17.561,-276.524,-25.183
0.162,-0.808,0.464,-11.22,-236.951,-30.61
0.244,-0.748,0.528,-4.756,-182.988,-30.0
0.273,-0.74,0.537,1.524,-120.0,-20.61
0.345,-0.81,0.56,6.037,-60.244,-11.707
0.337,-0.888,0.542,9.268,-11.585,-7.622
0.25,-0.921,0.516,11.22,18.659,-5.0
0.205,-0.897,0.525,12.195,36.463,-1.829
0.227,-0.854,0.597,11.341,49.573,1.098
0.308,-0.816,0.704,9.268,66.463,5.793
0.361,-0.824,0.809,8.415,99.512,11.28
0.413,-0.833,0.901,5.0,148.232,17.256
0.453,-0.819,0.898,0.061,203.11,23.598
0.278,-0.824,0.854,-0.854,253.781,25.061
0.024,-0.827,0.784,2.5,286.402,22.622
-0.1,-0.825,0.685,5.854,303.902,16.22
-0.128,-0.829,0.611,5.061,315.061,8.049
-0.14,-0.833,0.52,4.756,324.573,6.524
-0.115,-0.851,0.403,5.366,331.463,12.561
-0.095,-0.852,0.278,8.415,340.671,20.854
-0.124,-0.842,0.195,9.207,348.171,26.585
-0.216,-0.853,0.113,9.695,342.927,31.159
-0.412,-0.871,-0.008,11.159,317.866,34.024
-0.687,-0.885,-0.115,11.89,270.854,31.951
-0.919,-0.92,-0.134,12.073,212.622,28.598
-1.012,-0.955,-0.075,11.22,159.207,25.122
-0.964,-0.957,0.039,11.463,121.463,22.134
-0.867,-0.919,0.109,12.561,94.451,19.268
-0.808,-0.859,0.135,10.915,65.61,16.646
-0.819,-0.819,0.16,7.988,28.598,12.988
-0.867,-0.807,0.181,2.805,-17.988,6.22
-0.923,-0.794,0.167,-2.988,-71.524,-1.098
-1.039,-0.765,0.162,-7.744,-127.012,-7.988
-1.069,-0.732,0.161,-16.159,-177.988,-11.707
-1.0,-0.734,0.165,-22.622,-223.781,-14.512
-0.882,-0.773,0.186,-26.585,-257.439,-18.049
-0.73,-0.819,0.242,-28.902,-279.024,-21.037
-0.588,-0.845,0.261,-30.671,-290.0,-22.256
-0.532,-0.854,0.22,-30.366,-296.342,-24.695
-0.515,-0.86,0.236,-29.878,-306.524,-27.561
-0.453,-0.871,0.252,-28.78,-314.451,-29.634
-0.364,-0.878,0.247,-26.524,-314.146,-30.671
-0.239,-0.872,0.279,-24.634,-301.037,-32.195
-0.087,-0.868,0.338,-22.5,-269.512,-31.22
0.074,-0.877,0.406,-19.634,-231.89,-29.268
0.105,-0.88,0.417,-15.549,-196.524,-30.061
0.053,-0.868,0.394,-11.463,-166.22,-29.512
-0.001,-0.844,0.398,-8.598,-140.061,-27.561
-0.047,-0.836,0.438,-4.939,-120.549,-27.012
-0.041,-0.844,0.454,-0.732,-105.305,-25.976
0.021,-0.856,0.488,0.244,-90.122,-22.378
0.096,-0.867,0.487,1.463,-74.451,-17.805
0.132,-0.875,0.458,3.963,-60.854,-14.085
0.166,-0.861,0.456,7.012,-52.927,-10.61
0.143,-0.868,0.433,10.976,-47.073,-7.378
0.068,-0.879,0.421,15.0,-43.598,-6.28
0.028,-0.889,0.459,17.683,-42.561,-5.915
0.03,-0.892,0.508,18.293,-39.512,-4.695
0.018,-0.875,0.568,17.683,-35.549,-3.293
-0.029,-0.864,0.568,17.927,-31.402,-2.195
-0.061,-0.869,0.569,18.232,-27.683,-1.585
-0.075,-0.872,0.57,17.622,-26.28,-1.707
-0.123,-0.867,0.532,17.805,-26.402,-2.439
-0.161,-0.882,0.52,19.024,-27.195,-4.024
-0.197,-0.891,0.506,21.22,-33.841,-8.659
-0.29,-0.897,0.46,22.134,-45.671,-13.049
-0.125,-0.871,0.564,20.305,-45.915,-9.695
0.081,-0.88,0.637,19.146,-34.756,-7.744
0.087,-0.868,0.662,18.415,-22.561,-7.378
0.134,-0.857,0.677,16.22,-12.5,-5.854
0.095,-0.896,0.632,14.878,-8.232,-5.244
-0.078,-0.931,0.546,16.098,-18.232,-5.61
-0.218,-0.96,0.429,19.024,-37.195,-9.024
-0.182,-0.941,0.42,18.659,-48.72,-10.366
0.094,-0.826,0.606,13.598,-34.756,-3.841
0.275,-0.729,0.793,8.841,-6.098,3.354
0.13,-0.663,0.824,6.28,9.573,4.451
-0.089,-0.653,0.779,4.878,5.854,1.22
-0.191,-0.724,0.697,2.927,-6.463,-3.841
-0.24,-0.834,0.621,0.488,-13.415,-8.171
-0.185,-0.876,0.608,-2.683,-13.11,-8.476
-0.062,-0.862,0.62,-6.037,-7.561,-6.768
-0.007,-0.837,0.624,-7.134,-1.098,-5.0
0.031,-0.819,0.615,-7.134,4.634,-2.988
0.076,-0.826,0.601,-6.463,15.0,-0.183
0.094,-0.833,0.589,-4.817,30.183,2.317
0.103,-0.858,0.578,-3.78,44.451,4.146
0.036,-0.857,0.569,-3.963,42.805,4.329
