acc_x_axis_g,acc_y_axis_g,acc_z_axis_g,gyr_x_axis_deg/s,gyr_y_axis_deg/s,gyr_z_axis_deg/s
0.402,0.21,0.7,-15.061,0.305,28.476
0.381,0.191,0.749,-11.22,1.341,28.354
0.361,0.17,0.79,-9.085,0.427,28.354
0.321,0.177,0.792,-11.159,-4.024,25.671
0.354,0.165,0.776,-12.134,-5.732,13.902
0.484,0.062,0.906,-7.683,-1.768,-2.134
0.512,0.008,0.963,-4.634,-1.585,-5.244
0.435,0.029,0.906,-2.622,-9.512,-3.049
0.348,0.085,0.828,0.366,-21.402,-3.659
0.272,0.148,0.804,-0.915,-34.085,-7.134
0.204,0.21,0.828,-7.073,-44.817,-13.78
0.165,0.212,0.871,-10.244,-53.293,-18.78
0.204,0.182,0.901,-11.524,-66.463,-24.878
0.239,0.156,0.894,-9.878,-75.976,-27.439
0.299,0.11,0.896,-5.0,-73.963,-24.512
0.347,0.096,0.878,-0.061,-65.488,-18.476
0.39,0.089,0.867,3.78,-54.207,-11.585
0.377,0.078,0.869,7.866,-42.683,-5.915
0.385,0.042,0.86,14.024,-30.366,-0.732
0.417,0.038,0.823,18.902,-19.329,3.841
0.426,0.063,0.753,20.183,-14.085,5.854
0.438,0.096,0.676,19.085,-12.317,6.037
0.495,0.124,0.656,16.829,-9.024,4.817
0.542,0.144,0.685,14.024,-2.927,4.146
0.557,0.136,0.72,13.232,5.488,5.671
0.585,0.138,0.721,13.963,16.22,9.512
0.601,0.161,0.736,13.537,25.793,13.537
0.508,0.185,0.749,10.0,28.293,14.329
0.402,0.195,0.789,7.073,25.732,10.671
0.354,0.187,0.852,7.195,23.598,5.976
0.395,0.176,0.893,9.268,24.939,2.866
0.446,0.167,0.932,12.805,29.512,1.646
0.469,0.153,0.958,17.012,35.244,1.098
0.475,0.162,0.97,18.963,39.634,-1.037
0.484,0.167,0.948,21.159,42.134,-2.622
0.494,0.158,0.879,23.902,39.756,-2.561
0.445,0.199,0.814,22.378,29.512,-3.963
0.366,0.221,0.791,21.098,15.183,-6.159
0.312,0.214,0.801,22.317,4.39,-7.134
0.33,0.209,0.845,24.634,4.39,-4.878
0.38,0.242,0.893,25.549,13.659,-2.134
0.395,0.295,0.91,24.146,25.0,0.122
0.396,0.339,0.889,22.866,35.61,2.805
0.388,0.395,0.85,18.841,42.256,4.268
0.364,0.446,0.835,12.683,43.598,4.573
0.358,0.462,0.827,7.012,41.037,5.244
0.382,0.467,0.817,1.402,35.61,6.524
0.383,0.474,0.844,-3.902,29.268,6.829
0.373,0.454,0.882,-7.378,22.805,6.768
0.373,0.41,0.933,-8.659,16.037,6.341
0.336,0.379,0.986,-9.085,9.329,5.183
0.311,0.348,1.021,-9.451,1.768,4.024
0.315,0.332,1.047,-11.28,-7.988,2.195
0.311,0.324,1.041,-17.439,-22.439,-1.768
0.232,0.343,1.007,-27.561,-41.768,-8.78
0.163,0.322,0.956,-33.72,-61.768,-14.207
0.21,0.292,0.927,-37.927,-79.024,-18.78
0.302,0.286,0.931,-44.146,-92.5,-22.805
0.375,0.276,0.954,-47.439,-97.866,-27.012
0.391,0.25,0.97,-48.78,-97.195,-26.28
0.327,0.271,0.939,-51.707,-97.683,-22.744
0.438,0.198,0.911,-44.146,-87.683,-27.744
