acc_x_axis_g,acc_y_axis_g,acc_z_axis_g,gyr_x_axis_deg/s,gyr_y_axis_deg/s,gyr_z_axis_deg/s
0.316,0.207,0.797,-16.341,-10.244,26.707
0.328,0.188,0.802,-12.744,-10.366,28.293
0.311,0.22,0.804,-13.841,-14.573,28.354
0.288,0.237,0.779,-15.976,-19.817,26.585
0.302,0.225,0.76,-16.524,-23.171,24.817
0.339,0.202,0.761,-17.622,-24.207,23.11
0.364,0.203,0.762,-21.585,-25.976,19.39
0.4,0.179,0.758,-21.159,-25.915,14.207
0.479,0.124,0.711,-17.439,-25.976,10.183
0.594,0.095,0.657,-15.793,-25.427,3.476
0.675,0.0,0.821,-9.329,-14.756,-9.085
0.656,-0.101,1.001,-5.061,-7.317,-10.915
0.377,0.016,0.963,-13.171,-29.085,-5.122
0.099,0.15,0.87,-16.707,-69.939,-12.256
0.056,0.18,0.875,-17.073,-103.049,-21.585
0.072,0.238,0.85,-20.244,-131.037,-30.122
0.061,0.22,0.902,-20.0,-146.89,-33.902
0.246,0.112,0.928,-18.537,-154.878,-35.122
0.313,0.098,0.878,-17.5,-158.171,-35.488
0.383,0.043,0.863,-13.171,-147.561,-33.171
0.487,-0.015,0.868,-8.11,-122.195,-27.744
0.544,-0.001,0.872,-6.646,-90.061,-20.854
0.583,0.008,0.857,-5.976,-58.841,-14.756
0.54,0.04,0.834,-8.232,-38.232,-12.744
0.445,0.092,0.774,-10.305,-35.488,-14.451
0.366,0.133,0.739,-12.073,-53.598,-21.402
0.209,0.186,0.733,-9.573,-87.317,-29.878
0.203,0.152,0.799,1.707,-113.659,-36.28
0.384,0.121,0.884,12.683,-118.659,-39.817
0.613,0.156,0.874,17.256,-105.61,-37.5
0.913,0.232,0.672,14.573,-82.378,-30.854
1.071,0.27,0.488,4.573,-52.866,-22.439
1.148,0.195,0.414,-8.049,-12.805,-18.049
1.182,0.041,0.505,-12.134,27.744,-11.829
0.904,-0.087,0.614,-3.659,40.976,9.512
0.524,-0.039,0.676,8.841,37.378,23.11
0.48,0.07,0.784,17.866,47.073,24.024
0.616,0.077,0.89,27.256,79.451,29.024
0.775,0.009,0.882,40.854,123.537,38.049
0.848,0.014,0.795,47.073,163.659,46.463
0.744,0.094,0.665,45.183,191.403,52.439
0.485,0.148,0.567,39.39,197.988,54.512
0.234,0.189,0.515,35.61,184.024,51.524
0.195,0.213,0.517,37.622,167.256,47.866
0.297,0.197,0.632,44.451,165.244,45.122
