acc_x_axis_g,acc_y_axis_g,acc_z_axis_g,gyr_x_axis_deg/s,gyr_y_axis_deg/s,gyr_z_axis_deg/s
0.955,0.333,0.289,-16.89,-70.183,9.329
0.941,0.348,0.246,-17.073,-69.085,11.524
0.871,0.38,0.26,-18.171,-64.329,15.061
0.803,0.392,0.309,-15.305,-49.451,20.427
0.84,0.376,0.38,-10.244,-32.012,25.305
0.882,0.355,0.391,-6.402,-14.39,27.927
0.898,0.345,0.336,-4.512,7.012,29.451
0.87,0.357,0.313,-0.366,34.634,23.293
0.827,0.336,0.3,7.683,67.988,13.537
0.873,0.27,0.222,11.402,98.476,8.72
0.938,0.237,0.168,8.354,134.573,9.085
1.053,0.235,0.119,4.39,183.232,14.878
1.192,0.218,-0.005,1.951,225.183,16.402
1.136,0.181,-0.009,-0.305,238.171,11.524
1.01,0.149,0.134,-7.622,242.5,9.573
0.865,0.16,0.307,-8.659,258.293,6.707
0.888,0.201,0.51,-0.915,279.268,-5.61
0.927,0.199,0.697,17.317,301.463,-18.476
0.923,0.168,0.909,40.854,318.354,-28.293
1.025,0.19,1.013,53.415,309.695,-35.183
1.073,0.264,0.874,50.549,257.805,-24.207
0.792,0.291,0.623,33.598,173.415,-0.976
0.206,0.328,0.489,3.902,83.171,3.049
-0.084,0.445,0.365,-20.427,30.671,-11.646
0.133,0.481,0.286,-19.817,34.573,-17.195
0.608,0.375,0.425,-5.366,53.415,-11.22
0.927,0.266,0.566,2.683,41.28,-9.39
0.854,0.221,0.571,-4.268,8.841,-8.354
0.627,0.277,0.495,-11.341,-25.305,-3.841
0.521,0.367,0.577,-17.012,-46.707,-9.512
0.595,0.406,0.725,-22.195,-29.268,-9.878
0.77,0.394,0.832,-13.415,17.378,-2.073
0.935,0.322,0.921,-0.549,67.622,-1.951
0.918,0.269,0.875,4.939,102.012,-3.293
0.833,0.312,0.702,2.378,116.646,2.988
0.653,0.384,0.54,-3.659,117.683,6.646
0.515,0.438,0.548,-6.646,105.0,5.488
0.529,0.433,0.646,-8.537,86.524,6.951
0.472,0.389,0.743,-8.902,60.854,8.293
0.452,0.374,0.843,-10.366,26.341,6.829
0.451,0.361,0.9,-11.951,-7.378,4.573
0.479,0.342,0.955,-9.756,-55.244,2.805
0.547,0.297,0.978,-16.341,-121.402,2.134
0.487,0.3,0.906,-16.951,-187.5,2.256
0.484,0.334,0.831,-17.927,-246.951,-0.427
0.605,0.297,0.848,-23.171,-300.732,-5.915
0.774,0.292,0.804,-26.707,-334.756,-9.939
0.925,0.286,0.741,-25.427,-349.634,-8.72
1.031,0.276,0.746,-25.244,-358.11,-4.573
0.997,0.286,0.793,-29.756,-348.293,-1.22
0.907,0.335,0.808,-26.89,-313.902,-2.195
0.97,0.353,0.822,-14.634,-271.159,-1.585
0.991,0.322,0.81,-5.915,-240.793,3.902
0.865,0.328,0.745,-1.951,-218.11,6.585
0.784,0.375,0.613,1.22,-192.012,9.512
0.774,0.381,0.482,5.732,-158.049,11.585
0.807,0.335,0.373,8.78,-122.073,13.354
0.856,0.292,0.243,8.537,-90.915,19.512
0.854,0.268,0.163,4.634,-70.488,25.305
0.803,0.241,0.117,1.28,-57.317,23.537
0.785,0.222,-0.003,-1.159,-41.829,21.28
0.83,0.228,-0.035,-2.073,-22.134,18.902
0.858,0.205,0.029,0.671,3.11,12.378
0.882,0.172,0.045,5.61,26.768,3.598
0.872,0.142,0.081,7.866,42.988,-0.854
0.863,0.13,0.129,6.585,58.963,-0.549
0.804,0.145,0.171,6.524,80.061,0.0
0.768,0.156,0.22,5.305,96.341,-1.951
0.796,0.17,0.265,1.646,106.707,-3.902
0.777,0.199,0.281,0.671,107.012,-6.585
0.74,0.215,0.316,-1.89,83.963,-9.939
0.669,0.212,0.394,-5.488,59.695,-11.341
0.694,0.267,0.474,-1.524,47.866,-12.195
0.847,0.348,0.562,-2.5,41.159,-18.902
0.969,0.435,0.396,-9.146,61.463,-25.61
1.106,0.458,0.267,2.317,114.939,-26.341
1.3,0.284,0.278,32.561,167.439,-29.512
1.413,0.059,0.47,66.951,196.951,-35.671
1.489,0.042,0.687,79.207,195.976,-30.854
1.251,0.279,0.661,70.366,149.451,-17.5
0.871,0.402,0.478,36.22,64.268,2.561
0.276,0.306,0.198,-9.573,-12.683,11.22
-0.109,0.289,-0.148,-25.0,-27.195,-11.22
0.292,0.313,-0.094,-4.146,31.28,-27.439
1.274,0.281,0.3,18.841,105.549,-11.402
1.628,0.199,0.518,25.915,140.305,3.963
1.202,0.142,0.508,24.024,125.854,5.122
0.843,0.202,0.427,16.951,72.988,1.829
0.64,0.269,0.372,1.89,10.244,-3.902
0.478,0.321,0.383,-7.805,-30.976,-7.683
0.597,0.353,0.551,-5.305,-40.183,-6.28
0.765,0.313,0.735,-1.829,-19.512,-8.354
0.865,0.278,0.813,5.793,16.585,-15.061
1.081,0.277,0.777,12.134,49.207,-15.0
1.114,0.275,0.666,12.134,71.585,-6.22
0.921,0.345,0.593,10.671,88.72,-2.317
0.809,0.43,0.596,8.963,109.085,-4.512
0.882,0.427,0.619,8.232,128.11,-2.5
0.99,0.365,0.63,6.28,134.634,2.317
0.955,0.332,0.657,3.963,131.463,7.744
0.832,0.339,0.672,4.756,124.756,10.305
0.771,0.334,0.681,5.0,107.561,11.159
0.718,0.34,0.668,1.341,79.268,11.22
0.613,0.362,0.641,-5.915,54.329,10.183
0.561,0.394,0.595,-9.878,41.768,9.695
0.635,0.398,0.602,-9.207,35.305,10.305
0.703,0.371,0.641,-7.927,24.634,12.317
0.681,0.357,0.684,-6.28,-5.549,13.232
0.581,0.356,0.733,-8.476,-56.402,9.268
0.467,0.362,0.751,-16.585,-117.622,7.317
0.421,0.373,0.773,-26.098,-162.805,10.488
0.44,0.384,0.826,-23.293,-201.829,12.5
0.553,0.338,0.87,-21.707,-235.305,8.11
0.545,0.308,0.832,-20.549,-245.732,0.854
0.696,0.321,0.822,-15.549,-245.488,-1.829
0.827,0.289,0.827,-13.902,-243.11,2.012
0.74,0.269,0.702,-12.805,-234.146,9.207
0.725,0.319,0.557,-13.293,-231.707,15.122
0.706,0.372,0.41,-20.915,-227.744,19.817
0.647,0.39,0.221,-23.78,-198.842,25.854
0.746,0.372,0.145,-19.329,-153.659,22.805
0.909,0.311,0.147,-12.5,-108.537,5.0
1.129,0.205,0.186,-4.146,-86.463,-1.89
1.166,0.047,0.291,-4.39,-92.073,9.878
0.849,0.022,0.276,-9.451,-90.976,15.488
0.772,0.221,0.272,-12.683,-77.805,8.232
0.867,0.346,0.317,-10.488,-63.841,-1.463
0.781,0.272,0.28,-3.415,-47.683,-7.866
0.744,0.172,0.201,-2.256,-26.037,-7.134
0.814,0.19,0.125,-5.305,9.573,-2.378
0.891,0.252,0.058,-2.378,54.756,0.244
0.936,0.245,0.031,3.11,94.695,0.183
0.959,0.197,0.085,7.256,130.549,1.22
1.006,0.188,0.146,10.915,159.756,1.28
1.041,0.218,0.226,12.012,176.098,-1.159
0.964,0.248,0.326,12.012,176.768,-2.988
0.868,0.271,0.438,10.854,171.463,-8.841
0.85,0.313,0.51,15.061,173.415,-22.256
1.012,0.335,0.56,34.268,176.463,-36.89
1.317,0.293,0.589,49.268,164.634,-27.927
1.321,0.245,0.432,46.524,121.585,-9.451
0.849,0.248,0.321,25.793,51.768,-21.28
0.649,0.239,0.211,-2.195,-17.439,-23.476
0.655,0.174,0.112,-25.427,-70.122,-0.244
0.477,0.187,0.018,-35.0,-92.317,2.927
0.475,0.308,0.103,-29.207,-76.951,-10.183
0.913,0.339,0.324,-16.098,-49.146,-9.39
1.186,0.214,0.485,-3.293,-42.195,-2.805
1.021,0.132,0.582,0.305,-57.927,-3.11
0.859,0.215,0.653,-3.537,-80.793,-7.683
0.895,0.347,0.666,-7.195,-103.171,-12.5
0.952,0.367,0.632,-9.085,-119.329,-14.817
0.986,0.311,0.612,-8.11,-122.073,-11.463
1.024,0.29,0.61,-5.305,-115.915,-5.305
1.029,0.292,0.571,-3.049,-111.22,-4.207
0.993,0.32,0.468,-2.927,-112.073,-3.963
0.94,0.349,0.395,-5.61,-113.72,-0.244
0.89,0.364,0.392,-6.402,-109.634,3.963
0.899,0.388,0.398,-4.329,-100.061,10.122
0.893,0.394,0.435,-1.768,-85.854,14.39
0.887,0.39,0.452,1.829,-65.549,15.0
0.924,0.363,0.397,7.073,-44.634,13.232
0.979,0.31,0.31,12.073,-32.927,10.366
0.965,0.261,0.25,12.5,-34.146,10.0
