acc_x_axis_g,acc_y_axis_g,acc_z_axis_g,gyr_x_axis_deg/s,gyr_y_axis_deg/s,gyr_z_axis_deg/s
0.516,0.514,0.087,42.988,-6.768,34.939
0.529,0.529,0.175,46.768,9.085,32.561
0.554,0.562,0.233,51.28,24.512,30.183
0.533,0.594,0.253,51.22,34.024,26.768
0.499,0.604,0.252,40.061,30.793,18.598
0.523,0.617,0.237,22.012,21.341,9.756
0.589,0.616,0.141,4.085,24.634,0.183
0.619,0.576,-0.068,-0.366,47.195,-9.451
0.724,0.564,-0.253,3.659,81.159,-12.988
0.833,0.557,-0.271,9.817,112.561,-13.354
0.817,0.574,-0.108,14.634,137.988,-8.902
0.759,0.624,-0.017,20.183,157.744,-5.732
0.689,0.66,0.072,23.11,169.817,-7.988
0.576,0.661,0.225,21.951,175.366,-11.768
0.475,0.688,0.314,20.549,178.537,-16.402
0.444,0.727,0.306,26.951,167.988,-18.11
0.471,0.713,0.313,28.963,134.451,-14.451
0.428,0.662,0.334,22.683,92.256,-9.939
0.256,0.691,0.316,18.415,54.268,-8.049
0.149,0.755,0.337,17.805,32.744,-2.988
0.248,0.754,0.325,21.28,35.732,1.159
0.375,0.74,0.336,15.915,22.5,-6.768
0.472,0.764,0.441,-1.768,3.354,-2.866
0.672,0.917,0.299,4.207,-17.195,-8.841
0.497,1.034,0.235,7.988,-45.366,-10.488
0.461,0.816,0.298,2.439,-81.098,-10.0
0.419,0.785,0.294,-8.232,-117.5,-11.951
0.274,0.865,0.298,-15.915,-140.0,-8.171
0.219,0.883,0.351,-18.415,-141.829,-0.854
0.31,0.82,0.323,-19.085,-137.195,2.744
0.523,0.778,0.205,-21.89,-126.89,2.683
0.663,0.823,0.076,-19.268,-111.159,2.073
0.651,0.908,0.091,-16.402,-97.988,2.744
0.662,0.888,0.155,-22.988,-95.122,4.146
0.624,0.884,0.192,-31.768,-93.293,2.012
0.482,0.952,0.148,-26.341,-87.195,1.585
0.429,0.964,0.059,-20.732,-85.122,12.134
0.609,0.834,0.054,-22.988,-87.5,14.817
0.664,0.794,-0.012,-21.402,-89.451,11.22
0.574,0.835,0.037,-17.378,-86.585,11.28
0.574,0.8,0.117,-12.5,-85.122,10.61
0.625,0.754,0.171,-10.488,-86.585,6.159
0.659,0.727,0.188,-7.805,-84.634,-1.341
0.639,0.732,0.165,-3.049,-75.976,-6.646
0.687,0.726,0.184,0.122,-66.037,-5.061
