acc_x_axis_g,acc_y_axis_g,acc_z_axis_g,gyr_x_axis_deg/s,gyr_y_axis_deg/s,gyr_z_axis_deg/s
0.008,0.54,0.879,3.171,88.659,27.195
0.095,0.568,0.871,11.22,124.146,38.11
0.146,0.528,0.896,21.098,160.671,52.378
0.129,0.505,0.882,26.89,194.146,67.256
0.046,0.539,0.858,32.744,205.488,71.159
-0.042,0.6,0.777,32.256,191.159,65.488
-0.203,0.677,0.681,20.122,160.915,58.537
-0.343,0.752,0.663,5.183,128.476,47.378
-0.312,0.776,0.665,-5.732,115.122,36.22
-0.212,0.741,0.742,-11.28,120.122,33.354
-0.13,0.669,0.825,-11.646,130.0,34.39
-0.093,0.604,0.843,-15.183,127.012,31.28
-0.175,0.593,0.829,-20.488,93.841,20.427
-0.368,0.612,0.789,-27.134,38.537,7.561
-0.546,0.617,0.73,-34.878,-19.634,-5.305
-0.592,0.622,0.707,-40.305,-69.39,-22.073
-0.525,0.631,0.742,-44.207,-111.463,-37.561
-0.453,0.618,0.739,-46.707,-144.512,-46.524
-0.389,0.563,0.776,-42.805,-169.695,-56.707
-0.349,0.498,0.829,-37.622,-192.439,-66.524
-0.334,0.452,0.794,-34.695,-208.293,-71.707
-0.279,0.439,0.771,-30.0,-207.195,-73.963
-0.149,0.444,0.753,-24.878,-183.963,-70.244
-0.015,0.455,0.75,-19.024,-149.451,-63.049
0.095,0.473,0.813,-12.988,-117.317,-55.549
0.132,0.501,0.796,-9.817,-88.537,-45.671
0.116,0.516,0.784,-7.622,-68.902,-38.354
0.035,0.514,0.831,-6.585,-67.561,-34.451
-0.084,0.51,0.815,-6.098,-73.11,-31.463
-0.156,0.498,0.829,-3.415,-79.146,-30.549
-0.179,0.485,0.858,-1.646,-88.293,-30.793
-0.163,0.495,0.834,-0.976,-96.951,-32.195
-0.12,0.518,0.829,0.488,-107.5,-34.878
-0.071,0.542,0.818,3.902,-113.902,-36.28
0.021,0.54,0.791,8.476,-105.183,-37.134
0.096,0.524,0.834,13.11,-97.195,-37.866
0.027,0.532,0.857,14.817,-96.707,-30.915
-0.02,0.528,0.811,13.72,-89.451,-24.085
0.11,0.529,0.808,15.0,-77.622,-27.866
0.131,0.532,0.801,16.402,-80.366,-25.488
-0.033,0.498,0.771,15.732,-93.293,-14.329
-0.074,0.494,0.706,16.28,-90.427,-9.939
0.063,0.52,0.737,19.207,-75.915,-13.354
0.122,0.545,0.788,19.329,-68.78,-11.585
0.066,0.54,0.783,16.585,-67.805,-6.646
0.12,0.513,0.74,13.841,-66.402,-8.902
0.203,0.522,0.719,13.354,-64.939,-8.537
0.174,0.505,0.717,12.683,-56.402,3.415
0.227,0.461,0.749,12.134,-35.488,9.329
0.369,0.469,0.795,11.707,-20.122,4.695
0.329,0.511,0.796,4.512,-23.11,7.988
0.211,0.555,0.698,0.854,-20.305,16.829
0.246,0.552,0.667,5.305,5.671,23.659
0.394,0.524,0.741,10.183,36.341,30.488
0.432,0.468,0.851,12.439,57.988,37.805
0.373,0.417,0.93,13.476,80.915,41.098
0.372,0.426,0.957,17.073,116.342,47.195
0.394,0.456,0.982,24.329,153.537,60.244
0.355,0.483,0.956,31.524,183.049,75.244
0.264,0.535,0.836,36.768,204.512,84.634
0.178,0.583,0.772,40.427,209.573,86.28
0.016,0.626,0.719,40.244,195.915,84.085
-0.123,0.673,0.628,39.695,183.415,82.988
-0.063,0.669,0.63,40.976,190.183,80.976
0.087,0.629,0.741,42.195,205.549,80.549
0.16,0.605,0.795,40.732,213.232,80.488
0.128,0.607,0.754,40.366,216.646,83.78
0.016,0.589,0.766,44.146,226.159,88.72
-0.047,0.531,0.839,47.317,235.0,85.793
-0.097,0.539,0.852,52.073,236.951,79.451
-0.14,0.556,0.835,52.622,242.073,78.171
-0.193,0.575,0.873,44.024,237.927,73.659
-0.298,0.668,0.906,31.768,198.11,53.049
-0.329,0.741,0.765,19.756,142.988,28.78
-0.381,0.729,0.621,5.549,96.951,16.402
-0.405,0.698,0.568,-7.988,62.622,6.646
-0.299,0.689,0.62,-20.366,34.024,-9.756
-0.27,0.677,0.738,-33.232,-8.11,-30.793
-0.432,0.664,0.861,-42.5,-83.415,-54.878
-0.632,0.667,0.843,-45.305,-167.744,-75.549
-0.735,0.633,0.76,-49.329,-230.0,-90.183
-0.668,0.623,0.728,-56.22,-271.281,-102.012
-0.469,0.682,0.629,-56.951,-279.817,-101.402
-0.203,0.706,0.562,-45.915,-237.805,-83.415
0.189,0.637,0.648,-29.39,-157.561,-62.073
0.472,0.534,0.892,-20.549,-98.171,-54.573
0.311,0.536,0.982,-15.976,-98.293,-59.085
-0.019,0.569,0.802,-14.207,-119.695,-63.049
-0.195,0.54,0.767,-16.829,-144.451,-66.768
-0.257,0.551,0.77,-21.89,-169.573,-72.5
-0.212,0.583,0.729,-26.768,-178.11,-74.085
-0.07,0.594,0.724,-27.5,-161.524,-67.256
0.141,0.59,0.668,-21.159,-118.781,-55.061
0.35,0.509,0.717,-15.793,-78.415,-49.573
0.327,0.452,0.796,-14.817,-72.195,-53.11
0.047,0.473,0.783,-19.268,-97.073,-58.11
-0.204,0.518,0.726,-26.159,-128.354,-63.78
-0.271,0.561,0.712,-26.28,-142.561,-67.195
-0.117,0.534,0.739,-20.488,-125.61,-62.134
0.139,0.466,0.794,-13.841,-93.171,-56.829
0.3,0.429,0.848,-9.939,-76.402,-58.415
0.222,0.442,0.833,-9.207,-79.329,-60.366
-0.003,0.471,0.771,-13.902,-93.415,-57.683
-0.119,0.521,0.733,-16.463,-99.451,-57.805
0.012,0.55,0.728,-12.927,-87.012,-60.305
0.167,0.54,0.772,-11.159,-75.0,-59.268
0.166,0.547,0.766,-10.915,-67.805,-51.89
0.156,0.535,0.768,-7.317,-56.098,-42.805
