acc_x_axis_g,acc_y_axis_g,acc_z_axis_g,gyr_x_axis_deg/s,gyr_y_axis_deg/s,gyr_z_axis_deg/s
0.598,0.503,0.71,42.317,-13.841,21.402
0.579,0.457,0.766,51.037,2.378,29.329
0.47,0.454,0.747,49.39,6.463,33.171
0.322,0.568,0.72,46.402,7.683,34.634
0.315,0.606,0.736,47.927,14.878,33.354
0.396,0.559,0.761,47.317,31.159,34.878
0.39,0.552,0.773,47.073,50.427,31.341
0.397,0.555,0.767,44.634,68.354,28.232
0.375,0.576,0.743,43.171,86.89,36.28
0.353,0.56,0.713,43.11,111.829,45.488
0.363,0.572,0.677,44.573,138.415,50.793
0.318,0.581,0.673,47.805,161.524,55.183
0.293,0.568,0.694,49.329,186.463,57.805
0.316,0.59,0.733,54.634,213.049,59.268
0.32,0.598,0.768,62.134,236.951,66.524
0.32,0.59,0.739,68.049,261.159,78.049
0.312,0.605,0.688,73.293,281.22,79.634
0.242,0.622,0.715,77.561,296.098,80.0
0.246,0.654,0.685,77.073,330.61,88.659
0.321,0.658,0.676,58.049,364.451,86.768
0.196,0.758,0.614,31.341,335.854,58.537
-0.088,0.867,0.504,4.512,260.671,32.561
-0.237,0.837,0.387,-11.098,199.329,14.268
-0.194,0.703,0.493,-19.573,153.659,3.11
-0.097,0.569,0.708,-26.524,119.024,-0.549
-0.119,0.499,0.892,-35.122,95.244,-5.854
-0.178,0.507,1.027,-46.098,66.707,-18.049
-0.179,0.571,1.021,-54.512,24.573,-37.195
-0.225,0.623,0.964,-58.232,-27.5,-60.122
-0.332,0.635,0.933,-57.744,-80.0,-76.159
-0.368,0.617,0.919,-54.451,-126.098,-80.732
-0.374,0.62,0.811,-55.793,-162.073,-80.976
-0.329,0.668,0.698,-61.22,-178.72,-85.854
-0.241,0.71,0.681,-62.012,-176.585,-86.341
-0.17,0.695,0.72,-58.293,-167.744,-80.0
-0.04,0.664,0.736,-53.841,-153.293,-76.28
0.022,0.661,0.748,-49.329,-140.549,-74.085
-0.033,0.667,0.777,-47.5,-134.146,-65.915
-0.019,0.654,0.774,-44.756,-130.305,-64.39
0.061,0.636,0.848,-42.805,-139.878,-74.329
0.041,0.634,0.789,-42.073,-153.72,-77.988
-0.042,0.615,0.727,-39.39,-166.281,-74.695
