acc_x_axis_g,acc_y_axis_g,acc_z_axis_g,gyr_x_axis_deg/s,gyr_y_axis_deg/s,gyr_z_axis_deg/s
0.357,0.479,0.745,9.878,-88.293,-9.146
0.379,0.544,0.757,17.134,-71.28,-10.488
0.382,0.503,0.72,25.671,-52.439,4.085
0.395,0.455,0.705,38.537,-33.11,16.159
0.469,0.472,0.702,48.841,-16.22,23.232
0.454,0.536,0.656,55.915,-4.207,30.183
0.456,0.558,0.63,63.232,8.476,36.463
0.435,0.557,0.658,70.244,22.561,40.854
0.375,0.541,0.745,69.146,34.512,41.159
0.302,0.6,0.767,63.537,53.963,37.195
0.328,0.682,0.753,58.232,92.073,32.195
0.478,0.743,0.663,57.927,150.305,31.28
0.643,0.742,0.528,68.354,223.11,36.463
0.744,0.652,0.538,77.195,293.232,41.829
0.711,0.603,0.623,81.098,336.463,38.171
0.468,0.614,0.736,88.11,337.378,37.256
0.236,0.586,0.772,98.659,320.0,44.878
0.069,0.583,0.713,107.561,328.415,55.549
-0.032,0.631,0.697,113.11,372.378,66.829
0.035,0.68,0.645,102.622,427.744,73.841
0.17,0.731,0.571,83.415,444.329,56.524
0.219,0.806,0.517,76.646,422.073,30.061
0.167,0.802,0.409,80.061,407.988,22.073
0.135,0.703,0.413,85.793,418.902,18.049
0.083,0.646,0.455,81.341,437.866,13.354
-0.077,0.708,0.459,66.829,442.195,7.378
-0.304,0.823,0.447,53.902,427.744,-0.488
-0.55,0.907,0.423,50.793,404.817,-5.732
-0.684,0.906,0.423,41.951,367.805,-14.573
-0.785,0.901,0.461,40.366,315.976,-21.098
-0.819,0.847,0.441,42.866,262.988,-21.829
-0.787,0.772,0.431,44.512,206.342,-25.671
-0.721,0.751,0.413,47.988,141.951,-34.512
-0.608,0.764,0.35,45.305,87.988,-38.171
-0.529,0.799,0.318,32.012,55.732,-35.427
-0.49,0.845,0.317,15.488,28.049,-37.317
-0.518,0.895,0.285,-0.61,-15.915,-43.72
-0.64,0.929,0.2,-15.732,-76.28,-45.549
-0.782,0.934,0.122,-29.756,-142.378,-44.146
-0.851,0.924,0.082,-42.073,-209.146,-44.573
-0.822,0.91,0.033,-48.963,-275.671,-45.915
-0.738,0.889,0.019,-49.817,-331.159,-42.012
-0.634,0.855,0.092,-45.427,-362.134,-34.146
-0.542,0.806,0.199,-33.841,-363.902,-28.963
-0.449,0.74,0.365,-20.488,-342.012,-27.805
-0.33,0.689,0.507,-10.915,-310.915,-26.037
-0.209,0.691,0.55,-8.293,-281.402,-21.098
-0.141,0.732,0.546,-11.28,-253.903,-15.549
-0.126,0.758,0.556,-16.524,-235.366,-17.927
-0.175,0.757,0.577,-19.451,-238.354,-23.171
-0.24,0.723,0.49,-15.427,-254.329,-22.134
-0.28,0.675,0.399,-14.085,-267.073,-18.232
-0.284,0.675,0.368,-22.195,-272.5,-18.537
-0.27,0.745,0.43,-37.805,-273.72,-19.939
-0.229,0.82,0.429,-53.293,-266.159,-20.549
-0.217,0.836,0.515,-67.683,-260.549,-25.244
-0.264,0.817,0.554,-82.988,-265.61,-31.28
-0.333,0.793,0.48,-92.195,-286.89,-37.073
-0.339,0.793,0.42,-104.207,-324.695,-38.72
-0.238,0.795,0.363,-119.085,-357.744,-41.585
-0.072,0.793,0.33,-127.256,-372.012,-59.756
0.067,0.749,0.357,-122.134,-365.183,-79.207
0.191,0.664,0.376,-104.085,-323.659,-79.512
0.306,0.527,0.486,-87.256,-265.0,-62.073
0.429,0.43,0.69,-63.537,-217.378,-45.305
0.564,0.357,0.805,-34.756,-165.0,-33.171
0.612,0.345,0.874,-9.939,-116.89,-18.963
0.653,0.38,0.895,14.207,-76.098,-6.707
0.621,0.409,0.958,32.683,-54.39,3.293
0.493,0.454,0.91,45.976,-50.549,9.268
0.332,0.516,0.832,57.317,-51.646,13.415
0.255,0.554,0.758,62.744,-44.817,18.537
0.262,0.606,0.698,63.537,-25.427,25.0
0.32,0.662,0.649,66.951,8.537,35.061
0.421,0.665,0.681,75.183,52.561,47.073
0.487,0.621,0.781,84.512,99.695,59.207
0.411,0.613,0.845,96.037,149.085,72.012
0.353,0.61,0.879,109.39,203.354,79.146
0.366,0.635,0.871,114.573,254.512,77.927
0.351,0.68,0.788,103.232,283.963,64.451
0.303,0.792,0.581,91.768,289.939,48.232
0.356,0.842,0.252,93.78,312.317,52.195
0.459,0.728,0.213,99.207,356.281,62.378
0.452,0.648,0.41,103.049,395.915,58.841
0.323,0.681,0.527,104.695,413.171,44.207
0.171,0.704,0.553,106.768,406.829,32.561
0.076,0.674,0.578,107.866,400.671,29.329
0.003,0.679,0.58,105.549,414.512,27.317
-0.084,0.732,0.57,100.915,438.293,22.622
-0.078,0.786,0.567,92.988,449.329,15.488
-0.069,0.826,0.539,82.195,433.415,6.646
-0.144,0.837,0.483,69.695,400.183,-1.159
-0.27,0.843,0.44,54.512,363.537,-8.598
-0.394,0.873,0.41,40.427,331.037,-16.098
-0.467,0.907,0.443,30.305,298.293,-25.366
-0.507,0.908,0.476,21.707,256.646,-32.378
-0.589,0.901,0.457,15.61,207.378,-36.89
-0.682,0.88,0.429,13.598,149.939,-43.171
-0.748,0.859,0.417,13.354,89.756,-42.439
-0.738,0.847,0.415,10.732,41.098,-32.927
-0.665,0.845,0.439,3.354,-0.61,-29.695
-0.621,0.874,0.423,-8.78,-49.39,-36.707
-0.691,0.923,0.3,-24.817,-110.671,-42.927
-0.785,0.965,0.156,-39.39,-177.988,-46.28
-0.794,0.979,0.077,-45.793,-244.024,-52.195
-0.668,0.954,0.072,-44.817,-301.22,-56.646
-0.43,0.916,0.111,-43.293,-330.732,-48.171
-0.23,0.867,0.285,-42.866,-335.244,-35.0
-0.169,0.807,0.496,-47.622,-337.561,-29.207
-0.231,0.798,0.539,-54.695,-341.463,-27.744
-0.34,0.809,0.536,-57.805,-344.085,-30.366
-0.381,0.778,0.497,-52.561,-340.915,-33.476
-0.301,0.708,0.45,-38.537,-331.951,-34.024
-0.146,0.643,0.482,-33.232,-322.317,-39.146
-0.088,0.636,0.472,-45.549,-324.756,-45.183
-0.235,0.757,0.381,-73.476,-340.0,-37.927
-0.263,0.895,0.329,-97.988,-331.585,-24.756
-0.128,0.902,0.48,-121.402,-313.476,-25.244
-0.036,0.84,0.614,-137.927,-319.024,-41.707
-0.001,0.781,0.513,-127.988,-323.842,-61.524
-0.064,0.65,0.478,-101.402,-322.622,-68.537
-0.078,0.519,0.476,-74.939,-324.817,-67.073
0.053,0.47,0.434,-66.646,-313.842,-63.171
0.205,0.555,0.464,-82.317,-281.281,-54.512
0.351,0.683,0.524,-90.793,-223.476,-42.439
0.594,0.624,0.679,-74.329,-142.317,-34.146
0.776,0.431,0.917,-40.61,-85.671,-25.854
0.635,0.288,0.939,-8.902,-67.927,-7.927
0.403,0.264,0.839,9.817,-66.28,6.22
0.338,0.398,0.813,25.427,-63.72,7.683
0.356,0.5,0.835,44.634,-58.537,12.805
0.315,0.481,0.832,59.878,-53.963,22.866
0.277,0.488,0.787,66.159,-48.72,28.354
0.218,0.576,0.769,68.11,-32.439,34.207
0.273,0.634,0.781,75.549,3.78,42.012
0.443,0.616,0.83,86.037,53.963,54.024
0.494,0.592,0.857,96.098,102.439,67.805
0.475,0.58,0.813,103.598,149.207,76.28
0.412,0.611,0.766,100.244,195.854,76.037
0.394,0.725,0.674,94.817,241.768,65.793
0.451,0.817,0.508,97.561,285.122,60.0
0.546,0.758,0.377,103.476,328.354,65.061
0.612,0.678,0.3,105.427,371.524,70.0
0.48,0.667,0.39,106.402,403.659,67.683
0.291,0.695,0.478,105.488,420.366,58.049
0.149,0.703,0.523,103.354,410.427,42.439
0.035,0.697,0.554,100.61,390.0,31.463
-0.079,0.689,0.573,96.707,390.0,26.28
