acc_x_axis_g,acc_y_axis_g,acc_z_axis_g,gyr_x_axis_deg/s,gyr_y_axis_deg/s,gyr_z_axis_deg/s
-0.046,0.136,0.852,-46.402,-22.073,26.829
-0.054,0.13,0.843,-50.793,-22.927,20.915
-0.064,0.136,0.851,-57.317,-21.28,13.902
-0.068,0.145,0.866,-56.098,-8.841,11.646
0.048,0.131,0.768,-50.0,4.451,6.646
0.195,0.1,0.683,-45.305,8.232,-4.268
0.184,0.075,0.753,-44.939,15.366,-10.732
0.14,0.063,0.892,-43.415,29.268,-7.805
0.197,0.074,1.019,-39.695,36.585,-4.878
0.214,0.105,1.055,-35.793,35.793,-6.098
0.098,0.138,1.038,-33.232,34.756,-7.561
0.021,0.147,1.037,-33.659,33.11,-7.256
0.044,0.163,1.064,-33.72,27.744,-6.829
0.008,0.196,1.078,-31.707,20.793,-6.89
-0.044,0.201,1.051,-29.756,15.122,-6.707
-0.066,0.169,1.039,-28.598,11.28,-5.427
-0.057,0.155,1.043,-29.268,9.878,-5.915
-0.038,0.162,1.046,-29.878,11.22,-7.927
-0.033,0.162,1.055,-29.39,18.293,-11.037
-0.022,0.15,1.04,-28.11,30.366,-14.939
0.034,0.137,1.017,-26.463,40.793,-18.902
0.071,0.12,1.046,-24.085,47.683,-20.549
0.059,0.092,1.071,-23.415,53.171,-18.659
0.017,0.053,1.083,-22.744,62.134,-15.183
-0.031,0.018,1.076,-20.793,74.39,-11.22
-0.078,-0.007,1.005,-20.854,77.378,-7.073
-0.151,-0.022,0.929,-18.841,69.329,-3.293
-0.276,-0.031,0.85,-15.732,53.78,-1.646
-0.422,-0.059,0.76,-13.11,35.671,-0.549
-0.472,-0.109,0.736,-9.024,18.11,0.732
-0.456,-0.149,0.717,-6.463,2.256,1.585
-0.409,-0.174,0.712,-3.78,-9.085,3.537
-0.363,-0.156,0.75,-1.22,-15.0,6.22
-0.337,-0.112,0.798,-1.159,-17.683,9.512
-0.288,-0.102,0.845,-1.341,-18.171,13.415
-0.232,-0.091,0.87,0.488,-17.683,15.427
-0.205,-0.062,0.862,3.232,-18.841,15.244
-0.144,-0.039,0.83,5.793,-25.0,14.695
-0.091,-0.023,0.829,6.829,-33.78,13.354
-0.103,0.01,0.83,6.098,-37.256,11.951
-0.147,0.049,0.851,8.415,-36.524,10.854
-0.104,0.077,0.86,10.854,-32.561,9.146
-0.008,0.07,0.879,12.5,-22.256,10.549
