acc_x_axis_g,acc_y_axis_g,acc_z_axis_g,gyr_x_axis_deg/s,gyr_y_axis_deg/s,gyr_z_axis_deg/s
0.163,0.156,0.746,-64.817,28.598,13.354
0.339,0.141,0.496,-68.415,35.976,8.049
0.339,0.139,0.512,-74.512,35.976,5.915
0.254,0.191,0.612,-75.488,41.89,6.159
0.153,0.232,0.684,-69.207,53.049,2.622
0.096,0.242,0.735,-61.159,62.866,-10.976
0.102,0.213,0.867,-55.122,78.476,-21.524
0.185,0.143,1.082,-49.634,99.512,-17.073
0.372,0.084,1.204,-45.915,99.268,-14.512
0.324,0.095,1.263,-41.89,88.293,-14.512
0.11,0.128,1.197,-37.317,76.585,-13.293
-0.006,0.14,1.11,-35.122,64.512,-13.72
-0.042,0.171,1.043,-34.146,54.817,-13.598
-0.018,0.188,0.996,-33.476,43.841,-11.89
0.014,0.184,0.96,-35.732,30.061,-12.012
-0.015,0.196,0.926,-39.573,20.305,-13.659
-0.059,0.23,0.914,-43.476,16.646,-15.0
-0.096,0.247,0.929,-45.0,19.573,-15.366
-0.104,0.235,0.942,-43.902,30.061,-15.549
-0.073,0.195,0.988,-40.244,46.22,-16.098
-0.048,0.147,1.042,-39.024,62.5,-15.854
-0.051,0.119,1.094,-35.854,79.573,-15.122
-0.059,0.098,1.15,-33.293,95.671,-14.146
-0.057,0.044,1.136,-32.439,102.866,-12.683
-0.039,-0.021,1.108,-32.012,97.5,-11.22
-0.063,-0.054,1.013,-31.402,79.451,-9.085
-0.16,-0.074,0.868,-29.756,56.22,-6.037
-0.282,-0.103,0.723,-27.866,33.171,-2.378
-0.377,-0.135,0.637,-23.72,13.78,1.646
-0.442,-0.145,0.596,-18.963,-2.195,4.695
-0.486,-0.14,0.626,-14.939,-13.841,7.256
-0.502,-0.133,0.721,-11.524,-20.732,9.329
-0.482,-0.126,0.815,-8.902,-21.585,11.646
-0.409,-0.133,0.893,-6.28,-18.841,14.024
-0.311,-0.128,0.917,-2.622,-16.28,15.488
-0.234,-0.12,0.908,1.098,-16.89,17.744
-0.173,-0.116,0.875,3.659,-23.476,19.695
-0.139,-0.105,0.826,5.915,-33.902,20.244
-0.148,-0.066,0.786,7.805,-44.39,19.207
-0.155,-0.03,0.772,11.402,-53.963,17.683
-0.125,-0.001,0.795,13.598,-61.463,16.951
-0.095,0.006,0.842,16.585,-61.89,17.5
-0.088,0.008,0.889,19.268,-49.939,13.354
-0.058,0.0,0.928,18.963,-27.012,8.598
0.016,0.011,0.991,19.634,1.646,7.683
0.094,0.06,1.028,24.634,31.037,4.451
0.142,0.066,1.042,29.207,56.89,0.244
0.136,0.038,1.069,32.927,73.537,-1.829
0.107,0.047,1.115,37.256,80.976,-2.012
0.081,0.078,1.118,38.963,81.768,2.073
0.013,0.074,1.119,37.378,77.195,4.634
-0.077,0.067,1.16,28.963,69.695,7.5
-0.181,0.094,1.194,22.5,61.28,13.354
-0.254,0.194,1.167,19.268,51.037,12.561
-0.303,0.231,1.083,11.585,39.939,10.061
-0.329,0.232,1.048,6.707,29.939,8.902
-0.338,0.326,1.017,3.78,11.524,6.707
-0.377,0.394,1.024,-0.244,-12.012,5.122
-0.427,0.382,1.062,-3.354,-26.159,4.451
-0.459,0.337,1.113,-2.073,-30.061,4.268
-0.408,0.291,1.195,-2.866,-29.451,4.573
-0.342,0.22,1.288,-6.402,-24.329,5.549
-0.346,0.188,1.311,-7.073,-14.878,5.183
-0.315,0.209,1.223,-6.89,-4.146,2.134
-0.211,0.207,1.101,-7.439,4.146,-1.707
-0.135,0.179,1.0,-8.659,5.793,-4.512
-0.108,0.159,0.92,-9.329,-0.122,-8.11
-0.122,0.138,0.87,-10.854,-12.134,-10.671
-0.14,0.104,0.877,-12.439,-26.951,-11.28
-0.178,0.083,0.935,-12.622,-40.976,-11.159
