acc_x_axis_g,acc_y_axis_g,acc_z_axis_g,gyr_x_axis_deg/s,gyr_y_axis_deg/s,gyr_z_axis_deg/s
-0.081,0.421,0.729,-48.659,45.427,37.012
-0.102,0.409,0.766,-46.037,39.39,30.732
-0.132,0.406,0.79,-42.561,31.951,27.195
-0.124,0.406,0.759,-37.378,26.28,25.915
-0.167,0.417,0.715,-28.171,16.341,16.098
-0.22,0.416,0.738,-16.646,4.39,-2.317
-0.163,0.401,0.759,-10.671,-0.305,-11.89
-0.055,0.396,0.786,-6.585,1.89,-10.427
-0.014,0.375,0.818,1.768,8.354,-7.073
-0.045,0.363,0.798,10.976,16.402,-2.5
-0.131,0.399,0.75,18.11,18.598,1.159
-0.229,0.458,0.73,20.061,14.939,3.841
-0.29,0.531,0.709,15.488,8.72,1.89
-0.354,0.618,0.712,7.866,-2.195,-3.537
-0.344,0.659,0.704,-0.915,-9.939,-3.171
-0.336,0.649,0.717,-1.768,-14.939,-1.585
-0.389,0.612,0.697,6.707,-25.793,-3.415
-0.446,0.573,0.667,13.659,-41.707,-3.171
-0.441,0.583,0.637,13.049,-54.451,-0.061
-0.382,0.628,0.646,8.049,-62.805,-0.183
-0.319,0.661,0.662,4.085,-69.695,-1.707
-0.283,0.649,0.662,1.402,-74.634,-2.866
-0.224,0.612,0.676,2.195,-75.183,-3.11
-0.201,0.578,0.696,3.11,-77.134,-3.963
-0.251,0.573,0.723,2.073,-83.72,-4.817
-0.27,0.579,0.727,0.183,-90.061,-3.232
-0.26,0.599,0.717,-3.598,-95.183,-1.098
-0.226,0.608,0.745,-6.037,-98.598,1.646
-0.181,0.598,0.729,-6.585,-103.72,2.927
-0.188,0.58,0.731,-7.195,-112.988,3.049
-0.177,0.562,0.783,-7.927,-128.902,3.476
-0.171,0.562,0.789,-13.659,-150.854,4.573
-0.159,0.576,0.775,-17.134,-170.61,2.378
-0.184,0.599,0.736,-17.317,-192.134,-2.256
-0.227,0.618,0.701,-23.537,-218.171,-6.951
-0.216,0.671,0.611,-33.78,-235.671,-7.744
-0.154,0.723,0.55,-37.439,-233.903,-7.5
-0.008,0.685,0.613,-32.561,-213.476,-8.11
