acc_x_axis_g,acc_y_axis_g,acc_z_axis_g,gyr_x_axis_deg/s,gyr_y_axis_deg/s,gyr_z_axis_deg/s
-0.227,0.672,0.557,9.146,-61.463,4.939
-0.196,0.666,0.586,9.939,-69.329,-0.488
-0.175,0.667,0.622,10.976,-71.22,-5.793
-0.147,0.673,0.649,12.317,-66.22,-10.122
-0.114,0.686,0.675,10.366,-53.232,-11.646
-0.045,0.711,0.692,7.134,-33.11,-12.012
0.037,0.72,0.692,5.976,-9.878,-13.78
0.075,0.718,0.676,4.024,9.939,-12.195
0.048,0.728,0.667,3.049,17.927,-9.085
-0.045,0.71,0.641,4.451,14.451,-6.341
-0.187,0.708,0.601,6.402,5.488,-5.366
-0.265,0.738,0.608,5.61,-3.537,-7.622
-0.27,0.77,0.618,4.573,-12.439,-8.78
-0.269,0.794,0.587,3.476,-23.415,-8.841
-0.271,0.782,0.574,3.354,-36.951,-10.793
-0.321,0.759,0.569,7.927,-63.537,-13.232
-0.389,0.751,0.581,19.085,-101.768,-16.829
-0.473,0.716,0.614,26.768,-143.476,-16.341
-0.516,0.702,0.632,31.585,-187.744,-14.451
-0.492,0.71,0.608,38.537,-226.768,-16.768
-0.414,0.715,0.545,45.183,-254.268,-19.268
-0.268,0.746,0.492,54.268,-275.427,-18.659
-0.157,0.771,0.484,67.683,-297.561,-16.524
-0.147,0.759,0.482,71.951,-314.329,-13.415
-0.192,0.772,0.42,62.195,-312.988,-9.634
-0.102,0.828,0.393,52.439,-291.707,-6.341
0.07,0.85,0.424,43.293,-256.951,-3.659
0.178,0.826,0.432,33.537,-210.549,-2.5
0.303,0.817,0.444,32.744,-162.378,-1.585
0.429,0.788,0.465,32.927,-117.927,-1.098
0.478,0.737,0.502,30.915,-75.61,3.171
0.555,0.693,0.551,29.268,-30.305,2.744
0.707,0.632,0.621,30.488,17.256,-10.732
0.847,0.558,0.67,31.098,55.915,-30.0
0.777,0.593,0.587,26.829,72.317,-36.707
0.422,0.677,0.46,11.89,66.707,-33.963
0.049,0.7,0.231,-0.915,59.39,-35.61
-0.051,0.712,0.126,-9.695,68.537,-41.402
0.027,0.764,0.198,-16.098,93.598,-43.537
0.107,0.815,0.31,-20.427,129.756,-42.988
0.081,0.834,0.455,-19.207,171.463,-39.085
-0.01,0.825,0.66,-11.951,205.549,-31.341
-0.135,0.818,0.844,-6.646,221.585,-24.756
-0.307,0.835,0.889,-3.476,218.903,-20.732
-0.392,0.91,0.825,0.061,204.146,-16.524
-0.405,0.968,0.746,2.744,185.183,-7.744
-0.336,0.97,0.708,11.463,160.0,-0.976
-0.271,0.942,0.732,15.915,118.963,0.122
-0.286,0.933,0.71,15.061,66.646,1.829
-0.259,0.93,0.631,16.646,22.195,5.183
-0.151,0.855,0.612,20.366,-4.39,4.817
-0.014,0.814,0.638,18.659,-16.037,6.524
0.041,0.854,0.62,15.488,-18.232,8.049
0.074,0.867,0.583,13.476,-20.0,7.622
0.08,0.856,0.544,9.817,-25.976,8.598
0.08,0.853,0.554,1.646,-27.256,10.305
0.098,0.857,0.603,-4.39,-12.683,9.573
0.224,0.875,0.609,-4.085,6.098,9.207
0.345,0.81,0.696,-11.524,9.878,7.805
0.32,0.738,0.721,-19.817,7.317,3.72
0.344,0.739,0.646,-21.768,15.366,0.854
0.353,0.752,0.637,-15.122,28.415,-3.171
0.274,0.739,0.76,-16.159,48.841,-12.195
0.199,0.795,0.842,-22.988,80.976,-21.402
0.183,0.925,0.843,-25.183,113.171,-23.354
0.073,0.965,0.716,-11.707,111.402,-19.939
-0.19,0.931,0.501,13.598,60.122,-16.22
-0.658,0.901,0.266,32.256,-39.329,-7.927
-1.185,0.904,0.175,35.915,-167.561,2.378
-1.55,0.931,0.159,28.841,-280.732,13.171
-1.578,0.982,0.132,25.549,-346.037,20.061
-1.153,0.961,0.195,32.317,-352.256,15.366
-0.5,0.858,0.438,46.037,-317.683,12.561
0.04,0.793,0.653,58.049,-281.159,10.0
0.222,0.763,0.552,52.744,-263.842,10.488
0.121,0.776,0.271,31.646,-255.366,16.159
0.081,0.774,0.039,11.951,-231.281,22.195
0.278,0.715,-0.034,-3.78,-178.11,26.341
0.566,0.677,0.027,-10.488,-99.329,25.427
0.907,0.694,0.06,-3.232,-8.537,13.171
1.059,0.632,0.213,0.793,65.305,5.244
0.805,0.551,0.229,-8.415,108.902,4.695
0.365,0.586,0.104,-18.11,128.842,-3.902
0.114,0.671,0.044,-20.61,130.61,-11.89
-0.073,0.722,0.275,-25.549,124.756,-10.244
-0.197,0.713,0.53,-27.744,124.573,-11.768
-0.223,0.744,0.728,-24.024,137.622,-12.317
-0.202,0.809,0.927,-21.829,159.268,-2.927
-0.173,0.824,1.021,-11.646,172.683,0.122
-0.134,0.815,0.992,5.183,176.159,-6.89
-0.179,0.926,0.945,23.049,151.098,-0.488
-0.22,1.026,0.861,25.854,95.244,9.451
-0.315,0.885,0.65,21.037,50.854,11.829
-0.3,0.901,0.583,22.866,30.976,16.341
-0.105,1.03,0.614,25.122,15.976,15.732
