acc_x_axis_g,acc_y_axis_g,acc_z_axis_g,gyr_x_axis_deg/s,gyr_y_axis_deg/s,gyr_z_axis_deg/s
0.077,0.646,0.589,3.598,51.402,-5.183
-0.033,0.68,0.582,3.963,39.878,-6.341
-0.148,0.695,0.599,4.39,30.549,-9.146
-0.197,0.725,0.605,7.439,20.488,-13.78
-0.211,0.733,0.602,10.671,5.732,-19.39
-0.237,0.732,0.592,9.878,-11.524,-21.098
-0.27,0.733,0.602,6.524,-24.268,-19.695
-0.278,0.729,0.577,4.268,-37.439,-19.207
-0.284,0.733,0.543,3.11,-66.829,-21.768
-0.401,0.759,0.504,11.646,-126.585,-24.268
-0.657,0.762,0.4,27.134,-212.744,-24.817
-0.935,0.71,0.29,42.378,-308.659,-20.244
-1.054,0.694,0.257,53.049,-384.634,-12.378
-0.958,0.695,0.293,60.732,-421.463,-4.024
-0.656,0.678,0.373,69.573,-421.037,0.915
-0.285,0.684,0.449,79.573,-399.39,5.183
-0.022,0.705,0.492,80.488,-370.122,11.707
0.059,0.743,0.473,63.598,-329.573,17.134
0.092,0.815,0.449,41.402,-276.829,14.268
0.347,0.881,0.394,27.927,-206.89,5.061
0.676,0.904,0.464,20.427,-128.659,1.098
0.885,0.858,0.538,15.488,-58.293,6.098
0.954,0.753,0.538,16.037,8.049,5.0
0.997,0.668,0.581,16.707,71.159,-3.415
0.998,0.654,0.578,8.232,121.768,-15.061
0.869,0.745,0.521,-5.488,150.976,-21.829
0.616,0.785,0.495,-20.732,165.61,-22.561
0.311,0.728,0.378,-31.646,182.073,-21.463
0.152,0.727,0.351,-36.159,205.427,-18.963
0.046,0.755,0.451,-37.256,228.11,-16.341
-0.043,0.765,0.519,-30.61,239.329,-15.305
-0.115,0.741,0.568,-21.22,230.61,-15.488
-0.259,0.707,0.657,-22.866,207.256,-14.634
-0.404,0.749,0.739,-31.098,184.695,-12.805
-0.353,0.834,0.745,-35.793,175.915,-10.915
-0.233,0.858,0.729,-38.72,180.549,-7.073
-0.179,0.854,0.662,-38.659,191.463,-0.793
-0.164,0.837,0.603,-30.427,199.634,4.451
-0.194,0.791,0.638,-23.11,195.854,8.963
-0.268,0.742,0.704,-19.695,179.512,12.195
-0.361,0.754,0.726,-16.707,154.207,14.146
-0.387,0.797,0.704,-13.72,124.573,15.671
-0.316,0.813,0.647,-7.683,92.439,15.61
-0.254,0.774,0.589,1.098,55.366,12.866
-0.257,0.732,0.56,6.524,11.159,11.707
-0.346,0.748,0.509,11.768,-37.866,11.098
-0.434,0.747,0.486,16.951,-83.476,8.78
-0.431,0.734,0.5,18.11,-112.744,7.866
-0.342,0.758,0.556,19.756,-119.756,6.707
-0.178,0.751,0.66,20.427,-102.927,4.329
-0.04,0.753,0.721,19.573,-72.561,2.5
0.034,0.773,0.729,19.268,-46.341,0.793
0.019,0.775,0.699,17.073,-34.573,-0.427
-0.05,0.778,0.6,12.683,-32.561,-0.244
-0.105,0.793,0.524,9.695,-36.768,1.402
-0.095,0.774,0.521,7.378,-40.366,1.28
-0.089,0.75,0.54,4.939,-36.707,0.061
-0.027,0.761,0.568,5.488,-30.488,1.402
0.016,0.74,0.632,0.61,-26.89,2.805
-0.02,0.725,0.641,-5.305,-22.683,3.537
0.096,0.729,0.643,-7.683,-13.415,2.439
0.187,0.694,0.679,-16.341,5.915,2.744
0.181,0.736,0.711,-25.915,40.427,3.049
0.176,0.792,0.76,-23.659,81.402,-0.183
0.166,0.789,0.885,-17.866,118.11,-5.854
0.074,0.801,0.917,-17.256,154.939,-13.659
0.025,0.871,0.88,-18.049,193.354,-18.841
0.074,0.908,0.788,-13.902,219.085,-19.695
0.128,0.882,0.643,-5.488,213.11,-23.354
0.079,0.846,0.509,-0.671,166.89,-30.976
-0.094,0.849,0.393,0.549,92.622,-36.707
-0.318,0.835,0.458,3.841,-5.549,-37.561
-0.611,0.74,0.557,16.463,-116.342,-35.061
-1.065,0.655,0.458,26.89,-209.146,-27.073
-1.333,0.676,0.302,29.573,-254.085,-13.354
-1.178,0.782,0.132,40.976,-272.256,-4.756
-0.869,0.853,0.066,58.902,-302.317,-4.573
-0.737,0.875,0.04,62.256,-347.805,7.256
-0.725,0.894,0.076,57.256,-386.829,21.037
-0.586,0.871,0.129,51.28,-397.256,25.976
-0.359,0.813,0.177,38.476,-373.963,28.78
-0.044,0.783,0.26,29.512,-323.537,26.28
0.338,0.747,0.425,27.195,-260.549,20.0
0.588,0.703,0.499,18.841,-204.329,23.11
0.651,0.712,0.384,5.366,-148.537,34.756
0.653,0.682,0.368,-2.561,-85.061,37.317
0.682,0.731,0.418,-4.024,-18.598,29.573
0.696,0.766,0.586,-5.305,42.195,18.841
0.717,0.656,0.679,-8.902,89.573,7.622
0.644,0.607,0.52,-17.744,132.195,-0.671
0.493,0.706,0.469,-22.012,162.683,-1.524
0.314,0.74,0.457,-20.549,171.585,1.463
0.043,0.728,0.471,-24.085,169.39,4.024
-0.208,0.783,0.614,-29.878,170.854,6.951
-0.26,0.853,0.765,-31.159,181.281,7.805
-0.227,0.877,0.85,-23.293,190.915,6.524
-0.19,0.852,0.856,-13.049,186.159,4.146
