acc_x_axis_g,acc_y_axis_g,acc_z_axis_g,gyr_x_axis_deg/s,gyr_y_axis_deg/s,gyr_z_axis_deg/s
0.522,0.728,0.431,-8.11,-104.329,18.049
0.474,0.731,0.451,-8.659,-88.963,18.72
0.336,0.738,0.425,-10.915,-78.963,16.098
0.228,0.765,0.437,-11.159,-71.768,12.5
0.263,0.771,0.451,-8.902,-59.756,10.427
0.382,0.755,0.45,-6.829,-41.951,8.537
0.442,0.747,0.451,-4.634,-21.89,6.951
0.419,0.732,0.462,-1.646,-2.134,6.585
0.391,0.7,0.461,0.244,18.72,6.768
0.385,0.701,0.463,3.049,41.524,7.561
0.387,0.718,0.482,7.012,66.037,8.232
0.381,0.73,0.497,10.122,92.744,7.195
0.398,0.738,0.492,13.78,120.793,5.061
0.449,0.745,0.466,18.049,148.598,4.329
0.497,0.752,0.447,20.915,174.695,5.305
0.472,0.772,0.425,22.195,193.171,5.793
0.411,0.787,0.408,20.366,198.842,5.732
0.338,0.813,0.365,14.878,192.134,7.134
0.249,0.858,0.268,6.646,175.183,7.317
0.174,0.904,0.191,-1.098,147.683,3.415
0.131,0.915,0.176,-6.951,111.22,-1.707
0.132,0.903,0.232,-10.305,74.451,-2.927
0.14,0.882,0.352,-11.463,45.183,-1.037
0.121,0.866,0.462,-10.061,27.012,0.183
0.134,0.853,0.534,-7.012,22.134,0.793
0.19,0.836,0.567,-3.537,27.866,1.463
0.239,0.828,0.577,-0.305,36.341,1.524
0.26,0.826,0.56,2.5,39.512,0.61
0.272,0.817,0.523,3.232,39.817,0.0
0.254,0.815,0.491,2.378,37.561,-0.488
0.254,0.815,0.452,1.402,34.756,-1.28
0.26,0.808,0.422,0.244,31.159,-1.463
0.247,0.805,0.404,-1.22,21.341,-2.256
0.231,0.805,0.405,-3.415,5.671,-2.988
0.196,0.807,0.415,-5.366,-9.024,-2.866
0.144,0.822,0.418,-6.037,-16.646,-3.171
0.125,0.825,0.461,-3.476,-16.098,-4.39
0.16,0.809,0.522,0.854,-14.817,-5.671
0.209,0.802,0.528,4.512,-25.732,-7.317
0.212,0.809,0.501,5.244,-54.573,-8.659
0.13,0.829,0.465,-0.244,-96.341,-7.256
0.002,0.869,0.424,-9.695,-137.988,-4.573
-0.09,0.913,0.373,-18.354,-163.476,-3.171
-0.035,0.927,0.346,-22.256,-166.951,-4.939
0.19,0.903,0.333,-20.854,-148.72,-9.085
0.424,0.864,0.363,-16.22,-119.207,-12.744
0.582,0.821,0.486,-8.598,-94.329,-12.378
0.641,0.781,0.593,-0.915,-78.171,-8.78
0.536,0.757,0.6,2.134,-71.89,-4.878
0.301,0.778,0.548,-0.244,-81.037,-0.61
0.115,0.822,0.481,-5.732,-101.342,2.256
0.063,0.857,0.362,-12.744,-111.524,2.256
0.111,0.885,0.294,-15.244,-103.049,1.829
0.261,0.842,0.378,-12.012,-83.537,3.232
0.411,0.778,0.447,-7.317,-60.549,3.049
0.48,0.769,0.468,-3.415,-43.415,2.317
0.45,0.772,0.484,-2.012,-40.427,2.683
0.368,0.767,0.463,-3.293,-47.439,2.317
0.3,0.762,0.436,-4.878,-55.549,1.037
0.284,0.755,0.407,-5.854,-60.183,-0.427
0.296,0.757,0.378,-6.768,-60.793,-1.89
0.313,0.757,0.385,-5.915,-54.939,-2.073
0.347,0.752,0.434,-1.829,-39.512,-1.463
0.381,0.734,0.499,4.329,-18.537,-0.793
0.417,0.731,0.509,9.085,2.195,-0.549
0.425,0.768,0.5,11.524,19.573,0.488
0.376,0.798,0.474,11.402,33.171,1.768
0.345,0.82,0.424,10.366,47.317,1.707
0.368,0.835,0.374,9.695,61.707,1.585
0.404,0.832,0.34,8.963,72.378,2.195
0.389,0.813,0.352,8.11,75.732,2.561
0.325,0.805,0.384,7.622,76.402,3.537
0.287,0.808,0.43,8.902,81.098,6.707
0.3,0.796,0.471,10.0,88.841,9.207
0.329,0.794,0.471,10.366,96.829,9.024
0.35,0.813,0.452,10.61,106.463,8.293
0.353,0.809,0.437,10.793,121.159,8.293
0.361,0.794,0.437,13.537,141.342,7.683
0.391,0.775,0.451,16.524,161.646,7.012
0.398,0.773,0.45,17.683,178.049,7.561
0.361,0.81,0.385,18.841,195.427,9.207
0.332,0.817,0.404,19.39,204.024,10.122
0.256,0.794,0.442,17.012,187.073,8.049
0.158,0.816,0.384,8.598,147.073,2.927
0.072,0.887,0.253,0.0,105.976,-0.061
0.085,0.911,0.232,-3.72,85.305,1.402
0.127,0.89,0.354,-3.049,76.829,1.829
0.154,0.851,0.476,0.244,71.951,0.854
0.217,0.808,0.559,3.537,70.488,0.549
0.267,0.799,0.589,6.22,69.695,0.122
