acc_x_axis_g,acc_y_axis_g,acc_z_axis_g,gyr_x_axis_deg/s,gyr_y_axis_deg/s,gyr_z_axis_deg/s
0.307,0.653,0.534,-0.732,-150.488,5.61
0.355,0.637,0.482,-2.683,-158.415,4.817
0.467,0.644,0.47,-3.11,-139.207,9.329
0.605,0.678,0.472,-0.854,-107.378,12.866
0.637,0.721,0.48,3.354,-82.866,14.39
0.531,0.737,0.457,5.427,-78.171,15.122
0.354,0.758,0.415,2.012,-92.134,14.878
0.202,0.82,0.377,-4.207,-110.061,13.598
0.141,0.86,0.377,-7.195,-116.829,11.646
0.267,0.835,0.393,-5.488,-105.366,9.39
0.49,0.783,0.398,-2.439,-83.232,6.22
0.662,0.752,0.4,-0.305,-64.939,2.256
0.69,0.728,0.384,1.037,-58.354,-1.524
0.65,0.712,0.37,1.159,-63.598,-3.537
0.579,0.72,0.351,-2.5,-72.805,-3.963
0.493,0.75,0.319,-7.073,-79.207,-5.366
0.467,0.774,0.303,-9.451,-77.073,-7.988
0.483,0.764,0.32,-10.061,-62.866,-8.659
0.514,0.746,0.356,-9.268,-40.976,-9.146
0.554,0.74,0.388,-6.402,-17.317,-10.61
0.583,0.733,0.397,-4.817,9.817,-8.963
0.541,0.718,0.393,-4.451,40.732,-4.024
0.48,0.704,0.386,-2.988,73.78,-0.61
0.479,0.701,0.397,-0.671,110.976,0.976
0.523,0.709,0.419,2.927,151.829,0.976
0.588,0.726,0.411,7.5,190.671,-0.183
0.613,0.741,0.405,11.28,221.037,0.61
0.537,0.765,0.39,13.841,236.951,2.5
0.422,0.8,0.358,14.512,238.293,2.927
0.33,0.838,0.357,14.512,228.903,3.78
0.277,0.857,0.378,14.634,214.39,5.122
0.283,0.854,0.409,13.537,198.72,7.012
0.299,0.856,0.417,11.037,177.317,6.829
0.305,0.865,0.379,6.951,149.634,4.268
0.299,0.853,0.338,2.744,124.024,1.768
0.276,0.839,0.361,-0.488,102.622,0.732
0.283,0.819,0.409,-1.646,90.549,1.22
0.297,0.794,0.454,-1.707,86.89,1.28
0.294,0.777,0.487,-0.732,83.476,-0.122
0.304,0.77,0.496,-0.488,77.561,-1.89
