acc_x_axis_g,acc_y_axis_g,acc_z_axis_g,gyr_x_axis_deg/s,gyr_y_axis_deg/s,gyr_z_axis_deg/s
0.053,0.785,0.475,-14.451,-93.963,21.463
0.014,0.775,0.481,-13.78,-115.183,19.451
0.047,0.759,0.492,-11.829,-123.537,17.378
0.136,0.742,0.521,-8.171,-118.415,15.427
0.252,0.737,0.55,-4.146,-104.207,14.878
0.328,0.75,0.584,-0.61,-86.585,18.415
0.34,0.757,0.611,3.11,-71.768,22.561
0.291,0.75,0.617,5.427,-60.732,22.256
0.235,0.764,0.597,4.634,-51.646,19.939
0.239,0.785,0.555,3.415,-44.329,18.049
0.277,0.795,0.491,2.988,-39.329,15.671
0.285,0.802,0.443,1.585,-38.537,13.049
0.263,0.809,0.415,-1.098,-44.268,10.976
0.26,0.807,0.398,-3.354,-53.963,10.61
0.268,0.796,0.386,-5.061,-61.646,12.5
0.255,0.795,0.378,-6.768,-64.512,14.634
0.235,0.799,0.396,-7.683,-63.049,14.756
0.252,0.808,0.422,-7.744,-56.829,12.744
0.298,0.809,0.454,-6.707,-45.305,10.976
0.34,0.793,0.482,-4.756,-31.707,9.146
0.38,0.771,0.503,-1.463,-22.256,6.829
0.41,0.766,0.491,0.183,-18.598,5.976
0.374,0.775,0.465,-0.549,-21.341,6.646
0.303,0.797,0.451,-1.524,-32.317,7.134
0.261,0.804,0.432,-3.293,-48.354,7.073
0.216,0.799,0.401,-5.915,-63.72,8.232
0.178,0.804,0.392,-6.89,-77.439,10.061
0.197,0.802,0.412,-7.012,-88.232,11.22
0.25,0.791,0.41,-8.72,-92.622,10.854
0.306,0.791,0.383,-9.634,-91.585,8.293
0.391,0.792,0.37,-8.354,-87.622,4.634
0.445,0.776,0.354,-9.268,-78.232,2.988
0.421,0.776,0.358,-10.183,-63.963,3.11
0.423,0.779,0.4,-8.598,-48.598,1.037
0.468,0.769,0.43,-7.622,-31.159,-2.378
0.482,0.767,0.427,-8.11,-12.012,-4.451
0.473,0.784,0.401,-7.927,5.427,-4.695
0.463,0.785,0.387,-7.378,20.915,-4.146
0.435,0.774,0.411,-6.463,36.707,-3.049
0.408,0.76,0.441,-3.232,57.439,-0.61
0.393,0.75,0.474,1.159,82.073,0.976
0.399,0.751,0.492,5.427,108.842,1.89
0.414,0.767,0.508,9.085,135.671,2.988
0.424,0.786,0.501,10.366,154.451,4.146
0.428,0.812,0.435,5.915,162.012,4.817
0.396,0.854,0.302,-1.341,165.854,4.329
0.363,0.88,0.226,-6.22,170.732,3.232
0.381,0.874,0.251,-6.585,178.354,2.378
0.426,0.859,0.352,-4.085,188.659,0.732
0.432,0.831,0.439,0.854,197.744,-0.976
0.379,0.804,0.526,7.5,199.39,-1.037
