acc_x_axis_g,acc_y_axis_g,acc_z_axis_g,gyr_x_axis_deg/s,gyr_y_axis_deg/s,gyr_z_axis_deg/s
0.101,0.732,0.685,5.061,83.232,20.488
-0.007,0.772,0.672,2.378,76.524,22.561
-0.058,0.796,0.657,-3.11,59.939,21.89
-0.075,0.804,0.639,-10.671,35.61,19.756
-0.06,0.798,0.625,-19.39,8.963,15.244
-0.003,0.778,0.641,-27.256,-14.024,9.329
0.067,0.75,0.644,-33.232,-33.171,3.354
0.106,0.723,0.637,-37.744,-49.207,-1.89
0.127,0.699,0.647,-40.915,-60.976,-5.61
0.112,0.67,0.666,-42.012,-68.72,-7.988
0.108,0.667,0.674,-42.683,-74.878,-10.366
0.151,0.672,0.675,-42.805,-77.378,-11.341
0.205,0.648,0.692,-40.366,-74.085,-10.183
0.268,0.621,0.748,-36.463,-65.61,-8.659
0.333,0.592,0.81,-32.134,-53.232,-5.793
0.358,0.564,0.85,-26.463,-39.634,-2.195
0.347,0.553,0.864,-20.0,-27.5,0.244
0.321,0.556,0.858,-14.146,-19.695,0.61
0.294,0.554,0.845,-8.902,-18.232,0.122
0.259,0.547,0.822,-4.329,-21.829,-0.366
0.225,0.545,0.803,-0.183,-28.415,-1.707
0.194,0.561,0.78,2.256,-36.28,-4.085
0.171,0.578,0.766,2.988,-42.439,-4.878
0.17,0.567,0.737,4.207,-44.878,-2.683
0.209,0.554,0.717,6.28,-40.244,2.134
0.274,0.543,0.705,8.72,-28.415,8.902
0.331,0.537,0.704,10.549,-8.72,16.585
0.404,0.526,0.72,12.012,15.61,22.622
0.393,0.526,0.72,12.439,35.793,26.341
0.317,0.546,0.697,11.89,44.085,26.768
0.252,0.563,0.678,10.976,42.805,24.207
0.229,0.574,0.678,9.878,38.171,19.512
0.25,0.583,0.703,9.634,37.378,15.549
0.309,0.578,0.73,11.951,42.927,13.171
0.337,0.59,0.742,16.22,51.098,11.829
0.329,0.609,0.744,19.878,58.293,12.134
0.312,0.623,0.752,22.561,66.098,13.293
0.304,0.634,0.76,26.28,73.171,13.049
0.283,0.636,0.756,29.695,78.232,13.72
0.238,0.645,0.758,32.988,81.585,14.573
0.204,0.646,0.779,36.28,86.098,14.146
0.19,0.659,0.792,38.11,89.085,14.146
0.132,0.697,0.763,36.463,85.549,15.671
0.112,0.727,0.71,33.354,80.732,15.549
0.133,0.75,0.67,28.963,76.951,13.11
0.138,0.762,0.641,23.354,73.963,12.317
0.141,0.757,0.627,18.354,75.976,12.5
0.167,0.743,0.612,15.549,85.305,13.049
0.187,0.732,0.604,13.902,98.902,14.939
0.173,0.722,0.606,12.195,112.5,16.463
0.156,0.715,0.609,10.732,121.89,17.195
0.125,0.721,0.613,7.805,125.488,16.28
0.08,0.712,0.625,4.573,124.024,13.78
0.034,0.707,0.636,1.89,117.866,10.732
-0.007,0.705,0.629,0.0,106.037,8.293
-0.063,0.703,0.643,-2.683,89.939,5.793
-0.107,0.7,0.663,-5.732,70.427,2.805
-0.131,0.703,0.667,-8.78,45.671,-0.122
-0.171,0.711,0.651,-11.89,16.402,-2.561
-0.187,0.71,0.665,-16.037,-13.963,-5.854
-0.208,0.714,0.678,-20.488,-49.939,-10.427
-0.257,0.717,0.672,-25.366,-94.695,-15.122
-0.288,0.723,0.667,-31.402,-143.963,-20.915
-0.272,0.717,0.674,-36.951,-187.439,-27.866
-0.154,0.699,0.699,-40.854,-213.293,-33.78
0.034,0.669,0.717,-41.89,-218.72,-35.549
0.174,0.653,0.736,-40.793,-209.451,-34.39
0.24,0.653,0.745,-39.146,-192.134,-31.585
0.289,0.664,0.76,-37.805,-171.646,-28.171
0.295,0.676,0.756,-36.646,-154.024,-25.427
0.267,0.678,0.738,-36.341,-143.78,-24.817
0.229,0.676,0.729,-37.317,-143.11,-27.5
0.174,0.672,0.738,-38.476,-151.524,-32.073
0.186,0.656,0.758,-40.0,-158.598,-35.793
0.278,0.616,0.776,-38.841,-156.22,-38.232
0.339,0.583,0.779,-34.146,-145.488,-39.146
0.418,0.562,0.79,-28.659,-128.232,-36.646
0.465,0.54,0.806,-22.622,-107.5,-31.402
0.437,0.527,0.792,-15.793,-89.085,-25.488
0.407,0.522,0.766,-8.963,-73.902,-19.939
0.395,0.514,0.739,-2.195,-60.427,-14.512
0.383,0.516,0.72,3.841,-48.476,-9.512
0.391,0.521,0.708,8.11,-38.232,-4.329
0.377,0.532,0.689,10.671,-29.817,-0.305
0.343,0.55,0.664,11.524,-23.537,1.951
0.346,0.557,0.657,11.341,-17.622,3.476
0.38,0.548,0.641,10.976,-9.878,6.768
0.398,0.551,0.642,10.305,1.402,10.366
0.408,0.554,0.661,10.854,14.146,12.683
0.394,0.564,0.652,11.768,26.585,14.817
0.395,0.589,0.659,12.683,39.756,15.793
0.418,0.594,0.672,14.512,54.512,16.707
0.436,0.593,0.685,16.585,69.878,18.11
0.424,0.602,0.695,18.659,83.232,18.537
0.411,0.609,0.713,20.549,94.634,17.988
0.39,0.61,0.72,22.439,100.427,16.341
0.337,0.624,0.717,23.841,98.232,14.817
0.299,0.634,0.736,25.183,97.317,13.78
0.321,0.63,0.772,27.683,103.537,11.829
0.35,0.626,0.796,30.427,114.878,11.646
0.352,0.636,0.789,33.232,126.098,13.171
0.305,0.652,0.776,35.976,134.146,13.902
0.265,0.659,0.775,37.683,138.415,14.512
0.217,0.662,0.768,38.537,137.439,14.878
