acc_x_axis_g,acc_y_axis_g,acc_z_axis_g,gyr_x_axis_deg/s,gyr_y_axis_deg/s,gyr_z_axis_deg/s
-0.095,0.474,0.596,19.695,-82.988,55.427
-0.073,0.49,0.573,18.963,-75.305,49.329
-0.06,0.499,0.553,16.585,-76.646,45.488
-0.053,0.52,0.546,12.439,-87.805,42.683
-0.11,0.543,0.582,9.634,-100.366,40.183
-0.182,0.559,0.633,8.598,-113.11,37.317
-0.149,0.568,0.667,6.402,-129.085,33.049
-0.098,0.575,0.701,3.232,-141.951,29.634
-0.063,0.576,0.747,1.098,-146.707,26.951
0.016,0.575,0.767,-1.402,-145.366,23.415
0.095,0.572,0.779,-4.024,-137.988,19.817
0.113,0.567,0.776,-3.902,-125.793,16.768
0.113,0.558,0.754,-0.793,-114.756,12.744
0.119,0.559,0.729,3.78,-106.829,4.817
0.237,0.568,0.74,7.134,-98.902,-7.134
0.391,0.57,0.74,7.988,-89.024,-13.293
0.391,0.577,0.741,7.073,-82.012,-10.488
0.27,0.597,0.743,6.585,-80.671,-6.524
0.158,0.62,0.748,6.402,-83.11,-7.134
0.091,0.628,0.769,5.61,-88.537,-10.488
0.056,0.629,0.764,3.537,-99.878,-12.5
0.012,0.613,0.755,2.744,-113.78,-12.134
-0.019,0.587,0.743,4.085,-126.768,-11.28
0.023,0.561,0.725,6.463,-135.854,-11.341
0.105,0.549,0.719,8.171,-137.683,-10.061
0.205,0.548,0.714,9.329,-133.659,-6.768
0.274,0.559,0.725,10.366,-124.329,-3.415
0.318,0.572,0.733,11.646,-110.61,-2.5
0.341,0.579,0.746,12.866,-93.476,-2.683
0.351,0.586,0.765,13.659,-75.488,-2.683
0.324,0.601,0.799,14.085,-57.683,-2.195
0.286,0.605,0.826,14.939,-41.585,-1.341
0.262,0.596,0.836,17.317,-27.134,0.671
0.261,0.593,0.838,19.268,-14.634,4.085
0.262,0.607,0.825,19.756,-5.793,6.951
0.272,0.627,0.769,17.988,-2.622,7.805
0.261,0.638,0.713,13.72,-3.476,7.683
0.254,0.624,0.665,10.915,-5.0,7.805
0.276,0.618,0.639,8.659,-7.622,6.89
0.273,0.628,0.637,7.073,-8.902,5.366
0.257,0.634,0.647,6.402,-9.634,4.878
0.267,0.632,0.67,7.012,-10.183,5.0
0.274,0.627,0.697,8.11,-6.89,5.244
0.288,0.628,0.719,8.293,-1.341,5.671
0.285,0.628,0.732,9.573,7.561,5.915
0.316,0.626,0.729,10.366,18.11,5.732
0.359,0.623,0.726,10.549,32.378,5.854
0.381,0.624,0.742,10.671,51.402,6.646
0.432,0.628,0.742,9.756,69.329,6.646
0.423,0.624,0.731,9.207,84.024,6.585
0.345,0.613,0.711,10.122,93.476,8.415
