acc_x_axis_g,acc_y_axis_g,acc_z_axis_g,gyr_x_axis_deg/s,gyr_y_axis_deg/s,gyr_z_axis_deg/s
0.396,0.666,0.557,1.037,-87.317,-5.61
0.391,0.656,0.564,3.415,-70.671,-1.22
0.393,0.645,0.625,4.817,-45.244,0.0
0.423,0.639,0.691,5.976,-22.317,-0.488
0.404,0.624,0.738,7.317,-6.22,1.89
0.36,0.621,0.79,8.232,8.232,6.037
0.361,0.626,0.821,8.902,24.329,8.171
0.349,0.625,0.833,10.976,41.89,9.634
0.36,0.633,0.816,12.744,55.793,12.256
0.343,0.643,0.792,14.634,66.463,15.366
0.335,0.648,0.774,17.256,76.768,19.085
0.346,0.666,0.772,17.805,89.268,23.232
0.37,0.687,0.748,16.463,99.634,23.902
0.35,0.698,0.7,16.159,105.488,23.476
0.308,0.708,0.642,14.939,108.11,22.866
0.319,0.701,0.61,15.183,112.195,20.244
0.393,0.684,0.625,15.61,120.0,17.134
0.445,0.672,0.633,16.037,129.146,14.024
0.391,0.666,0.637,17.683,139.024,13.232
0.313,0.684,0.659,18.049,150.244,12.927
0.295,0.677,0.685,19.756,163.293,11.585
0.285,0.673,0.718,21.28,178.415,13.11
0.21,0.699,0.746,21.22,195.671,13.78
0.141,0.709,0.729,19.085,208.171,11.341
0.017,0.684,0.7,19.695,214.268,8.476
-0.103,0.66,0.691,23.598,208.902,11.585
-0.161,0.708,0.664,22.988,194.207,13.232
-0.226,0.704,0.633,23.841,178.171,15.427
-0.219,0.701,0.613,24.817,162.134,18.78
-0.157,0.708,0.572,25.122,148.598,19.878
-0.118,0.724,0.542,24.024,139.329,17.866
-0.125,0.733,0.504,21.341,130.488,14.756
-0.189,0.752,0.472,17.378,113.476,11.341
-0.276,0.782,0.428,10.793,84.146,7.256
-0.385,0.792,0.401,4.817,51.829,2.073
-0.426,0.783,0.411,-0.427,22.866,-0.793
-0.43,0.786,0.417,-7.012,-2.927,1.28
-0.471,0.787,0.419,-12.256,-29.451,3.415
-0.528,0.773,0.4,-15.244,-65.0,0.976
-0.59,0.743,0.408,-15.61,-102.622,-2.866
-0.591,0.753,0.452,-17.866,-142.5,-5.122
-0.565,0.782,0.46,-22.134,-185.122,-3.476
-0.486,0.765,0.479,-23.72,-220.61,-2.256
-0.202,0.699,0.556,-20.183,-230.549,-4.451
0.257,0.661,0.675,-18.841,-204.817,-8.476
0.662,0.633,0.785,-19.39,-151.402,-12.073
0.861,0.61,0.86,-18.537,-87.988,-17.012
0.866,0.598,0.875,-19.024,-31.89,-20.61
0.593,0.587,0.835,-17.805,6.098,-15.976
0.191,0.607,0.761,-13.537,16.037,-6.951
-0.15,0.672,0.69,-9.939,2.378,-1.524
-0.354,0.722,0.701,-6.707,-24.756,-3.232
-0.329,0.716,0.718,-3.293,-59.207,-11.037
-0.227,0.686,0.711,-1.585,-90.671,-16.22
-0.121,0.66,0.714,-0.61,-115.671,-16.707
-0.041,0.659,0.697,0.732,-132.378,-12.744
-0.077,0.698,0.676,0.976,-142.317,-4.634
-0.015,0.737,0.671,0.427,-150.366,-7.317
0.243,0.709,0.693,1.768,-146.402,-17.378
0.408,0.664,0.709,0.732,-129.695,-19.573
0.363,0.663,0.688,-2.073,-113.902,-14.451
0.24,0.686,0.657,-3.902,-107.866,-11.951
0.181,0.701,0.638,-5.305,-110.183,-13.415
0.163,0.693,0.633,-6.22,-116.037,-14.451
0.161,0.676,0.633,-6.037,-125.915,-14.939
0.172,0.67,0.626,-6.402,-138.049,-15.976
0.198,0.678,0.625,-6.707,-149.207,-16.89
0.237,0.673,0.616,-5.915,-159.329,-16.951
0.301,0.664,0.601,-5.732,-168.537,-16.585
0.338,0.67,0.604,-7.134,-173.354,-15.549
0.376,0.681,0.616,-9.329,-173.78,-15.305
0.407,0.692,0.636,-9.817,-166.829,-15.915
0.444,0.689,0.622,-9.939,-162.744,-17.256
0.44,0.688,0.563,-6.89,-164.451,-19.329
0.386,0.687,0.543,-5.122,-166.463,-17.988
0.42,0.697,0.545,-5.793,-167.073,-17.866
0.503,0.693,0.552,-3.72,-161.89,-17.317
0.574,0.675,0.571,1.341,-148.537,-12.927
0.628,0.675,0.568,5.488,-129.634,-8.72
0.64,0.687,0.57,8.415,-110.305,-7.195
0.601,0.696,0.564,11.22,-94.207,-6.341
0.545,0.691,0.575,12.439,-81.768,-3.049
0.507,0.684,0.59,14.329,-70.549,0.305
0.515,0.667,0.559,16.89,-62.439,1.951
0.517,0.68,0.537,17.317,-55.732,1.585
0.489,0.696,0.535,16.28,-46.951,1.707
0.503,0.7,0.533,12.683,-37.805,1.646
0.509,0.708,0.562,9.451,-26.829,1.646
0.499,0.702,0.561,7.805,-15.732,3.963
