acc_x_axis_g,acc_y_axis_g,acc_z_axis_g,gyr_x_axis_deg/s,gyr_y_axis_deg/s,gyr_z_axis_deg/s
0.619,0.733,0.283,-12.927,-82.805,108.598
0.657,0.707,0.303,-14.939,-71.524,103.049
0.68,0.681,0.313,-15.854,-64.085,97.622
0.679,0.667,0.312,-16.768,-61.098,92.317
0.681,0.657,0.315,-17.988,-60.732,86.646
0.691,0.639,0.32,-19.024,-60.549,80.671
0.714,0.62,0.335,-19.451,-59.268,74.451
0.736,0.606,0.353,-18.72,-56.28,68.232
0.757,0.602,0.355,-17.622,-53.354,61.524
0.753,0.6,0.354,-16.89,-50.915,54.878
0.721,0.587,0.342,-16.28,-49.146,48.963
0.693,0.574,0.327,-15.183,-48.537,43.78
0.675,0.575,0.333,-14.939,-48.841,39.756
0.66,0.571,0.341,-14.756,-50.122,36.463
0.659,0.559,0.349,-13.049,-52.317,33.841
0.651,0.546,0.357,-10.305,-53.78,31.707
0.636,0.537,0.355,-7.683,-55.244,30.305
0.646,0.545,0.357,-5.0,-56.22,28.902
0.671,0.555,0.357,-2.561,-55.732,27.073
0.699,0.561,0.347,0.183,-53.354,24.451
0.714,0.572,0.329,1.89,-48.598,21.646
0.714,0.585,0.312,2.012,-42.5,19.207
0.715,0.588,0.285,2.561,-37.073,16.646
0.71,0.57,0.287,2.744,-31.341,13.049
0.697,0.54,0.281,2.317,-26.28,8.78
0.719,0.519,0.275,2.622,-21.037,5.793
0.751,0.521,0.29,1.585,-11.22,3.598
0.775,0.533,0.288,0.183,2.256,1.402
0.815,0.547,0.251,1.585,15.976,-0.915
0.811,0.548,0.253,2.378,30.122,-3.11
0.744,0.538,0.287,2.927,40.61,-4.573
0.667,0.521,0.329,5.122,45.549,-5.0
0.602,0.524,0.358,8.354,45.549,-5.61
0.544,0.54,0.372,10.976,40.854,-6.037
0.504,0.567,0.358,12.073,32.805,-5.488
0.497,0.603,0.317,11.463,23.11,-6.585
0.562,0.619,0.277,9.573,18.598,-9.939
0.68,0.634,0.268,6.402,23.902,-13.415
0.796,0.635,0.277,4.085,38.78,-15.915
0.865,0.633,0.303,3.049,59.207,-14.634
0.875,0.657,0.351,1.159,80.61,-12.256
0.866,0.67,0.372,0.61,99.146,-10.732
0.851,0.686,0.384,-0.488,114.878,-9.268
0.821,0.707,0.398,-1.707,128.902,-8.72
0.784,0.718,0.39,-1.585,140.61,-8.354
0.746,0.737,0.389,-2.5,148.232,-7.805
0.708,0.742,0.387,-3.293,151.768,-7.927
0.66,0.727,0.377,-2.683,151.768,-7.988
0.6,0.72,0.376,-2.5,146.463,-7.988
0.539,0.719,0.389,-2.805,135.122,-7.317
0.482,0.719,0.402,-2.012,118.78,-5.854
0.428,0.732,0.429,-1.341,99.146,-3.963
0.386,0.762,0.457,-2.561,77.5,-1.707
0.356,0.775,0.467,-4.39,53.963,0.793
0.35,0.768,0.47,-6.707,30.671,3.293
0.351,0.747,0.475,-8.841,8.354,6.098
0.36,0.726,0.474,-10.122,-14.756,8.11
0.365,0.704,0.48,-12.195,-42.073,9.268
0.34,0.666,0.491,-11.463,-75.732,10.854
0.279,0.65,0.479,-9.939,-115.549,12.683
0.252,0.647,0.446,-7.744,-155.122,13.171
0.294,0.652,0.429,-7.073,-186.707,13.293
0.404,0.656,0.418,-7.744,-202.561,14.329
0.547,0.651,0.407,-6.524,-202.622,16.646
0.681,0.661,0.423,-5.854,-189.024,18.476
0.789,0.672,0.436,-5.122,-164.634,19.207
0.865,0.669,0.431,-4.268,-134.878,19.085
0.88,0.643,0.419,-1.951,-106.951,18.171
0.84,0.618,0.401,0.793,-86.22,15.793
0.793,0.599,0.381,3.354,-74.146,14.085
0.75,0.579,0.391,5.122,-68.293,12.622
0.735,0.555,0.406,6.646,-66.159,10.61
0.757,0.548,0.395,8.232,-66.037,8.659
0.793,0.567,0.384,8.72,-63.78,6.89
0.813,0.594,0.372,9.451,-57.317,4.39
0.787,0.603,0.347,11.22,-50.671,2.256
0.706,0.615,0.313,11.646,-46.098,2.622
0.63,0.616,0.269,11.098,-45.854,5.305
0.618,0.619,0.236,9.329,-47.988,7.744
0.652,0.634,0.217,6.037,-48.232,9.085
0.702,0.639,0.224,3.415,-43.171,8.841
0.755,0.632,0.23,0.976,-33.659,7.927
0.798,0.622,0.245,-0.061,-22.683,7.5
0.809,0.618,0.25,-0.549,-12.317,7.317
0.795,0.615,0.256,-0.488,-4.695,6.463
0.793,0.611,0.258,-0.488,0.549,5.122
0.794,0.597,0.25,-0.488,5.122,3.171
0.787,0.57,0.258,-0.244,8.171,1.585
0.778,0.543,0.27,0.244,8.415,0.061
0.778,0.527,0.263,0.0,8.11,-1.951
0.79,0.526,0.269,-2.744,10.915,-3.598
0.86,0.536,0.263,-6.463,20.061,-5.0
0.945,0.551,0.223,-5.488,34.878,-7.012
0.934,0.558,0.216,-4.878,50.0,-9.756
0.841,0.547,0.226,-5.488,57.134,-11.829
0.747,0.544,0.249,-5.427,53.72,-14.024
0.676,0.551,0.264,-5.0,43.537,-17.5
0.638,0.572,0.292,-5.549,33.537,-19.329
0.645,0.594,0.296,-5.732,26.22,-19.634
0.662,0.607,0.272,-4.024,21.463,-19.634
0.659,0.625,0.269,-3.963,20.305,-17.866
0.67,0.634,0.282,-4.756,22.134,-15.0
0.694,0.625,0.288,-5.183,27.622,-11.341
0.694,0.627,0.312,-5.61,36.89,-7.622
0.685,0.648,0.325,-6.585,46.768,-5.244
0.7,0.68,0.305,-9.146,57.073,-6.524
0.761,0.695,0.271,-11.159,69.878,-10.183
0.804,0.695,0.249,-12.317,82.927,-12.134
0.777,0.686,0.259,-13.963,92.012,-12.012
0.709,0.671,0.289,-14.939,92.683,-12.805
0.647,0.648,0.303,-13.232,84.329,-14.268
0.572,0.638,0.357,-12.012,69.451,-14.512
0.513,0.638,0.395,-10.61,50.244,-14.695
0.519,0.638,0.413,-7.622,31.159,-15.061
0.561,0.639,0.415,-3.293,15.244,-14.817
0.594,0.635,0.458,-0.366,4.39,-14.329
0.593,0.62,0.496,2.805,-2.744,-13.72
0.603,0.619,0.492,5.549,-7.683,-13.11
0.636,0.635,0.454,7.927,-9.146,-12.561
0.66,0.649,0.435,8.232,-5.671,-12.012
0.671,0.651,0.423,8.171,-0.671,-12.073
0.673,0.649,0.399,8.049,4.268,-12.012
0.659,0.647,0.391,6.829,8.963,-11.463
0.65,0.655,0.379,7.561,13.11,-11.585
0.641,0.656,0.384,7.134,17.927,-11.341
0.624,0.665,0.417,7.378,22.866,-11.22
0.623,0.664,0.433,9.817,26.646,-11.22
0.609,0.667,0.469,11.585,30.122,-10.549
0.574,0.69,0.505,12.256,31.829,-10.854
0.546,0.713,0.503,13.232,27.683,-11.707
0.508,0.735,0.461,12.561,16.098,-11.341
0.458,0.734,0.409,12.195,-2.805,-10.183
0.421,0.733,0.366,12.317,-28.902,-8.537
0.382,0.73,0.358,10.061,-61.22,-6.89
0.323,0.736,0.371,4.085,-94.024,-6.341
0.337,0.733,0.352,-0.488,-119.146,-6.402
0.455,0.722,0.323,-3.171,-129.268,-3.841
0.59,0.71,0.317,-5.61,-126.037,0.061
0.67,0.702,0.321,-8.171,-115.061,3.049
0.697,0.704,0.326,-11.28,-101.402,5.854
0.712,0.714,0.342,-13.78,-89.024,7.622
0.694,0.707,0.322,-15.0,-82.866,10.244
0.649,0.696,0.315,-15.0,-82.744,13.598
0.594,0.682,0.314,-14.512,-85.305,15.976
0.564,0.662,0.311,-12.683,-88.598,19.756
0.588,0.667,0.32,-11.098,-89.085,24.939
0.645,0.688,0.333,-9.146,-83.354,27.134
0.747,0.711,0.335,-6.28,-69.451,25.671
0.848,0.721,0.348,-2.073,-48.232,22.439
0.88,0.711,0.341,2.622,-24.695,18.476
0.869,0.676,0.349,7.195,-4.817,14.329
0.887,0.625,0.4,12.561,12.195,10.732
0.837,0.59,0.407,18.841,23.476,9.268
0.658,0.582,0.37,22.378,19.817,10.122
0.53,0.554,0.372,24.878,3.963,14.756
0.502,0.544,0.372,27.5,-13.78,19.756
