acc_x_axis_g,acc_y_axis_g,acc_z_axis_g,gyr_x_axis_deg/s,gyr_y_axis_deg/s,gyr_z_axis_deg/s
0.695,0.539,0.226,58.049,-36.951,22.073
0.708,0.547,0.174,39.024,-49.207,9.024
0.809,0.469,0.158,19.268,-51.951,4.634
0.797,0.489,0.06,7.5,-58.293,-3.537
0.822,0.502,0.077,3.293,-46.098,-9.268
0.964,0.484,0.199,3.354,-4.939,-5.732
1.043,0.453,0.294,9.39,41.463,0.061
0.968,0.421,0.368,20.122,72.561,2.5
0.774,0.454,0.47,27.256,90.549,3.415
0.645,0.507,0.576,32.012,107.866,2.317
0.639,0.532,0.664,35.183,135.793,0.549
0.688,0.538,0.703,35.183,164.451,-4.817
0.642,0.552,0.697,29.329,178.232,-9.268
0.564,0.549,0.643,26.646,167.378,-10.427
0.538,0.471,0.575,35.915,135.549,-6.402
0.51,0.384,0.531,48.659,103.476,2.805
0.514,0.404,0.562,52.378,80.427,8.415
0.518,0.463,0.585,54.573,67.805,9.695
0.512,0.474,0.6,51.585,66.402,9.207
0.597,0.514,0.549,49.329,74.329,10.0
0.665,0.546,0.53,50.854,92.439,13.72
0.628,0.63,0.502,51.341,109.451,12.5
0.581,0.701,0.426,53.232,121.951,12.561
0.583,0.747,0.33,59.207,142.5,16.768
0.638,0.804,0.327,58.354,179.817,17.683
0.688,0.876,0.322,49.024,211.768,9.634
0.607,0.908,0.327,34.39,221.037,4.329
0.458,0.874,0.376,22.683,205.488,1.768
0.353,0.784,0.49,15.244,175.061,4.512
0.264,0.727,0.652,10.671,140.61,8.415
0.154,0.693,0.798,4.878,94.939,9.634
-0.004,0.683,0.897,-6.585,22.5,4.756
-0.166,0.692,0.942,-27.012,-73.476,-6.159
-0.172,0.728,0.909,-58.232,-187.683,-15.793
-0.135,0.682,0.77,-82.5,-303.293,-19.512
-0.084,0.646,0.566,-97.561,-401.707,-24.085
0.047,0.677,0.348,-102.744,-459.329,-27.439
0.249,0.654,0.187,-96.585,-475.061,-24.329
0.439,0.59,0.162,-89.451,-463.659,-21.89
0.604,0.592,0.22,-82.988,-434.207,-28.354
0.785,0.555,0.265,-76.402,-388.415,-31.707
0.963,0.508,0.308,-69.695,-325.732,-33.963
1.127,0.426,0.422,-58.902,-250.061,-39.146
1.138,0.413,0.57,-53.841,-175.793,-35.549
1.04,0.421,0.63,-46.037,-123.537,-28.72
0.956,0.396,0.634,-33.476,-88.659,-21.524
0.916,0.397,0.641,-19.024,-58.354,-16.89
0.924,0.398,0.625,-3.537,-23.354,-10.732
0.968,0.398,0.542,14.634,14.146,-3.354
0.978,0.376,0.385,39.817,57.317,9.329
1.066,0.373,0.308,60.671,114.024,25.915
1.112,0.43,0.273,71.707,174.268,31.89
1.058,0.479,0.253,71.707,227.012,33.049
1.032,0.544,0.193,60.427,258.841,28.293
