acc_x_axis_g,acc_y_axis_g,acc_z_axis_g,gyr_x_axis_deg/s,gyr_y_axis_deg/s,gyr_z_axis_deg/s
0.541,-0.758,0.495,-11.768,-92.073,-28.537
0.611,-0.785,0.48,-16.28,-60.915,-22.134
0.64,-0.791,0.484,-16.707,-34.634,-16.585
0.693,-0.772,0.444,-17.683,-17.622,-13.049
0.644,-0.746,0.409,-16.524,-8.171,-10.732
0.498,-0.752,0.374,-8.72,-2.134,-6.585
0.491,-0.784,0.373,-1.037,9.451,-1.524
0.643,-0.784,0.37,2.073,44.573,3.841
0.828,-0.771,0.362,2.622,105.305,10.366
0.91,-0.76,0.31,-3.415,174.085,17.439
0.812,-0.712,0.257,-9.085,222.805,21.098
0.552,-0.695,0.24,-6.829,235.671,18.902
0.262,-0.764,0.206,3.963,217.927,17.927
0.11,-0.878,0.201,14.39,184.207,20.244
0.076,-0.951,0.273,19.451,161.768,20.244
0.099,-0.929,0.367,16.646,157.378,11.524
0.104,-0.88,0.446,12.378,156.89,3.171
0.08,-0.908,0.498,11.585,147.622,0.0
0.072,-0.967,0.494,10.915,119.756,-1.159
0.101,-0.992,0.44,12.5,76.159,-3.232
0.108,-0.983,0.386,14.268,19.329,-7.195
0.104,-0.966,0.337,22.134,-43.293,-9.268
0.171,-0.953,0.366,28.537,-92.744,-6.646
0.329,-0.894,0.459,26.341,-119.878,-5.244
0.401,-0.82,0.559,19.939,-128.963,-8.293
0.359,-0.805,0.6,14.939,-131.951,-10.183
0.278,-0.808,0.581,12.073,-135.366,-10.488
0.213,-0.819,0.544,10.732,-133.293,-11.463
0.188,-0.85,0.526,8.354,-123.354,-12.317
0.187,-0.881,0.503,3.963,-111.402,-14.207
0.175,-0.895,0.453,-1.463,-106.159,-16.585
0.134,-0.92,0.336,1.159,-117.439,-16.341
0.137,-0.939,0.314,5.854,-133.842,-12.866
0.276,-0.874,0.362,6.768,-136.159,-13.598
0.391,-0.778,0.441,3.415,-123.293,-20.122
0.421,-0.738,0.51,-3.537,-108.659,-24.878
0.365,-0.753,0.514,-8.841,-110.854,-26.89
0.212,-0.806,0.418,-7.622,-130.427,-29.695
0.174,-0.85,0.349,-6.768,-152.744,-27.561
0.277,-0.862,0.328,-6.951,-164.512,-22.317
0.361,-0.862,0.345,-9.878,-152.439,-19.573
0.492,-0.803,0.366,-14.146,-128.11,-15.915
0.624,-0.752,0.318,-17.561,-101.951,-11.22
0.729,-0.702,0.339,-20.671,-70.427,-6.402
0.845,-0.649,0.333,-20.793,-33.171,1.707
0.832,-0.615,0.272,-16.585,-4.573,7.317
0.723,-0.616,0.155,-12.5,-0.366,7.561
0.487,-0.697,0.063,-5.244,-12.073,4.756
0.278,-0.804,0.043,6.22,-22.683,4.451
0.469,-0.805,0.024,11.524,-30.427,7.073
0.725,-0.728,0.078,14.146,-21.829,10.183
0.691,-0.674,0.179,15.671,1.951,11.159
0.616,-0.659,0.268,15.244,17.256,9.695
0.55,-0.719,0.372,16.341,26.707,11.768
0.516,-0.804,0.438,17.5,39.024,18.841
0.625,-0.845,0.443,14.573,62.988,23.841
0.646,-0.819,0.47,8.11,104.817,21.098
0.532,-0.806,0.463,5.854,148.72,19.756
0.519,-0.854,0.417,2.866,176.403,21.585
0.452,-0.869,0.367,1.22,179.512,22.561
0.333,-0.875,0.272,4.878,150.427,24.329
0.264,-0.903,0.222,10.183,103.476,21.707
0.188,-0.918,0.275,16.341,65.671,15.183
0.243,-0.938,0.339,18.476,48.78,14.939
0.399,-0.898,0.362,16.098,53.293,13.659
0.459,-0.859,0.409,14.817,78.537,10.305
0.5,-0.88,0.44,12.683,115.427,9.878
0.521,-0.892,0.44,10.732,153.842,9.085
0.524,-0.891,0.414,8.171,178.476,8.902
0.446,-0.888,0.399,7.805,178.659,6.951
0.28,-0.896,0.421,11.707,160.671,5.671
0.21,-0.893,0.444,14.146,135.915,8.476
0.19,-0.855,0.47,14.695,112.317,7.195
0.157,-0.843,0.492,16.098,90.976,5.0
0.185,-0.847,0.517,15.183,72.683,4.756
0.214,-0.841,0.542,13.293,61.768,2.683
0.234,-0.835,0.573,10.366,53.902,-0.427
0.222,-0.822,0.601,7.927,41.829,-3.598
0.178,-0.819,0.587,6.341,21.646,-4.146
0.192,-0.837,0.561,3.72,-5.976,-3.354
0.169,-0.816,0.532,1.951,-40.427,-5.793
0.093,-0.793,0.51,3.11,-84.268,-8.841
0.031,-0.794,0.511,5.854,-132.317,-9.695
0.048,-0.771,0.529,7.195,-175.305,-13.841
0.099,-0.744,0.516,10.488,-208.354,-12.988
0.202,-0.764,0.531,10.976,-219.695,-6.89
0.368,-0.781,0.6,6.159,-193.659,-0.793
0.552,-0.762,0.682,-5.549,-143.537,3.11
0.622,-0.747,0.681,-17.317,-94.634,-0.305
0.479,-0.763,0.652,-25.122,-68.171,-8.049
0.235,-0.817,0.558,-23.293,-72.5,-11.037
0.099,-0.882,0.454,-19.085,-97.195,-8.354
0.106,-0.865,0.413,-15.0,-123.171,-8.049
0.214,-0.825,0.387,-10.915,-137.5,-7.134
0.362,-0.807,0.373,-9.817,-136.342,-8.78
0.435,-0.801,0.343,-10.793,-125.122,-10.915
0.425,-0.804,0.322,-10.549,-114.085,-12.378
0.414,-0.818,0.321,-10.915,-104.573,-13.11
0.407,-0.806,0.336,-12.073,-97.561,-15.732
0.354,-0.795,0.35,-11.829,-95.732,-16.951
0.357,-0.783,0.375,-13.049,-97.012,-16.646
0.393,-0.768,0.355,-13.476,-95.732,-16.159
0.417,-0.771,0.334,-13.78,-93.78,-15.183
0.456,-0.742,0.353,-14.024,-88.415,-15.183
0.506,-0.709,0.317,-13.72,-80.122,-15.976
0.478,-0.724,0.248,-10.061,-76.28,-18.415
0.462,-0.774,0.189,-5.854,-73.476,-16.524
0.562,-0.799,0.151,-2.561,-65.549,-13.537
0.665,-0.8,0.144,3.049,-40.488,-8.598
0.877,-0.761,0.103,4.512,-9.634,-4.024
0.935,-0.716,0.078,5.976,8.659,-2.256
0.696,-0.746,0.092,12.683,4.207,1.89
0.612,-0.802,0.075,19.695,-19.451,7.927
0.682,-0.812,0.1,24.146,-37.317,11.524
0.667,-0.788,0.164,28.78,-40.183,13.476
0.693,-0.761,0.188,31.402,-37.744,15.244
0.7,-0.757,0.238,32.744,-29.817,17.866
0.646,-0.767,0.274,32.622,-19.085,17.988
0.54,-0.805,0.31,32.317,-2.195,17.683
0.495,-0.832,0.373,29.085,24.878,17.134
0.543,-0.817,0.396,21.585,56.951,15.183
0.486,-0.816,0.402,15.732,89.878,13.659
0.417,-0.819,0.371,11.341,112.927,13.841
0.433,-0.815,0.371,7.866,126.707,14.756
0.427,-0.789,0.403,4.329,124.39,14.634
0.403,-0.736,0.389,1.159,91.829,12.683
0.294,-0.734,0.402,3.72,39.573,13.841
0.192,-0.802,0.394,8.476,-19.451,13.659
0.256,-0.865,0.395,9.634,-60.061,9.878
0.409,-0.859,0.372,6.951,-72.622,7.561
0.525,-0.82,0.345,2.927,-66.037,4.39
0.494,-0.794,0.349,1.646,-47.439,-0.183
0.479,-0.804,0.361,-0.976,-27.927,-1.646
0.53,-0.787,0.358,-5.488,-13.598,-4.146
0.437,-0.768,0.348,-5.976,-5.854,-4.268
0.364,-0.766,0.338,-5.488,-2.988,-3.354
0.422,-0.751,0.347,-6.341,7.561,-4.268
0.495,-0.712,0.353,-6.707,25.305,-3.476
0.55,-0.693,0.294,-6.829,36.524,-0.976
0.556,-0.718,0.252,-6.646,42.073,-0.793
0.529,-0.773,0.251,-6.768,45.305,-1.341
