acc_x_axis_g,acc_y_axis_g,acc_z_axis_g,gyr_x_axis_deg/s,gyr_y_axis_deg/s,gyr_z_axis_deg/s
0.812,-0.819,0.191,5.244,1.341,5.061
0.872,-0.793,0.188,5.915,56.951,12.744
0.886,-0.787,0.224,4.268,111.159,17.5
0.72,-0.804,0.308,2.805,154.756,13.963
0.438,-0.853,0.31,4.207,182.073,8.963
0.302,-0.919,0.301,5.732,195.854,9.634
0.255,-0.936,0.359,2.073,202.195,5.305
0.13,-0.912,0.435,0.915,196.098,-4.878
0.031,-0.931,0.458,3.598,169.085,-4.39
0.114,-0.953,0.414,6.341,124.939,1.28
0.279,-0.965,0.333,9.817,84.878,0.793
0.404,-0.948,0.328,10.427,59.756,-2.256
0.458,-0.867,0.381,7.317,40.671,-6.159
0.375,-0.803,0.454,5.793,13.841,-11.646
0.226,-0.805,0.535,4.756,-21.768,-15.427
0.113,-0.801,0.588,3.598,-71.037,-19.329
0.029,-0.808,0.599,4.329,-122.866,-22.988
0.015,-0.822,0.576,3.598,-163.72,-23.415
0.043,-0.835,0.543,2.683,-188.598,-20.549
0.141,-0.839,0.521,-0.915,-191.89,-15.854
0.289,-0.814,0.506,-5.488,-166.524,-12.683
0.42,-0.779,0.53,-13.78,-116.402,-14.939
0.438,-0.744,0.491,-20.976,-69.512,-25.549
0.293,-0.764,0.359,-19.024,-56.159,-29.39
0.215,-0.852,0.276,-13.902,-72.134,-22.988
0.294,-0.862,0.263,-10.549,-89.878,-20.671
0.396,-0.8,0.292,-8.902,-98.72,-20.671
0.508,-0.752,0.331,-9.878,-97.073,-17.256
0.583,-0.748,0.37,-13.415,-79.817,-14.695
0.604,-0.765,0.398,-18.598,-54.695,-15.183
0.545,-0.792,0.396,-21.951,-33.659,-15.122
0.468,-0.823,0.366,-21.829,-23.963,-12.439
0.426,-0.816,0.335,-18.963,-25.366,-11.037
0.419,-0.792,0.314,-14.817,-23.902,-8.659
0.511,-0.767,0.251,-13.354,-16.037,-3.902
0.588,-0.743,0.21,-9.573,-2.866,-0.976
0.645,-0.727,0.161,-6.951,8.72,0.183
0.743,-0.681,0.063,-7.622,3.72,0.549
0.634,-0.694,0.049,-1.402,-5.488,5.488
0.488,-0.771,0.039,10.366,-14.146,10.244
0.564,-0.845,-0.018,20.549,-17.988,13.354
0.706,-0.888,-0.03,27.073,-5.061,20.549
0.786,-0.856,0.0,29.573,17.683,26.707
