acc_x_axis_g,acc_y_axis_g,acc_z_axis_g,gyr_x_axis_deg/s,gyr_y_axis_deg/s,gyr_z_axis_deg/s
0.392,-0.796,0.301,-13.537,-36.098,-25.061
0.407,-0.803,0.347,-13.049,-38.293,-24.451
0.431,-0.811,0.329,-14.207,-34.329,-26.341
0.436,-0.812,0.323,-14.878,-28.415,-28.293
0.421,-0.842,0.345,-13.415,-18.354,-23.841
0.549,-0.866,0.289,-12.988,-7.012,-13.537
0.697,-0.862,0.281,-9.878,22.012,-3.476
0.859,-0.88,0.283,-10.427,80.61,5.671
1.047,-0.863,0.202,-16.89,149.085,10.793
1.019,-0.844,0.172,-20.183,212.805,12.927
0.809,-0.857,0.139,-20.061,249.39,12.866
0.547,-0.851,0.128,-17.256,239.512,9.085
0.245,-0.854,0.144,-7.561,193.842,3.476
0.016,-0.917,0.186,4.634,132.012,3.415
-0.02,-0.945,0.261,11.463,71.524,1.098
0.024,-0.903,0.348,12.5,18.963,-11.098
0.005,-0.854,0.388,12.439,-41.341,-23.963
-0.054,-0.866,0.356,19.329,-110.305,-25.305
0.011,-0.879,0.414,21.829,-170.366,-24.146
0.152,-0.823,0.47,21.463,-207.805,-27.378
0.3,-0.788,0.512,19.146,-219.878,-25.854
0.456,-0.794,0.509,13.598,-205.488,-22.256
0.611,-0.829,0.467,6.28,-164.146,-16.585
0.753,-0.866,0.457,-4.329,-102.805,-9.207
0.801,-0.817,0.502,-15.732,-39.207,-10.793
0.662,-0.74,0.479,-21.463,-4.756,-18.476
0.349,-0.743,0.35,-17.561,-21.707,-21.951
0.121,-0.825,0.249,-10.183,-66.341,-17.012
0.138,-0.862,0.272,-5.61,-100.671,-14.207
0.285,-0.797,0.365,-6.463,-110.061,-15.732
0.431,-0.742,0.448,-12.134,-98.293,-16.037
0.482,-0.736,0.471,-18.11,-80.488,-16.829
0.458,-0.763,0.404,-21.098,-67.195,-16.524
0.47,-0.8,0.292,-21.341,-56.463,-10.732
0.522,-0.784,0.226,-19.695,-44.207,-7.073
0.543,-0.725,0.168,-15.183,-34.512,-8.232
0.526,-0.686,0.137,-7.073,-29.634,-8.171
0.555,-0.681,0.153,0.976,-20.061,-4.939
0.662,-0.691,0.135,4.39,-7.134,-6.646
0.676,-0.727,0.129,7.073,4.756,-9.39
0.644,-0.766,0.104,11.28,7.744,-3.963
0.654,-0.779,0.05,17.561,6.037,4.756
0.67,-0.786,0.009,24.939,10.793,13.963
0.757,-0.781,-0.023,28.354,18.415,19.695
0.749,-0.802,0.031,33.476,39.268,20.854
0.682,-0.858,0.138,36.646,78.537,24.817
0.744,-0.846,0.202,31.037,115.671,31.098
0.681,-0.827,0.334,24.329,161.037,31.341
0.527,-0.848,0.455,16.951,220.122,26.402
0.494,-0.86,0.432,6.768,264.878,27.195
0.377,-0.875,0.407,0.61,285.488,26.951
0.232,-0.957,0.332,-0.854,283.293,21.89
0.195,-1.025,0.174,-0.732,261.707,17.195
0.108,-1.026,0.177,1.646,238.842,13.537
0.088,-1.0,0.222,4.573,205.183,11.951
0.218,-0.98,0.244,9.329,169.39,14.39
0.4,-0.969,0.316,10.61,150.671,16.28
0.473,-0.927,0.403,12.073,151.524,10.671
0.435,-0.886,0.487,10.427,164.817,4.756
0.376,-0.849,0.529,7.012,173.598,1.89
0.264,-0.845,0.529,5.671,167.012,-0.488
0.186,-0.853,0.494,1.098,129.085,-2.744
0.058,-0.856,0.443,2.927,55.854,-5.0
-0.154,-0.88,0.426,10.488,-42.561,-12.439
-0.324,-0.881,0.446,21.524,-134.207,-21.585
-0.293,-0.829,0.501,24.268,-200.976,-29.085
-0.132,-0.765,0.52,28.72,-244.512,-28.537
0.141,-0.77,0.503,29.207,-259.939,-15.793
0.541,-0.759,0.575,19.146,-229.329,-5.0
0.81,-0.707,0.706,0.732,-163.537,-4.268
0.756,-0.681,0.75,-16.829,-105.854,-10.183
0.441,-0.737,0.69,-25.305,-94.39,-15.244
0.117,-0.843,0.556,-22.134,-130.976,-14.207
-0.03,-0.908,0.427,-13.476,-184.939,-8.598
0.072,-0.902,0.392,-10.549,-220.183,-7.134
0.248,-0.833,0.397,-10.427,-227.012,-9.512
0.367,-0.777,0.409,-12.134,-212.683,-11.768
0.421,-0.767,0.411,-15.61,-180.61,-13.841
0.398,-0.782,0.34,-17.256,-146.342,-17.195
0.353,-0.809,0.247,-15.854,-123.537,-19.817
0.356,-0.816,0.23,-15.183,-108.293,-23.476
0.36,-0.766,0.278,-15.549,-95.671,-28.293
0.403,-0.71,0.377,-18.049,-84.573,-26.768
0.513,-0.667,0.413,-21.707,-75.976,-18.354
0.558,-0.655,0.353,-23.171,-77.317,-13.11
0.545,-0.697,0.265,-21.89,-82.561,-7.134
0.612,-0.741,0.172,-18.293,-77.622,-0.244
0.744,-0.773,0.103,-13.171,-52.866,4.024
0.912,-0.773,0.045,-7.927,-15.305,7.561
1.044,-0.765,-0.059,-3.659,21.402,10.915
1.001,-0.789,-0.182,4.39,46.463,16.768
0.86,-0.84,-0.239,15.549,59.39,25.366
0.816,-0.836,-0.206,26.098,71.768,30.488
0.757,-0.851,-0.077,34.695,103.902,35.061
0.699,-0.89,0.122,35.0,157.988,35.671
0.698,-0.874,0.284,29.329,224.39,33.659
0.674,-0.852,0.425,17.134,296.646,30.305
0.597,-0.821,0.499,5.915,358.11,29.817
0.453,-0.824,0.473,-0.732,385.549,24.817
0.242,-0.863,0.367,-2.561,374.512,10.976
0.007,-0.968,0.271,1.829,332.073,12.256
0.012,-1.017,0.191,4.939,266.829,27.317
0.197,-0.954,0.288,4.146,217.561,29.39
0.308,-0.874,0.442,2.683,187.073,19.756
0.318,-0.844,0.488,1.646,153.781,16.829
0.31,-0.846,0.517,0.61,120.0,13.537
0.238,-0.836,0.515,0.488,92.927,3.72
0.099,-0.847,0.5,0.915,64.756,-2.378
-0.052,-0.867,0.465,2.317,27.866,-6.28
-0.142,-0.908,0.424,5.305,-19.39,-11.402
-0.148,-0.929,0.373,6.22,-75.488,-18.171
-0.229,-0.884,0.362,10.976,-137.744,-25.183
-0.312,-0.84,0.389,21.341,-203.659,-23.78
-0.102,-0.839,0.403,25.854,-250.366,-15.61
0.245,-0.792,0.436,26.098,-254.451,-7.317
0.57,-0.724,0.542,20.793,-220.915,0.549
0.851,-0.685,0.709,3.476,-158.354,-1.951
0.874,-0.655,0.801,-15.488,-99.695,-14.146
0.515,-0.702,0.686,-20.854,-95.671,-15.305
0.144,-0.86,0.491,-16.341,-138.72,-2.927
0.076,-0.961,0.408,-11.707,-174.878,0.183
0.146,-0.925,0.395,-9.512,-188.659,-10.488
0.162,-0.881,0.348,-4.451,-190.671,-16.524
0.27,-0.888,0.281,-0.793,-178.537,-12.744
0.46,-0.878,0.25,-0.793,-147.561,-11.646
0.617,-0.827,0.243,-3.354,-107.256,-14.939
0.669,-0.765,0.283,-7.195,-67.988,-16.524
0.587,-0.696,0.381,-10.366,-44.146,-20.0
0.401,-0.673,0.396,-9.085,-43.415,-23.659
0.323,-0.738,0.354,-7.256,-63.11,-19.39
0.35,-0.793,0.333,-5.244,-83.232,-16.402
0.389,-0.814,0.286,-1.463,-90.793,-19.695
0.503,-0.829,0.257,0.732,-79.756,-18.232
0.675,-0.806,0.256,0.732,-51.768,-15.061
0.804,-0.746,0.247,1.524,-21.341,-15.671
0.834,-0.733,0.211,5.061,-1.951,-14.329
0.824,-0.757,0.174,6.829,-0.793,-12.5
0.734,-0.774,0.167,9.024,-15.183,-11.159
0.603,-0.793,0.136,13.78,-37.683,-4.207
0.547,-0.809,0.132,19.39,-59.085,1.646
0.559,-0.821,0.162,23.11,-68.78,2.378
0.597,-0.812,0.181,25.854,-67.012,2.012
0.593,-0.792,0.183,28.72,-60.61,1.951
0.536,-0.774,0.208,30.488,-53.72,1.707
