acc_x_axis_g,acc_y_axis_g,acc_z_axis_g,gyr_x_axis_deg/s,gyr_y_axis_deg/s,gyr_z_axis_deg/s
0.597,-0.768,0.438,-14.512,168.903,-11.829
0.617,-0.7,0.381,-13.171,217.988,-9.451
0.612,-0.677,0.329,-6.098,232.866,-0.732
0.575,-0.674,0.337,-0.976,217.256,1.402
0.382,-0.707,0.381,9.512,178.049,-2.561
0.269,-0.843,0.435,17.195,128.781,-0.183
0.279,-0.916,0.571,15.915,98.78,-4.512
0.277,-0.91,0.659,15.793,95.366,-12.805
0.309,-0.917,0.69,11.524,104.085,-14.878
0.367,-0.903,0.691,10.183,120.183,-13.902
0.448,-0.913,0.65,9.878,140.854,-10.122
0.561,-0.917,0.565,7.378,162.988,-4.085
0.554,-0.856,0.446,6.341,190.732,-0.793
0.314,-0.705,0.371,-0.122,199.939,-6.829
-0.257,-0.56,0.206,1.951,139.878,-13.72
-0.807,-0.734,0.14,25.427,-8.537,-12.744
-0.703,-1.06,0.158,48.415,-148.293,-11.646
-0.222,-1.09,0.378,55.305,-209.146,-11.28
0.229,-0.895,0.632,37.683,-225.488,-19.878
0.376,-0.702,0.741,20.0,-229.329,-31.28
0.145,-0.729,0.677,15.244,-250.244,-30.305
0.184,-0.883,0.602,7.561,-263.598,-23.902
0.312,-0.916,0.602,-2.256,-242.683,-21.341
0.356,-0.83,0.549,-14.451,-220.793,-21.037
0.257,-0.756,0.442,-14.573,-220.793,-19.939
0.104,-0.77,0.37,-11.951,-237.195,-18.171
0.068,-0.749,0.298,-11.524,-258.354,-23.293
0.033,-0.734,0.245,-7.988,-277.622,-29.695
0.017,-0.766,0.185,-7.805,-296.22,-33.171
0.101,-0.759,0.124,-8.415,-308.842,-34.817
0.241,-0.742,0.107,-9.573,-304.756,-30.793
0.533,-0.698,0.129,-15.122,-274.939,-24.573
0.834,-0.623,0.177,-24.512,-219.451,-20.976
0.868,-0.633,0.144,-30.122,-161.159,-17.134
0.653,-0.686,0.065,-28.049,-125.671,-15.854
0.464,-0.728,-0.038,-22.866,-112.988,-17.561
0.566,-0.768,-0.117,-15.915,-100.549,-11.585
0.839,-0.808,-0.153,-11.707,-65.732,-0.305
0.926,-0.76,-0.189,-8.293,-20.183,6.098
0.866,-0.721,-0.206,-1.829,11.768,6.646
0.861,-0.743,-0.259,5.427,21.646,9.939
0.755,-0.82,-0.302,15.427,18.354,14.512
0.658,-0.849,-0.24,25.122,10.244,15.366
0.749,-0.854,-0.187,32.317,4.146,21.341
0.806,-0.868,-0.12,37.439,4.756,24.573
0.824,-0.873,-0.063,40.0,12.744,25.061
0.77,-0.894,0.013,42.317,27.561,26.524
0.718,-0.902,0.112,41.524,55.671,26.463
0.809,-0.901,0.188,34.878,101.402,26.037
0.736,-0.909,0.235,28.659,158.598,23.659
0.598,-0.905,0.312,22.927,221.463,19.268
0.626,-0.886,0.325,14.695,290.183,17.683
0.679,-0.861,0.298,6.829,359.634,18.598
0.64,-0.832,0.265,2.134,414.207,18.171
0.536,-0.805,0.239,3.659,438.902,18.171
0.429,-0.798,0.286,5.061,439.878,15.488
0.326,-0.803,0.278,7.5,427.622,10.549
0.213,-0.815,0.29,9.634,399.817,7.378
0.111,-0.822,0.346,15.549,360.61,4.146
0.108,-0.841,0.426,18.537,322.256,-1.28
0.181,-0.823,0.472,17.073,287.866,-8.171
0.228,-0.792,0.522,15.305,244.695,-3.72
0.266,-0.816,0.732,10.671,195.793,5.793
0.311,-0.854,0.859,2.988,173.11,0.244
0.278,-0.843,0.779,-3.293,165.976,-3.354
0.085,-0.793,0.636,-6.037,135.976,1.707
-0.164,-0.812,0.543,-3.232,73.537,-0.061
-0.284,-0.897,0.418,5.671,-6.402,-10.122
-0.332,-0.921,0.273,19.695,-102.439,-18.902
-0.405,-0.855,0.202,40.793,-201.585,-20.183
-0.216,-0.834,0.288,54.39,-263.963,-18.171
0.262,-0.795,0.513,53.11,-254.512,-14.451
0.71,-0.723,0.817,32.622,-198.842,-5.488
0.911,-0.636,0.985,1.28,-146.463,-5.915
0.602,-0.59,0.933,-16.768,-143.171,-17.622
0.063,-0.703,0.794,-16.646,-186.098,-18.841
-0.162,-0.837,0.687,-12.378,-232.195,-10.488
-0.044,-0.868,0.56,-6.524,-259.512,-5.305
0.172,-0.817,0.463,-7.317,-270.549,-7.256
0.227,-0.739,0.401,-5.732,-269.756,-11.159
0.239,-0.74,0.412,-6.098,-261.281,-11.707
0.296,-0.761,0.371,-8.78,-247.866,-13.841
0.314,-0.77,0.281,-9.207,-237.317,-18.598
0.291,-0.796,0.283,-9.085,-229.024,-20.915
0.343,-0.805,0.289,-12.683,-217.5,-21.402
0.35,-0.771,0.356,-17.622,-204.878,-24.268
0.318,-0.758,0.35,-21.524,-194.939,-18.659
0.377,-0.733,0.29,-24.512,-190.915,-10.366
0.497,-0.706,0.21,-25.244,-176.342,-6.463
0.654,-0.667,0.185,-27.073,-146.281,-4.329
0.719,-0.6,0.175,-27.073,-114.451,-0.976
0.728,-0.597,0.127,-24.512,-90.427,4.634
0.717,-0.696,0.05,-18.354,-66.402,7.134
0.759,-0.825,-0.061,-10.061,-39.878,10.122
0.953,-0.859,-0.177,-5.0,-13.963,15.488
1.048,-0.803,-0.23,-1.402,10.305,21.402
0.921,-0.766,-0.215,6.159,27.561,26.585
0.791,-0.77,-0.15,14.451,32.866,31.585
0.742,-0.784,-0.09,21.951,33.902,38.902
0.723,-0.816,-0.002,28.78,45.488,43.476
0.745,-0.873,0.08,31.22,78.659,42.988
0.777,-0.905,0.14,31.341,136.22,42.378
0.838,-0.919,0.26,24.451,228.354,40.427
0.822,-0.899,0.365,8.902,342.866,28.659
0.607,-0.854,0.439,-4.695,440.488,17.683
0.489,-0.839,0.479,-11.89,489.512,17.988
0.397,-0.85,0.443,-14.939,506.159,19.512
0.319,-0.872,0.402,-15.427,502.195,21.463
0.357,-0.869,0.382,-17.256,481.646,22.5
0.31,-0.824,0.322,-14.939,450.122,17.927
0.198,-0.821,0.275,-11.585,400.488,11.28
0.139,-0.854,0.238,-5.244,336.829,4.085
0.151,-0.899,0.266,2.134,278.415,0.366
0.166,-0.921,0.352,5.976,231.403,-0.793
0.1,-0.919,0.417,11.341,187.805,-3.293
-0.016,-0.91,0.468,15.366,135.793,-3.841
-0.125,-0.91,0.568,20.427,69.451,-1.22
-0.123,-0.929,0.684,21.28,2.5,-1.341
-0.058,-0.9,0.772,16.524,-48.049,-3.902
-0.014,-0.826,0.719,12.012,-92.622,-2.988
-0.075,-0.762,0.604,16.098,-139.634,-3.841
-0.116,-0.763,0.478,25.305,-188.842,-5.061
0.007,-0.771,0.387,33.476,-230.122,-5.671
0.185,-0.747,0.461,34.634,-255.427,-9.512
0.275,-0.728,0.592,33.049,-258.171,-16.159
0.291,-0.765,0.715,26.646,-246.768,-15.427
0.315,-0.803,0.789,15.549,-227.5,-12.317
0.315,-0.819,0.774,4.817,-205.0,-8.78
0.297,-0.817,0.692,0.732,-191.342,-4.756
0.305,-0.789,0.595,-2.195,-186.22,-6.524
0.253,-0.754,0.557,-2.5,-190.61,-14.695
0.14,-0.761,0.463,5.793,-214.39,-16.768
0.145,-0.813,0.399,11.89,-240.061,-11.768
0.3,-0.818,0.398,14.512,-243.415,-6.768
0.492,-0.782,0.398,12.256,-222.866,-7.805
0.566,-0.718,0.409,9.207,-190.61,-14.573
0.509,-0.712,0.379,8.659,-164.756,-19.329
0.456,-0.744,0.398,6.829,-147.805,-18.659
0.467,-0.762,0.375,6.037,-139.756,-16.22
0.479,-0.75,0.369,7.073,-139.146,-14.451
0.526,-0.728,0.378,6.524,-138.171,-11.524
0.526,-0.713,0.353,6.89,-135.488,-12.378
0.505,-0.735,0.291,8.049,-132.5,-13.354
0.501,-0.762,0.278,7.683,-123.171,-15.488
0.481,-0.76,0.326,6.037,-104.878,-16.28
0.546,-0.751,0.314,2.866,-87.622,-11.098
0.634,-0.742,0.287,-1.951,-79.146,-9.39
0.585,-0.73,0.278,-4.024,-76.707,-10.61
0.505,-0.745,0.265,-2.622,-77.012,-8.72
0.56,-0.751,0.273,-4.146,-76.463,-6.402
0.602,-0.724,0.25,-7.134,-75.488,-7.378
0.487,-0.737,0.221,-6.159,-71.098,-8.78
0.491,-0.782,0.159,-4.695,-61.098,-6.341
0.624,-0.77,0.102,-5.122,-44.085,-2.5
0.666,-0.743,0.082,-3.476,-26.707,-0.549
0.663,-0.737,0.101,-2.5,-17.744,0.244
0.625,-0.739,0.137,-0.915,-19.451,1.646
0.611,-0.768,0.139,1.037,-28.598,4.756
0.608,-0.799,0.136,2.805,-35.732,5.183
0.571,-0.795,0.146,5.061,-38.78,2.927
0.567,-0.771,0.165,6.098,-36.768,-0.427
0.629,-0.781,0.16,5.976,-28.537,-0.183
0.702,-0.81,0.145,4.512,-17.622,3.11
0.708,-0.8,0.121,3.476,-8.841,4.146
0.623,-0.77,0.124,4.39,-7.988,2.805
0.55,-0.766,0.12,7.5,-16.22,1.951
0.541,-0.787,0.144,9.573,-24.695,2.378
0.572,-0.792,0.167,9.512,-28.415,2.012
0.574,-0.781,0.159,9.451,-30.122,-0.549
0.511,-0.757,0.172,10.305,-31.585,-5.183
0.526,-0.752,0.186,9.634,-29.573,-6.768
0.598,-0.762,0.197,7.073,-19.817,-6.341
0.613,-0.749,0.197,5.183,-3.72,-5.061
