acc_x_axis_g,acc_y_axis_g,acc_z_axis_g,gyr_x_axis_deg/s,gyr_y_axis_deg/s,gyr_z_axis_deg/s
0.43,-0.864,0.337,-3.415,-117.012,-20.549
0.387,-0.833,0.333,-2.195,-111.159,-23.78
0.342,-0.834,0.321,-0.793,-112.134,-22.5
0.312,-0.817,0.354,-0.549,-114.573,-23.902
0.33,-0.789,0.358,-0.183,-115.793,-20.976
0.441,-0.762,0.422,-4.634,-105.854,-13.963
0.53,-0.709,0.472,-10.366,-85.793,-15.061
0.492,-0.708,0.469,-14.39,-70.915,-18.049
0.35,-0.751,0.452,-16.768,-71.22,-21.707
0.234,-0.823,0.41,-17.317,-79.268,-20.732
0.282,-0.864,0.396,-21.098,-85.61,-19.39
0.342,-0.861,0.402,-24.573,-82.5,-23.537
0.432,-0.862,0.346,-28.11,-72.744,-20.488
0.525,-0.843,0.3,-31.524,-60.061,-18.902
0.522,-0.818,0.267,-33.354,-50.183,-20.366
0.498,-0.793,0.216,-32.866,-50.183,-19.695
0.502,-0.776,0.17,-30.854,-52.5,-16.402
0.533,-0.781,0.106,-27.134,-55.366,-13.049
0.494,-0.787,0.079,-21.768,-55.305,-13.354
0.455,-0.775,0.086,-15.915,-49.329,-12.439
0.585,-0.783,0.101,-10.061,-31.159,-9.085
0.818,-0.782,0.081,-5.366,2.805,-4.817
0.955,-0.76,0.021,-0.732,45.061,0.549
0.987,-0.738,-0.1,3.659,80.366,6.159
0.909,-0.753,-0.212,11.28,100.305,14.329
0.776,-0.804,-0.252,24.268,110.915,24.39
0.769,-0.823,-0.228,34.634,122.5,31.463
0.758,-0.803,-0.127,40.488,145.854,34.634
0.641,-0.801,0.034,43.232,175.854,34.268
0.521,-0.831,0.192,40.244,209.634,32.012
0.412,-0.856,0.31,33.537,248.232,31.159
0.385,-0.91,0.434,26.768,287.012,35.122
0.454,-0.948,0.454,15.549,321.89,33.293
0.393,-0.911,0.43,6.585,348.659,23.049
0.257,-0.931,0.389,4.451,352.256,22.134
0.237,-0.988,0.319,3.171,326.768,28.354
0.288,-0.98,0.262,4.39,294.695,28.902
0.322,-0.968,0.254,6.89,264.634,24.512
0.341,-0.953,0.27,7.622,230.305,19.756
0.309,-0.949,0.348,9.268,200.671,16.89
0.221,-0.938,0.457,10.366,177.927,9.817
0.095,-0.908,0.474,11.463,159.024,1.585
-0.051,-0.901,0.447,13.902,138.11,-0.854
-0.152,-0.913,0.418,13.72,102.195,-4.573
-0.203,-0.917,0.326,17.378,42.988,-12.5
-0.317,-0.923,0.36,23.841,-42.988,-16.768
-0.368,-0.921,0.433,27.866,-143.902,-17.195
-0.292,-0.883,0.466,27.073,-229.085,-22.988
-0.186,-0.805,0.466,31.829,-285.305,-23.476
0.059,-0.764,0.46,34.939,-307.073,-17.5
0.427,-0.724,0.497,31.22,-282.683,-16.524
0.682,-0.71,0.619,17.5,-230.976,-19.085
0.65,-0.747,0.697,1.89,-186.22,-19.512
0.349,-0.797,0.637,-5.732,-180.793,-21.28
0.028,-0.862,0.553,-3.902,-204.939,-20.244
-0.051,-0.894,0.487,-3.537,-227.439,-16.646
-0.014,-0.833,0.483,-4.817,-240.854,-20.732
0.03,-0.788,0.445,-5.61,-256.281,-29.085
0.096,-0.786,0.367,-5.244,-271.037,-28.354
0.202,-0.807,0.305,-4.634,-267.134,-25.854
0.359,-0.835,0.252,-7.866,-229.573,-26.402
0.583,-0.784,0.478,-24.024,-165.122,-23.841
0.699,-0.63,0.601,-38.841,-111.951,-23.049
0.524,-0.565,0.484,-42.317,-97.195,-20.854
0.375,-0.676,0.347,-41.585,-103.476,-5.61
0.461,-0.786,0.202,-37.134,-100.366,1.829
0.694,-0.823,0.046,-29.817,-78.902,1.524
0.927,-0.784,-0.112,-19.817,-50.122,8.11
1.111,-0.715,-0.229,-9.39,-20.427,16.28
1.196,-0.662,-0.303,1.524,11.22,14.939
1.018,-0.744,-0.273,14.268,48.537,17.5
0.91,-0.849,-0.221,24.207,78.841,26.524
0.918,-0.879,-0.141,30.183,112.866,37.012
0.875,-0.878,0.016,32.073,156.829,42.744
0.772,-0.875,0.146,31.707,204.695,43.841
0.661,-0.872,0.272,26.524,262.988,39.573
0.578,-0.875,0.376,16.585,332.256,35.061
0.45,-0.848,0.405,5.671,386.951,21.829
0.141,-0.849,0.397,0.366,404.512,4.268
-0.142,-0.941,0.401,-0.854,372.073,7.378
-0.215,-1.001,0.375,1.159,306.707,17.561
0.012,-0.993,0.399,0.305,250.671,23.841
0.313,-0.945,0.474,-4.878,227.134,20.549
0.447,-0.892,0.534,-10.915,229.268,12.5
0.438,-0.866,0.54,-14.695,235.854,6.28
0.323,-0.863,0.469,-14.146,225.732,2.256
0.144,-0.891,0.401,-9.878,188.354,2.378
-0.003,-0.921,0.367,-5.549,129.756,2.805
-0.147,-0.919,0.318,-1.707,58.11,-4.756
-0.33,-0.881,0.244,11.402,-29.939,-14.085
-0.436,-0.898,0.267,30.61,-132.927,-17.744
-0.307,-0.895,0.35,39.939,-220.122,-18.841
-0.003,-0.86,0.426,37.866,-264.39,-18.415
0.258,-0.807,0.464,30.305,-274.878,-14.146
0.418,-0.729,0.539,22.073,-262.927,-11.28
0.539,-0.706,0.67,9.024,-240.305,-14.634
0.526,-0.709,0.714,-0.122,-228.171,-18.659
0.364,-0.76,0.604,-1.646,-238.842,-15.732
0.25,-0.864,0.461,0.732,-252.134,-10.0
0.261,-0.939,0.391,2.012,-248.11,-7.256
0.335,-0.923,0.388,-1.159,-228.842,-11.707
0.306,-0.834,0.414,-2.5,-208.659,-19.817
0.233,-0.804,0.352,0.305,-198.293,-22.561
0.249,-0.837,0.331,1.341,-185.427,-22.073
0.293,-0.87,0.292,-0.305,-157.012,-25.549
0.415,-0.819,0.386,-8.171,-121.281,-26.28
0.539,-0.675,0.543,-18.598,-91.768,-25.0
0.461,-0.567,0.521,-21.829,-86.463,-23.537
0.317,-0.614,0.379,-21.341,-105.732,-13.963
0.341,-0.738,0.29,-22.561,-118.537,-7.561
0.461,-0.814,0.193,-21.89,-118.781,-8.598
0.585,-0.855,0.077,-17.317,-108.171,-3.354
0.792,-0.856,-0.015,-10.0,-78.171,6.402
1.047,-0.815,-0.124,-3.293,-37.195,8.659
1.128,-0.782,-0.187,1.89,4.695,11.22
1.052,-0.781,-0.249,9.451,31.585,18.293
0.869,-0.849,-0.254,19.695,45.366,25.732
0.799,-0.884,-0.209,29.634,53.415,34.268
0.776,-0.851,-0.113,37.927,73.293,39.024
0.725,-0.815,0.041,41.22,109.207,39.39
0.659,-0.798,0.261,36.829,162.744,35.061
0.648,-0.795,0.421,26.28,231.342,32.988
0.599,-0.818,0.547,11.159,308.72,30.244
0.461,-0.821,0.592,-4.207,377.317,22.805
0.342,-0.799,0.548,-13.476,418.537,14.817
0.225,-0.822,0.46,-15.732,432.866,15.427
0.231,-0.865,0.337,-14.939,421.951,24.939
0.324,-0.886,0.183,-11.341,402.134,29.268
0.328,-0.885,0.1,-6.402,382.134,21.402
0.187,-0.891,0.071,0.976,350.793,9.878
0.001,-0.895,0.141,7.988,300.427,3.232
-0.119,-0.891,0.305,14.695,232.439,3.963
-0.118,-0.894,0.467,20.61,152.683,4.512
-0.115,-0.897,0.572,21.89,66.89,0.183
-0.17,-0.874,0.653,25.183,-25.854,-6.28
-0.197,-0.86,0.707,29.756,-120.671,-12.134
-0.112,-0.849,0.754,28.293,-201.585,-12.317
0.007,-0.787,0.743,22.927,-257.256,-9.329
0.087,-0.747,0.695,23.659,-278.476,-5.061
0.235,-0.748,0.689,24.634,-261.707,-1.098
0.439,-0.738,0.681,17.622,-215.976,-0.549
0.504,-0.72,0.658,9.817,-166.098,-2.439
0.377,-0.732,0.59,8.354,-133.171,-3.537
0.249,-0.773,0.487,12.134,-122.012,-1.89
0.208,-0.819,0.424,16.646,-119.451,-0.61
0.248,-0.84,0.417,20.549,-111.89,-0.427
0.321,-0.803,0.436,20.732,-102.439,0.366
0.341,-0.743,0.463,20.305,-99.573,-0.793
0.321,-0.734,0.5,21.402,-99.512,-1.28
0.354,-0.743,0.524,19.878,-99.207,1.402
0.375,-0.747,0.516,18.72,-100.427,2.195
0.361,-0.763,0.473,19.268,-101.646,0.854
0.329,-0.781,0.45,18.476,-95.366,0.244
0.303,-0.793,0.478,15.549,-82.5,-1.22
0.254,-0.78,0.508,14.329,-75.793,-2.012
0.239,-0.775,0.458,14.634,-80.061,-0.427
0.282,-0.798,0.409,14.756,-85.244,-0.244
0.333,-0.83,0.393,14.268,-79.817,-0.366
0.412,-0.843,0.369,11.463,-67.073,1.646
0.459,-0.807,0.362,9.146,-54.451,2.744
0.46,-0.779,0.359,8.232,-49.451,3.963
0.451,-0.784,0.345,6.037,-56.28,2.683
0.356,-0.799,0.328,8.232,-75.732,-1.768
0.28,-0.851,0.321,12.256,-94.634,-2.012
0.34,-0.848,0.311,11.89,-102.073,-5.0
0.352,-0.807,0.302,12.073,-99.512,-13.354
