acc_x_axis_g,acc_y_axis_g,acc_z_axis_g,gyr_x_axis_deg/s,gyr_y_axis_deg/s,gyr_z_axis_deg/s
-0.167,0.631,0.779,-6.098,-2.561,-9.329
-0.113,0.647,0.807,-5.122,-2.439,-9.634
-0.053,0.655,0.834,-4.817,-2.683,-9.878
0.022,0.665,0.849,-6.585,-2.012,-9.207
0.11,0.677,0.851,-9.268,-1.463,-7.866
0.158,0.686,0.847,-11.037,-4.817,-5.427
0.175,0.699,0.86,-10.976,-11.768,-2.622
0.147,0.71,0.866,-9.085,-20.305,-1.463
0.088,0.713,0.873,-6.037,-32.195,-0.671
0.021,0.709,0.835,-3.049,-43.537,0.244
-0.029,0.685,0.745,-0.549,-50.427,1.707
-0.104,0.663,0.614,1.707,-51.829,4.39
-0.159,0.643,0.528,3.415,-44.634,7.622
-0.128,0.631,0.474,4.634,-25.732,10.732
-0.063,0.648,0.428,5.671,0.793,12.683
-0.015,0.678,0.404,6.098,25.366,13.476
0.073,0.696,0.413,5.488,42.866,14.207
0.212,0.742,0.472,4.451,51.28,13.354
0.287,0.78,0.529,4.207,46.463,9.817
0.306,0.777,0.551,6.829,23.049,5.244
0.324,0.733,0.569,13.659,-17.805,-0.061
0.37,0.684,0.61,22.927,-70.854,-4.085
0.417,0.62,0.697,32.622,-126.89,-5.793
0.366,0.596,0.793,41.463,-177.134,-5.61
0.25,0.611,0.842,47.378,-212.683,-8.293
0.216,0.626,0.896,46.707,-225.854,-13.537
0.153,0.651,0.887,37.073,-216.829,-14.878
0.065,0.67,0.845,23.841,-190.854,-11.951
-0.007,0.672,0.813,9.939,-152.378,-9.695
-0.087,0.694,0.789,-1.829,-104.817,-6.89
-0.066,0.684,0.775,-11.098,-47.683,0.244
0.027,0.663,0.746,-15.915,17.073,9.634
0.079,0.667,0.698,-18.415,76.951,18.232
0.145,0.671,0.67,-19.512,126.463,24.451
0.218,0.698,0.639,-18.659,163.963,29.268
0.267,0.708,0.578,-14.939,177.5,35.0
0.276,0.707,0.484,-6.28,165.183,40.671
0.227,0.716,0.433,2.195,134.573,43.049
0.166,0.741,0.431,7.012,93.902,38.293
0.175,0.786,0.449,10.244,52.195,29.451
0.325,0.758,0.497,12.5,15.183,18.963
0.39,0.694,0.521,14.573,-15.732,6.707
0.332,0.652,0.531,17.439,-42.317,-4.207
0.271,0.655,0.59,19.146,-63.232,-12.012
0.186,0.673,0.654,21.768,-79.329,-17.866
0.149,0.655,0.718,22.134,-93.476,-22.073
0.17,0.656,0.79,19.329,-109.634,-27.683
0.104,0.65,0.815,12.988,-125.427,-36.341
0.074,0.68,0.813,2.5,-130.183,-42.439
0.076,0.697,0.821,-5.671,-117.744,-38.11
0.051,0.704,0.838,-8.171,-91.159,-27.317
0.011,0.713,0.866,-9.878,-55.244,-15.122
-0.052,0.723,0.878,-14.756,-14.207,-5.793
-0.075,0.711,0.876,-20.732,21.28,-1.341
-0.097,0.694,0.816,-27.012,53.11,3.72
-0.087,0.698,0.774,-31.159,86.28,9.268
-0.036,0.714,0.74,-31.098,113.963,15.976
0.047,0.73,0.674,-28.049,131.098,23.537
0.15,0.737,0.608,-20.671,137.683,31.707
0.224,0.745,0.529,-9.268,137.012,38.841
0.261,0.747,0.464,2.073,128.963,40.732
0.268,0.755,0.439,9.512,109.878,35.061
0.296,0.784,0.443,14.39,79.634,25.549
0.336,0.742,0.429,17.927,41.341,14.329
0.441,0.681,0.465,22.012,0.915,2.134
0.517,0.661,0.525,27.195,-35.793,-7.744
0.383,0.664,0.556,31.524,-65.122,-13.354
0.254,0.646,0.606,32.988,-85.0,-16.159
0.218,0.632,0.71,29.695,-97.866,-17.012
0.226,0.629,0.843,24.39,-103.598,-18.11
0.169,0.654,0.913,16.098,-102.805,-21.159
0.035,0.691,0.898,5.488,-97.256,-24.146
-0.108,0.705,0.869,-3.78,-84.939,-21.28
-0.201,0.708,0.832,-10.305,-55.244,-12.195
-0.247,0.72,0.788,-16.098,-13.415,-3.11
-0.298,0.718,0.727,-23.171,22.683,1.951
-0.264,0.708,0.695,-29.878,48.598,4.939
-0.132,0.725,0.684,-33.78,72.805,9.634
0.052,0.747,0.631,-32.622,102.744,17.256
0.152,0.749,0.548,-27.317,130.366,24.817
0.201,0.74,0.476,-16.89,141.463,31.28
0.284,0.757,0.466,-2.195,134.329,34.573
0.381,0.798,0.47,7.195,114.817,31.646
0.436,0.772,0.452,10.854,83.659,23.659
0.55,0.702,0.448,14.451,41.707,12.073
0.632,0.649,0.494,21.159,-3.72,0.61
0.516,0.651,0.55,28.537,-42.5,-5.915
0.303,0.648,0.597,33.537,-71.585,-8.171
0.153,0.631,0.654,33.78,-94.268,-10.61
0.063,0.656,0.724,29.573,-108.598,-13.537
-0.026,0.666,0.792,21.098,-109.329,-17.073
-0.084,0.668,0.847,7.805,-100.915,-22.378
-0.11,0.674,0.871,-4.817,-86.768,-24.817
-0.12,0.696,0.869,-14.39,-60.122,-19.39
-0.158,0.708,0.859,-21.28,-21.28,-11.159
-0.246,0.709,0.815,-28.11,12.561,-6.28
-0.256,0.698,0.777,-34.146,32.012,-4.939
-0.186,0.666,0.75,-38.537,43.72,-4.939
-0.079,0.637,0.747,-40.854,52.866,-5.122
0.087,0.635,0.751,-38.354,62.866,-2.317
0.26,0.637,0.702,-30.976,76.951,4.939
0.402,0.624,0.623,-20.0,92.683,16.28
0.521,0.602,0.572,-8.476,104.634,26.646
0.61,0.591,0.563,-0.122,106.524,30.0
0.605,0.582,0.571,3.293,92.866,25.793
