acc_x_axis_g,acc_y_axis_g,acc_z_axis_g,gyr_x_axis_deg/s,gyr_y_axis_deg/s,gyr_z_axis_deg/s
0.8,0.477,0.461,-16.829,142.256,20.549
0.929,0.503,0.498,-23.537,194.268,9.085
0.959,0.501,0.501,-32.927,245.366,0.122
0.933,0.509,0.484,-43.232,289.268,-7.561
0.893,0.49,0.505,-50.732,325.0,-14.939
0.806,0.453,0.489,-52.439,342.805,-13.354
0.787,0.42,0.467,-53.902,331.829,-7.561
0.61,0.38,0.522,-53.963,288.232,-3.598
0.266,0.371,0.59,-49.512,215.976,-3.354
0.074,0.398,0.662,-48.902,129.756,-9.329
0.043,0.373,0.733,-46.402,45.0,-17.805
0.142,0.315,0.83,-37.927,-28.659,-25.183
0.236,0.262,0.912,-30.366,-103.476,-32.744
0.097,0.237,0.981,-23.11,-196.22,-43.598
-0.121,0.266,1.011,-19.634,-315.732,-60.915
-0.205,0.318,0.944,-17.927,-457.317,-82.012
-0.039,0.357,0.75,-8.598,-589.085,-97.256
0.348,0.345,0.567,6.524,-685.061,-104.634
0.637,0.342,0.402,23.537,-743.598,-106.585
0.825,0.367,0.313,37.866,-759.207,-109.512
1.037,0.422,0.231,45.305,-732.439,-109.695
1.213,0.504,0.172,41.159,-665.183,-102.195
1.303,0.584,0.165,30.488,-557.012,-89.939
1.345,0.673,0.144,15.366,-418.293,-72.744
1.333,0.742,0.151,2.134,-267.561,-54.146
1.154,0.763,0.156,-14.207,-132.134,-37.866
0.835,0.72,0.095,-28.11,-27.256,-22.012
0.546,0.638,-0.008,-35.915,38.415,-4.939
0.322,0.577,-0.081,-37.683,57.805,11.829
0.215,0.506,-0.029,-33.78,37.073,27.866
0.316,0.441,0.13,-26.341,-3.293,38.659
0.561,0.399,0.292,-17.256,-42.195,42.927
0.881,0.376,0.391,-6.28,-68.293,40.427
1.158,0.353,0.437,5.061,-79.329,30.671
1.344,0.358,0.46,13.476,-75.915,14.634
1.446,0.393,0.458,16.89,-64.085,-4.451
1.451,0.435,0.417,19.634,-49.085,-22.378
1.353,0.474,0.335,21.585,-34.512,-35.61
1.131,0.521,0.215,19.695,-23.476,-41.707
0.857,0.552,0.045,18.171,-15.671,-40.122
0.599,0.573,-0.153,16.28,-9.573,-29.756
0.386,0.615,-0.311,12.683,-5.244,-12.5
0.248,0.641,-0.403,9.207,1.463,8.598
0.233,0.661,-0.413,2.866,13.78,27.988
0.292,0.659,-0.376,-6.707,32.683,43.171
0.417,0.616,-0.316,-17.256,55.488,54.573
0.616,0.564,-0.212,-26.89,76.524,62.012
0.795,0.513,-0.077,-33.598,88.232,65.793
0.94,0.443,0.074,-34.268,84.817,65.366
1.078,0.378,0.235,-28.049,71.89,59.451
1.225,0.352,0.382,-20.549,53.963,48.354
1.298,0.337,0.491,-13.11,28.659,33.598
1.331,0.338,0.561,-5.488,-0.061,15.976
1.341,0.35,0.577,1.098,-26.829,-3.72
1.303,0.353,0.533,7.622,-50.61,-23.171
1.244,0.361,0.454,12.866,-70.122,-40.793
1.11,0.379,0.363,16.89,-80.671,-54.451
0.934,0.428,0.226,19.573,-75.366,-61.585
0.774,0.481,0.041,21.22,-49.451,-59.024
0.67,0.534,-0.145,21.037,-10.061,-46.402
0.502,0.587,-0.303,17.744,30.732,-25.61
0.323,0.623,-0.391,12.195,64.512,-2.439
0.184,0.637,-0.402,3.72,86.402,19.634
0.164,0.638,-0.356,-8.415,95.915,37.683
0.263,0.621,-0.279,-20.671,94.512,49.024
0.423,0.567,-0.213,-29.512,85.244,58.11
0.669,0.484,-0.106,-33.11,70.427,66.098
0.91,0.392,0.045,-29.817,50.732,68.598
1.048,0.319,0.199,-21.341,30.244,63.72
1.224,0.288,0.349,-15.0,9.085,51.341
1.334,0.279,0.459,-10.854,-17.073,32.012
1.424,0.269,0.522,-5.122,-42.683,9.268
1.523,0.296,0.526,-0.122,-60.854,-13.659
1.537,0.328,0.494,4.207,-71.707,-35.61
1.424,0.346,0.432,8.354,-80.366,-56.28
1.249,0.366,0.343,11.829,-84.878,-72.744
1.081,0.396,0.216,14.634,-76.159,-81.585
0.89,0.436,0.045,16.524,-50.976,-80.366
0.705,0.496,-0.129,15.427,-13.659,-68.598
0.503,0.559,-0.278,12.378,25.854,-49.024
0.296,0.598,-0.361,5.427,56.829,-22.988
0.145,0.638,-0.376,-6.524,73.232,3.841
0.078,0.65,-0.33,-20.976,77.5,26.341
0.161,0.627,-0.248,-34.451,77.439,44.085
0.392,0.596,-0.174,-44.939,78.78,54.39
0.63,0.526,-0.116,-51.037,82.134,61.22
0.84,0.414,-0.016,-48.902,82.988,63.354
1.005,0.298,0.127,-41.037,81.28,57.744
1.153,0.246,0.302,-35.61,71.22,45.183
1.182,0.239,0.444,-31.646,47.927,25.183
1.278,0.259,0.568,-27.256,20.122,2.744
1.427,0.299,0.642,-22.256,-5.0,-18.902
1.428,0.325,0.646,-16.524,-29.39,-39.573
1.309,0.343,0.589,-7.683,-51.768,-59.634
1.178,0.352,0.51,2.378,-68.537,-78.354
1.038,0.376,0.399,10.305,-74.329,-90.671
0.898,0.442,0.255,16.22,-63.537,-92.256
0.813,0.526,0.145,20.061,-38.293,-84.024
0.667,0.592,0.017,21.098,-11.037,-66.341
0.447,0.635,-0.066,19.817,10.244,-42.683
0.25,0.671,-0.079,12.866,21.22,-16.89
0.134,0.693,-0.057,1.402,22.988,8.049
0.177,0.684,-0.037,-8.78,23.72,27.683
0.36,0.649,-0.022,-15.305,28.598,41.463
0.593,0.609,0.002,-18.415,37.561,50.61
0.81,0.551,0.062,-18.902,46.159,56.524
0.974,0.477,0.154,-16.402,49.939,58.841
1.096,0.398,0.262,-9.939,47.866,56.707
1.25,0.352,0.389,-2.988,41.768,47.256
1.361,0.348,0.519,3.659,28.415,30.366
1.294,0.324,0.567,12.439,4.146,7.622
1.218,0.319,0.572,20.061,-25.061,-17.439
1.256,0.326,0.547,25.61,-50.976,-39.817
1.271,0.352,0.523,28.659,-70.366,-55.183
1.164,0.396,0.473,31.28,-83.902,-65.549
0.965,0.435,0.334,34.207,-85.183,-71.524
0.794,0.495,0.142,33.049,-70.732,-68.476
0.632,0.574,-0.035,27.439,-44.695,-55.0
