acc_x_axis_g,acc_y_axis_g,acc_z_axis_g,gyr_x_axis_deg/s,gyr_y_axis_deg/s,gyr_z_axis_deg/s
0.785,0.591,0.388,-32.012,141.098,19.512
0.685,0.587,0.364,-35.549,144.512,17.5
0.591,0.594,0.37,-36.89,150.915,17.622
0.548,0.629,0.393,-38.11,164.207,17.988
0.523,0.643,0.389,-39.634,181.159,18.171
0.472,0.635,0.383,-40.122,195.122,18.841
0.434,0.636,0.398,-40.305,202.256,18.841
0.422,0.63,0.452,-42.195,201.768,18.72
0.425,0.627,0.469,-45.976,189.695,19.39
0.368,0.601,0.514,-47.622,169.756,16.28
0.345,0.596,0.594,-50.183,145.976,10.732
0.332,0.571,0.652,-51.768,119.207,4.756
0.331,0.541,0.698,-51.402,91.646,-2.073
0.306,0.51,0.729,-48.963,62.5,-10.0
0.261,0.488,0.722,-44.451,27.378,-19.573
0.192,0.477,0.704,-38.232,-15.427,-28.841
0.155,0.479,0.699,-31.341,-68.537,-36.585
0.099,0.449,0.677,-22.134,-135.854,-40.854
-0.003,0.435,0.646,-11.402,-220.122,-42.988
-0.09,0.441,0.592,1.463,-313.72,-43.659
-0.089,0.456,0.544,12.439,-404.024,-43.415
0.042,0.493,0.466,20.488,-485.061,-44.939
0.192,0.52,0.387,27.744,-552.866,-48.354
0.366,0.54,0.307,37.256,-599.512,-52.622
0.647,0.555,0.274,44.817,-607.439,-52.927
1.012,0.561,0.279,45.61,-579.146,-49.756
1.218,0.581,0.276,41.463,-531.159,-47.988
1.229,0.628,0.271,36.646,-472.5,-47.622
1.279,0.678,0.259,30.427,-396.829,-44.756
1.348,0.723,0.254,16.707,-300.915,-42.561
1.275,0.737,0.25,0.305,-200.488,-40.427
1.093,0.719,0.205,-11.646,-108.171,-38.963
0.904,0.694,0.104,-20.854,-30.793,-33.537
0.676,0.686,-0.004,-26.463,22.683,-21.646
0.396,0.696,-0.106,-27.927,52.683,-5.0
0.193,0.681,-0.148,-27.927,68.537,14.207
0.175,0.678,-0.112,-31.341,78.354,32.439
0.254,0.691,-0.039,-37.439,90.61,46.768
0.378,0.664,0.027,-41.951,108.049,57.5
0.554,0.615,0.1,-44.817,124.878,64.817
0.704,0.573,0.202,-44.939,135.305,67.378
0.812,0.532,0.3,-41.037,137.988,66.28
0.953,0.498,0.418,-34.695,134.634,60.915
1.097,0.493,0.556,-32.073,120.305,52.134
1.157,0.506,0.67,-28.354,91.28,41.159
1.18,0.479,0.706,-17.866,56.037,30.061
1.209,0.481,0.729,-7.134,19.268,17.5
1.138,0.492,0.725,4.756,-19.268,0.671
1.02,0.482,0.65,16.951,-56.28,-18.11
0.956,0.5,0.563,25.732,-86.22,-34.878
0.949,0.525,0.47,32.012,-104.451,-48.293
0.894,0.549,0.356,35.915,-106.524,-55.366
0.78,0.593,0.232,36.159,-95.915,-55.366
0.67,0.628,0.095,34.085,-73.841,-49.878
0.59,0.665,-0.021,30.305,-40.061,-37.561
0.502,0.692,-0.085,23.415,-3.78,-20.305
0.387,0.708,-0.114,14.512,24.878,-0.854
0.303,0.711,-0.111,5.854,45.061,18.171
0.281,0.706,-0.085,-3.78,56.768,35.244
0.325,0.681,-0.048,-13.537,58.902,48.354
0.438,0.636,0.002,-19.451,57.256,56.951
0.582,0.579,0.052,-21.707,53.598,62.805
0.73,0.511,0.143,-20.183,48.171,64.512
0.897,0.458,0.283,-17.561,42.866,59.939
1.031,0.441,0.41,-16.159,32.256,49.146
1.088,0.421,0.513,-13.476,14.329,35.549
1.164,0.416,0.593,-10.061,-7.195,18.476
1.209,0.42,0.617,-4.939,-28.415,0.061
1.21,0.425,0.608,1.22,-46.768,-18.354
1.167,0.443,0.575,6.402,-63.841,-36.341
1.084,0.465,0.509,10.915,-79.207,-52.012
0.998,0.495,0.431,14.207,-87.378,-62.866
0.907,0.526,0.347,16.585,-84.207,-68.841
0.748,0.563,0.229,18.476,-69.207,-68.171
0.586,0.609,0.062,18.171,-42.317,-60.427
0.461,0.668,-0.096,14.939,-7.805,-45.549
0.327,0.717,-0.196,8.537,25.549,-25.0
0.203,0.746,-0.224,-0.732,49.573,-2.378
0.124,0.745,-0.183,-11.098,63.11,19.756
0.167,0.716,-0.082,-21.341,65.671,39.268
0.319,0.687,0.02,-30.61,57.439,53.354
0.483,0.632,0.1,-35.305,44.817,62.744
0.664,0.546,0.178,-31.951,32.927,67.195
0.863,0.446,0.272,-23.171,26.098,64.268
1.084,0.404,0.433,-17.805,20.366,53.72
1.19,0.395,0.587,-13.841,5.488,36.89
1.287,0.402,0.718,-8.902,-18.415,15.183
1.357,0.432,0.788,-2.988,-43.659,-8.232
1.355,0.454,0.78,4.085,-63.415,-29.939
1.299,0.455,0.7,11.22,-77.805,-50.671
1.167,0.457,0.571,16.951,-85.915,-69.329
0.995,0.482,0.399,20.915,-81.89,-81.829
0.831,0.541,0.22,22.5,-63.963,-84.39
0.643,0.613,0.028,22.256,-34.451,-76.463
0.467,0.686,-0.134,18.598,1.829,-58.415
0.301,0.746,-0.227,10.61,31.28,-34.085
0.141,0.78,-0.239,0.122,46.829,-7.683
0.035,0.784,-0.207,-11.037,49.695,17.317
0.052,0.764,-0.149,-22.317,44.756,37.683
0.198,0.724,-0.074,-31.707,39.268,52.378
0.422,0.669,0.001,-37.988,37.5,62.256
