acc_x_axis_g,acc_y_axis_g,acc_z_axis_g,gyr_x_axis_deg/s,gyr_y_axis_deg/s,gyr_z_axis_deg/s
0.582,0.603,0.358,39.329,-21.402,-20.549
0.531,0.624,0.225,40.854,7.317,-12.866
0.53,0.67,0.115,38.537,37.012,-3.72
0.5,0.702,0.021,31.585,59.024,6.341
0.452,0.729,-0.046,21.22,66.098,15.244
0.407,0.73,-0.047,10.0,60.122,22.317
0.404,0.701,0.044,-1.037,46.22,27.195
0.46,0.652,0.178,-12.744,26.585,29.756
0.574,0.609,0.288,-24.939,4.817,30.793
0.672,0.57,0.388,-34.085,-12.378,30.427
0.794,0.523,0.504,-38.537,-21.402,28.537
0.917,0.466,0.602,-38.11,-24.268,24.817
0.968,0.433,0.654,-33.598,-25.305,18.841
0.998,0.418,0.695,-25.488,-25.854,9.695
1.01,0.407,0.768,-15.793,-29.512,-1.22
0.953,0.414,0.835,-5.854,-41.037,-12.073
0.877,0.44,0.87,3.415,-60.061,-22.134
0.795,0.476,0.854,11.768,-82.561,-30.61
0.697,0.502,0.774,18.963,-102.988,-36.524
0.601,0.533,0.64,26.037,-113.232,-38.902
0.544,0.57,0.437,31.951,-107.012,-36.646
0.522,0.623,0.24,35.488,-82.195,-29.756
0.513,0.669,0.089,35.122,-43.293,-18.659
0.496,0.715,-0.009,29.939,-1.402,-5.488
0.477,0.751,-0.061,21.707,33.049,7.744
0.441,0.755,-0.062,11.341,55.183,20.183
0.422,0.729,0.019,-1.22,61.341,30.183
0.445,0.687,0.129,-14.756,52.683,37.439
0.521,0.636,0.249,-28.293,35.732,41.829
0.643,0.584,0.353,-39.268,14.207,42.439
0.777,0.514,0.438,-42.561,-6.951,39.634
0.947,0.443,0.508,-38.476,-21.829,33.537
1.102,0.382,0.619,-31.585,-34.878,23.963
1.153,0.335,0.767,-23.11,-55.061,10.793
1.146,0.328,0.882,-11.768,-85.0,-7.256
1.102,0.365,0.916,-0.183,-118.841,-28.72
1.021,0.42,0.956,4.024,-152.561,-51.707
0.924,0.502,0.848,8.354,-192.378,-69.817
0.916,0.526,0.569,16.585,-201.768,-78.415
0.969,0.505,0.379,20.915,-174.817,-81.341
0.688,0.565,0.141,21.22,-136.585,-78.293
0.425,0.642,-0.068,19.878,-86.585,-69.634
0.403,0.726,-0.223,14.878,-27.378,-50.915
0.451,0.777,-0.3,7.805,32.256,-25.976
0.354,0.769,-0.293,-0.305,72.988,-0.61
0.149,0.755,-0.232,-11.402,83.11,21.159
0.068,0.721,-0.091,-23.293,69.939,39.146
0.188,0.672,0.087,-34.146,49.024,50.793
0.439,0.612,0.248,-42.012,30.366,55.915
0.744,0.533,0.323,-41.402,15.976,56.402
1.015,0.457,0.383,-31.341,9.39,50.549
1.242,0.391,0.507,-21.159,8.537,36.89
1.334,0.334,0.618,-12.744,-2.683,16.768
1.288,0.315,0.719,-0.366,-29.695,-8.476
1.276,0.399,0.81,10.976,-63.293,-34.024
1.294,0.487,0.821,19.207,-93.476,-55.976
1.229,0.518,0.749,26.585,-116.707,-72.561
1.013,0.54,0.596,31.037,-131.037,-83.659
0.743,0.568,0.353,33.354,-130.183,-87.256
0.565,0.615,0.101,34.512,-108.963,-81.768
0.455,0.69,-0.108,33.049,-70.549,-66.402
0.301,0.74,-0.235,28.72,-24.695,-42.134
0.195,0.766,-0.259,22.744,19.878,-16.402
0.099,0.775,-0.232,12.683,53.232,7.561
0.057,0.762,-0.174,0.976,74.695,30.122
0.179,0.739,-0.083,-9.878,88.841,46.707
0.376,0.707,0.024,-20.122,98.78,55.549
0.578,0.652,0.097,-28.293,104.329,60.183
0.766,0.586,0.16,-31.524,103.293,63.476
0.925,0.506,0.231,-26.341,98.415,62.439
1.085,0.45,0.35,-17.134,91.463,53.049
1.174,0.431,0.506,-11.037,73.049,37.683
1.131,0.419,0.625,-6.524,36.402,17.317
1.13,0.436,0.688,-0.61,-8.354,-5.854
1.177,0.454,0.687,7.988,-45.976,-27.866
1.186,0.478,0.663,15.671,-72.805,-46.585
1.095,0.513,0.624,21.098,-94.817,-62.317
0.934,0.548,0.525,25.366,-106.524,-72.134
0.808,0.575,0.373,28.841,-97.622,-73.963
0.718,0.621,0.224,31.463,-66.341,-67.561
0.545,0.671,0.059,30.61,-21.402,-52.317
0.379,0.717,-0.044,26.89,26.22,-32.012
0.248,0.741,-0.093,20.427,65.732,-10.305
0.157,0.754,-0.116,8.537,89.939,12.195
0.165,0.771,-0.093,-6.159,98.11,31.829
0.269,0.751,-0.05,-18.232,95.061,44.756
0.431,0.71,0.002,-27.744,86.037,52.561
0.626,0.665,0.06,-33.659,72.683,55.305
0.829,0.606,0.138,-35.549,53.537,55.915
1.015,0.542,0.236,-31.646,33.049,53.902
1.179,0.486,0.343,-23.78,17.134,45.244
1.287,0.478,0.479,-17.378,2.988,27.805
1.204,0.465,0.565,-11.037,-18.963,4.817
1.113,0.454,0.602,-3.841,-46.646,-20.183
1.167,0.477,0.616,3.232,-69.329,-42.683
1.178,0.507,0.613,10.244,-84.634,-58.11
1.007,0.542,0.56,15.976,-100.244,-68.11
0.746,0.575,0.441,20.183,-113.841,-73.171
0.559,0.604,0.288,22.805,-114.756,-70.793
0.455,0.64,0.149,23.72,-97.561,-59.817
0.367,0.695,0.042,21.585,-64.756,-43.415
0.239,0.748,-0.037,15.122,-23.78,-23.293
0.141,0.774,-0.082,5.0,19.756,-1.402
0.162,0.785,-0.093,-7.134,58.902,19.695
0.281,0.774,-0.074,-17.378,90.122,37.561
0.447,0.743,-0.009,-25.854,111.89,50.183
0.6,0.703,0.067,-32.988,120.732,56.585
0.71,0.646,0.144,-36.098,115.61,59.817
0.821,0.578,0.228,-33.902,101.098,59.329
0.938,0.513,0.325,-27.012,81.22,51.28
0.989,0.473,0.453,-20.244,54.024,36.89
0.998,0.458,0.575,-15.244,18.171,19.329
1.054,0.457,0.663,-8.232,-20.122,-0.061
1.125,0.469,0.692,0.671,-52.561,-18.537
1.104,0.496,0.674,9.817,-76.646,-33.902
1.019,0.525,0.627,18.659,-91.524,-46.159
0.933,0.556,0.548,26.22,-96.89,-56.768
0.84,0.579,0.44,33.354,-90.488,-62.927
0.731,0.602,0.309,39.878,-71.829,-60.854
0.626,0.642,0.183,43.171,-44.512,-51.829
0.472,0.691,0.05,40.976,-11.829,-36.524
0.298,0.725,-0.025,33.902,20.183,-16.22
0.183,0.753,-0.062,22.988,44.695,4.695
0.174,0.774,-0.084,7.561,58.537,25.183
0.277,0.764,-0.062,-6.28,65.366,40.305
0.45,0.738,-0.002,-17.927,66.28,49.329
0.601,0.704,0.045,-26.341,61.402,53.354
0.743,0.646,0.069,-29.634,52.866,55.305
0.911,0.583,0.123,-28.049,42.073,55.061
1.049,0.525,0.222,-22.256,32.134,50.427
1.188,0.479,0.362,-15.488,23.78,39.573
1.245,0.46,0.502,-8.78,9.268,22.073
1.158,0.454,0.592,-1.463,-16.402,1.159
1.088,0.472,0.636,5.793,-45.427,-22.134
1.075,0.487,0.644,12.195,-70.488,-42.256
1.043,0.521,0.625,16.22,-93.293,-56.707
0.93,0.555,0.577,20.61,-114.329,-66.524
0.762,0.564,0.472,25.793,-127.683,-71.159
0.62,0.585,0.338,30.915,-125.366,-69.756
0.521,0.626,0.2,34.329,-105.793,-63.171
0.41,0.666,0.053,34.512,-71.22,-49.817
0.288,0.707,-0.059,31.159,-25.671,-30.122
0.2,0.76,-0.128,21.829,22.439,-8.171
0.157,0.795,-0.168,8.902,66.646,12.988
0.192,0.798,-0.178,-4.695,102.805,32.378
0.325,0.779,-0.12,-18.78,124.207,46.646
0.47,0.742,-0.039,-31.22,126.037,54.634
0.607,0.685,0.042,-37.866,111.707,58.171
0.769,0.619,0.125,-38.902,87.561,58.354
0.909,0.542,0.207,-32.683,59.756,54.939
1.063,0.468,0.318,-21.707,34.817,46.768
1.233,0.441,0.479,-12.622,10.793,31.341
1.288,0.458,0.613,-6.098,-17.317,10.915
1.234,0.49,0.679,0.915,-47.744,-12.195
1.198,0.513,0.692,7.683,-74.39,-34.39
1.173,0.535,0.666,12.988,-96.463,-52.439
1.057,0.561,0.618,18.049,-117.378,-65.305
0.858,0.582,0.529,24.146,-136.829,-73.476
