acc_x_axis_g,acc_y_axis_g,acc_z_axis_g,gyr_x_axis_deg/s,gyr_y_axis_deg/s,gyr_z_axis_deg/s
0.073,0.299,0.953,1.585,10.122,4.268
0.062,0.293,0.968,5.427,14.573,4.207
0.083,0.314,0.983,8.171,16.524,5.549
0.1,0.337,0.973,7.988,17.988,6.707
0.093,0.386,0.926,5.854,14.024,1.524
0.073,0.452,0.885,5.244,2.378,-3.598
0.064,0.476,0.831,4.634,-7.378,-9.878
0.065,0.493,0.823,3.293,-14.024,-17.622
0.073,0.489,0.842,2.622,-24.085,-26.768
0.049,0.472,0.857,2.744,-35.732,-35.61
0.086,0.464,0.851,2.378,-38.659,-38.11
0.175,0.477,0.828,1.037,-30.549,-32.256
0.161,0.504,0.817,-1.402,-12.256,-22.927
0.092,0.525,0.843,-6.22,14.024,-10.732
0.075,0.493,0.904,-12.805,44.451,5.976
0.046,0.451,0.937,-18.415,76.098,25.122
-0.107,0.436,0.914,-21.159,107.622,42.317
-0.182,0.445,0.867,-26.463,137.744,53.598
-0.145,0.5,0.858,-31.89,158.537,63.171
-0.034,0.541,0.882,-29.634,160.976,77.927
0.038,0.464,0.864,-22.256,139.573,78.232
0.022,0.401,0.911,-9.024,97.073,61.098
-0.015,0.329,0.881,2.805,60.366,35.305
0.088,0.339,0.922,6.098,40.976,11.159
0.335,0.365,1.036,6.768,40.366,-6.829
0.492,0.34,1.045,8.049,43.171,-25.427
0.559,0.305,0.991,7.561,38.232,-44.39
0.352,0.375,0.88,3.171,31.098,-59.878
0.209,0.518,0.746,-3.049,27.195,-68.537
0.15,0.644,0.677,-10.427,23.049,-70.122
-0.071,0.673,0.665,-18.049,11.098,-69.024
-0.477,0.617,0.583,-25.305,-1.098,-63.963
-0.618,0.543,0.583,-28.11,7.683,-41.037
-0.578,0.415,0.804,-24.695,35.305,-3.72
-0.639,0.176,1.115,-16.402,52.622,26.524
-0.944,-0.002,1.211,-14.512,44.207,35.427
-1.106,0.121,1.174,-21.28,31.159,33.293
-0.732,0.346,1.125,-25.427,30.732,37.195
-0.326,0.419,1.045,-23.537,41.707,53.171
0.016,0.432,0.967,-21.402,66.524,61.524
0.269,0.464,0.926,-16.951,86.585,61.646
0.389,0.466,0.91,-7.439,91.829,56.646
0.466,0.386,0.873,-1.037,89.085,45.793
0.515,0.422,0.817,0.793,86.89,31.22
0.488,0.507,0.792,0.915,82.744,12.5
0.368,0.516,0.765,-2.256,70.793,-13.354
0.142,0.533,0.748,-4.512,44.085,-38.171
-0.074,0.499,0.789,-4.39,14.756,-56.463
-0.179,0.442,0.856,-4.329,-16.28,-67.134
-0.425,0.418,0.818,-3.598,-46.159,-74.329
-0.741,0.397,0.779,1.585,-59.207,-68.537
-0.768,0.219,0.834,9.451,-44.39,-33.72
-0.826,0.024,0.879,9.634,-11.341,10.061
-1.05,0.112,0.875,0.305,3.598,38.049
-1.19,0.378,0.805,-8.293,-0.183,47.744
-0.995,0.456,0.803,-16.22,1.341,49.024
-0.348,0.498,0.822,-27.744,20.793,57.561
0.202,0.503,0.911,-31.159,53.598,71.402
0.497,0.345,1.01,-21.951,79.207,63.11
0.608,0.228,1.057,-6.585,77.988,37.988
0.499,0.214,0.961,-3.293,62.195,18.354
0.41,0.434,0.853,-8.476,49.512,0.0
0.288,0.584,0.828,-7.134,34.634,-16.402
0.012,0.552,0.737,-4.939,15.366,-34.146
-0.302,0.552,0.702,-4.024,-7.927,-47.805
-0.465,0.515,0.802,3.537,-32.012,-59.939
-0.601,0.366,0.945,16.159,-52.805,-68.537
-0.65,0.212,1.0,26.951,-60.671,-63.72
-0.61,0.098,1.058,29.878,-52.866,-36.768
-0.704,0.042,0.972,26.037,-43.293,-8.11
-0.922,0.264,0.764,8.72,-29.39,15.976
-1.036,0.517,0.676,-7.195,-11.22,35.061
-0.779,0.527,0.731,-16.707,4.695,45.915
-0.422,0.47,0.739,-26.707,22.622,48.902
-0.096,0.493,0.804,-38.598,46.524,53.659
0.191,0.387,0.99,-38.11,63.963,46.829
0.313,0.238,1.116,-15.732,59.634,27.317
0.274,0.135,1.021,-3.659,43.415,8.11
0.216,0.309,0.938,-2.805,31.646,-6.159
0.216,0.475,0.935,-5.122,27.073,-15.061
