acc_x_axis_g,acc_y_axis_g,acc_z_axis_g,gyr_x_axis_deg/s,gyr_y_axis_deg/s,gyr_z_axis_deg/s
0.163,0.74,0.383,15.366,-214.695,-82.561
0.43,0.723,0.445,10.976,-187.683,-84.146
0.524,0.683,0.426,5.366,-150.549,-94.512
0.357,0.641,0.311,-1.951,-115.793,-87.195
0.106,0.652,0.25,-6.341,-84.207,-54.39
0.05,0.65,0.314,-9.695,-61.341,-27.439
0.417,0.618,0.567,-9.085,-46.707,-1.585
1.109,0.577,0.809,-8.72,-16.768,21.829
1.734,0.571,0.846,-13.598,33.354,35.549
1.942,0.595,0.832,-19.085,112.256,53.902
1.6,0.607,0.726,-23.476,193.72,76.22
1.033,0.642,0.613,-21.463,237.317,88.415
0.636,0.681,0.598,-15.061,227.012,93.049
0.479,0.704,0.592,-10.427,165.793,99.329
0.48,0.733,0.542,-10.305,94.024,107.134
0.484,0.758,0.536,-10.61,58.841,93.659
0.478,0.773,0.575,-2.866,48.72,51.707
0.542,0.772,0.615,1.037,49.939,5.488
0.583,0.722,0.494,3.78,38.049,-21.768
0.241,0.602,0.364,6.951,-9.39,-40.061
-0.372,0.536,0.4,7.866,-87.195,-55.793
-0.748,0.601,0.411,4.024,-155.427,-65.976
-0.518,0.683,0.299,0.427,-186.768,-72.195
0.019,0.695,0.264,-2.683,-179.939,-81.402
0.43,0.736,0.345,-5.549,-140.915,-93.415
0.605,0.763,0.408,-9.207,-81.89,-101.524
0.596,0.697,0.385,-5.732,-26.829,-103.354
0.481,0.614,0.318,3.963,-12.866,-91.22
0.385,0.58,0.331,7.866,-31.402,-52.378
0.267,0.568,0.456,7.927,-50.305,-3.659
0.116,0.55,0.683,8.232,-44.756,22.195
0.383,0.617,0.874,5.061,-6.707,28.537
1.057,0.66,0.966,-2.622,68.049,39.39
1.6,0.623,1.016,-18.598,154.878,53.659
1.632,0.583,0.976,-36.524,216.341,66.402
1.179,0.602,0.855,-41.707,242.073,78.963
0.677,0.653,0.714,-35.061,234.817,91.585
0.426,0.696,0.623,-23.598,189.756,100.549
0.39,0.719,0.56,-14.695,115.61,109.207
0.47,0.755,0.521,-2.439,70.488,110.244
0.51,0.778,0.489,11.28,55.244,79.268
0.463,0.771,0.428,19.39,56.524,32.317
0.422,0.735,0.343,22.744,67.378,3.11
0.435,0.696,0.371,26.098,50.427,-9.512
0.48,0.687,0.501,32.439,-14.085,-24.451
0.585,0.721,0.396,32.622,-96.159,-38.537
0.561,0.676,0.31,27.134,-159.634,-49.085
0.2,0.552,0.388,22.317,-190.488,-58.841
-0.255,0.534,0.452,14.39,-192.073,-65.427
-0.389,0.609,0.451,4.817,-171.402,-69.878
-0.119,0.666,0.427,1.22,-139.512,-77.683
0.218,0.699,0.45,1.341,-106.524,-84.451
0.404,0.751,0.519,-2.5,-66.646,-84.207
0.472,0.731,0.561,-3.902,-23.72,-83.841
0.48,0.644,0.56,-1.89,-5.366,-84.451
0.516,0.598,0.575,-5.183,-9.817,-65.183
0.533,0.599,0.54,-8.841,-16.768,-25.854
0.362,0.601,0.528,-9.085,-14.573,2.622
0.071,0.625,0.581,-7.378,2.012,9.451
0.059,0.696,0.755,-7.256,34.39,14.268
0.606,0.762,0.868,-11.463,84.573,27.622
1.387,0.755,0.879,-23.963,135.915,44.085
1.837,0.685,0.83,-34.695,173.415,62.134
1.575,0.637,0.728,-32.683,200.305,78.841
0.931,0.667,0.617,-18.476,197.317,86.768
0.449,0.713,0.54,-3.171,149.817,89.756
0.277,0.724,0.508,11.28,79.39,99.878
0.363,0.72,0.454,20.915,22.256,109.939
0.496,0.739,0.44,30.427,3.537,90.732
0.553,0.769,0.493,33.659,7.5,42.378
0.578,0.768,0.587,30.732,26.341,-2.683
0.544,0.709,0.497,28.354,42.927,-21.28
0.227,0.594,0.39,26.402,26.402,-31.524
-0.338,0.494,0.457,20.122,-32.195,-46.707
-0.757,0.553,0.55,3.598,-95.915,-58.354
-0.661,0.668,0.479,-6.768,-130.732,-67.988
-0.145,0.682,0.442,-7.744,-137.561,-78.232
0.353,0.695,0.503,-9.39,-111.402,-87.317
0.612,0.712,0.529,-17.622,-55.427,-93.841
0.629,0.649,0.471,-20.0,0.732,-99.085
0.496,0.598,0.396,-14.817,15.366,-92.683
0.304,0.579,0.372,-11.951,-13.354,-54.634
0.131,0.57,0.408,-13.598,-45.976,8.537
0.225,0.616,0.622,-13.537,-51.22,44.39
0.75,0.719,0.821,-10.671,-25.0,40.122
1.353,0.733,0.885,-7.622,37.073,35.488
1.641,0.652,0.904,-13.841,114.39,49.451
1.391,0.614,0.864,-26.524,175.793,69.268
0.826,0.652,0.771,-27.378,201.159,82.927
0.382,0.697,0.681,-18.841,171.098,91.037
0.205,0.697,0.585,-8.72,95.671,97.5
0.268,0.694,0.51,-1.646,31.098,103.963
0.432,0.729,0.498,2.927,18.11,90.976
0.561,0.763,0.519,2.988,23.415,44.756
0.613,0.755,0.607,2.622,33.963,-5.976
0.588,0.69,0.612,3.049,37.927,-25.671
0.332,0.59,0.501,4.146,10.427,-32.073
-0.16,0.559,0.464,3.354,-52.866,-45.549
-0.573,0.541,0.527,-2.195,-121.22,-59.329
-0.438,0.59,0.578,-5.671,-158.537,-70.305
0.075,0.652,0.622,-4.024,-161.768,-80.122
0.435,0.677,0.629,-3.963,-140.183,-89.695
0.578,0.73,0.609,-8.537,-96.707,-97.256
0.469,0.733,0.589,-13.11,-41.098,-100.244
