acc_x_axis_g,acc_y_axis_g,acc_z_axis_g,gyr_x_axis_deg/s,gyr_y_axis_deg/s,gyr_z_axis_deg/s
0.363,0.522,0.675,-24.634,7.744,20.671
0.353,0.513,0.674,-24.512,0.549,18.11
0.356,0.51,0.68,-24.756,-6.159,14.817
0.351,0.51,0.683,-25.183,-11.524,11.768
0.333,0.505,0.68,-26.585,-16.89,9.817
0.352,0.509,0.675,-28.476,-24.573,7.744
0.375,0.509,0.66,-29.024,-35.61,5.61
0.364,0.498,0.654,-28.293,-48.476,4.512
0.353,0.487,0.655,-26.524,-59.451,3.963
0.358,0.48,0.635,-23.598,-68.232,2.805
0.376,0.463,0.612,-20.366,-75.305,2.439
0.395,0.461,0.614,-17.195,-81.22,2.256
0.401,0.454,0.637,-13.11,-86.89,1.341
0.389,0.434,0.653,-8.415,-91.037,0.854
0.384,0.424,0.668,-5.488,-91.707,-0.183
0.411,0.441,0.668,-4.39,-90.427,-2.195
0.446,0.46,0.664,-3.11,-88.476,-4.878
0.459,0.464,0.666,-2.683,-88.841,-8.415
0.465,0.459,0.656,-3.049,-95.854,-13.11
0.478,0.457,0.631,-0.793,-107.683,-17.561
0.474,0.446,0.605,3.11,-121.098,-21.402
0.477,0.439,0.58,6.951,-136.89,-26.22
0.519,0.437,0.537,9.39,-154.756,-29.756
0.542,0.435,0.5,9.695,-171.403,-32.317
0.556,0.452,0.479,8.963,-186.22,-35.549
0.581,0.47,0.468,7.927,-198.232,-38.171
0.611,0.474,0.45,6.341,-200.732,-38.415
0.638,0.481,0.438,3.049,-188.171,-37.256
0.683,0.508,0.439,-1.037,-162.317,-36.159
0.729,0.539,0.455,-4.634,-130.793,-34.451
0.743,0.551,0.45,-7.134,-97.439,-31.951
0.696,0.554,0.453,-8.659,-68.659,-29.085
0.657,0.562,0.442,-9.268,-49.573,-26.159
0.635,0.58,0.416,-10.549,-40.244,-23.78
0.574,0.602,0.4,-10.305,-34.512,-19.756
0.529,0.606,0.416,-9.817,-24.756,-11.707
0.549,0.6,0.437,-10.671,-3.598,-2.988
0.635,0.618,0.466,-11.402,24.756,2.866
0.706,0.635,0.502,-11.585,47.927,7.012
0.677,0.637,0.503,-11.22,65.854,12.378
0.629,0.633,0.479,-10.305,85.427,16.22
0.627,0.632,0.484,-9.085,105.732,19.024
0.638,0.637,0.492,-6.341,123.963,21.951
0.651,0.632,0.515,-3.232,139.085,25.854
0.672,0.62,0.553,-0.061,149.695,30.183
0.654,0.608,0.598,4.207,153.049,32.073
0.615,0.599,0.607,6.463,144.634,31.22
0.58,0.607,0.592,7.073,124.878,28.537
0.546,0.621,0.565,7.317,98.354,25.244
0.548,0.614,0.561,8.354,67.683,22.012
0.565,0.585,0.562,10.671,35.671,18.963
0.549,0.563,0.549,12.5,9.024,14.939
0.549,0.565,0.549,13.354,-8.232,9.939
0.617,0.565,0.546,13.293,-19.817,5.122
0.68,0.557,0.523,11.646,-31.402,-1.402
0.655,0.562,0.499,7.805,-49.451,-9.024
0.588,0.572,0.483,3.659,-71.524,-17.134
0.54,0.575,0.475,1.524,-91.89,-24.085
0.522,0.552,0.47,2.256,-109.695,-29.39
0.543,0.534,0.467,6.037,-122.744,-33.293
0.619,0.51,0.441,6.22,-127.378,-31.341
0.69,0.493,0.426,5.061,-127.805,-28.659
0.698,0.507,0.425,2.927,-133.537,-30.0
0.626,0.513,0.424,1.585,-140.0,-30.061
0.578,0.503,0.416,0.915,-137.378,-27.195
0.62,0.496,0.433,-0.793,-126.037,-25.0
0.661,0.518,0.447,-2.561,-111.342,-22.378
0.647,0.539,0.435,-3.963,-94.817,-18.78
0.639,0.547,0.402,-6.341,-72.805,-15.244
0.634,0.562,0.395,-7.622,-48.415,-12.073
0.628,0.577,0.388,-9.268,-27.012,-9.512
0.638,0.6,0.36,-11.768,-8.963,-6.585
0.615,0.625,0.347,-14.024,8.049,-2.744
0.603,0.643,0.343,-15.122,25.0,2.805
0.632,0.636,0.358,-16.28,38.415,7.866
0.655,0.637,0.401,-17.378,47.256,12.622
0.633,0.646,0.428,-18.171,57.744,18.171
0.637,0.648,0.456,-16.646,76.28,24.024
0.708,0.627,0.5,-14.024,98.476,28.049
0.754,0.616,0.538,-12.805,114.451,31.829
0.691,0.625,0.549,-10.488,124.207,34.573
0.616,0.619,0.539,-6.463,132.5,35.427
0.612,0.6,0.536,-2.683,138.171,35.488
0.647,0.587,0.546,0.976,135.0,34.756
0.662,0.565,0.554,4.634,121.22,32.927
0.608,0.545,0.555,10.61,101.829,30.732
0.561,0.52,0.54,16.28,80.854,27.134
0.612,0.502,0.522,17.683,61.951,25.61
0.626,0.518,0.526,16.463,43.78,23.72
0.625,0.549,0.504,15.488,31.098,20.793
0.679,0.55,0.479,13.963,26.829,18.963
0.712,0.54,0.464,11.89,24.085,15.549
0.678,0.536,0.461,10.488,20.671,9.146
0.64,0.543,0.469,7.927,17.317,2.134
0.669,0.549,0.486,5.427,10.122,-5.549
0.684,0.536,0.494,3.537,-7.744,-15.366
0.597,0.519,0.5,2.927,-37.866,-25.427
0.489,0.523,0.524,4.085,-69.024,-34.329
0.515,0.507,0.54,5.183,-89.024,-38.963
0.636,0.482,0.539,5.488,-100.61,-43.049
0.695,0.5,0.512,4.817,-110.366,-47.5
0.644,0.537,0.482,4.451,-117.256,-48.902
0.61,0.539,0.447,3.354,-113.537,-45.854
0.661,0.533,0.421,1.098,-99.207,-39.817
0.684,0.546,0.441,-1.402,-85.549,-34.695
0.626,0.566,0.458,-2.927,-75.549,-29.634
0.508,0.58,0.453,-4.695,-64.878,-22.683
0.437,0.596,0.438,-6.098,-50.061,-16.098
0.455,0.613,0.426,-7.134,-32.439,-10.976
0.484,0.625,0.414,-8.78,-14.512,-5.549
0.467,0.635,0.41,-10.305,3.963,0.427
0.483,0.643,0.403,-11.951,23.659,6.037
0.56,0.644,0.397,-13.415,40.0,10.244
0.587,0.642,0.403,-14.207,50.854,14.512
0.585,0.636,0.428,-14.024,60.0,19.146
0.628,0.627,0.476,-13.902,67.134,22.439
0.674,0.622,0.514,-13.598,71.524,24.756
0.648,0.613,0.54,-11.402,72.683,26.463
0.61,0.6,0.536,-9.146,74.695,28.293
0.62,0.597,0.534,-7.439,75.122,29.39
0.632,0.592,0.542,-4.634,72.195,31.159
0.595,0.578,0.536,-1.463,70.122,33.11
0.588,0.568,0.539,1.463,72.927,34.512
0.634,0.557,0.552,4.634,75.183,34.329
0.669,0.536,0.562,8.171,70.732,32.744
0.629,0.521,0.567,10.183,58.11,29.695
0.574,0.531,0.545,10.976,40.122,24.573
0.602,0.538,0.499,12.5,25.305,21.524
0.64,0.515,0.478,12.744,12.744,18.841
0.684,0.501,0.477,11.646,0.0,13.963
0.685,0.507,0.49,10.0,-10.732,9.024
0.653,0.51,0.5,7.927,-18.171,1.037
0.679,0.513,0.514,5.976,-25.366,-8.659
0.698,0.51,0.528,3.78,-36.341,-18.963
0.656,0.516,0.521,0.549,-51.037,-28.354
0.595,0.523,0.525,-0.488,-63.476,-37.073
0.595,0.522,0.541,0.549,-70.488,-43.902
0.661,0.518,0.542,1.768,-74.756,-48.476
0.699,0.515,0.517,2.134,-77.805,-50.305
0.667,0.528,0.486,2.012,-78.293,-48.476
0.637,0.545,0.481,2.805,-74.634,-42.744
0.64,0.541,0.477,3.049,-67.683,-35.0
0.588,0.552,0.486,2.561,-62.5,-29.573
0.502,0.589,0.485,2.256,-58.415,-24.268
0.464,0.611,0.479,1.463,-52.561,-17.927
0.441,0.615,0.469,0.915,-43.232,-11.768
0.425,0.625,0.465,0.122,-29.878,-5.915
0.446,0.632,0.458,-1.524,-13.415,0.061
0.507,0.64,0.439,-4.451,3.354,5.244
0.54,0.646,0.427,-7.256,18.659,9.878
0.551,0.646,0.424,-9.634,34.939,15.366
0.604,0.632,0.432,-11.037,50.366,20.061
0.666,0.621,0.435,-12.622,62.744,24.207
0.682,0.619,0.46,-14.085,72.012,27.927
0.652,0.615,0.496,-14.39,79.024,31.098
0.625,0.605,0.517,-13.537,84.207,33.354
0.603,0.599,0.554,-10.244,87.988,35.305
0.594,0.576,0.585,-6.707,90.793,37.744
0.603,0.557,0.595,-3.537,91.402,37.927
0.616,0.554,0.593,1.098,88.049,36.22
0.632,0.529,0.581,6.037,81.098,33.902
0.642,0.511,0.587,9.085,71.341,29.939
0.608,0.513,0.615,10.854,57.012,24.085
0.612,0.528,0.601,11.707,43.171,19.512
0.644,0.525,0.574,12.683,32.073,16.829
0.663,0.51,0.546,13.72,21.28,14.024
0.672,0.509,0.526,13.11,8.659,9.939
0.656,0.531,0.504,11.22,-3.232,5.488
0.619,0.541,0.496,9.146,-14.146,-1.341
0.636,0.536,0.496,7.195,-27.378,-11.585
0.627,0.532,0.495,5.061,-45.366,-21.646
0.572,0.531,0.509,3.476,-62.988,-29.634
0.584,0.525,0.529,3.171,-71.951,-34.878
0.645,0.508,0.525,2.744,-72.439,-38.841
0.683,0.519,0.513,0.305,-70.427,-43.415
0.68,0.549,0.501,-0.305,-67.073,-42.927
0.626,0.53,0.465,1.585,-65.854,-38.963
0.597,0.505,0.438,2.805,-65.61,-32.622
0.543,0.524,0.437,2.988,-65.183,-25.305
0.459,0.549,0.451,2.927,-60.122,-17.256
0.417,0.56,0.467,2.317,-45.671,-10.427
0.452,0.569,0.483,0.671,-22.195,-4.268
0.501,0.584,0.487,-0.976,6.402,3.598
0.509,0.594,0.485,-2.134,38.537,11.524
0.565,0.607,0.474,-3.171,76.585,20.183
0.659,0.612,0.473,-5.244,112.195,25.793
0.702,0.607,0.483,-6.829,134.085,26.829
0.646,0.603,0.504,-6.585,139.817,26.707
0.579,0.589,0.541,-3.598,138.781,27.134
0.55,0.563,0.564,-0.122,132.866,25.366
0.596,0.556,0.573,3.72,122.744,21.829
0.602,0.551,0.562,8.293,110.793,18.841
0.575,0.526,0.573,13.659,102.317,15.427
0.58,0.489,0.591,17.5,99.329,10.0
