acc_x_axis_g,acc_y_axis_g,acc_z_axis_g,gyr_x_axis_deg/s,gyr_y_axis_deg/s,gyr_z_axis_deg/s
0.294,0.489,0.69,-21.037,16.585,15.122
0.388,0.486,0.696,-18.902,14.39,14.878
0.378,0.486,0.7,-17.256,6.098,13.598
0.321,0.499,0.713,-16.402,-6.524,10.305
0.301,0.511,0.731,-15.061,-18.415,5.427
0.304,0.502,0.747,-14.39,-32.439,0.061
0.311,0.493,0.75,-15.061,-52.927,-6.098
0.303,0.501,0.736,-16.768,-80.0,-11.341
0.282,0.508,0.71,-19.146,-113.72,-16.707
0.273,0.521,0.675,-19.939,-147.439,-20.976
0.257,0.522,0.639,-18.659,-173.293,-21.463
0.274,0.51,0.601,-16.402,-186.829,-18.902
0.358,0.515,0.566,-14.39,-187.012,-15.122
0.471,0.514,0.56,-11.951,-179.329,-11.159
0.525,0.497,0.598,-9.268,-170.793,-9.695
0.52,0.475,0.638,-5.732,-164.207,-10.976
0.521,0.456,0.651,-3.598,-158.11,-14.085
0.565,0.455,0.656,-3.659,-158.476,-19.878
0.598,0.466,0.631,-0.183,-170.427,-26.402
0.549,0.458,0.566,5.305,-191.342,-31.585
0.505,0.448,0.483,7.866,-206.037,-33.171
0.529,0.459,0.434,5.976,-206.281,-32.805
0.63,0.492,0.418,3.415,-192.988,-34.207
0.733,0.519,0.396,0.793,-170.732,-34.451
0.752,0.521,0.389,-0.671,-146.159,-33.841
0.725,0.524,0.378,-3.963,-121.159,-32.256
0.714,0.552,0.371,-7.195,-95.732,-30.366
0.687,0.576,0.379,-10.122,-74.146,-27.988
0.66,0.574,0.374,-13.11,-58.171,-23.902
0.596,0.571,0.379,-15.488,-47.195,-18.78
0.521,0.582,0.375,-16.646,-34.573,-12.622
0.506,0.59,0.38,-17.988,-15.732,-5.488
0.555,0.6,0.402,-19.268,8.11,0.976
0.595,0.618,0.421,-20.366,32.988,6.646
0.62,0.638,0.438,-21.585,56.768,11.341
0.649,0.648,0.463,-21.402,79.451,14.878
0.65,0.634,0.496,-19.207,101.402,19.207
0.632,0.62,0.525,-16.341,122.805,22.622
0.653,0.617,0.579,-11.341,142.927,24.939
0.679,0.6,0.644,-3.659,160.366,29.939
0.661,0.571,0.691,4.207,175.732,34.451
0.651,0.576,0.702,9.512,180.732,33.72
0.675,0.607,0.633,11.037,170.549,30.976
0.631,0.634,0.542,11.28,150.122,29.268
0.539,0.63,0.519,10.854,124.085,26.951
0.538,0.61,0.552,11.524,101.951,23.598
0.603,0.579,0.609,12.744,86.463,19.573
0.668,0.548,0.64,14.085,72.927,14.573
0.709,0.534,0.628,13.841,60.305,9.512
0.723,0.541,0.616,11.951,47.805,3.902
0.725,0.543,0.609,10.793,34.512,-1.524
0.684,0.532,0.603,9.878,19.329,-5.915
0.635,0.527,0.589,9.268,3.293,-9.573
0.585,0.536,0.566,9.939,-14.756,-12.073
0.489,0.538,0.542,10.549,-35.061,-13.598
0.423,0.545,0.528,10.854,-52.256,-14.878
0.41,0.55,0.53,9.024,-68.354,-17.134
0.428,0.547,0.521,6.646,-84.756,-20.671
0.421,0.551,0.498,4.085,-100.549,-24.756
0.418,0.554,0.487,1.829,-112.805,-28.415
0.48,0.547,0.486,0.122,-115.427,-30.793
0.542,0.535,0.509,-0.061,-106.098,-30.671
0.575,0.519,0.54,-0.549,-91.951,-29.024
0.595,0.521,0.557,-1.829,-78.598,-24.817
0.557,0.541,0.534,-3.415,-60.915,-17.622
0.519,0.571,0.501,-5.976,-36.098,-11.402
0.546,0.594,0.505,-8.78,-9.939,-6.402
0.552,0.601,0.505,-9.756,12.561,-1.28
0.522,0.597,0.489,-11.22,31.341,3.963
0.501,0.612,0.479,-13.049,49.329,10.0
0.491,0.629,0.482,-14.268,68.902,15.488
0.505,0.626,0.517,-15.427,88.171,18.537
0.515,0.624,0.571,-15.122,104.085,21.585
0.462,0.61,0.615,-12.866,116.768,27.073
0.428,0.599,0.636,-11.524,125.366,31.098
0.452,0.613,0.653,-9.207,125.854,33.537
0.433,0.619,0.66,-5.0,118.049,36.402
0.394,0.599,0.65,0.305,104.817,36.402
0.399,0.579,0.641,4.573,89.817,34.207
0.451,0.566,0.653,7.744,75.061,31.402
0.538,0.543,0.685,10.671,61.037,27.561
0.577,0.519,0.713,13.232,47.134,22.927
0.59,0.51,0.722,14.207,36.159,18.232
0.628,0.509,0.717,14.39,28.171,14.39
0.631,0.506,0.695,14.146,21.463,9.939
0.624,0.514,0.666,12.683,15.061,6.22
0.637,0.527,0.628,10.915,8.72,3.293
0.612,0.531,0.604,9.512,-0.061,0.061
0.542,0.535,0.592,8.963,-11.28,-3.537
0.481,0.542,0.569,9.878,-21.524,-7.073
0.448,0.548,0.561,10.366,-32.073,-10.549
0.446,0.545,0.557,8.72,-46.037,-14.451
0.444,0.544,0.566,8.598,-63.415,-18.232
0.426,0.535,0.58,8.902,-79.207,-21.768
