acc_x_axis_g,acc_y_axis_g,acc_z_axis_g,gyr_x_axis_deg/s,gyr_y_axis_deg/s,gyr_z_axis_deg/s
-0.13,0.572,0.651,-21.951,58.902,-24.939
-0.125,0.546,0.662,-19.878,46.829,-28.11
-0.206,0.571,0.675,-25.61,35.793,-35.122
-0.183,0.589,0.667,-34.024,22.5,-31.22
-0.155,0.625,0.58,-32.134,2.744,-24.268
-0.166,0.642,0.586,-21.463,-15.244,-18.78
-0.13,0.666,0.632,-12.439,-28.11,-14.878
-0.142,0.648,0.654,-0.61,-34.573,-9.695
-0.134,0.648,0.724,6.707,-35.305,-6.585
-0.064,0.616,0.782,13.598,-31.768,-2.439
-0.106,0.569,0.81,21.768,-22.927,6.098
-0.106,0.593,0.83,23.293,-9.207,10.366
-0.015,0.635,0.843,19.085,10.793,8.171
0.001,0.611,0.836,17.256,25.854,8.598
-0.04,0.653,0.787,13.841,22.927,8.537
-0.067,0.719,0.724,7.5,9.634,7.073
-0.102,0.712,0.726,-1.646,-2.988,4.878
-0.079,0.685,0.762,-9.512,2.073,3.232
-0.078,0.646,0.764,-13.902,26.951,1.524
-0.057,0.6,0.821,-14.268,60.976,1.28
-0.001,0.59,0.894,-11.28,93.354,6.402
-0.062,0.608,0.849,-10.0,105.976,15.488
-0.145,0.64,0.793,-13.415,98.476,24.329
-0.201,0.647,0.751,-14.878,77.561,18.78
-0.196,0.669,0.739,-19.268,52.439,15.0
-0.071,0.638,0.695,-21.585,23.659,9.878
-0.074,0.655,0.652,-20.366,-19.756,-1.707
-0.045,0.663,0.685,-22.317,-64.329,-8.598
-0.072,0.613,0.777,-23.841,-105.366,-5.671
-0.113,0.606,0.84,-23.841,-152.256,-2.561
-0.112,0.618,0.858,-31.646,-202.622,-4.817
-0.176,0.614,0.888,-48.171,-256.524,-8.659
-0.185,0.658,0.912,-65.793,-311.037,-19.512
-0.082,0.67,0.929,-78.902,-369.634,-33.598
-0.168,0.662,0.762,-71.402,-442.378,-36.768
-0.079,0.65,0.659,-49.695,-474.39,-60.061
0.243,0.493,0.649,-35.122,-439.207,-68.537
0.417,0.482,0.626,-25.793,-407.134,-43.11
0.299,0.455,0.704,-23.171,-354.024,-25.915
0.246,0.576,0.671,-34.878,-316.342,-34.207
0.283,0.703,0.688,-38.11,-309.817,-23.293
0.067,0.493,0.634,-29.451,-323.171,-13.659
0.264,0.483,0.623,-22.988,-318.232,-21.098
0.525,0.511,0.706,-22.683,-268.232,-26.463
0.792,0.549,0.743,-23.72,-216.098,-20.061
0.624,0.459,0.633,-22.561,-172.439,-6.585
0.752,0.576,0.674,-34.207,-119.268,-19.268
0.607,0.568,0.577,-40.671,-109.146,-18.841
0.405,0.492,0.489,-39.512,-117.744,-17.134
0.414,0.491,0.509,-36.098,-125.122,-14.756
0.372,0.447,0.568,-27.744,-130.0,-4.817
0.519,0.504,0.7,-17.317,-116.463,-3.963
0.559,0.542,0.795,-8.72,-108.171,2.317
0.455,0.52,0.867,2.012,-115.549,8.902
0.407,0.536,0.884,3.902,-127.622,12.805
0.444,0.572,0.857,0.488,-133.11,10.122
0.623,0.556,0.745,-0.061,-134.512,8.415
0.728,0.519,0.613,1.037,-140.976,7.012
0.779,0.479,0.491,-1.341,-152.012,3.72
0.823,0.443,0.384,-2.744,-163.049,0.0
0.901,0.414,0.274,-1.89,-165.732,-4.878
0.972,0.425,0.212,-2.805,-159.146,-7.317
0.946,0.463,0.229,-6.829,-149.878,-7.073
0.841,0.526,0.31,-19.268,-145.854,-8.598
0.762,0.571,0.383,-27.561,-145.732,-15.061
0.765,0.557,0.359,-29.634,-147.988,-20.671
0.731,0.489,0.272,-27.927,-153.72,-24.939
0.67,0.442,0.222,-24.817,-155.244,-27.622
0.707,0.425,0.242,-23.293,-143.293,-25.732
0.655,0.446,0.312,-20.854,-125.671,-22.134
0.568,0.499,0.374,-18.72,-104.39,-17.866
0.501,0.524,0.396,-12.927,-78.72,-9.573
0.551,0.549,0.415,-8.841,-45.366,-0.549
0.556,0.606,0.34,-4.39,-9.817,3.415
0.564,0.588,0.218,1.585,28.049,6.098
0.577,0.563,0.131,6.89,63.049,8.232
0.572,0.534,0.069,13.415,93.354,8.902
0.538,0.531,0.076,17.5,118.902,10.732
0.436,0.532,0.144,12.561,130.976,14.695
0.36,0.542,0.218,6.341,124.817,20.366
0.345,0.502,0.215,10.244,118.049,24.817
0.358,0.473,0.238,18.902,125.61,25.549
0.434,0.463,0.311,26.341,145.976,24.451
0.545,0.47,0.406,33.598,176.768,23.72
0.605,0.48,0.473,41.402,213.842,24.878
0.662,0.504,0.503,49.39,252.317,24.573
0.684,0.543,0.588,54.878,291.951,21.402
0.667,0.574,0.721,57.012,331.463,16.22
0.696,0.576,0.794,54.634,358.354,11.22
0.683,0.576,0.843,49.634,366.159,7.744
0.594,0.553,0.829,41.159,344.939,10.427
0.52,0.55,0.777,34.634,296.342,15.061
0.481,0.489,0.732,33.598,236.281,24.207
0.509,0.489,0.772,28.415,194.268,27.256
0.71,0.512,0.848,20.976,178.72,23.598
