acc_x_axis_g,acc_y_axis_g,acc_z_axis_g,gyr_x_axis_deg/s,gyr_y_axis_deg/s,gyr_z_axis_deg/s
0.278,0.651,0.661,-54.207,9.146,80.61
0.323,0.649,0.698,-56.524,10.61,72.866
0.321,0.645,0.71,-58.537,10.61,65.793
0.32,0.63,0.737,-59.939,10.427,57.134
0.329,0.62,0.751,-59.695,12.866,48.963
0.321,0.626,0.769,-58.232,19.817,38.659
0.335,0.613,0.769,-56.463,26.037,27.988
0.303,0.611,0.757,-57.5,30.61,16.585
0.283,0.601,0.769,-60.122,40.0,2.744
0.28,0.569,0.793,-59.634,48.537,-7.134
0.296,0.568,0.829,-58.78,57.134,-16.159
0.333,0.571,0.795,-51.585,66.037,-17.988
0.337,0.606,0.807,-45.915,75.488,-13.659
0.252,0.59,0.789,-43.171,82.317,-5.0
0.124,0.609,0.758,-43.415,89.024,-1.524
-0.057,0.576,0.712,-34.085,81.951,-5.61
-0.136,0.603,0.756,-31.159,76.829,-7.744
-0.113,0.583,0.828,-31.463,71.768,-11.829
-0.169,0.51,0.845,-27.073,59.146,-16.159
-0.263,0.496,0.819,-18.415,32.012,-14.024
-0.288,0.541,0.815,-11.951,3.476,-8.232
-0.188,0.567,0.79,-2.927,-19.024,-10.366
-0.14,0.615,0.749,3.841,-38.11,-11.707
-0.142,0.65,0.722,5.915,-54.329,-14.817
-0.16,0.633,0.724,9.878,-73.293,-17.561
-0.191,0.62,0.72,12.195,-91.585,-16.524
-0.199,0.604,0.691,13.049,-103.963,-13.476
-0.197,0.619,0.676,11.037,-108.598,-12.195
-0.105,0.638,0.713,8.902,-102.866,-10.061
0.044,0.647,0.728,6.524,-84.268,-6.402
0.132,0.662,0.755,4.451,-55.976,-6.524
0.137,0.669,0.783,3.72,-27.012,-5.122
0.104,0.662,0.781,3.963,-2.927,-4.817
0.08,0.645,0.751,7.012,8.659,-6.707
0.097,0.662,0.736,7.073,13.598,-7.622
0.051,0.693,0.673,4.634,11.402,-3.049
-0.021,0.716,0.62,3.72,7.5,2.866
0.028,0.732,0.606,4.512,11.098,5.183
0.112,0.728,0.646,6.22,19.39,4.634
0.166,0.724,0.692,6.829,28.476,3.476
0.167,0.707,0.725,7.256,37.988,2.378
0.127,0.677,0.75,6.951,45.183,2.012
0.097,0.644,0.749,6.768,48.537,3.049
0.093,0.644,0.739,5.122,46.89,4.512
0.028,0.634,0.681,2.927,40.061,7.378
-0.059,0.615,0.669,-0.427,29.268,7.134
-0.042,0.592,0.715,-3.598,16.768,5.061
0.001,0.565,0.718,-5.793,2.5,3.659
-0.011,0.564,0.71,-9.878,-18.841,3.293
-0.009,0.589,0.722,-18.659,-48.598,0.305
-0.023,0.59,0.751,-32.988,-91.646,-10.305
-0.083,0.594,0.755,-46.951,-158.72,-20.854
-0.132,0.651,0.772,-64.756,-231.037,-25.793
-0.188,0.67,0.807,-70.488,-308.842,-27.439
-0.312,0.432,0.63,-44.207,-395.122,9.695
0.132,0.553,0.743,-31.463,-415.793,11.037
0.579,0.56,0.798,-26.28,-374.878,3.232
0.79,0.678,0.92,-24.146,-297.622,-6.89
0.73,0.774,0.943,-21.524,-210.061,-24.329
0.706,0.776,0.886,-17.561,-152.317,-46.402
0.378,0.658,0.755,-7.012,-165.793,-32.073
0.124,0.551,0.789,-7.073,-165.183,-20.915
0.341,0.67,0.754,-14.024,-159.024,-37.317
0.286,0.763,0.621,-22.866,-201.646,-34.512
-0.029,0.569,0.458,-19.695,-257.805,-12.256
0.063,0.543,0.526,-22.622,-265.671,-12.439
0.183,0.569,0.578,-25.061,-240.366,-5.427
0.233,0.555,0.599,-23.659,-189.817,1.768
0.374,0.597,0.664,-27.744,-129.329,4.634
0.323,0.577,0.625,-35.0,-101.159,10.122
0.199,0.554,0.564,-38.902,-105.732,12.378
0.202,0.496,0.538,-37.195,-126.463,15.793
0.292,0.447,0.601,-32.683,-137.866,19.573
0.498,0.44,0.715,-25.305,-128.11,18.171
0.69,0.413,0.787,-15.549,-112.866,16.402
0.775,0.423,0.834,-9.634,-103.293,9.573
0.799,0.473,0.837,-7.866,-104.451,2.805
0.725,0.521,0.812,-10.854,-118.293,-2.622
0.703,0.571,0.758,-13.537,-140.061,-9.024
0.714,0.568,0.642,-11.829,-158.659,-13.598
0.836,0.56,0.534,-8.841,-162.256,-19.573
0.928,0.559,0.459,-9.451,-153.171,-25.854
0.941,0.584,0.449,-12.927,-138.598,-31.707
0.848,0.581,0.394,-14.695,-127.744,-34.817
0.768,0.59,0.306,-13.72,-115.366,-36.707
0.719,0.597,0.291,-12.866,-90.793,-36.402
0.63,0.589,0.263,-12.317,-61.098,-34.024
0.559,0.599,0.235,-12.012,-31.341,-28.902
0.484,0.593,0.22,-9.329,-1.585,-23.232
0.375,0.578,0.206,-3.415,26.951,-15.854
0.272,0.599,0.209,1.585,51.89,-6.22
0.206,0.634,0.273,2.744,68.415,4.024
0.146,0.645,0.384,0.854,71.768,13.841
0.161,0.62,0.443,-0.427,73.11,21.585
0.265,0.589,0.469,0.549,79.817,26.463
0.37,0.555,0.499,5.671,92.805,27.927
0.468,0.537,0.529,14.573,112.927,26.951
0.533,0.535,0.531,24.939,137.439,25.732
0.535,0.545,0.481,31.89,158.354,24.085
0.543,0.572,0.477,27.805,164.512,24.634
0.551,0.583,0.551,20.732,157.378,26.768
0.554,0.539,0.602,19.207,150.366,27.012
0.567,0.488,0.664,24.39,153.659,25.244
0.635,0.477,0.771,29.695,172.744,20.732
0.661,0.519,0.889,29.085,192.988,16.098
0.609,0.544,0.917,28.537,202.866,14.146
0.533,0.556,0.861,25.793,201.646,12.378
0.525,0.562,0.748,20.366,182.622,13.049
0.57,0.546,0.639,7.805,137.378,13.659
0.594,0.479,0.557,5.732,69.878,13.78
0.604,0.389,0.569,17.988,15.488,11.524
