acc_x_axis_g,acc_y_axis_g,acc_z_axis_g,gyr_x_axis_deg/s,gyr_y_axis_deg/s,gyr_z_axis_deg/s
0.347,0.604,0.786,-64.634,30.793,27.988
0.317,0.602,0.752,-61.098,27.378,22.195
0.27,0.572,0.727,-51.402,25.122,15.976
0.284,0.541,0.793,-39.939,30.366,9.512
0.366,0.544,0.866,-34.634,40.244,-1.098
0.318,0.566,0.831,-31.585,40.366,-11.707
0.214,0.537,0.854,-21.646,36.098,-18.171
0.203,0.537,0.9,-17.927,38.659,-26.22
0.148,0.56,0.872,-20.0,42.683,-30.61
0.123,0.585,0.805,-16.707,44.817,-23.72
0.084,0.627,0.711,-15.976,50.0,-15.793
-0.155,0.6,0.616,-13.354,48.354,-2.561
-0.241,0.64,0.616,-13.354,50.488,-1.89
-0.122,0.653,0.691,-15.61,53.78,-7.378
-0.052,0.627,0.766,-13.841,47.317,-12.134
-0.054,0.578,0.777,-9.451,30.732,-13.171
0.019,0.566,0.78,-4.512,20.671,-20.793
0.026,0.567,0.75,3.963,9.878,-24.146
-0.061,0.608,0.685,9.573,-1.098,-21.159
-0.06,0.675,0.607,10.0,-6.524,-20.793
-0.057,0.735,0.601,5.305,-11.646,-22.866
-0.063,0.743,0.673,-0.122,-14.024,-27.195
-0.032,0.705,0.715,-2.988,-9.878,-26.524
0.032,0.681,0.707,-4.146,-1.22,-25.976
0.081,0.708,0.654,-3.049,10.427,-21.463
0.073,0.729,0.656,0.732,21.037,-16.463
0.003,0.709,0.669,5.061,27.256,-6.28
-0.209,0.694,0.681,4.512,23.72,3.293
-0.27,0.686,0.731,4.024,16.768,7.927
-0.183,0.702,0.79,3.476,12.805,9.39
-0.093,0.696,0.818,2.195,11.768,11.829
-0.073,0.698,0.763,5.305,15.0,14.634
-0.008,0.687,0.739,9.573,23.354,16.098
0.029,0.712,0.733,10.915,32.134,17.561
-0.014,0.73,0.692,10.488,35.305,19.085
-0.017,0.753,0.669,7.012,32.134,19.024
-0.084,0.734,0.65,1.646,23.049,17.134
-0.079,0.685,0.667,-2.866,14.817,13.476
-0.027,0.635,0.696,-4.939,8.171,9.451
-0.025,0.613,0.696,-4.329,0.122,7.805
-0.047,0.583,0.72,-4.878,-7.256,6.037
-0.041,0.597,0.75,-9.085,-16.098,1.768
0.034,0.622,0.726,-13.598,-28.293,-2.683
0.056,0.62,0.708,-15.305,-44.268,-8.171
-0.001,0.604,0.698,-15.915,-74.024,-11.037
-0.129,0.58,0.735,-15.366,-115.366,-11.098
-0.281,0.572,0.778,-14.451,-154.878,-9.024
-0.33,0.62,0.767,-18.78,-175.854,-9.695
-0.254,0.706,0.799,-27.073,-186.951,-13.902
-0.158,0.702,0.826,-31.524,-192.805,-6.463
-0.018,0.72,0.837,-26.707,-199.207,0.061
-0.04,0.586,0.721,-12.012,-229.817,30.793
0.119,0.645,0.754,-12.5,-207.439,21.22
0.514,0.785,0.746,-14.512,-180.244,-5.061
0.417,0.699,0.643,-15.732,-188.293,6.829
0.159,0.644,0.638,-18.171,-219.329,15.671
0.066,0.667,0.752,-32.378,-233.11,5.122
0.194,0.775,0.827,-51.768,-214.878,-28.293
0.18,0.748,0.651,-53.293,-225.793,-34.268
0.146,0.614,0.558,-53.232,-202.866,-35.915
0.575,0.668,0.615,-54.085,-155.976,-45.793
0.542,0.566,0.623,-42.988,-144.573,-28.171
0.256,0.377,0.706,-37.683,-134.268,-14.024
0.262,0.479,0.839,-37.927,-122.012,-17.988
0.039,0.514,0.833,-32.256,-127.012,-13.049
-0.079,0.517,0.791,-23.232,-140.305,-1.585
-0.014,0.547,0.817,-20.061,-142.744,4.329
0.106,0.573,0.806,-18.11,-141.646,7.012
0.291,0.567,0.774,-16.402,-135.549,6.951
0.513,0.568,0.732,-16.402,-130.976,5.244
0.607,0.592,0.695,-15.427,-138.415,4.268
0.64,0.58,0.666,-16.037,-155.244,1.89
0.648,0.557,0.667,-17.073,-172.012,-3.476
0.704,0.546,0.699,-18.476,-179.451,-9.329
0.745,0.547,0.686,-20.061,-174.39,-14.268
0.765,0.56,0.633,-21.768,-160.732,-20.183
0.746,0.57,0.579,-22.744,-149.512,-23.11
0.668,0.579,0.548,-23.232,-144.024,-22.866
0.616,0.574,0.536,-23.537,-143.72,-21.89
0.59,0.541,0.502,-20.488,-143.659,-20.793
0.61,0.526,0.488,-16.524,-139.817,-19.817
0.601,0.537,0.48,-12.866,-135.61,-19.329
0.595,0.558,0.481,-13.72,-124.329,-19.817
0.636,0.626,0.476,-18.963,-100.549,-23.049
0.618,0.645,0.423,-24.085,-77.744,-23.537
0.594,0.641,0.384,-26.037,-59.268,-20.976
0.534,0.616,0.397,-24.695,-42.439,-17.561
0.468,0.579,0.396,-17.866,-26.707,-12.378
0.407,0.556,0.397,-9.573,-9.085,-7.073
0.344,0.549,0.444,-2.012,13.049,-0.061
0.306,0.576,0.452,5.183,36.28,7.317
0.272,0.624,0.433,9.939,58.232,14.146
0.243,0.655,0.425,9.939,74.207,21.951
0.268,0.647,0.416,7.012,80.183,29.268
0.321,0.605,0.412,4.329,78.049,34.329
0.438,0.534,0.427,5.732,73.354,36.159
0.594,0.455,0.444,13.049,70.488,33.415
0.697,0.43,0.471,20.305,73.72,27.073
0.776,0.441,0.527,26.098,82.195,20.0
0.763,0.495,0.539,28.11,92.439,14.329
