acc_x_axis_g,acc_y_axis_g,acc_z_axis_g,gyr_x_axis_deg/s,gyr_y_axis_deg/s,gyr_z_axis_deg/s
0.373,0.645,0.584,-47.683,18.902,20.305
0.271,0.596,0.643,-38.841,20.793,16.768
0.41,0.56,0.74,-33.171,31.22,3.171
0.388,0.542,0.796,-28.171,40.366,-6.037
0.3,0.548,0.836,-24.634,37.439,-12.195
0.21,0.533,0.81,-20.549,22.256,-13.537
0.125,0.554,0.78,-19.817,18.293,-17.317
0.139,0.562,0.764,-12.927,26.159,-19.451
0.203,0.588,0.741,-1.28,30.183,-18.537
0.097,0.63,0.631,5.122,27.012,-9.756
-0.11,0.668,0.53,6.524,23.11,2.622
-0.164,0.727,0.549,-0.793,14.512,9.512
-0.261,0.771,0.534,-9.512,-2.439,14.451
-0.239,0.74,0.581,-14.085,-4.207,15.793
0.035,0.707,0.696,-20.0,2.012,9.146
0.149,0.677,0.771,-22.134,5.122,4.634
0.201,0.648,0.771,-20.61,7.988,1.951
0.221,0.631,0.745,-17.561,12.317,-2.683
0.253,0.614,0.756,-14.268,18.415,-9.634
0.268,0.615,0.752,-11.768,26.098,-17.5
0.23,0.631,0.743,-11.707,31.037,-27.622
0.08,0.603,0.747,-10.0,19.329,-27.073
-0.066,0.625,0.752,-18.049,0.488,-27.012
-0.097,0.661,0.657,-23.537,-8.902,-27.561
-0.039,0.678,0.579,-17.5,-10.732,-25.122
0.023,0.722,0.584,-10.488,-8.11,-21.524
0.04,0.718,0.6,-1.28,-3.171,-15.488
0.047,0.708,0.621,6.28,0.122,-10.305
0.035,0.69,0.67,12.866,-0.122,-6.463
0.003,0.666,0.736,17.134,-3.963,-4.695
-0.007,0.657,0.796,17.744,-8.598,-6.524
0.009,0.661,0.833,15.061,-10.183,-7.805
-0.02,0.683,0.801,11.098,-7.561,-7.317
-0.091,0.672,0.749,5.915,-1.951,-3.659
-0.132,0.684,0.688,3.11,2.866,1.89
-0.162,0.726,0.657,1.646,4.573,7.683
-0.11,0.748,0.675,1.159,7.134,11.89
