acc_x_axis_g,acc_y_axis_g,acc_z_axis_g,gyr_x_axis_deg/s,gyr_y_axis_deg/s,gyr_z_axis_deg/s
0.495,0.396,0.251,8.598,-23.415,8.659
0.607,0.472,0.268,9.573,-37.439,-0.854
0.639,0.508,0.36,5.244,-46.402,-9.207
0.524,0.61,0.477,-2.317,-45.061,-13.598
0.417,0.809,0.545,-9.207,-33.537,-15.488
0.378,1.047,0.615,-12.744,-17.866,-19.329
0.442,1.281,0.743,-15.732,-1.524,-24.939
0.504,1.412,0.873,-21.646,19.024,-30.61
0.51,1.396,0.944,-26.159,34.146,-35.061
0.534,1.288,0.955,-26.89,45.854,-39.024
0.552,1.144,0.96,-24.268,56.341,-43.78
0.567,1.026,0.929,-19.878,65.61,-43.11
0.64,0.951,0.813,-18.354,70.671,-35.61
0.695,0.886,0.689,-15.671,66.524,-25.305
0.645,0.81,0.594,-13.476,66.159,-12.012
0.496,0.723,0.594,-13.232,68.049,-2.988
0.249,0.653,0.477,-13.72,65.671,-1.768
0.204,0.667,0.208,-11.22,55.061,-1.463
0.398,0.619,0.231,-6.89,37.317,1.585
0.521,0.511,0.383,-1.707,22.317,4.878
0.537,0.375,0.385,5.61,13.11,5.122
0.55,0.282,0.328,12.195,6.28,4.268
0.559,0.26,0.27,14.756,-2.012,4.756
0.537,0.262,0.251,14.451,-18.049,5.549
0.502,0.272,0.238,14.146,-43.049,8.841
0.481,0.287,0.188,7.683,-57.805,22.378
0.478,0.314,0.149,3.537,-63.902,30.671
0.483,0.341,0.162,4.817,-52.378,25.732
0.526,0.385,0.185,3.902,-25.244,13.415
0.586,0.476,0.234,4.085,-6.768,3.598
0.629,0.604,0.296,4.573,0.305,2.317
0.625,0.729,0.372,3.293,1.585,2.622
0.452,0.819,0.5,1.22,1.28,-2.256
0.278,0.945,0.649,-0.305,1.159,-9.573
0.229,1.098,0.786,-2.622,2.378,-15.854
0.29,1.233,0.92,-6.463,7.622,-22.317
0.386,1.319,1.008,-11.037,21.28,-29.39
0.439,1.32,1.034,-16.768,41.89,-35.915
0.452,1.231,1.014,-22.073,63.841,-38.354
0.427,1.115,0.979,-24.939,80.0,-36.646
0.425,1.045,0.892,-25.305,83.537,-31.463
0.481,0.992,0.741,-26.28,82.317,-22.256
0.535,0.9,0.661,-22.561,66.585,-12.683
0.523,0.755,0.652,-13.659,42.378,-3.963
0.35,0.625,0.632,-7.5,29.268,1.951
0.129,0.583,0.441,-4.268,25.0,3.476
0.147,0.601,0.272,0.061,18.537,2.317
0.335,0.558,0.268,5.915,7.256,2.683
0.47,0.444,0.324,12.317,-1.951,8.78
0.509,0.317,0.312,16.524,-7.378,15.854
0.511,0.237,0.268,17.683,-7.073,19.085
0.504,0.213,0.243,17.256,-0.244,20.183
0.47,0.235,0.241,17.988,4.39,23.537
0.445,0.283,0.226,18.354,1.951,29.146
0.457,0.313,0.22,16.037,-9.39,33.537
0.457,0.314,0.252,15.122,-31.585,31.402
0.443,0.325,0.272,12.134,-39.024,22.5
0.463,0.378,0.289,6.89,-27.988,11.22
0.494,0.483,0.317,2.805,-14.268,4.451
0.534,0.627,0.365,0.183,-5.854,2.317
0.5,0.754,0.522,-2.378,0.549,0.366
0.386,0.869,0.721,-6.341,7.866,-3.841
0.305,1.006,0.847,-10.183,14.512,-9.878
0.23,1.157,0.979,-12.073,21.341,-17.256
0.211,1.3,1.075,-14.268,31.524,-24.939
0.248,1.39,1.105,-18.049,44.939,-31.524
0.318,1.395,1.091,-21.402,57.622,-36.098
0.348,1.284,1.074,-22.683,69.024,-38.293
0.32,1.148,0.98,-24.573,72.866,-38.11
0.337,1.064,0.823,-25.61,72.073,-32.439
0.395,0.955,0.708,-23.72,66.89,-22.378
0.434,0.791,0.725,-16.402,46.463,-10.732
0.383,0.601,0.798,-7.073,26.22,-0.793
0.225,0.479,0.663,0.61,11.89,3.902
0.19,0.524,0.256,4.695,0.0,4.634
0.371,0.565,0.17,6.28,-7.927,3.72
0.48,0.473,0.249,9.695,-13.902,5.549
0.5,0.34,0.25,13.659,-23.11,14.024
0.52,0.23,0.224,14.207,-33.902,24.146
0.521,0.177,0.217,14.207,-37.866,29.451
0.487,0.197,0.222,18.537,-35.061,27.439
0.471,0.251,0.205,26.463,-30.854,22.805
0.479,0.293,0.232,29.329,-32.988,24.268
0.465,0.298,0.298,24.939,-45.366,33.354
0.445,0.323,0.326,17.866,-54.146,33.354
0.446,0.392,0.333,7.317,-37.927,21.098
0.484,0.528,0.351,-2.073,-17.805,6.402
0.549,0.679,0.441,-7.073,-6.89,-0.549
0.475,0.786,0.646,-10.793,0.549,-1.646
0.389,0.93,0.814,-16.098,9.512,-4.024
0.293,1.08,0.954,-21.28,16.585,-9.512
0.201,1.228,1.108,-24.085,20.488,-17.5
0.172,1.328,1.179,-27.073,27.805,-26.098
0.194,1.334,1.159,-30.366,35.549,-34.878
0.287,1.279,1.098,-32.622,41.28,-40.793
0.325,1.186,1.048,-38.049,46.159,-41.463
0.315,1.102,0.925,-43.659,48.78,-36.951
0.365,1.035,0.755,-46.646,62.012,-24.939
0.459,0.915,0.667,-44.329,62.256,-13.171
0.537,0.725,0.697,-36.463,44.024,-2.195
0.487,0.521,0.74,-26.159,21.341,4.146
0.315,0.419,0.649,-14.451,-2.5,3.537
0.209,0.473,0.269,-2.256,-21.951,2.683
0.307,0.543,0.099,7.195,-35.549,6.159
0.384,0.48,0.168,14.085,-41.402,12.561
0.373,0.352,0.217,18.049,-43.72,19.939
0.45,0.243,0.244,18.476,-42.256,26.28
0.548,0.183,0.271,19.39,-28.049,29.512
0.564,0.183,0.282,25.732,-7.012,28.537
0.516,0.23,0.265,33.78,14.085,25.61
0.471,0.276,0.262,33.415,21.341,25.549
0.436,0.279,0.291,25.366,6.463,34.329
0.413,0.279,0.322,16.463,-22.012,36.768
0.42,0.33,0.365,6.585,-34.085,25.732
0.458,0.427,0.425,-0.549,-30.366,8.171
0.559,0.554,0.509,-3.11,-24.39,-4.817
0.564,0.662,0.668,-5.061,-11.28,-9.695
0.451,0.814,0.78,-9.268,7.683,-10.244
0.308,1.012,0.828,-15.061,23.415,-10.854
0.167,1.218,0.933,-19.146,29.939,-15.244
0.126,1.371,1.048,-21.646,34.512,-22.5
0.189,1.416,1.094,-24.024,40.61,-30.61
0.294,1.389,1.094,-26.829,46.585,-38.963
0.344,1.308,1.078,-28.72,52.561,-44.451
0.308,1.201,1.026,-27.5,54.939,-44.085
0.324,1.124,0.916,-24.817,59.878,-35.488
0.406,1.005,0.797,-20.671,59.817,-22.134
0.469,0.798,0.763,-14.512,44.451,-7.744
0.409,0.561,0.796,-11.341,24.634,0.793
0.183,0.422,0.7,-8.659,3.78,1.707
0.127,0.471,0.361,-3.841,-10.854,1.951
0.303,0.504,0.244,1.829,-15.976,6.402
