acc_x_axis_g,acc_y_axis_g,acc_z_axis_g,gyr_x_axis_deg/s,gyr_y_axis_deg/s,gyr_z_axis_deg/s
-0.83,0.769,0.252,-2.927,52.561,11.22
-0.745,0.786,0.283,3.171,24.39,2.073
-0.744,0.805,0.248,8.963,1.22,-6.28
-0.807,0.807,0.192,12.134,-4.573,-11.22
-0.856,0.791,0.151,9.085,7.683,-16.22
-0.8,0.723,0.125,0.793,26.524,-21.159
-0.712,0.595,0.149,-8.232,40.61,-21.707
-0.672,0.462,0.157,-14.268,43.232,-18.963
-0.656,0.362,0.152,-18.171,39.634,-14.451
-0.642,0.293,0.139,-20.061,40.305,-12.256
-0.628,0.239,0.142,-21.341,43.902,-13.415
-0.639,0.196,0.124,-24.024,45.488,-12.561
-0.686,0.153,0.09,-28.293,41.28,-8.537
-0.723,0.114,0.108,-33.293,32.866,-6.098
-0.728,0.09,0.133,-37.195,30.183,-5.366
-0.714,0.1,0.161,-38.902,38.049,-5.244
-0.702,0.12,0.158,-38.232,49.573,-6.098
-0.734,0.149,0.125,-35.671,57.683,-6.524
-0.786,0.2,0.072,-32.622,62.683,-6.098
-0.829,0.297,0.045,-28.659,66.22,-6.402
-0.831,0.467,0.022,-23.963,66.829,-7.256
-0.801,0.697,-0.017,-19.207,65.244,-6.524
-0.721,0.904,0.049,-13.841,62.866,-6.463
-0.704,0.996,0.117,-6.22,62.134,-6.585
-0.807,1.047,0.1,2.683,62.622,-5.732
-0.938,1.122,0.07,11.707,61.037,-4.207
-0.957,1.22,0.039,21.585,54.939,-2.317
-0.899,1.286,0.015,32.866,42.439,0.671
-0.844,1.285,0.018,44.756,25.732,5.061
-0.841,1.202,0.016,52.805,10.915,9.329
-0.862,1.104,-0.023,52.744,5.244,14.512
-0.857,1.056,-0.054,47.012,10.793,16.768
-0.762,0.984,0.001,40.915,25.061,17.317
-0.636,0.798,0.077,35.427,31.463,19.573
-0.572,0.558,0.098,27.744,24.085,25.244
-0.619,0.361,0.03,18.171,10.244,26.768
-0.807,0.285,-0.172,7.988,-2.622,21.89
-0.82,0.282,-0.096,-1.707,-11.341,15.488
-0.549,0.196,0.163,-9.024,-14.878,11.585
-0.509,-0.001,0.229,-16.159,-18.415,11.28
-0.729,-0.136,0.164,-25.366,-21.524,12.439
-0.938,-0.128,0.113,-33.963,-16.768,9.207
-1.034,-0.027,0.086,-38.171,0.305,1.159
-0.999,0.088,0.118,-37.988,19.817,-6.159
-0.886,0.166,0.17,-37.073,28.841,-6.524
-0.805,0.211,0.186,-37.927,25.122,-0.183
-0.759,0.296,0.144,-38.11,14.451,-2.683
-0.712,0.459,0.071,-34.451,19.024,-14.817
-0.645,0.668,-0.025,-23.902,37.195,-18.293
-0.545,0.875,-0.098,-10.549,44.634,-10.061
-0.512,0.983,-0.054,1.707,35.427,-1.707
-0.545,1.0,-0.019,12.012,18.232,5.0
-0.633,1.045,-0.015,21.098,0.732,12.012
-0.766,1.178,-0.045,30.0,-9.451,16.463
-0.849,1.372,-0.096,40.427,-15.488,18.232
-0.909,1.541,-0.109,52.195,-24.39,22.683
-0.917,1.542,-0.048,60.122,-35.488,26.951
-0.886,1.322,-0.035,61.951,-45.976,27.134
-0.844,1.1,-0.034,56.646,-51.037,22.195
-0.832,0.948,0.004,48.049,-37.561,14.939
-0.792,0.781,0.067,41.707,-13.72,9.939
-0.676,0.573,0.118,38.659,7.622,10.183
-0.616,0.357,0.125,32.5,19.878,13.598
-0.729,0.208,-0.044,18.476,18.171,15.915
-0.865,0.195,-0.151,-1.098,6.524,12.805
-0.722,0.192,0.07,-18.72,-4.756,5.61
-0.569,0.08,0.219,-29.268,-6.159,0.915
-0.644,-0.058,0.194,-36.463,-4.024,-1.585
-0.821,-0.105,0.123,-42.378,-4.756,-4.817
-0.909,-0.009,0.068,-45.0,-2.927,-9.329
-0.821,0.146,0.118,-44.146,5.183,-15.366
-0.726,0.232,0.2,-40.915,14.207,-18.537
-0.719,0.267,0.2,-36.585,14.695,-13.293
-0.736,0.358,0.123,-34.146,5.854,-7.134
-0.679,0.569,0.033,-31.098,1.585,-11.341
-0.571,0.835,-0.053,-23.72,14.451,-16.098
-0.481,1.023,-0.032,-11.341,21.585,-12.744
-0.47,1.035,0.004,3.293,11.098,-4.573
-0.581,0.942,-0.003,14.268,-4.268,2.866
-0.722,0.896,-0.025,20.915,-11.89,7.866
-0.807,1.029,-0.078,28.293,-14.329,10.122
-0.833,1.24,-0.104,39.024,-21.585,14.024
-0.824,1.352,-0.099,51.646,-33.902,21.28
-0.798,1.307,-0.061,58.598,-43.78,26.463
-0.765,1.148,0.002,53.78,-44.329,26.402
-0.839,1.035,-0.012,42.134,-31.829,18.72
-0.993,1.048,-0.066,31.646,-8.963,9.085
-1.0,1.01,-0.076,27.134,11.402,5.244
-0.841,0.837,0.001,28.841,18.78,6.89
-0.679,0.626,0.109,26.402,16.829,9.146
-0.614,0.452,0.189,14.39,10.061,8.171
-0.66,0.33,0.141,0.244,3.537,3.11
-0.779,0.271,0.028,-11.585,3.354,-4.573
-0.709,0.24,0.102,-17.622,9.024,-9.756
-0.569,0.159,0.2,-21.585,8.598,-9.268
-0.593,0.032,0.202,-31.098,-5.244,-5.732
-0.719,-0.04,0.144,-42.195,-18.902,-2.622
-0.802,-0.016,0.074,-47.012,-16.098,-5.488
-0.773,0.067,0.088,-44.695,-4.817,-12.927
-0.682,0.148,0.151,-39.329,0.793,-16.585
-0.67,0.2,0.171,-35.427,-2.622,-11.098
-0.741,0.25,0.107,-31.402,-7.012,-3.415
-0.802,0.345,-0.007,-26.524,-10.244,-5.793
-0.778,0.542,-0.083,-21.098,-0.183,-8.902
-0.676,0.814,-0.083,-11.768,8.049,-7.683
-0.528,1.025,-0.008,-1.159,3.293,-3.598
-0.468,1.129,0.03,7.317,-3.841,1.402
-0.558,1.196,-0.011,14.695,-5.183,5.366
-0.757,1.264,-0.072,22.927,-1.28,6.402
-0.91,1.346,-0.118,31.646,2.378,7.5
-0.922,1.417,-0.107,41.28,-2.317,10.122
-0.811,1.399,-0.039,51.646,-16.585,12.805
-0.711,1.314,-0.025,57.195,-31.768,13.598
-0.716,1.249,-0.067,53.963,-36.951,10.976
-0.762,1.136,-0.096,46.402,-24.146,5.61
-0.737,0.89,0.016,38.537,1.341,-0.488
-0.663,0.604,0.157,30.305,20.183,-3.537
-0.678,0.351,0.191,20.427,22.622,-1.402
-0.793,0.198,0.017,7.5,11.037,2.073
-0.874,0.14,0.058,-6.646,-1.89,3.049
-0.693,0.088,0.284,-18.598,-4.817,-0.183
-0.659,-0.048,0.325,-28.293,0.244,-4.268
-0.817,-0.174,0.239,-41.707,2.622,-6.463
-0.946,-0.167,0.142,-55.976,1.89,-9.817
-0.932,-0.036,0.072,-61.585,5.61,-20.854
-0.794,0.117,0.104,-60.122,13.171,-34.268
-0.706,0.209,0.172,-56.585,13.902,-37.073
-0.714,0.241,0.168,-52.134,9.329,-27.744
-0.723,0.305,0.113,-44.024,6.707,-23.659
-0.695,0.46,0.041,-35.732,10.976,-28.72
-0.639,0.637,0.025,-25.793,24.085,-25.61
-0.575,0.749,0.005,-11.585,20.61,-14.329
-0.523,0.869,-0.006,2.561,2.073,-3.78
-0.52,1.048,0.006,11.951,-13.354,4.39
-0.655,1.179,-0.023,18.232,-20.549,9.146
-0.862,1.205,-0.089,24.939,-19.39,11.768
-0.966,1.21,-0.123,33.963,-17.256,17.317
-0.911,1.256,-0.099,44.268,-18.049,24.207
-0.781,1.307,-0.047,50.793,-21.707,26.28
-0.702,1.299,-0.012,50.732,-28.963,21.341
-0.729,1.205,0.016,49.512,-30.061,18.293
-0.839,1.073,0.007,49.451,-15.915,17.012
-0.922,0.956,-0.058,43.232,4.573,12.195
-0.873,0.835,-0.046,31.098,17.622,10.061
-0.741,0.657,0.099,19.207,12.378,11.22
-0.626,0.456,0.227,9.268,-2.683,10.854
-0.635,0.295,0.199,-0.976,-12.195,7.5
-0.724,0.205,0.181,-12.012,-9.634,2.073
-0.639,0.139,0.296,-22.378,-0.549,-4.207
-0.621,0.028,0.279,-31.28,4.024,-10.305
-0.798,-0.079,0.17,-39.573,-1.89,-14.085
-0.915,-0.085,0.093,-48.354,-15.305,-13.72
-0.892,-0.024,0.056,-54.451,-21.89,-14.207
-0.795,0.051,0.097,-54.085,-16.22,-21.463
-0.709,0.125,0.193,-49.817,-7.622,-29.39
-0.696,0.159,0.227,-45.122,-3.354,-25.244
-0.727,0.19,0.172,-36.829,2.622,-17.012
-0.732,0.31,0.116,-26.707,7.195,-20.915
-0.686,0.52,0.065,-17.378,15.793,-21.829
-0.607,0.786,-0.016,-7.439,13.232,-12.378
-0.499,1.028,0.001,2.012,-3.293,-4.207
-0.438,1.157,0.06,9.451,-16.524,1.341
-0.492,1.204,0.05,16.829,-19.085,6.22
-0.698,1.206,-0.01,24.268,-16.341,8.232
-0.886,1.25,-0.063,32.866,-14.756,11.463
-0.954,1.304,-0.073,44.756,-16.829,16.463
-0.894,1.285,-0.025,55.976,-20.732,20.305
-0.836,1.164,0.037,61.707,-26.28,22.927
-0.843,1.018,0.054,59.939,-33.049,22.988
-0.854,0.932,0.058,52.134,-28.171,19.756
-0.835,0.833,0.064,43.171,-4.573,12.439
-0.775,0.663,0.08,32.744,20.671,5.793
-0.711,0.489,0.122,22.561,30.61,6.524
-0.691,0.343,0.154,10.488,21.28,8.902
-0.75,0.253,0.054,-2.439,8.78,8.354
-0.856,0.258,-0.085,-13.476,3.659,4.268
-0.794,0.276,0.064,-21.585,5.671,0.122
-0.676,0.186,0.231,-27.134,6.22,-1.646
-0.696,0.034,0.256,-32.927,1.402,-3.659
-0.782,-0.026,0.237,-37.988,-0.549,-6.585
-0.842,0.042,0.164,-38.902,2.744,-11.768
-0.815,0.189,0.133,-35.732,7.134,-19.085
-0.745,0.28,0.175,-30.61,7.195,-23.72
