acc_x_axis_g,acc_y_axis_g,acc_z_axis_g,gyr_x_axis_deg/s,gyr_y_axis_deg/s,gyr_z_axis_deg/s
0.561,0.389,0.325,18.659,-19.512,9.634
0.585,0.447,0.378,22.256,-21.585,0.976
0.598,0.511,0.453,26.22,-14.634,-2.073
0.573,0.59,0.521,29.512,0.488,-6.646
0.516,0.652,0.618,32.683,18.659,-12.805
0.385,0.706,0.704,34.695,34.695,-15.366
0.327,0.816,0.766,33.659,46.098,-17.195
0.299,0.936,0.833,30.305,53.902,-22.317
0.301,1.036,0.884,25.854,59.573,-30.488
0.333,1.127,0.913,20.366,65.854,-38.11
0.371,1.215,0.938,14.39,75.61,-44.085
0.422,1.317,0.967,8.232,88.171,-46.037
0.471,1.407,0.997,1.768,94.756,-43.78
0.508,1.358,1.028,-2.988,91.463,-41.402
0.523,1.207,1.037,-5.244,84.878,-36.707
0.525,1.079,0.969,-5.549,71.463,-30.488
0.432,0.96,0.844,-4.817,59.329,-24.329
0.321,0.821,0.696,-3.232,53.537,-17.256
0.176,0.68,0.597,-2.012,54.634,-8.293
-0.081,0.604,0.443,-1.28,65.366,4.329
-0.108,0.584,0.319,-0.976,86.159,17.927
0.072,0.509,0.397,-0.366,110.61,21.524
0.244,0.389,0.48,2.866,135.549,17.134
0.388,0.305,0.471,7.012,158.963,16.463
0.425,0.262,0.418,9.085,168.354,18.476
0.441,0.243,0.374,8.902,153.232,17.378
0.475,0.236,0.368,7.195,111.28,17.378
0.466,0.233,0.365,2.744,51.098,22.134
0.39,0.251,0.325,-4.146,-11.646,30.061
0.326,0.282,0.28,-6.098,-68.598,37.134
0.321,0.305,0.297,-3.476,-91.768,33.354
0.34,0.324,0.362,0.244,-79.634,24.756
0.378,0.364,0.435,3.537,-58.841,20.915
0.376,0.448,0.497,4.573,-37.134,20.183
0.364,0.58,0.545,5.366,-18.049,17.927
0.385,0.715,0.607,6.646,-2.866,11.89
0.342,0.807,0.694,6.646,8.841,4.268
0.221,0.894,0.764,4.817,14.512,-1.768
0.098,1.001,0.835,2.927,12.561,-7.317
0.035,1.089,0.909,2.012,10.732,-15.427
0.032,1.151,0.971,2.134,14.634,-24.451
0.075,1.197,0.999,2.988,22.134,-29.268
0.11,1.228,0.988,4.024,34.939,-29.878
0.132,1.207,0.971,4.695,51.463,-29.695
0.161,1.15,0.941,4.024,62.988,-30.793
0.219,1.1,0.874,0.854,69.573,-29.085
0.295,1.013,0.8,-2.805,66.341,-22.195
0.34,0.869,0.743,-4.634,49.939,-16.159
0.315,0.71,0.728,-4.146,27.866,-12.256
0.207,0.577,0.7,-2.683,10.305,-7.744
0.075,0.519,0.609,-0.854,-2.012,-2.439
0.095,0.556,0.457,-0.061,-11.89,-0.061
0.254,0.558,0.436,0.244,-20.0,0.366
0.369,0.453,0.486,0.122,-22.927,4.39
0.434,0.342,0.501,-0.854,-18.354,10.061
0.424,0.292,0.48,-1.524,-8.659,12.866
0.406,0.271,0.471,-0.671,0.671,14.939
0.405,0.256,0.482,1.89,4.451,16.037
0.372,0.264,0.463,4.634,-1.037,16.707
0.327,0.307,0.409,3.72,-18.963,20.488
0.309,0.351,0.373,0.915,-46.037,25.427
0.307,0.364,0.373,-0.427,-61.463,22.256
0.308,0.373,0.39,-0.549,-56.646,11.402
0.32,0.422,0.407,-0.244,-49.268,6.098
0.31,0.522,0.455,-0.244,-43.476,4.878
0.334,0.651,0.504,0.915,-37.012,1.829
0.375,0.751,0.632,3.11,-29.512,-2.439
0.343,0.819,0.76,4.085,-20.854,-5.0
0.31,0.924,0.805,4.085,-13.72,-7.378
0.262,1.041,0.835,3.171,-12.073,-12.805
0.25,1.142,0.85,2.317,-10.244,-18.232
0.233,1.216,0.858,1.829,-5.549,-21.098
0.199,1.269,0.854,1.402,-2.134,-21.098
0.208,1.308,0.842,1.037,1.829,-19.268
0.26,1.294,0.875,0.671,3.293,-19.939
0.292,1.198,0.916,0.061,4.39,-22.073
0.326,1.081,0.892,-0.366,9.878,-19.512
0.377,0.969,0.815,-0.61,11.585,-11.951
0.379,0.834,0.754,-0.61,13.11,-6.585
0.313,0.683,0.709,-1.28,14.634,-2.805
0.174,0.555,0.669,-4.085,14.573,2.073
0.046,0.503,0.551,-6.829,11.28,8.659
0.109,0.565,0.364,-8.72,5.0,13.354
0.331,0.589,0.383,-10.0,-1.098,12.256
0.478,0.483,0.447,-9.817,-4.39,11.646
0.536,0.348,0.457,-9.146,-6.22,16.037
0.528,0.278,0.444,-8.232,-8.415,18.78
0.512,0.239,0.437,-5.793,-14.085,18.963
0.521,0.216,0.441,-2.317,-26.037,20.122
0.5,0.214,0.437,1.646,-44.634,21.585
0.451,0.234,0.371,2.073,-67.134,27.5
0.423,0.285,0.31,0.427,-88.049,37.012
0.422,0.328,0.299,-0.915,-92.988,35.366
0.411,0.348,0.294,-1.463,-77.073,24.146
0.415,0.386,0.302,-0.488,-56.89,19.573
0.408,0.46,0.345,0.732,-40.732,18.293
0.408,0.564,0.399,2.866,-28.963,14.207
0.467,0.659,0.515,5.61,-18.78,8.11
0.457,0.721,0.677,7.866,-9.085,2.5
0.441,0.794,0.774,8.72,-0.549,-1.524
0.343,0.901,0.837,8.598,5.549,-5.671
0.255,1.039,0.866,8.476,11.402,-11.585
0.202,1.163,0.876,8.902,20.244,-17.744
0.155,1.249,0.897,9.024,29.512,-21.768
0.152,1.298,0.891,7.256,36.524,-24.207
0.199,1.313,0.875,5.671,41.159,-26.098
0.281,1.273,0.878,4.695,44.573,-28.537
0.322,1.189,0.872,4.878,55.427,-30.366
0.345,1.128,0.824,6.098,60.488,-24.085
0.342,1.064,0.725,7.805,58.841,-13.902
0.313,0.942,0.669,9.512,47.256,-9.634
0.304,0.787,0.671,9.573,31.585,-7.683
0.24,0.641,0.672,7.683,18.537,-5.305
0.118,0.553,0.607,4.939,9.268,-3.232
0.167,0.582,0.468,2.073,9.939,-1.28
0.357,0.598,0.482,-0.366,16.22,-0.549
0.464,0.504,0.511,-2.195,26.341,4.085
0.49,0.371,0.514,-5.183,34.329,11.463
0.486,0.293,0.491,-8.11,31.28,13.902
0.487,0.249,0.445,-8.232,15.854,13.293
0.495,0.222,0.396,-6.585,-6.768,14.146
0.461,0.212,0.339,-3.476,-30.915,16.646
0.417,0.24,0.274,-0.549,-54.085,20.61
0.414,0.284,0.229,1.037,-77.744,27.256
0.412,0.305,0.234,0.183,-86.22,27.439
0.394,0.301,0.269,0.549,-75.305,16.646
0.377,0.317,0.324,2.805,-59.085,9.268
0.369,0.39,0.36,4.268,-44.634,8.415
0.393,0.54,0.402,6.098,-32.866,7.378
0.463,0.706,0.557,7.317,-21.22,3.354
0.477,0.828,0.734,6.524,-7.439,-0.427
0.416,0.94,0.816,3.72,4.756,-2.561
0.277,1.077,0.856,0.366,11.951,-6.951
0.187,1.221,0.868,-2.439,18.72,-14.451
0.119,1.321,0.863,-4.39,28.11,-21.159
0.104,1.37,0.848,-5.244,35.244,-26.768
0.152,1.361,0.831,-5.122,40.61,-29.817
0.204,1.284,0.852,-3.354,46.829,-31.524
0.225,1.18,0.833,-1.524,54.634,-34.268
0.243,1.105,0.771,0.061,67.744,-33.476
0.304,1.024,0.724,1.524,76.341,-23.049
0.387,0.898,0.715,4.329,74.512,-11.28
0.397,0.722,0.729,6.707,59.085,-5.122
0.29,0.556,0.735,7.683,38.963,-0.793
0.141,0.502,0.528,7.622,18.598,1.951
0.213,0.589,0.322,6.951,-0.732,2.378
0.394,0.604,0.381,6.89,-14.451,3.598
0.477,0.458,0.446,7.256,-21.707,11.463
0.517,0.312,0.452,7.866,-25.793,22.744
0.479,0.239,0.443,9.573,-26.098,29.634
0.441,0.219,0.448,13.232,-22.622,31.098
0.434,0.216,0.452,19.451,-17.622,30.976
0.409,0.227,0.435,25.854,-17.073,30.61
0.367,0.262,0.39,26.341,-26.159,35.427
0.353,0.306,0.374,22.195,-47.561,42.317
0.348,0.332,0.4,16.646,-53.963,35.854
0.33,0.335,0.438,14.268,-40.0,19.451
0.329,0.352,0.457,14.024,-24.817,11.646
0.359,0.427,0.461,13.659,-11.829,11.524
0.413,0.593,0.476,14.207,-2.012,9.512
