acc_x_axis_g,acc_y_axis_g,acc_z_axis_g,gyr_x_axis_deg/s,gyr_y_axis_deg/s,gyr_z_axis_deg/s
0.552,0.498,0.103,16.341,-9.268,31.037
0.539,0.439,0.079,13.902,-12.012,25.854
0.532,0.399,0.048,12.622,-15.732,22.256
0.457,0.339,0.006,11.646,-19.756,18.11
0.357,0.298,-0.055,6.22,-18.598,13.476
0.292,0.269,-0.074,-2.073,-12.195,7.683
0.25,0.223,-0.083,-9.207,-1.646,0.183
0.277,0.209,-0.125,-15.854,12.195,-6.524
0.341,0.292,-0.165,-21.098,30.061,-15.0
0.35,0.381,-0.138,-22.805,49.878,-24.268
0.354,0.446,-0.05,-25.915,65.366,-29.329
0.469,0.57,0.153,-29.268,73.354,-29.634
0.64,0.688,0.364,-29.268,72.866,-25.61
0.741,0.823,0.593,-27.378,61.159,-19.512
0.797,0.96,0.774,-25.488,36.768,-12.317
0.863,1.11,0.874,-17.561,12.927,-4.39
0.944,1.179,0.954,-4.207,0.244,1.89
0.966,1.172,0.963,12.317,2.561,8.72
0.972,1.132,0.855,27.927,16.098,14.939
0.918,1.081,0.697,41.951,32.561,19.512
0.786,1.014,0.537,47.561,43.476,22.927
0.676,0.924,0.356,46.89,50.0,22.988
0.628,0.785,0.19,43.171,50.427,18.963
0.563,0.629,0.031,36.22,41.037,12.866
0.472,0.474,-0.126,25.793,27.256,9.817
0.463,0.339,-0.263,13.963,7.866,5.61
0.416,0.218,-0.402,0.793,-12.805,0.793
0.293,0.126,-0.503,-14.573,-27.012,-2.744
0.27,0.092,-0.51,-29.573,-28.902,-10.0
0.295,0.07,-0.51,-41.524,-14.329,-20.244
0.346,0.08,-0.37,-51.341,21.646,-28.537
0.504,0.186,0.015,-62.012,60.061,-34.573
0.653,0.403,0.493,-71.951,80.305,-39.817
0.754,0.637,0.89,-74.268,76.524,-44.024
0.969,0.809,1.119,-60.488,56.159,-47.256
1.152,0.907,1.264,-42.256,24.634,-45.793
1.083,1.074,1.338,-21.159,-16.707,-42.195
1.06,1.216,1.406,0.183,-49.695,-35.61
1.151,1.269,1.387,19.207,-59.573,-30.732
1.031,1.238,1.151,35.976,-52.073,-24.878
0.772,1.162,0.827,46.28,-32.683,-16.098
0.566,1.092,0.514,50.183,-5.0,-5.61
0.373,0.986,0.189,50.976,25.122,4.207
0.241,0.865,-0.08,46.829,48.598,11.463
0.184,0.771,-0.278,35.122,59.878,18.78
0.126,0.643,-0.379,19.085,61.951,26.28
0.105,0.5,-0.388,-0.488,53.354,31.768
0.137,0.385,-0.345,-20.61,42.256,33.598
0.209,0.31,-0.269,-35.427,41.829,26.341
0.298,0.215,-0.139,-40.976,60.305,10.305
0.401,0.169,0.032,-40.976,82.622,-9.695
0.464,0.192,0.192,-39.085,93.598,-26.768
0.449,0.216,0.349,-39.756,89.085,-40.366
0.433,0.342,0.51,-45.305,65.915,-46.098
0.571,0.559,0.759,-46.585,37.195,-44.756
0.878,0.801,1.066,-41.768,23.902,-37.866
1.171,1.037,1.315,-27.317,19.39,-26.463
1.29,1.138,1.307,-15.183,-2.866,-17.744
1.207,1.237,1.347,-3.476,-31.646,-8.78
1.227,1.26,1.336,15.305,-50.915,-2.317
1.242,1.203,1.184,31.402,-61.89,2.561
1.08,1.159,0.983,42.622,-65.976,5.183
0.749,1.094,0.688,50.61,-58.049,5.549
0.447,0.956,0.375,54.695,-34.024,6.159
0.168,0.809,0.067,51.89,5.305,10.0
-0.067,0.695,-0.174,41.951,44.024,17.561
-0.214,0.609,-0.331,26.768,67.256,27.866
-0.326,0.508,-0.396,7.683,72.317,40.061
-0.283,0.402,-0.375,-12.744,66.768,50.732
-0.137,0.3,-0.229,-28.476,63.293,58.171
0.058,0.226,-0.019,-33.72,66.402,56.402
0.323,0.192,0.244,-34.939,77.134,48.537
0.726,0.257,0.626,-36.89,85.061,36.463
1.13,0.433,1.02,-38.476,73.72,18.72
1.335,0.585,1.285,-37.378,37.622,3.659
1.444,0.695,1.434,-29.634,-12.927,-8.659
1.5,0.79,1.486,-13.902,-60.732,-22.439
1.37,0.844,1.375,4.146,-91.098,-31.768
1.089,0.875,1.17,17.927,-100.305,-34.329
0.779,0.908,0.919,27.744,-83.72,-32.195
0.361,0.918,0.534,32.927,-39.878,-23.72
-0.08,0.865,0.104,28.232,9.634,-10.061
-0.379,0.808,-0.2,15.915,48.11,6.707
-0.445,0.764,-0.339,-1.037,66.402,23.354
-0.387,0.725,-0.417,-19.817,62.378,42.439
-0.249,0.604,-0.408,-37.378,50.305,57.012
0.066,0.476,-0.242,-48.598,42.866,64.329
0.378,0.399,0.036,-51.037,43.537,61.951
0.896,0.383,0.479,-52.012,45.244,49.207
1.477,0.494,0.936,-48.171,34.573,26.28
1.652,0.584,1.175,-36.768,8.659,2.073
1.541,0.619,1.284,-22.927,-32.378,-18.598
1.333,0.663,1.264,-6.89,-70.488,-32.805
1.082,0.671,1.126,6.28,-88.171,-41.341
0.746,0.686,0.94,18.11,-77.256,-44.146
0.319,0.67,0.65,26.098,-40.61,-40.061
-0.112,0.661,0.3,27.012,4.329,-29.695
-0.391,0.647,0.006,20.793,42.561,-17.439
-0.557,0.622,-0.238,7.622,69.573,-1.098
-0.547,0.591,-0.429,-12.683,72.439,19.085
-0.338,0.531,-0.436,-31.524,58.476,33.171
0.043,0.411,-0.312,-44.573,44.756,42.256
0.379,0.328,-0.086,-51.768,40.549,47.012
0.92,0.36,0.402,-51.89,41.098,36.037
1.566,0.507,0.948,-45.793,34.512,13.354
1.874,0.643,1.356,-36.098,8.659,-12.378
1.773,0.771,1.534,-25.671,-37.866,-34.817
1.528,0.844,1.545,-7.561,-81.341,-51.28
1.263,0.828,1.443,13.78,-100.427,-62.988
0.794,0.825,1.197,32.744,-86.951,-63.537
0.275,0.836,0.79,45.427,-43.293,-52.561
-0.137,0.833,0.363,49.024,13.232,-35.305
-0.43,0.812,0.021,41.951,59.573,-15.366
-0.474,0.768,-0.224,22.256,81.159,4.634
-0.327,0.716,-0.333,-5.793,67.744,26.646
-0.213,0.629,-0.279,-29.573,32.378,46.341
0.115,0.5,-0.057,-42.439,1.037,59.695
0.528,0.428,0.291,-39.451,-14.512,60.976
1.1,0.433,0.721,-25.061,-5.549,40.671
1.621,0.52,1.091,-8.537,8.476,8.354
1.821,0.638,1.327,1.098,3.049,-25.122
1.532,0.745,1.324,7.744,-20.305,-49.024
1.005,0.714,1.084,15.549,-41.951,-57.744
0.473,0.678,0.767,24.207,-41.585,-52.073
0.06,0.694,0.451,27.866,-14.939,-37.195
-0.184,0.716,0.18,24.451,20.122,-18.354
-0.298,0.713,-0.063,11.28,48.293,1.22
-0.293,0.702,-0.169,-10.488,58.598,20.915
-0.188,0.64,-0.158,-31.89,43.841,40.183
0.025,0.547,-0.021,-42.805,20.976,51.463
0.396,0.451,0.245,-42.622,7.5,53.902
0.887,0.437,0.642,-32.256,5.305,41.341
1.456,0.533,1.042,-17.805,7.5,14.39
1.669,0.643,1.265,-7.561,1.585,-16.098
1.52,0.726,1.284,2.012,-16.707,-41.829
1.121,0.698,1.081,12.866,-36.951,-54.451
0.637,0.661,0.819,22.622,-39.512,-54.573
0.2,0.679,0.504,26.951,-17.5,-45.305
-0.148,0.711,0.224,24.573,15.915,-27.988
-0.278,0.709,0.014,14.756,45.671,-8.476
-0.247,0.702,-0.081,-1.768,59.573,11.159
-0.152,0.669,-0.05,-21.585,46.463,31.829
0.035,0.613,0.066,-34.817,19.939,46.098
0.37,0.534,0.274,-37.317,4.085,50.122
0.776,0.487,0.568,-27.5,3.659,42.561
1.305,0.53,0.946,-15.427,6.829,22.439
1.631,0.645,1.207,-8.232,2.744,-3.476
1.586,0.746,1.29,-0.915,-13.841,-27.5
1.209,0.746,1.145,7.622,-37.622,-40.549
0.756,0.702,0.936,18.11,-47.134,-42.378
0.348,0.696,0.671,26.22,-32.805,-36.098
0.0,0.721,0.366,27.317,-2.5,-23.049
-0.238,0.715,0.117,19.512,27.805,-5.915
-0.283,0.681,-0.072,5.305,49.451,11.098
-0.213,0.615,-0.163,-15.061,52.622,30.0
-0.085,0.563,-0.086,-33.537,38.78,45.122
0.225,0.484,0.136,-43.171,22.866,52.317
0.64,0.429,0.472,-40.854,11.829,49.451
1.139,0.482,0.892,-29.451,6.829,32.805
1.509,0.575,1.22,-17.622,0.793,7.622
1.637,0.643,1.396,-5.366,-12.134,-20.976
1.389,0.697,1.362,7.805,-34.146,-42.439
0.865,0.682,1.134,19.939,-49.512,-50.122
0.451,0.674,0.837,31.037,-42.012,-48.049
0.067,0.686,0.479,37.927,-14.756,-38.72
-0.253,0.675,0.126,33.78,16.585,-21.768
-0.313,0.671,-0.083,19.146,41.89,-4.024
-0.234,0.658,-0.171,-2.439,47.744,13.415
-0.162,0.611,-0.14,-24.268,31.22,31.28
0.118,0.523,0.035,-37.561,11.89,42.317
0.515,0.461,0.34,-38.537,-2.561,44.146
0.939,0.487,0.734,-26.28,-6.463,31.829
1.347,0.579,1.091,-9.817,-1.646,7.988
1.548,0.699,1.3,3.354,-0.976,-20.976
1.396,0.76,1.31,17.378,-8.354,-42.378
0.947,0.737,1.138,30.976,-18.537,-50.61
0.461,0.718,0.838,41.951,-20.061,-47.805
0.099,0.705,0.465,46.89,-5.854,-36.951
-0.165,0.682,0.135,41.037,14.207,-18.963
-0.224,0.669,-0.078,23.78,31.037,-0.122
-0.169,0.647,-0.157,-0.854,35.122,18.354
-0.083,0.604,-0.098,-22.866,27.256,36.22
0.21,0.532,0.115,-33.415,23.049,46.341
0.6,0.489,0.451,-28.902,21.707,44.329
0.951,0.52,0.826,-13.049,27.256,28.415
