acc_x_axis_g,acc_y_axis_g,acc_z_axis_g,gyr_x_axis_deg/s,gyr_y_axis_deg/s,gyr_z_axis_deg/s
0.153,0.515,-0.01,-17.988,-15.671,41.585
0.141,0.425,-0.026,-16.829,6.951,29.878
0.118,0.382,-0.031,-21.829,31.159,17.012
0.113,0.393,-0.029,-32.439,54.207,7.866
0.076,0.384,-0.008,-45.915,71.524,0.244
-0.045,0.37,0.034,-59.146,74.268,-6.159
-0.114,0.421,0.128,-66.524,64.39,-10.427
-0.053,0.55,0.314,-66.22,52.683,-14.146
0.123,0.684,0.574,-60.061,40.427,-16.098
0.205,0.802,0.865,-53.171,22.927,-15.976
0.207,0.938,1.143,-46.524,5.854,-12.683
0.364,1.075,1.41,-36.829,-9.817,-8.537
0.576,1.176,1.655,-19.207,-20.183,-7.439
0.709,1.275,1.771,2.683,-35.488,-9.268
0.673,1.276,1.649,21.646,-60.366,-8.72
0.613,1.196,1.42,33.171,-80.854,-5.366
0.502,1.144,1.174,39.634,-90.427,2.012
0.402,1.091,0.915,44.085,-87.378,10.061
0.296,1.013,0.594,48.354,-67.134,14.695
0.106,0.9,0.228,45.549,-34.756,17.5
-0.1,0.816,-0.151,31.463,-3.232,22.5
-0.229,0.715,-0.443,12.5,22.012,27.988
-0.279,0.589,-0.599,-9.39,35.366,32.012
-0.31,0.491,-0.637,-31.341,33.598,33.598
-0.209,0.396,-0.526,-53.11,23.902,35.488
-0.132,0.359,-0.306,-69.268,13.902,34.939
0.021,0.299,-0.045,-72.439,13.659,29.512
0.147,0.293,0.251,-65.183,22.561,16.646
0.307,0.427,0.541,-59.695,39.39,1.524
0.474,0.66,0.815,-56.28,53.293,-9.146
0.512,0.849,1.086,-52.622,44.451,-16.463
0.537,1.014,1.334,-42.5,22.622,-20.671
0.644,1.16,1.546,-25.549,-7.988,-21.037
0.703,1.28,1.633,-3.902,-49.024,-17.927
0.741,1.315,1.553,14.817,-86.646,-12.134
0.698,1.3,1.347,24.817,-105.732,-2.866
0.557,1.298,1.125,29.634,-107.439,6.768
0.474,1.213,0.938,35.366,-94.207,16.463
0.417,1.063,0.821,44.817,-67.622,20.854
0.292,0.896,0.601,54.756,-34.573,21.646
0.043,0.726,0.222,58.537,-4.085,21.707
-0.281,0.569,-0.161,50.854,15.976,23.598
-0.496,0.441,-0.453,31.585,23.537,22.988
-0.552,0.315,-0.689,9.878,21.037,21.159
-0.413,0.084,-0.703,-15.793,20.122,19.573
-0.255,0.043,-0.454,-39.207,18.293,14.146
-0.009,0.019,-0.181,-50.183,14.817,1.159
0.149,0.011,0.063,-53.354,19.878,-11.463
0.219,0.161,0.307,-54.573,35.915,-23.78
0.358,0.414,0.514,-57.073,56.159,-36.22
0.369,0.656,0.729,-56.402,71.402,-41.402
0.423,0.866,1.029,-50.0,78.354,-40.549
0.646,1.138,1.352,-36.402,69.085,-41.341
0.711,1.363,1.512,-17.988,35.366,-38.841
0.649,1.494,1.593,-1.22,-11.463,-29.207
0.634,1.604,1.639,18.049,-54.207,-15.488
0.641,1.559,1.478,34.695,-82.378,-2.012
0.562,1.428,1.208,41.646,-93.415,10.427
0.416,1.325,0.979,46.707,-92.317,20.854
0.289,1.146,0.733,52.073,-81.463,25.488
0.173,0.931,0.482,58.72,-53.78,24.939
0.067,0.707,0.211,61.524,-17.134,19.451
-0.093,0.51,-0.117,56.402,16.89,15.183
-0.232,0.348,-0.402,41.463,31.89,12.927
-0.389,0.243,-0.59,18.537,30.366,14.695
-0.372,0.149,-0.599,-10.976,23.78,17.073
-0.199,0.119,-0.447,-40.305,16.28,17.378
-0.002,0.11,-0.202,-59.878,8.11,14.024
0.214,0.164,0.096,-68.171,5.183,7.195
0.405,0.331,0.42,-70.488,12.561,-4.634
0.542,0.585,0.761,-65.061,35.244,-13.902
0.71,0.884,1.122,-58.293,56.585,-23.78
0.763,1.225,1.457,-50.671,54.39,-33.476
0.737,1.471,1.662,-30.549,30.671,-31.22
0.817,1.509,1.64,-6.037,-6.463,-17.927
0.725,1.537,1.603,15.549,-48.78,2.683
0.555,1.529,1.401,30.732,-81.402,25.122
0.505,1.442,1.167,34.39,-93.293,42.012
0.487,1.337,0.976,36.585,-89.878,51.098
0.42,1.156,0.8,40.366,-74.329,55.854
0.351,0.939,0.619,47.195,-45.0,53.232
0.163,0.735,0.347,52.805,-5.366,45.915
-0.123,0.511,-0.043,51.098,26.28,37.805
-0.331,0.309,-0.381,38.171,36.463,30.671
-0.544,0.177,-0.546,16.402,40.732,29.146
-0.566,0.058,-0.623,-12.012,43.11,29.939
-0.477,0.005,-0.58,-41.402,44.573,29.451
-0.298,-0.001,-0.392,-61.89,44.939,26.646
-0.035,0.019,-0.115,-71.463,46.159,18.963
0.144,0.163,0.227,-76.341,50.061,5.915
0.353,0.399,0.586,-78.476,60.427,-6.341
