acc_x_axis_g,acc_y_axis_g,acc_z_axis_g,gyr_x_axis_deg/s,gyr_y_axis_deg/s,gyr_z_axis_deg/s
0.511,1.138,1.392,-12.561,-14.756,-12.866
0.507,1.246,1.402,4.024,-43.598,-6.463
0.536,1.304,1.345,20.305,-62.012,-2.744
0.578,1.283,1.192,34.39,-63.78,-0.671
0.482,1.236,0.96,42.561,-53.963,5.366
0.318,1.18,0.684,46.28,-32.866,11.585
0.159,1.081,0.349,43.902,-6.28,14.634
-0.029,0.954,-0.005,37.195,19.085,14.634
-0.194,0.804,-0.293,25.732,35.793,16.646
-0.226,0.652,-0.447,8.049,39.268,20.061
-0.223,0.542,-0.504,-12.988,30.244,25.793
-0.159,0.45,-0.424,-32.317,19.512,31.28
-0.043,0.413,-0.226,-44.939,10.427,29.634
0.03,0.376,0.018,-48.598,9.268,20.915
0.137,0.406,0.296,-44.207,19.695,10.488
0.356,0.508,0.602,-37.805,33.476,-3.171
0.52,0.697,0.843,-33.171,43.963,-12.561
0.557,0.909,0.986,-25.488,43.78,-18.659
0.528,1.073,1.07,-14.634,31.159,-20.0
0.535,1.233,1.127,-2.195,11.707,-14.024
0.616,1.356,1.112,8.293,-8.72,-4.634
0.593,1.42,1.065,17.561,-22.378,6.829
0.487,1.402,0.931,24.756,-28.232,18.537
0.396,1.335,0.776,28.902,-26.402,26.646
0.317,1.245,0.624,31.463,-25.0,29.573
0.176,1.106,0.475,33.354,-27.5,29.756
0.032,0.945,0.315,34.39,-29.207,32.378
-0.047,0.79,0.154,33.293,-26.524,31.951
-0.124,0.624,-0.035,28.841,-19.939,29.939
-0.224,0.458,-0.215,19.817,-7.439,28.659
-0.25,0.327,-0.312,4.939,9.207,26.463
-0.178,0.275,-0.253,-13.598,23.11,21.402
-0.091,0.26,-0.074,-28.171,27.988,14.329
0.02,0.261,0.136,-35.671,24.756,5.854
0.172,0.338,0.327,-37.134,20.854,-2.866
0.292,0.502,0.514,-35.122,17.805,-11.463
0.38,0.72,0.694,-32.561,15.427,-17.5
0.479,0.941,0.87,-27.683,10.244,-21.829
0.574,1.141,0.993,-16.159,2.256,-21.768
0.659,1.285,1.064,-2.012,-11.402,-17.805
0.697,1.378,1.114,12.927,-29.451,-13.171
0.679,1.399,1.05,26.402,-43.78,-6.341
0.585,1.368,0.868,36.463,-50.854,1.768
0.441,1.283,0.692,41.585,-49.573,9.451
0.326,1.18,0.525,43.293,-43.293,13.049
0.19,1.041,0.317,44.024,-29.634,12.988
0.018,0.847,0.087,41.829,-9.451,13.78
-0.119,0.656,-0.137,35.305,11.22,14.817
-0.215,0.511,-0.347,22.317,27.927,16.524
-0.334,0.387,-0.46,1.341,34.085,20.793
-0.337,0.325,-0.392,-24.329,30.488,24.695
-0.168,0.291,-0.176,-43.232,18.293,24.756
0.037,0.288,0.083,-50.244,8.354,19.939
0.269,0.365,0.335,-51.463,9.512,12.988
0.456,0.551,0.589,-50.915,17.988,3.476
0.581,0.792,0.841,-46.829,25.305,-8.78
0.692,0.982,1.007,-36.829,23.963,-18.049
0.77,1.116,1.095,-19.695,13.537,-21.768
0.816,1.193,1.139,0.244,-3.049,-23.354
0.873,1.229,1.157,19.39,-24.634,-24.451
0.777,1.23,1.023,34.878,-44.939,-22.561
0.561,1.186,0.813,42.988,-50.61,-16.402
0.427,1.153,0.673,43.476,-37.988,-10.244
0.283,1.123,0.501,40.122,-13.049,-6.951
-0.0,1.026,0.211,34.085,16.098,-2.927
-0.232,0.896,-0.068,24.878,38.659,4.146
-0.316,0.792,-0.262,12.622,49.695,12.927
-0.368,0.696,-0.364,-3.902,43.963,24.024
-0.388,0.61,-0.351,-23.902,28.537,36.524
-0.266,0.567,-0.219,-40.854,7.134,46.951
-0.085,0.532,0.003,-47.073,-9.817,50.305
0.128,0.54,0.253,-43.171,-11.098,47.134
0.344,0.58,0.523,-36.402,8.354,36.89
0.642,0.695,0.793,-31.768,36.159,19.573
0.891,0.826,0.983,-25.244,49.207,-0.244
0.933,0.944,1.046,-13.72,43.049,-11.28
0.896,1.052,1.047,0.61,18.902,-14.085
0.826,1.156,1.015,14.268,-15.061,-12.256
0.722,1.262,0.913,25.366,-42.012,-6.646
0.545,1.276,0.789,28.78,-47.622,1.159
0.392,1.244,0.676,29.024,-34.817,8.232
0.296,1.17,0.592,30.488,-18.963,13.232
0.201,1.063,0.516,35.549,-9.39,15.854
0.072,0.916,0.386,43.415,-3.902,17.744
-0.092,0.757,0.141,47.744,2.927,17.561
-0.219,0.575,-0.104,42.683,11.524,17.988
-0.292,0.436,-0.271,28.415,24.268,17.561
-0.316,0.319,-0.393,7.927,33.537,16.341
-0.246,0.256,-0.317,-13.902,35.549,11.463
-0.082,0.251,-0.106,-30.854,31.28,6.646
0.092,0.267,0.087,-37.866,23.537,0.427
0.24,0.33,0.278,-38.415,21.402,-8.049
0.388,0.466,0.452,-37.561,27.378,-21.037
0.461,0.602,0.596,-38.659,39.695,-33.963
0.519,0.795,0.715,-37.622,48.171,-42.317
0.602,0.994,0.872,-32.927,44.695,-44.695
0.676,1.202,1.03,-21.341,31.159,-42.195
0.691,1.367,1.094,-7.134,8.11,-35.549
0.664,1.45,1.095,9.939,-20.488,-26.22
0.603,1.461,0.97,26.463,-42.073,-15.671
0.497,1.39,0.782,34.085,-47.988,-4.634
0.425,1.321,0.656,35.427,-43.537,3.476
0.323,1.233,0.561,35.305,-37.256,7.195
0.147,1.091,0.396,35.976,-26.524,11.28
-0.043,0.915,0.159,34.817,-8.415,16.707
-0.188,0.746,-0.063,29.451,10.122,20.61
-0.283,0.582,-0.218,17.988,22.805,23.78
-0.356,0.438,-0.288,1.707,29.817,25.671
-0.321,0.333,-0.241,-17.744,31.098,25.0
-0.165,0.286,-0.076,-33.841,26.707,22.439
0.044,0.293,0.14,-41.037,21.037,17.256
0.229,0.33,0.34,-43.476,20.366,8.476
0.38,0.471,0.516,-43.78,25.244,-3.659
0.484,0.66,0.673,-43.049,34.512,-17.744
0.555,0.815,0.8,-41.524,43.598,-27.439
0.64,0.989,0.94,-34.207,44.024,-31.951
0.698,1.157,1.075,-23.293,33.78,-32.622
0.708,1.252,1.156,-7.622,7.683,-30.305
0.675,1.254,1.095,12.927,-27.317,-26.22
0.542,1.192,0.856,29.512,-53.232,-17.256
0.404,1.116,0.652,36.037,-61.707,-6.829
0.382,1.093,0.562,36.768,-58.293,-1.037
0.349,1.059,0.5,35.305,-53.171,-0.732
0.22,0.973,0.391,33.11,-44.634,0.488
0.049,0.849,0.225,29.085,-28.476,4.634
-0.068,0.737,0.01,22.378,-6.707,9.146
-0.155,0.649,-0.176,11.646,13.598,13.537
-0.197,0.585,-0.272,-2.805,25.183,16.646
-0.208,0.546,-0.28,-19.329,28.659,18.415
-0.145,0.532,-0.179,-35.122,25.793,19.878
-0.024,0.541,0.017,-44.329,18.11,20.305
0.122,0.583,0.252,-45.915,13.963,18.415
0.296,0.674,0.51,-42.256,19.695,12.561
0.488,0.822,0.792,-37.317,32.683,3.232
0.683,0.99,1.093,-29.207,44.878,-7.134
0.848,1.14,1.26,-8.659,43.902,-16.22
0.828,1.152,1.146,15.366,21.585,-17.5
0.594,1.088,0.953,30.427,-15.0,-9.39
0.452,1.079,0.774,38.049,-41.768,-0.976
0.422,1.068,0.643,38.963,-48.659,5.244
0.392,1.068,0.541,35.976,-44.878,8.537
0.343,1.03,0.469,34.207,-34.39,7.195
0.206,0.942,0.325,33.293,-12.927,7.927
0.009,0.839,0.149,29.146,11.341,12.439
-0.088,0.754,0.022,21.768,26.402,17.439
-0.152,0.695,-0.061,12.012,30.488,22.378
-0.219,0.635,-0.071,-0.061,27.378,27.744
-0.147,0.59,0.006,-13.049,22.378,31.402
-0.009,0.58,0.151,-22.378,17.805,31.768
0.127,0.599,0.325,-24.939,15.61,30.488
0.325,0.621,0.518,-24.39,15.854,25.244
0.55,0.704,0.724,-22.378,14.085,16.768
0.712,0.831,0.884,-18.354,5.488,6.707
0.814,0.924,0.972,-12.195,-10.488,-3.537
0.851,0.99,0.994,-1.829,-30.488,-11.951
0.783,1.034,0.925,11.037,-48.232,-16.402
0.629,1.054,0.769,20.0,-55.366,-16.646
0.445,1.047,0.637,26.402,-50.976,-13.171
0.31,1.036,0.532,28.537,-40.122,-8.415
0.2,1.032,0.395,29.634,-21.037,-5.488
0.002,0.958,0.225,28.72,2.256,-0.671
-0.171,0.846,0.056,24.024,19.146,5.793
-0.229,0.738,-0.1,16.707,27.744,9.146
-0.274,0.605,-0.207,6.098,28.537,10.732
-0.276,0.496,-0.222,-6.829,26.037,12.439
-0.143,0.438,-0.115,-18.963,22.561,11.585
