acc_x_axis_g,acc_y_axis_g,acc_z_axis_g,gyr_x_axis_deg/s,gyr_y_axis_deg/s,gyr_z_axis_deg/s
0.161,1.159,1.075,44.451,-26.89,5.488
0.08,1.083,0.636,41.037,-6.22,9.939
-0.094,1.026,0.169,27.561,13.72,12.744
-0.22,0.886,-0.204,8.11,27.927,12.134
-0.3,0.677,-0.448,-9.939,34.695,8.171
-0.313,0.473,-0.631,-28.293,31.585,2.5
-0.356,0.3,-0.66,-40.0,19.573,-4.817
-0.42,0.177,-0.494,-43.72,-6.22,-12.622
-0.434,0.138,-0.222,-46.585,-42.988,-21.951
-0.298,0.172,0.088,-47.073,-72.439,-27.378
-0.122,0.277,0.432,-43.841,-75.732,-26.402
0.132,0.402,0.695,-35.61,-50.244,-25.671
0.349,0.588,0.915,-26.524,-13.049,-28.293
0.464,0.848,1.166,-18.171,15.732,-26.28
0.489,1.134,1.458,-13.476,22.988,-22.561
0.473,1.339,1.672,-11.341,0.671,-20.183
0.421,1.388,1.799,-7.195,-43.902,-16.28
0.399,1.343,1.765,3.293,-86.707,-12.256
0.434,1.302,1.489,11.341,-107.561,-6.22
0.467,1.262,1.232,12.805,-104.39,4.268
0.388,1.198,1.027,10.427,-84.634,11.585
0.241,1.079,0.841,8.963,-56.28,11.037
0.072,0.929,0.625,11.22,-20.366,4.939
-0.148,0.773,0.254,11.646,18.11,1.037
-0.411,0.607,-0.095,6.707,39.024,-1.463
-0.692,0.538,-0.212,-8.598,38.354,-8.415
-0.769,0.517,-0.448,-30.549,23.415,-12.805
-0.634,0.423,-0.621,-46.341,0.488,-10.671
-0.552,0.279,-0.466,-55.183,-21.707,-5.061
-0.493,0.257,-0.123,-64.146,-35.915,2.256
-0.216,0.322,0.15,-65.671,-42.134,3.354
0.115,0.411,0.452,-59.329,-32.988,5.122
0.324,0.569,0.875,-49.024,-14.573,4.573
0.519,0.795,1.341,-32.195,-1.037,0.183
0.711,1.043,1.667,-10.244,5.854,-4.939
0.809,1.217,1.799,11.098,8.841,-9.451
0.755,1.232,1.728,26.707,7.561,-9.146
0.642,1.158,1.496,35.0,0.976,-2.256
0.467,1.081,1.278,38.232,3.354,9.146
0.303,1.064,1.056,35.305,13.049,17.927
0.146,1.012,0.804,28.049,11.037,16.646
-0.058,0.901,0.55,24.512,-1.28,7.927
-0.249,0.771,0.29,21.098,-17.5,2.134
-0.375,0.648,-0.045,14.817,-27.683,4.024
-0.536,0.591,-0.34,0.915,-30.366,8.476
-0.584,0.532,-0.521,-18.476,-19.878,16.829
-0.469,0.428,-0.6,-35.793,5.488,16.829
-0.35,0.28,-0.387,-42.805,29.634,11.402
-0.338,0.276,-0.043,-46.951,34.878,6.768
-0.233,0.312,0.316,-41.524,24.329,2.317
0.012,0.334,0.686,-28.537,12.744,-4.634
0.247,0.464,1.073,-15.0,4.878,-13.232
0.398,0.667,1.375,-2.805,-4.756,-23.415
0.524,0.832,1.578,15.488,-13.963,-27.195
0.669,0.968,1.714,39.756,-12.134,-23.659
0.769,1.11,1.612,60.122,-7.378,-21.098
0.711,1.193,1.33,68.415,-7.378,-18.049
0.446,1.204,1.049,65.488,-11.098,-11.341
0.174,1.175,0.845,56.341,-17.378,-3.598
0.032,1.136,0.646,44.695,-23.171,0.488
-0.046,1.087,0.387,32.317,-23.293,0.427
-0.168,0.988,0.103,16.646,-15.366,5.427
-0.271,0.82,-0.184,-3.11,-4.146,15.61
-0.412,0.64,-0.345,-24.329,5.183,17.805
-0.507,0.472,-0.425,-41.524,9.451,18.354
-0.45,0.333,-0.301,-50.183,7.134,17.073
-0.333,0.255,-0.019,-55.183,-1.951,10.427
-0.169,0.263,0.26,-54.817,-19.512,2.439
0.036,0.267,0.509,-46.768,-33.598,-6.524
0.199,0.316,0.728,-36.646,-32.134,-14.085
0.312,0.465,0.889,-29.085,-15.549,-20.0
0.405,0.663,1.04,-22.439,7.012,-24.817
0.506,0.855,1.167,-14.207,17.866,-25.305
0.566,1.038,1.211,-9.451,11.28,-18.72
0.516,1.146,1.268,-3.659,-11.829,-11.829
0.453,1.219,1.336,3.415,-42.866,-2.012
0.441,1.304,1.265,9.39,-67.805,8.78
0.462,1.32,1.089,10.122,-76.829,17.988
0.456,1.205,0.945,8.841,-73.11,27.195
0.422,1.082,0.836,6.037,-62.256,32.561
0.343,0.977,0.786,3.598,-45.976,34.024
0.187,0.869,0.737,3.659,-32.195,30.915
-0.049,0.743,0.615,7.744,-30.122,21.89
-0.278,0.624,0.36,11.28,-35.061,12.866
-0.45,0.541,0.051,7.622,-37.805,9.878
-0.575,0.447,-0.158,-2.134,-27.439,13.171
-0.651,0.341,-0.291,-17.561,-7.012,17.622
-0.599,0.311,-0.246,-32.988,18.963,21.463
-0.347,0.265,-0.084,-43.171,37.561,22.561
-0.145,0.273,0.116,-46.646,45.732,19.573
-0.007,0.329,0.336,-42.988,48.476,14.512
0.189,0.418,0.618,-37.134,50.366,5.671
0.421,0.571,0.955,-32.195,46.707,-3.354
0.62,0.776,1.272,-23.415,40.427,-12.378
0.767,0.939,1.525,-5.183,35.793,-17.134
0.915,1.101,1.654,11.463,29.573,-18.963
0.947,1.222,1.669,25.244,15.244,-22.927
0.715,1.203,1.454,33.537,-6.28,-17.195
0.442,1.133,1.171,36.22,-23.049,-2.073
0.305,1.104,1.007,32.5,-29.817,11.89
0.196,1.089,0.909,25.976,-30.915,13.72
0.03,0.99,0.688,22.683,-23.841,9.634
-0.178,0.863,0.307,18.72,-4.329,6.646
-0.377,0.732,-0.018,11.524,12.866,8.415
-0.509,0.588,-0.264,-1.463,25.671,15.793
-0.625,0.48,-0.391,-19.817,30.61,19.573
-0.619,0.379,-0.357,-37.134,31.098,23.902
