acc_x_axis_g,acc_y_axis_g,acc_z_axis_g,gyr_x_axis_deg/s,gyr_y_axis_deg/s,gyr_z_axis_deg/s
0.65,0.227,0.765,-48.293,-18.78,-18.171
0.85,0.175,0.649,-50.61,12.805,-27.134
0.98,0.134,0.507,-52.256,30.366,-30.366
1.118,0.101,0.406,-53.293,25.854,-25.0
1.243,0.09,0.356,-54.695,6.22,-14.268
1.297,0.084,0.371,-51.646,-21.159,0.915
1.315,0.065,0.477,-47.012,-53.476,18.415
1.312,0.083,0.612,-41.646,-82.622,36.22
1.167,0.101,0.711,-36.098,-99.939,51.098
1.063,0.103,0.708,-27.805,-105.915,59.634
1.003,0.145,0.685,-17.256,-99.207,60.549
0.804,0.181,0.623,-9.024,-80.305,56.098
0.541,0.229,0.538,-4.634,-53.476,48.11
0.333,0.275,0.398,-1.768,-24.085,34.634
0.222,0.287,0.303,-0.854,4.024,20.122
0.22,0.27,0.234,-2.134,15.244,7.683
0.254,0.237,0.218,-4.756,0.671,-4.634
0.456,0.139,0.295,-9.329,-22.805,-14.268
0.738,0.053,0.451,-13.476,-45.0,-19.207
0.984,0.013,0.532,-16.768,-61.646,-21.159
1.211,-0.034,0.565,-20.793,-61.585,-17.744
1.51,-0.093,0.582,-26.402,-55.366,-8.354
1.691,-0.115,0.506,-31.159,-47.256,1.707
1.741,-0.122,0.431,-35.305,-35.976,18.415
1.62,-0.118,0.385,-32.805,-20.244,35.549
1.249,-0.084,0.387,-28.293,-5.0,52.561
0.937,0.01,0.396,-24.512,-2.195,71.098
0.604,0.123,0.402,-21.646,-20.305,84.329
0.384,0.169,0.4,-18.537,-45.793,89.207
0.408,0.223,0.388,-18.72,-66.646,87.439
0.462,0.231,0.409,-21.341,-78.049,78.598
0.626,0.177,0.487,-24.878,-81.159,58.902
0.91,0.129,0.516,-30.671,-80.793,32.439
1.111,0.063,0.412,-34.695,-77.5,4.695
1.273,-0.037,0.268,-39.024,-76.829,-16.768
1.449,-0.136,0.188,-41.402,-73.598,-28.902
1.546,-0.178,0.202,-45.183,-67.622,-33.171
1.503,-0.18,0.252,-47.866,-65.183,-23.598
1.196,-0.125,0.291,-45.183,-61.585,-4.939
0.763,-0.019,0.299,-38.049,-56.768,15.793
0.384,0.097,0.252,-26.159,-64.329,37.683
0.108,0.205,0.241,-10.0,-78.78,54.817
0.048,0.211,0.273,8.293,-85.488,60.793
0.307,0.134,0.361,23.11,-87.439,56.341
0.72,0.025,0.401,29.817,-78.963,43.354
1.109,-0.111,0.307,25.61,-56.707,21.037
1.393,-0.211,0.188,14.756,-25.305,-8.293
1.573,-0.279,0.137,1.89,0.0,-30.793
1.698,-0.274,0.225,-9.634,12.439,-39.634
1.646,-0.189,0.304,-15.061,21.341,-38.354
1.313,-0.062,0.341,-21.159,24.756,-26.28
0.808,0.057,0.302,-23.232,20.427,-3.841
0.327,0.193,0.203,-20.183,9.756,23.049
0.069,0.29,0.143,-14.329,-15.305,47.073
0.025,0.292,0.148,-1.341,-48.537,57.012
0.251,0.21,0.238,13.963,-71.28,53.963
0.743,0.092,0.336,19.146,-77.012,45.366
1.229,-0.105,0.285,8.598,-65.671,26.524
1.589,-0.302,0.168,-6.768,-38.049,-7.5
1.854,-0.416,0.123,-19.512,-1.89,-39.512
2.016,-0.396,0.266,-28.171,29.146,-53.293
1.937,-0.288,0.443,-33.171,48.232,-48.476
1.392,-0.175,0.444,-30.061,58.171,-27.988
0.741,-0.046,0.297,-18.476,62.317,1.585
0.228,0.099,0.164,-5.793,59.878,36.646
-0.071,0.2,0.125,0.366,34.207,69.024
-0.136,0.243,0.154,8.841,-4.817,83.598
-0.067,0.244,0.148,21.646,-40.549,78.537
0.126,0.178,0.14,24.39,-63.049,62.744
0.719,0.043,0.281,10.0,-64.817,31.951
1.354,-0.155,0.337,-12.256,-46.463,-16.768
