acc_x_axis_g,acc_y_axis_g,acc_z_axis_g,gyr_x_axis_deg/s,gyr_y_axis_deg/s,gyr_z_axis_deg/s
0.361,0.338,0.634,-24.451,49.756,-47.073
0.79,0.237,0.616,-23.415,59.573,-51.341
1.146,0.147,0.548,-21.89,57.5,-48.293
1.336,0.102,0.451,-18.72,47.256,-36.341
1.479,0.077,0.405,-14.146,26.829,-18.049
1.505,0.052,0.388,-11.22,-1.28,3.72
1.487,-0.0,0.384,-10.305,-36.89,26.951
1.416,-0.017,0.351,-13.963,-80.488,51.829
1.164,0.013,0.326,-22.561,-128.78,75.854
0.957,0.035,0.349,-29.329,-178.171,96.22
0.793,0.082,0.409,-27.5,-204.146,106.585
0.719,0.129,0.616,-15.61,-192.134,101.098
0.793,0.221,0.714,-5.793,-152.866,86.646
0.56,0.253,0.638,2.5,-92.134,65.427
0.492,0.243,0.588,12.866,-21.098,35.244
0.39,0.279,0.551,24.695,41.707,2.683
0.244,0.296,0.464,37.378,83.78,-27.5
0.24,0.296,0.401,43.354,98.902,-50.488
0.267,0.299,0.373,42.622,89.329,-61.524
0.3,0.304,0.391,36.098,69.329,-61.524
0.383,0.301,0.434,25.183,55.549,-57.5
0.475,0.29,0.472,18.537,60.915,-61.159
0.597,0.268,0.499,9.39,59.268,-63.841
0.743,0.223,0.508,-1.951,35.0,-51.098
0.939,0.186,0.478,-9.329,12.866,-37.5
1.107,0.133,0.503,-12.744,-2.683,-24.146
1.274,0.093,0.559,-15.488,-15.793,-6.829
1.257,0.095,0.523,-16.768,-26.037,10.122
1.392,0.029,0.487,-18.232,-34.146,26.159
1.619,0.002,0.504,-21.646,-41.707,42.012
1.431,0.019,0.54,-27.256,-53.354,55.976
1.256,0.026,0.586,-33.841,-66.89,67.561
1.06,0.091,0.615,-38.963,-79.878,75.183
0.8,0.161,0.625,-43.293,-88.841,77.378
0.584,0.218,0.639,-48.11,-90.549,73.476
0.441,0.264,0.623,-47.744,-83.049,64.085
0.393,0.284,0.602,-47.805,-67.927,50.61
0.498,0.294,0.601,-45.61,-53.293,34.939
0.587,0.287,0.539,-33.963,-18.659,10.61
0.6,0.245,0.455,-20.427,27.012,-18.537
0.697,0.201,0.393,-9.756,55.488,-39.817
0.783,0.169,0.386,-2.195,66.829,-52.439
0.86,0.146,0.439,1.768,63.659,-55.0
0.943,0.134,0.493,2.988,49.634,-48.293
1.011,0.11,0.578,3.902,32.683,-36.341
0.982,0.103,0.641,2.195,16.89,-21.646
0.954,0.106,0.641,1.28,10.122,-8.049
0.875,0.125,0.64,3.963,21.463,0.549
0.874,0.162,0.646,6.159,38.049,8.049
0.798,0.192,0.641,7.866,49.329,13.293
0.708,0.234,0.638,9.207,58.049,13.11
0.639,0.277,0.629,10.976,66.768,8.78
0.562,0.286,0.595,11.037,72.866,1.89
0.551,0.268,0.572,9.634,70.976,-4.573
0.626,0.25,0.568,9.207,60.61,-10.366
0.693,0.25,0.575,8.78,44.878,-14.573
0.711,0.224,0.603,6.646,25.122,-17.012
0.806,0.206,0.625,5.122,7.134,-16.768
0.882,0.19,0.641,4.024,-4.573,-15.976
0.925,0.176,0.652,0.915,-13.902,-11.768
0.941,0.16,0.676,-4.329,-17.5,-6.402
0.944,0.149,0.693,-10.183,-16.463,-0.854
0.893,0.148,0.707,-14.756,-15.854,7.073
0.844,0.146,0.705,-14.207,-14.146,15.671
0.783,0.159,0.708,-10.61,-4.512,21.768
0.735,0.172,0.671,-6.951,8.11,24.207
0.673,0.202,0.615,-3.171,18.659,23.902
0.637,0.22,0.571,1.829,30.183,18.963
0.587,0.237,0.541,7.805,41.159,10.732
0.567,0.247,0.575,12.073,50.0,2.134
0.61,0.264,0.546,14.756,56.707,-5.61
0.542,0.249,0.478,16.585,57.439,-11.341
0.503,0.23,0.51,18.537,52.927,-14.634
0.494,0.222,0.531,19.329,47.561,-16.463
0.474,0.206,0.512,20.366,44.817,-17.5
0.486,0.187,0.527,20.854,42.866,-17.073
0.544,0.181,0.587,20.366,44.695,-15.915
0.618,0.167,0.669,20.0,49.695,-14.207
0.831,0.124,0.76,17.256,55.976,-11.951
1.155,0.061,0.841,12.866,65.061,-9.39
1.497,0.003,0.908,7.378,66.159,-4.512
1.687,-0.02,0.936,-2.561,57.744,3.293
1.701,-0.011,0.941,-10.488,46.585,11.951
1.479,0.032,0.915,-18.171,30.427,22.805
1.175,0.065,0.882,-26.159,0.854,35.244
0.888,0.123,0.795,-32.866,-30.793,44.878
0.606,0.205,0.684,-40.244,-60.549,52.5
0.306,0.278,0.552,-45.732,-90.061,57.866
0.032,0.346,0.426,-44.756,-104.817,54.329
-0.148,0.41,0.261,-36.28,-95.732,40.976
-0.298,0.468,0.149,-26.768,-79.268,19.085
-0.202,0.503,0.148,-19.817,-63.598,-6.951
0.091,0.436,0.3,-15.244,-55.732,-32.317
0.622,0.31,0.561,-12.622,-59.573,-50.061
1.211,0.197,0.832,-9.512,-66.341,-60.488
1.602,0.003,0.916,-6.402,-69.634,-65.183
1.813,-0.234,0.762,-4.817,-65.793,-61.585
2.236,-0.409,0.751,-3.354,-61.402,-48.963
2.244,-0.391,0.882,-0.488,-49.573,-28.902
1.622,-0.251,0.825,1.707,-38.72,0.732
0.777,0.001,0.524,3.659,-23.354,35.61
-0.015,0.292,0.246,4.207,-4.756,66.341
-0.382,0.477,0.144,3.171,1.22,91.646
-0.431,0.562,0.175,1.524,-8.232,104.512
-0.284,0.52,0.283,-0.183,-34.756,101.768
0.023,0.403,0.373,4.878,-74.39,81.524
0.591,0.218,0.48,8.902,-86.524,45.671
1.284,0.042,0.561,2.012,-66.829,-7.805
1.602,-0.174,0.42,-1.585,-64.329,-50.244
1.83,-0.448,0.375,-2.927,-82.439,-63.232
2.183,-0.462,0.693,-2.378,-88.415,-63.537
1.915,-0.235,0.954,-1.524,-61.829,-44.756
1.12,-0.01,0.916,-2.134,-17.134,-10.183
0.157,0.259,0.672,1.707,17.866,28.78
-0.427,0.415,0.481,6.707,34.634,66.402
