acc_x_axis_g,acc_y_axis_g,acc_z_axis_g,gyr_x_axis_deg/s,gyr_y_axis_deg/s,gyr_z_axis_deg/s
0.723,0.281,1.016,-59.573,27.622,57.073
0.752,0.295,0.958,-64.207,26.646,48.841
0.709,0.296,0.886,-66.829,27.5,41.159
0.68,0.305,0.796,-69.756,29.817,34.512
0.566,0.334,0.716,-67.561,34.329,30.122
0.391,0.368,0.656,-63.902,20.061,28.476
0.317,0.398,0.609,-61.829,-2.439,28.841
0.296,0.425,0.526,-57.378,-15.366,25.305
0.292,0.439,0.416,-50.305,-19.878,18.293
0.337,0.433,0.333,-42.805,-15.671,9.878
0.405,0.428,0.296,-34.756,-1.524,0.488
0.414,0.418,0.284,-26.768,18.293,-7.927
0.387,0.387,0.376,-17.866,37.439,-11.829
0.397,0.366,0.574,-9.817,46.402,-12.561
0.412,0.357,0.756,-5.305,43.293,-11.098
0.461,0.346,1.019,-5.671,34.756,-5.732
0.542,0.332,1.327,-8.72,27.805,0.122
0.64,0.29,1.489,-13.902,27.134,6.22
0.738,0.205,1.504,-20.305,35.488,12.988
0.938,0.139,1.441,-26.585,55.427,18.415
1.057,0.092,1.319,-33.415,85.305,20.732
1.069,0.048,1.216,-42.256,115.305,21.28
1.031,0.068,1.169,-53.11,130.61,20.915
0.846,0.135,1.102,-64.695,127.561,18.659
0.583,0.199,0.979,-76.341,107.256,18.598
0.319,0.248,0.765,-85.183,60.793,19.146
0.075,0.291,0.513,-86.707,-2.866,18.476
-0.047,0.334,0.344,-81.707,-61.829,16.098
-0.063,0.324,0.23,-68.293,-97.561,8.232
-0.06,0.289,0.226,-48.171,-105.854,-1.585
0.152,0.276,0.366,-26.28,-97.927,-10.488
0.476,0.266,0.606,-4.207,-75.183,-18.476
0.806,0.241,0.908,17.195,-43.598,-30.305
1.168,0.234,1.175,32.134,-11.463,-39.085
1.512,0.159,1.235,37.256,7.866,-39.634
1.72,-0.055,1.023,34.573,8.232,-29.329
1.866,-0.244,0.769,27.988,-3.476,-13.598
1.941,-0.249,0.774,19.634,-18.11,1.28
1.632,-0.117,0.985,7.134,-41.951,22.073
0.982,-0.002,1.062,-5.549,-67.256,43.659
0.375,0.132,0.845,-24.268,-92.012,64.939
-0.123,0.284,0.548,-47.256,-122.988,88.537
-0.329,0.361,0.353,-66.463,-167.378,107.927
-0.303,0.342,0.268,-69.573,-221.402,109.573
-0.244,0.313,0.222,-49.573,-264.512,84.146
-0.106,0.246,0.233,-31.28,-279.756,51.585
0.201,0.194,0.313,-36.22,-257.988,15.732
0.647,0.191,0.421,-48.78,-239.817,-28.841
1.248,0.101,0.515,-51.524,-252.744,-63.963
1.732,-0.071,0.537,-53.232,-269.146,-80.061
2.068,-0.172,0.484,-52.134,-268.11,-79.024
2.187,-0.173,0.451,-44.756,-229.085,-68.232
2.085,-0.087,0.468,-37.073,-164.451,-40.915
1.565,0.019,0.411,-30.122,-103.659,-6.28
0.795,0.14,0.265,-22.561,-63.354,26.89
0.03,0.349,0.094,-20.244,-39.268,67.866
-0.345,0.471,0.053,-22.012,-35.976,102.012
-0.238,0.526,0.227,-14.817,-58.415,112.5
-0.146,0.548,0.311,2.378,-81.098,98.841
-0.11,0.419,0.265,16.585,-95.61,72.378
0.069,0.186,0.224,15.0,-106.463,32.866
0.512,0.036,0.295,-5.0,-104.878,-14.878
1.172,-0.106,0.542,-22.561,-85.122,-64.695
1.578,-0.216,0.763,-28.902,-47.622,-91.037
1.767,-0.254,0.892,-27.744,9.634,-95.366
1.911,-0.116,0.956,-29.451,76.098,-68.963
1.58,0.034,0.704,-24.756,122.927,-30.793
0.722,0.191,0.385,-13.72,144.085,-0.183
-0.019,0.31,0.161,-9.878,138.902,28.841
-0.311,0.393,0.071,-5.427,135.244,59.756
-0.243,0.338,0.057,-2.073,136.89,83.354
0.035,0.145,0.183,4.268,128.598,90.366
0.672,0.018,0.547,18.232,105.915,75.0
1.412,0.02,0.958,32.5,94.695,49.329
1.906,-0.135,1.129,38.11,121.707,9.268
2.067,-0.344,1.099,39.512,175.305,-42.927
2.37,-0.438,1.158,40.793,210.183,-65.915
2.45,-0.267,1.314,39.512,209.939,-56.463
1.827,-0.046,1.433,32.988,189.756,-34.878
0.742,0.051,1.115,21.585,169.634,-12.622
-0.451,0.217,0.588,5.061,149.085,16.341
-1.051,0.363,0.216,-24.451,111.159,60.0
-0.843,0.43,0.106,-58.72,45.854,101.402
-0.453,0.478,0.126,-68.659,-24.878,116.829
-0.236,0.344,0.133,-38.902,-90.122,90.976
0.093,0.159,0.216,0.122,-126.524,49.451
0.779,0.066,0.529,8.902,-116.524,-4.024
1.341,-0.045,0.835,4.817,-97.805,-70.793
1.641,-0.245,0.92,11.524,-79.207,-121.524
