acc_x_axis_g,acc_y_axis_g,acc_z_axis_g,gyr_x_axis_deg/s,gyr_y_axis_deg/s,gyr_z_axis_deg/s
2.419,-0.474,0.125,-63.902,23.963,-21.768
2.325,-0.308,0.228,-77.805,16.524,9.024
1.639,-0.043,0.355,-82.073,3.902,36.524
0.844,0.232,0.436,-79.939,-11.28,63.902
0.111,0.407,0.396,-74.512,-26.585,92.378
-0.396,0.503,0.388,-60.183,-42.805,112.317
-0.6,0.565,0.468,-28.963,-60.427,108.902
-0.575,0.522,0.396,8.232,-70.915,90.915
-0.5,0.335,0.295,34.39,-62.622,65.549
-0.046,0.12,0.389,42.378,-45.732,24.512
0.67,-0.026,0.525,29.39,-29.756,-24.573
1.339,-0.187,0.535,4.207,-16.402,-67.805
1.808,-0.395,0.416,-28.537,1.402,-94.085
2.311,-0.563,0.307,-59.756,32.927,-96.707
3.009,-0.47,0.316,-78.659,65.122,-74.939
2.961,-0.226,0.367,-82.683,78.476,-32.378
2.124,-0.009,0.366,-71.159,70.61,14.878
0.962,0.169,0.286,-55.0,47.988,62.927
0.099,0.291,0.206,-39.573,18.476,119.512
-0.256,0.27,0.083,-19.939,-19.207,160.366
-0.238,0.331,-0.026,13.598,-57.195,160.488
-0.468,0.301,0.066,46.037,-82.378,143.11
-0.414,0.26,0.233,73.476,-92.134,116.646
0.208,0.143,0.329,76.22,-73.72,70.305
1.042,-0.103,0.343,52.622,-38.72,-0.366
1.744,-0.349,0.308,27.683,0.915,-65.305
2.26,-0.499,0.16,-4.512,32.439,-105.366
2.644,-0.594,0.045,-34.512,52.5,-111.951
2.751,-0.497,0.164,-37.561,68.11,-87.195
2.074,-0.233,0.332,-20.793,64.451,-39.756
0.857,0.065,0.439,-6.951,30.305,10.061
0.006,0.236,0.473,-1.646,3.415,72.073
-0.397,0.256,0.425,-7.073,-8.72,127.439
-0.444,0.262,0.335,-7.927,-24.756,155.305
-0.447,0.236,0.28,14.207,-44.329,142.744
-0.208,0.15,0.28,32.073,-50.488,108.049
0.565,0.026,0.296,28.476,-42.073,58.171
1.597,-0.125,0.24,8.841,-26.585,-7.805
2.283,-0.356,0.121,-19.024,-4.695,-78.659
2.29,-0.545,0.012,-47.195,17.561,-122.927
2.37,-0.471,0.047,-68.293,43.72,-127.134
2.535,-0.303,0.362,-66.585,61.402,-104.573
1.688,-0.162,0.591,-47.988,53.659,-62.073
0.55,-0.009,0.564,-29.024,27.134,-6.28
-0.489,0.152,0.343,-12.378,3.11,52.622
-0.894,0.299,0.196,-3.841,-18.232,103.415
-0.815,0.431,0.388,9.207,-40.549,121.402
-0.757,0.472,0.586,31.707,-53.902,101.037
-0.252,0.41,0.678,47.744,-57.805,57.866
0.659,0.281,0.642,31.951,-50.427,14.146
1.34,0.007,0.436,-13.841,-24.634,-56.463
1.765,-0.322,0.135,-57.378,-0.305,-137.378
2.36,-0.535,-0.064,-73.415,32.866,-177.195
2.906,-0.556,-0.021,-62.012,89.39,-167.134
2.595,-0.408,0.13,-22.195,120.122,-120.061
1.704,-0.172,0.179,17.134,96.159,-58.659
0.635,0.067,0.245,45.366,60.488,7.317
-0.143,0.231,0.449,54.085,22.134,78.232
-0.25,0.316,0.503,45.549,-20.427,128.841
-0.077,0.36,0.511,40.061,-59.817,140.976
0.108,0.287,0.595,46.037,-92.866,125.244
0.75,0.175,0.656,54.024,-88.293,88.232
1.345,-0.041,0.354,46.707,-38.171,18.171
1.605,-0.338,-0.079,21.463,10.366,-62.378
1.828,-0.49,-0.248,-0.183,35.793,-118.049
