acc_x_axis_g,acc_y_axis_g,acc_z_axis_g,gyr_x_axis_deg/s,gyr_y_axis_deg/s,gyr_z_axis_deg/s
0.006,0.489,0.499,-146.098,-201.037,119.878
-0.136,0.553,0.393,-156.89,-242.683,102.927
-0.114,0.501,0.324,-155.671,-270.61,86.341
0.146,0.411,0.316,-141.707,-256.22,67.378
0.507,0.282,0.344,-123.902,-224.268,42.988
0.928,0.152,0.355,-108.232,-189.695,25.732
1.351,0.017,0.269,-96.585,-157.5,20.244
1.71,-0.134,0.106,-88.232,-133.598,15.854
2.056,-0.243,-0.036,-84.573,-122.805,19.329
2.287,-0.233,-0.073,-81.402,-122.683,29.817
2.247,-0.135,0.068,-80.854,-124.39,45.244
1.829,-0.044,0.25,-79.817,-122.073,66.585
1.156,0.11,0.331,-73.537,-114.329,91.402
0.438,0.286,0.345,-62.073,-112.378,110.061
-0.034,0.415,0.324,-41.402,-117.683,116.341
-0.273,0.499,0.27,-16.037,-118.232,106.89
-0.468,0.537,0.247,6.463,-108.72,82.744
-0.648,0.416,0.232,16.463,-83.78,52.073
-0.438,0.341,0.232,15.671,-51.89,14.939
0.072,0.266,0.356,7.256,-20.305,-23.415
0.748,0.059,0.451,-6.768,13.598,-58.232
1.294,-0.116,0.409,-29.512,41.037,-78.476
1.744,-0.346,0.288,-58.232,46.585,-82.256
2.335,-0.541,0.168,-83.598,43.659,-68.598
2.892,-0.538,0.062,-99.085,47.5,-38.963
2.986,-0.344,0.109,-99.451,48.598,-1.463
2.42,-0.11,0.325,-82.866,25.793,38.415
1.429,0.068,0.382,-55.671,2.134,84.451
0.446,0.162,0.325,-34.817,1.098,123.232
-0.169,0.241,0.104,-17.378,1.28,149.451
-0.349,0.468,-0.077,13.476,-12.561,144.329
-0.62,0.607,0.014,49.207,-27.744,120.0
-1.068,0.574,0.178,75.915,-29.817,91.402
-1.073,0.588,0.256,79.756,-25.732,47.683
-0.612,0.479,0.21,63.72,-25.61,-15.305
0.186,0.145,0.322,31.341,-10.244,-76.707
1.206,-0.107,0.629,-9.634,25.732,-115.305
1.775,-0.265,0.747,-40.366,62.256,-127.378
2.427,-0.376,0.8,-36.341,96.037,-103.78
2.944,-0.407,0.811,-24.146,96.585,-66.89
3.052,-0.364,0.811,-17.073,74.024,-26.951
2.693,-0.197,0.852,2.744,41.89,26.463
1.592,0.0,0.737,22.073,25.976,84.451
0.442,0.198,0.498,36.585,49.634,123.049
-0.36,0.38,0.273,42.073,94.146,145.488
-0.706,0.495,0.125,39.024,108.354,155.427
-0.77,0.525,0.048,40.488,88.171,137.5
-0.636,0.388,0.033,46.28,60.366,105.244
-0.029,0.092,0.225,48.171,28.659,56.463
0.882,-0.157,0.526,46.098,-9.817,-4.756
1.656,-0.404,0.731,40.305,-29.329,-63.415
2.272,-0.605,0.771,35.671,-12.805,-106.951
