acc_x_axis_g,acc_y_axis_g,acc_z_axis_g,gyr_x_axis_deg/s,gyr_y_axis_deg/s,gyr_z_axis_deg/s
0.685,0.359,0.589,-145.549,-89.695,45.915
0.187,0.427,0.313,-164.085,-115.854,46.037
-0.201,0.466,0.186,-177.622,-175.366,56.159
-0.151,0.479,0.176,-172.805,-247.927,70.305
0.147,0.399,0.206,-149.268,-293.598,79.39
0.359,0.251,0.236,-114.024,-303.11,78.354
0.558,0.068,0.298,-77.988,-274.329,70.244
0.886,-0.036,0.418,-45.915,-201.463,51.463
1.274,-0.131,0.498,-20.427,-91.402,24.146
1.583,-0.206,0.481,-10.061,20.305,0.854
1.855,-0.26,0.484,-21.829,91.951,-1.768
2.046,-0.273,0.581,-56.159,107.744,14.817
1.927,-0.183,0.768,-89.085,89.085,37.439
1.389,-0.078,0.838,-102.744,56.28,53.841
0.646,0.028,0.771,-109.39,9.085,66.524
0.052,0.124,0.66,-113.963,-52.805,81.524
-0.232,0.196,0.59,-107.988,-115.183,91.28
-0.3,0.292,0.544,-94.573,-159.024,90.732
-0.242,0.381,0.497,-76.037,-178.293,74.939
-0.207,0.336,0.441,-63.963,-168.354,53.841
-0.097,0.175,0.354,-64.451,-139.512,28.902
0.342,-0.011,0.34,-67.256,-102.317,-5.427
0.991,-0.22,0.372,-67.927,-58.232,-40.122
1.665,-0.395,0.39,-72.439,-26.098,-59.939
2.136,-0.506,0.366,-78.476,-4.024,-58.293
2.364,-0.457,0.352,-78.171,15.183,-33.11
2.458,-0.341,0.411,-68.78,16.159,4.634
2.184,-0.203,0.558,-53.354,-8.11,39.329
1.416,-0.021,0.675,-39.024,-43.963,66.89
0.64,0.143,0.699,-27.683,-78.049,94.756
-0.037,0.229,0.628,-13.049,-100.793,120.793
-0.435,0.271,0.514,8.415,-113.415,130.183
-0.421,0.311,0.376,36.646,-113.841,122.5
-0.377,0.295,0.305,57.744,-91.707,101.768
-0.428,0.218,0.362,58.902,-65.915,68.659
-0.167,0.099,0.374,50.061,-49.878,20.488
0.396,-0.105,0.314,33.537,-44.207,-38.11
1.152,-0.328,0.346,4.268,-44.39,-87.439
1.876,-0.454,0.362,-31.524,-37.073,-113.354
2.295,-0.537,0.319,-57.622,-11.098,-117.317
2.55,-0.478,0.314,-68.963,27.744,-93.049
2.751,-0.309,0.422,-64.207,56.098,-48.415
2.417,-0.135,0.671,-46.646,54.085,-2.439
1.516,0.021,0.833,-26.159,31.89,44.085
0.571,0.13,0.845,-10.183,20.305,94.329
-0.217,0.116,0.706,2.134,22.134,128.049
-0.46,0.09,0.432,19.268,0.427,142.5
-0.437,0.101,0.227,41.28,-40.793,131.768
-0.513,0.155,0.272,56.341,-59.451,100.488
-0.368,0.153,0.396,52.012,-56.646,61.463
0.193,0.056,0.384,31.89,-46.159,5.0
0.925,-0.167,0.334,4.451,-25.183,-66.585
1.62,-0.386,0.294,-25.732,-0.61,-123.963
2.112,-0.532,0.266,-53.171,18.72,-152.622
2.493,-0.522,0.289,-63.902,39.695,-153.232
2.778,-0.383,0.359,-56.89,68.232,-115.183
2.585,-0.221,0.55,-34.512,77.439,-63.171
1.827,-0.027,0.811,-7.805,50.732,-5.366
0.764,0.16,0.914,10.183,20.122,57.561
-0.229,0.228,0.751,15.854,13.72,104.085
-0.73,0.193,0.48,15.61,9.024,131.22
-0.719,0.217,0.216,21.159,-14.756,136.463
-0.702,0.24,0.225,34.085,-45.732,114.39
-0.517,0.224,0.412,35.488,-67.927,80.732
0.167,0.097,0.498,17.744,-73.354,27.5
0.993,-0.173,0.412,-10.0,-66.098,-44.268
1.799,-0.463,0.321,-40.0,-46.402,-105.0
2.433,-0.665,0.271,-64.512,-16.098,-141.28
2.953,-0.668,0.26,-71.951,24.085,-150.122
3.313,-0.542,0.278,-60.183,69.634,-118.78
2.937,-0.361,0.525,-32.439,95.427,-58.902
1.797,-0.123,0.899,1.402,74.756,4.939
0.408,0.093,0.984,22.744,37.866,70.915
-0.893,0.128,0.718,25.732,19.39,125.854
-1.319,0.044,0.238,23.78,5.0,153.963
-1.314,0.219,0.111,29.634,-25.854,159.268
-1.493,0.324,0.394,41.037,-63.415,138.78
-0.942,0.277,0.502,47.378,-86.524,96.524
0.063,-0.004,0.318,33.963,-90.793,23.11
1.168,-0.407,0.211,4.512,-88.659,-68.902
2.091,-0.742,0.22,-31.22,-81.402,-139.268
2.716,-0.876,0.265,-61.768,-46.89,-179.939
