acc_x_axis_g,acc_y_axis_g,acc_z_axis_g,gyr_x_axis_deg/s,gyr_y_axis_deg/s,gyr_z_axis_deg/s
1.729,-0.309,0.587,-61.646,65.488,-107.866
1.642,-0.203,0.758,-56.89,95.0,-92.256
1.684,-0.138,0.868,-32.622,107.134,-58.659
1.536,-0.151,0.917,2.805,88.476,-15.244
0.907,-0.121,0.777,29.085,51.707,35.061
0.146,-0.03,0.624,38.537,24.512,80.793
-0.165,0.073,0.479,38.537,14.329,105.305
-0.138,0.228,0.405,24.695,6.037,118.11
-0.129,0.329,0.458,5.183,-4.817,112.866
-0.043,0.296,0.497,-8.232,-20.976,79.451
0.547,0.171,0.519,-32.683,-31.159,36.951
1.24,-0.011,0.446,-65.976,-27.805,-14.939
1.66,-0.225,0.358,-84.573,-11.524,-65.488
1.892,-0.383,0.279,-81.341,12.744,-97.439
2.17,-0.388,0.327,-64.817,41.951,-97.5
2.267,-0.219,0.623,-36.768,67.805,-66.22
1.8,-0.07,0.951,-5.671,71.707,-28.293
0.887,0.033,1.09,16.646,56.951,3.293
0.129,0.086,0.933,23.72,30.122,39.451
-0.239,0.112,0.591,16.098,-4.024,79.512
-0.333,0.214,0.394,6.159,-37.073,96.463
-0.4,0.283,0.47,6.951,-70.427,86.402
-0.329,0.262,0.584,13.78,-102.378,66.159
0.173,0.233,0.545,8.78,-105.915,39.268
0.96,0.086,0.475,-18.72,-77.195,-11.524
1.78,-0.092,0.481,-47.256,-37.561,-72.744
2.17,-0.289,0.459,-62.744,6.89,-114.634
2.096,-0.378,0.446,-62.5,58.049,-126.28
2.276,-0.276,0.62,-46.463,96.524,-106.463
2.232,-0.168,0.86,-21.829,97.378,-65.854
1.426,-0.094,0.984,3.598,60.488,-18.72
0.36,-0.015,0.849,20.0,12.012,34.39
-0.266,0.032,0.466,23.354,-20.915,83.354
-0.411,0.178,0.152,21.22,-46.646,108.537
-0.425,0.335,0.155,16.707,-74.878,115.61
-0.454,0.311,0.248,19.268,-98.049,98.476
-0.038,0.227,0.241,25.732,-118.049,63.598
0.705,0.063,0.171,17.744,-114.024,21.463
1.41,-0.195,0.104,-2.622,-83.598,-45.61
1.926,-0.405,0.155,-17.866,-40.244,-101.037
2.135,-0.451,0.242,-21.707,15.305,-117.744
2.3,-0.312,0.392,-9.207,76.037,-97.622
2.04,-0.185,0.693,8.963,99.329,-53.537
1.354,-0.122,0.971,29.634,79.573,-7.134
0.394,-0.058,1.02,44.451,35.366,44.695
-0.25,0.021,0.605,40.671,-8.72,101.646
-0.326,0.126,0.226,25.488,-38.232,133.293
-0.383,0.218,0.212,14.878,-62.012,136.463
-0.516,0.257,0.261,14.268,-81.037,119.085
-0.117,0.233,0.263,11.585,-88.963,86.28
0.629,0.068,0.233,-7.866,-71.829,37.439
1.415,-0.186,0.254,-36.341,-41.768,-27.378
2.038,-0.39,0.343,-51.585,-3.415,-75.122
2.284,-0.458,0.358,-48.537,43.11,-93.11
2.268,-0.506,0.379,-18.171,92.134,-75.976
2.063,-0.548,0.694,22.622,106.463,-39.634
1.352,-0.448,0.973,57.988,88.11,2.622
0.316,-0.225,1.007,80.61,46.341,51.829
-0.357,0.027,0.911,83.049,6.463,101.341
-0.626,0.247,0.799,64.207,-9.146,130.915
-0.702,0.372,0.646,32.378,-8.598,137.805
-0.469,0.402,0.447,4.756,-2.378,116.22
0.036,0.31,0.27,-19.329,3.537,62.256
0.703,0.144,0.213,-44.39,7.012,-8.354
1.347,-0.118,0.171,-54.878,22.134,-77.5
1.982,-0.385,0.086,-40.244,40.976,-122.988
2.56,-0.525,0.076,-12.561,48.11,-134.695
2.719,-0.572,0.152,20.427,48.659,-116.524
2.375,-0.473,0.543,51.341,43.171,-82.439
1.387,-0.219,1.121,73.415,31.951,-38.476
0.226,0.014,1.425,84.329,18.415,14.207
-0.375,0.146,1.215,80.854,6.463,62.561
-0.653,0.281,0.886,58.902,-2.866,96.463
-0.681,0.415,0.74,27.256,-11.524,108.476
-0.44,0.42,0.588,3.537,-26.524,90.61
0.066,0.333,0.385,-16.098,-31.159,42.866
0.657,0.201,0.287,-42.683,-24.939,-23.659
1.197,0.027,0.252,-67.012,-18.171,-86.098
1.763,-0.221,0.155,-77.378,3.598,-126.524
2.421,-0.433,-0.007,-75.244,27.561,-136.28
2.804,-0.562,-0.103,-55.122,43.171,-115.854
2.646,-0.51,0.063,-19.329,35.976,-74.146
1.915,-0.261,0.633,20.061,12.439,-23.293
0.657,-0.004,1.209,54.024,-9.085,30.122
-0.326,0.129,1.223,74.39,-21.037,76.402
-0.7,0.173,0.922,71.89,-25.0,107.744
-0.666,0.27,0.705,52.439,-24.878,122.378
-0.634,0.319,0.587,32.073,-25.915,113.171
-0.335,0.281,0.49,16.829,-30.915,76.646
0.272,0.199,0.39,-2.073,-26.768,16.341
0.894,0.042,0.34,-29.085,-23.354,-49.878
1.627,-0.134,0.282,-58.598,-11.22,-103.902
2.316,-0.354,0.129,-82.927,17.439,-131.951
2.747,-0.509,-0.05,-86.037,50.427,-125.793
2.707,-0.591,-0.075,-64.512,65.549,-88.72
2.407,-0.535,0.311,-21.89,49.878,-38.598
1.457,-0.39,0.843,26.768,17.134,12.805
0.302,-0.231,1.107,61.524,-14.817,67.866
-0.524,0.049,1.012,80.793,-30.305,107.073
-0.898,0.333,0.914,81.646,-33.78,129.695
-1.172,0.496,0.926,64.817,-29.634,135.366
-0.835,0.594,0.819,40.305,-18.049,112.683
-0.136,0.499,0.536,8.049,-9.268,61.28
0.701,0.265,0.298,-32.5,-11.159,-8.232
1.532,-0.058,0.124,-67.073,4.756,-73.72
2.182,-0.421,-0.073,-83.598,40.549,-123.537
2.844,-0.604,-0.107,-70.854,63.171,-134.634
2.994,-0.691,-0.007,-32.866,61.341,-112.439
2.529,-0.595,0.443,7.805,44.695,-73.415
1.22,-0.292,1.161,45.61,16.402,-16.159
-0.037,0.003,1.478,77.744,-7.927,46.28
-0.715,0.224,1.35,90.732,-6.768,95.244
-1.197,0.443,1.167,79.939,7.317,124.451
-1.203,0.604,0.943,53.354,22.378,128.354
-0.586,0.569,0.606,31.22,21.463,98.659
0.14,0.352,0.261,7.988,19.085,39.39
0.745,0.113,0.134,-28.11,23.11,-36.463
1.438,-0.148,0.09,-62.378,15.183,-105.427
2.258,-0.469,-0.082,-75.976,9.207,-146.402
2.829,-0.716,-0.271,-63.354,8.354,-152.988
2.987,-0.777,-0.299,-28.293,11.402,-126.646
2.606,-0.591,0.137,13.78,0.366,-72.134
1.497,-0.248,0.988,52.988,-25.976,-3.293
0.24,0.019,1.468,86.585,-34.146,57.744
-0.646,0.18,1.375,101.768,-12.195,97.439
-1.102,0.375,1.187,90.305,13.902,120.244
-1.228,0.573,1.072,59.817,24.207,125.915
-0.815,0.577,0.848,29.451,12.134,107.561
-0.021,0.396,0.501,1.524,-16.22,62.683
0.669,0.162,0.32,-32.927,-42.561,-0.61
1.282,-0.035,0.317,-75.793,-52.378,-67.927
2.059,-0.279,0.238,-110.244,-35.549,-117.805
2.8,-0.543,0.065,-115.793,1.098,-133.476
3.142,-0.695,-0.092,-90.183,25.488,-116.402
2.854,-0.653,-0.133,-46.707,13.598,-71.098
2.142,-0.454,0.133,3.659,-13.78,-10.0
1.421,-0.293,0.397,53.232,-30.488,50.0
0.759,-0.18,0.59,86.951,-19.146,92.805
-0.184,-0.002,0.853,93.659,1.646,118.171
-0.92,0.243,0.926,75.0,3.78,129.878
-1.308,0.443,0.925,51.098,-7.073,121.098
-1.348,0.524,0.873,28.293,-22.134,85.488
-0.949,0.49,0.678,-2.683,-42.317,29.878
-0.264,0.354,0.423,-41.402,-64.451,-32.134
0.389,0.155,0.317,-80.488,-73.78,-90.366
0.902,-0.033,0.473,-107.805,-61.829,-134.695
1.352,-0.143,0.699,-110.244,-38.232,-152.439
1.898,-0.298,0.72,-97.256,-16.037,-143.902
2.597,-0.556,0.475,-71.707,-6.037,-115.549
2.963,-0.741,0.171,-44.024,-12.744,-69.146
2.994,-0.72,0.021,-12.927,-22.927,-11.402
2.588,-0.612,-0.013,20.427,-19.146,43.78
1.85,-0.438,0.124,47.317,8.537,85.244
0.995,-0.2,0.431,60.915,45.671,113.659
0.052,0.026,0.833,57.5,60.366,129.817
-0.675,0.312,1.074,42.378,43.659,131.951
-1.205,0.543,1.03,31.28,17.5,115.976
-1.327,0.594,0.861,28.049,-0.549,75.305
-1.159,0.603,0.717,16.829,-19.939,16.098
-0.483,0.528,0.542,-0.305,-37.012,-43.232
