acc_x_axis_g,acc_y_axis_g,acc_z_axis_g,gyr_x_axis_deg/s,gyr_y_axis_deg/s,gyr_z_axis_deg/s
0.356,0.253,-0.156,144.451,42.561,92.012
0.407,0.208,-0.122,130.427,68.598,77.195
0.535,0.159,-0.004,114.573,90.488,64.756
0.76,0.131,0.185,93.476,109.756,59.512
0.993,0.098,0.372,71.22,119.939,58.841
1.178,0.039,0.487,47.561,118.232,62.622
1.404,-0.033,0.555,24.268,105.915,71.707
1.738,-0.004,0.597,3.902,86.585,80.488
1.799,-0.036,0.62,-15.305,63.415,91.402
1.773,-0.026,0.649,-32.378,42.439,103.476
1.606,0.065,0.675,-46.585,28.78,113.354
1.232,0.137,0.648,-60.732,17.622,121.585
0.75,0.222,0.517,-75.671,0.488,126.829
0.26,0.349,0.366,-88.537,-23.415,126.829
-0.103,0.465,0.299,-97.5,-56.951,119.573
-0.285,0.516,0.315,-98.293,-97.805,106.829
-0.301,0.522,0.337,-90.183,-112.988,83.598
-0.215,0.475,0.299,-77.378,-97.134,49.268
-0.06,0.359,0.255,-67.256,-70.671,17.378
0.356,0.185,0.325,-55.976,-35.549,-11.707
0.876,-0.002,0.386,-43.11,2.561,-38.049
1.319,-0.169,0.395,-36.28,35.305,-53.354
1.713,-0.316,0.355,-41.463,57.256,-51.463
2.184,-0.411,0.324,-55.549,70.549,-33.293
2.586,-0.39,0.401,-71.829,71.28,-2.561
2.585,-0.271,0.591,-80.061,55.427,32.195
2.08,-0.112,0.765,-84.756,30.793,65.305
1.254,0.05,0.775,-88.11,3.537,92.927
0.485,0.231,0.684,-90.915,-25.671,118.232
-0.026,0.303,0.523,-78.963,-58.72,127.256
-0.333,0.375,0.334,-54.268,-91.402,117.073
-0.548,0.457,0.242,-28.171,-119.451,95.122
-0.69,0.527,0.215,-7.073,-120.0,65.427
-0.604,0.507,0.229,-0.793,-94.451,26.098
-0.104,0.303,0.268,-1.28,-59.085,-18.963
0.711,0.063,0.35,-3.049,-21.585,-64.573
1.431,-0.189,0.391,-9.634,6.341,-99.451
1.968,-0.402,0.36,-23.11,18.963,-114.573
2.507,-0.49,0.341,-39.085,32.439,-105.732
2.906,-0.394,0.401,-50.732,51.098,-71.951
2.667,-0.255,0.447,-45.732,52.866,-25.915
1.749,-0.121,0.38,-30.0,30.122,20.854
0.61,0.066,0.283,-16.22,9.573,64.024
-0.307,0.265,0.132,-5.549,6.707,102.012
-0.706,0.438,0.049,3.171,-4.878,122.927
-0.912,0.595,0.111,24.268,-41.585,112.317
-0.967,0.617,0.205,54.024,-79.268,82.195
-0.564,0.446,0.384,70.976,-90.732,49.024
0.415,0.237,0.704,63.232,-82.561,-4.451
1.362,-0.038,0.912,45.854,-57.012,-76.402
2.162,-0.303,0.902,28.476,-7.256,-136.524
2.854,-0.422,0.768,14.268,52.744,-163.537
