acc_x_axis_g,acc_y_axis_g,acc_z_axis_g,gyr_x_axis_deg/s,gyr_y_axis_deg/s,gyr_z_axis_deg/s
0.197,0.349,0.269,-81.341,32.805,52.439
0.164,0.417,0.229,-80.305,-27.622,76.646
0.191,0.44,0.253,-61.707,-86.098,85.244
0.224,0.381,0.292,-29.146,-120.671,77.5
0.317,0.279,0.33,-0.671,-135.854,55.61
0.619,0.185,0.409,7.5,-132.744,26.037
1.015,0.082,0.469,0.671,-108.902,-3.354
1.307,0.008,0.521,-7.988,-65.671,-26.585
1.69,-0.049,0.557,-14.817,-24.329,-37.866
2.013,0.02,0.515,-24.268,3.049,-31.707
1.886,0.08,0.498,-33.415,23.293,-12.622
1.458,0.119,0.478,-39.512,33.598,8.049
0.847,0.239,0.38,-37.988,25.488,28.049
0.436,0.32,0.278,-33.78,-0.61,47.805
0.244,0.323,0.218,-30.0,-35.183,65.61
0.094,0.303,0.215,-17.195,-61.951,73.659
0.092,0.29,0.26,3.354,-77.195,64.878
0.127,0.287,0.305,20.976,-83.293,47.622
0.261,0.243,0.342,27.012,-68.049,21.707
0.709,0.136,0.425,18.11,-40.793,-14.756
1.222,0.012,0.503,10.915,-7.073,-48.293
1.525,-0.084,0.47,1.89,25.305,-74.756
1.756,-0.167,0.4,-17.927,56.22,-82.866
2.031,-0.143,0.418,-32.134,95.732,-72.561
1.995,0.006,0.572,-30.671,117.439,-46.707
1.663,0.104,0.749,-22.012,102.744,-12.073
1.053,0.201,0.798,-19.146,65.976,23.232
0.418,0.31,0.713,-26.89,24.451,58.476
0.07,0.36,0.533,-36.585,-14.085,91.098
-0.149,0.384,0.331,-36.037,-43.78,105.976
-0.202,0.396,0.239,-20.427,-67.195,95.61
-0.1,0.363,0.201,-3.476,-79.756,71.829
0.261,0.239,0.131,-2.134,-70.244,40.549
0.892,0.031,0.083,-15.854,-42.927,-4.634
1.494,-0.128,0.224,-30.305,-7.256,-51.524
1.804,-0.209,0.369,-36.098,29.939,-85.854
1.95,-0.2,0.419,-36.646,64.817,-96.22
1.896,-0.17,0.443,-28.78,96.402,-81.89
1.665,-0.13,0.553,-8.659,113.963,-52.195
1.242,-0.092,0.648,16.585,104.085,-14.329
0.504,-0.018,0.672,29.451,72.744,25.976
-0.155,0.112,0.66,26.159,38.598,65.366
-0.447,0.297,0.741,20.366,3.476,91.159
-0.566,0.464,0.817,13.415,-32.256,100.244
-0.5,0.533,0.844,7.378,-48.354,90.976
-0.128,0.515,0.817,-3.963,-37.866,67.073
0.385,0.418,0.724,-27.927,-13.476,22.195
0.877,0.254,0.586,-52.256,12.439,-36.098
1.342,0.05,0.432,-65.305,37.805,-89.024
1.771,-0.144,0.253,-61.524,52.683,-119.878
2.211,-0.25,0.159,-41.768,53.293,-119.878
2.424,-0.271,0.196,-16.707,49.573,-94.756
2.182,-0.188,0.328,6.768,46.341,-60.244
1.379,-0.006,0.544,26.829,39.146,-20.732
0.424,0.21,0.753,36.524,27.866,23.963
-0.192,0.366,0.857,35.427,12.317,65.366
-0.437,0.463,0.899,28.963,-2.805,94.268
-0.392,0.498,0.846,23.171,-17.744,105.183
-0.155,0.488,0.759,22.317,-33.415,90.0
0.265,0.436,0.668,19.207,-34.573,46.89
0.792,0.296,0.539,5.732,-22.744,-12.561
1.244,0.077,0.389,-10.915,-13.78,-67.5
1.647,-0.14,0.178,-22.5,-1.28,-106.037
2.261,-0.305,-0.035,-29.39,12.927,-120.793
2.662,-0.354,-0.088,-28.354,21.463,-109.329
2.453,-0.25,0.183,-18.232,25.183,-76.707
1.493,-0.023,0.607,0.488,21.28,-31.89
0.251,0.214,0.918,21.524,10.976,15.793
-0.499,0.331,0.969,32.988,-1.829,60.305
-0.671,0.436,0.819,30.915,-12.561,95.976
-0.64,0.528,0.715,24.939,-22.195,111.341
-0.456,0.607,0.67,22.622,-40.488,102.5
0.195,0.518,0.44,19.329,-48.78,66.768
0.981,0.296,0.166,2.744,-34.939,5.732
1.541,0.05,-0.028,-27.439,-14.451,-58.049
1.785,-0.177,-0.195,-55.244,8.537,-105.793
2.293,-0.247,-0.163,-70.732,25.305,-127.622
2.369,-0.187,0.343,-64.024,37.195,-118.476
1.578,-0.011,1.042,-39.39,46.524,-82.5
0.444,0.143,1.321,-1.707,38.293,-35.122
-0.377,0.267,1.312,35.122,19.878,18.476
-0.546,0.404,1.142,54.39,8.415,68.232
-0.492,0.508,0.938,51.89,-2.134,99.024
-0.209,0.526,0.725,33.902,-13.78,108.171
0.398,0.409,0.424,14.878,-24.146,88.963
1.169,0.188,0.056,-6.037,-23.232,40.183
1.758,-0.075,-0.272,-40.732,8.049,-29.268
2.22,-0.255,-0.474,-71.037,41.098,-85.0
2.571,-0.326,-0.423,-71.098,55.305,-107.073
2.05,-0.135,0.231,-41.22,51.829,-95.549
0.944,0.204,1.117,1.098,42.866,-61.037
-0.1,0.336,1.436,50.61,24.146,-17.988
-0.546,0.369,1.311,91.341,5.122,29.024
-0.631,0.469,1.199,108.171,-0.671,67.5
-0.644,0.625,1.175,101.098,-0.366,88.171
-0.075,0.631,0.952,78.476,-4.512,84.573
0.643,0.438,0.614,50.0,-12.561,51.341
1.258,0.199,0.29,11.098,0.122,-8.841
1.949,-0.109,-0.146,-45.244,19.634,-73.171
2.472,-0.33,-0.429,-92.561,38.415,-113.049
2.646,-0.361,-0.436,-102.012,59.939,-121.22
2.14,-0.228,-0.076,-72.622,68.11,-92.195
0.828,0.159,0.716,-21.28,49.39,-40.366
-0.274,0.429,1.182,37.134,13.72,18.171
-0.705,0.492,1.24,78.72,-10.976,71.159
-0.788,0.551,1.248,91.585,-18.841,102.195
-0.713,0.621,1.156,81.646,-21.402,111.951
