acc_x_axis_g,acc_y_axis_g,acc_z_axis_g,gyr_x_axis_deg/s,gyr_y_axis_deg/s,gyr_z_axis_deg/s
0.697,0.237,-0.634,-36.098,-30.488,56.646
0.819,0.22,-0.606,-46.037,6.707,45.305
0.92,0.212,-0.565,-55.61,28.415,35.427
0.93,0.211,-0.519,-63.963,27.622,28.293
0.857,0.214,-0.464,-70.244,9.451,23.902
0.777,0.238,-0.407,-74.573,-11.951,21.646
0.739,0.275,-0.314,-74.329,-22.927,20.793
0.766,0.291,-0.23,-69.573,-22.622,19.634
0.853,0.289,-0.177,-62.134,-15.732,17.439
0.909,0.295,-0.141,-52.805,-4.634,14.512
0.908,0.31,-0.114,-42.805,0.793,9.756
0.887,0.329,-0.095,-34.756,-0.305,6.159
0.854,0.351,-0.066,-29.329,2.134,3.11
0.841,0.376,-0.034,-23.11,7.5,-4.573
0.882,0.392,-0.007,-17.744,4.695,-7.134
0.971,0.376,-0.0,-14.39,3.659,-5.61
0.943,0.37,0.014,-11.402,-3.415,-7.256
0.899,0.385,-0.02,-9.146,-18.11,-8.72
0.833,0.384,-0.048,-7.866,-35.427,-6.402
0.772,0.373,-0.081,-6.22,-46.89,-1.646
0.744,0.377,-0.102,-5.732,-49.939,1.585
0.751,0.398,-0.113,-6.646,-43.415,3.354
0.748,0.404,-0.117,-5.854,-30.488,4.207
0.737,0.396,-0.106,-5.61,-17.317,5.427
0.746,0.385,-0.16,-7.012,-5.732,7.378
0.775,0.378,-0.249,-9.512,2.561,11.28
0.782,0.355,-0.313,-11.829,7.683,15.061
0.733,0.315,-0.357,-6.037,7.439,18.598
0.66,0.26,-0.347,-3.171,1.341,24.085
0.651,0.259,-0.344,-7.561,-0.183,28.78
0.67,0.346,-0.283,-16.463,0.061,32.683
0.729,0.423,-0.235,-23.476,1.22,37.073
0.772,0.423,-0.252,-25.366,-3.841,41.402
0.828,0.395,-0.27,-24.207,-18.841,50.427
0.924,0.374,-0.264,-21.22,-30.671,60.854
0.972,0.367,-0.277,-18.902,-27.561,59.085
1.063,0.382,-0.315,-14.085,-5.671,45.0
1.351,0.361,-0.332,-5.915,33.293,25.549
1.728,0.283,-0.342,3.598,74.268,4.756
1.994,0.195,-0.289,10.061,87.317,-16.646
1.942,0.185,-0.292,6.098,53.232,-34.268
1.684,0.228,-0.398,-6.89,-12.256,-47.378
1.38,0.245,-0.514,-22.195,-82.317,-54.817
1.096,0.222,-0.516,-35.549,-135.488,-58.415
0.887,0.206,-0.396,-48.171,-161.402,-60.183
0.811,0.248,-0.295,-58.841,-158.963,-58.171
0.859,0.31,-0.232,-62.317,-127.012,-53.049
0.855,0.321,-0.149,-54.451,-87.134,-45.854
0.746,0.287,-0.057,-38.963,-58.72,-32.439
0.557,0.271,0.033,-23.598,-47.317,-15.793
0.362,0.324,0.105,-11.341,-49.817,-0.915
0.214,0.404,0.153,0.0,-49.024,15.488
0.142,0.454,0.162,11.22,-35.244,29.329
0.21,0.484,0.1,21.768,-9.573,39.634
0.412,0.47,-0.039,32.622,23.78,47.134
0.611,0.406,-0.185,40.183,49.268,53.537
0.749,0.338,-0.322,38.232,56.89,56.463
0.895,0.305,-0.448,28.72,53.537,49.756
1.116,0.279,-0.508,19.024,47.073,34.39
1.373,0.23,-0.541,7.073,32.256,12.683
1.566,0.203,-0.507,-7.683,10.244,-11.037
1.659,0.203,-0.497,-19.085,-9.268,-34.817
1.658,0.214,-0.547,-26.159,-24.085,-57.683
1.607,0.227,-0.575,-31.28,-37.744,-75.976
1.481,0.229,-0.565,-33.171,-55.854,-87.134
1.18,0.201,-0.462,-30.366,-71.951,-89.817
0.838,0.201,-0.326,-25.976,-76.829,-86.341
0.641,0.267,-0.186,-19.939,-76.768,-74.085
0.461,0.355,-0.1,-13.476,-72.988,-51.951
0.21,0.439,-0.057,-3.537,-58.293,-26.89
0.025,0.519,-0.078,4.085,-28.659,-2.134
0.027,0.603,-0.128,10.732,19.573,21.341
