acc_x_axis_g,acc_y_axis_g,acc_z_axis_g,gyr_x_axis_deg/s,gyr_y_axis_deg/s,gyr_z_axis_deg/s
0.815,0.336,-0.38,-41.646,-58.476,-5.671
0.688,0.33,-0.347,-40.366,-72.988,-1.951
0.542,0.366,-0.294,-42.073,-95.427,6.402
0.437,0.446,-0.211,-44.024,-118.902,15.244
0.401,0.515,-0.173,-42.927,-139.268,20.915
0.396,0.548,-0.17,-40.0,-150.061,25.671
0.458,0.549,-0.187,-34.756,-141.463,25.61
0.628,0.523,-0.254,-22.561,-108.963,18.049
0.869,0.461,-0.313,-6.89,-62.927,9.939
1.149,0.378,-0.381,6.463,-16.951,9.512
1.367,0.307,-0.414,13.354,10.671,12.988
1.41,0.282,-0.459,12.5,12.256,12.744
1.239,0.299,-0.541,4.634,-8.598,3.232
1.053,0.351,-0.633,-5.854,-32.988,-8.598
1.025,0.376,-0.739,-17.195,-43.232,-20.671
1.124,0.352,-0.814,-26.951,-36.159,-34.756
1.25,0.329,-0.826,-35.854,-15.671,-48.476
1.326,0.323,-0.763,-41.829,10.0,-60.793
1.298,0.343,-0.658,-47.622,29.451,-69.085
1.179,0.388,-0.572,-52.805,36.829,-73.72
1.017,0.423,-0.526,-56.707,30.183,-74.695
0.837,0.437,-0.493,-56.402,20.0,-70.427
0.662,0.42,-0.419,-50.0,12.927,-64.695
0.568,0.405,-0.32,-39.939,9.268,-59.634
0.485,0.423,-0.232,-30.244,6.28,-53.354
0.382,0.467,-0.115,-19.329,-0.061,-42.073
0.301,0.508,-0.035,-8.598,-5.427,-24.634
0.216,0.539,-0.035,0.915,-0.488,-5.61
0.16,0.563,-0.052,7.5,7.073,13.415
0.175,0.591,-0.146,8.476,17.5,40.427
0.183,0.585,-0.213,12.073,31.037,60.366
0.265,0.543,-0.25,19.146,43.049,76.768
0.526,0.471,-0.315,36.159,60.183,89.695
0.762,0.404,-0.338,52.683,75.488,102.134
0.912,0.377,-0.261,53.293,97.134,104.695
0.938,0.391,-0.201,43.78,115.122,81.28
1.14,0.455,-0.292,28.049,114.573,59.329
1.511,0.438,-0.471,15.732,95.732,38.354
1.597,0.358,-0.622,10.976,59.695,17.012
1.501,0.293,-0.694,7.439,23.354,-4.207
1.45,0.313,-0.675,-3.232,1.585,-23.963
1.435,0.402,-0.601,-18.049,-6.098,-40.244
1.379,0.47,-0.497,-27.988,-5.61,-54.634
1.269,0.462,-0.365,-32.5,-2.805,-61.585
1.153,0.42,-0.291,-35.793,-2.927,-61.951
1.036,0.404,-0.286,-34.817,-16.402,-62.378
0.832,0.4,-0.272,-28.049,-41.89,-59.146
0.556,0.384,-0.27,-17.317,-57.988,-49.146
0.426,0.388,-0.219,-8.902,-60.793,-33.841
0.436,0.432,-0.108,-2.012,-58.476,-16.707
0.315,0.485,-0.024,6.098,-55.0,-1.341
0.127,0.541,0.015,12.5,-40.671,22.195
0.086,0.567,0.026,15.671,-16.524,42.317
0.229,0.565,-0.027,20.732,12.256,59.817
0.447,0.502,-0.134,32.378,38.598,77.927
0.597,0.422,-0.225,53.232,49.268,94.329
0.687,0.37,-0.209,72.256,60.61,111.28
0.643,0.333,-0.126,68.049,89.024,97.622
0.725,0.432,-0.224,52.073,126.829,66.341
1.349,0.472,-0.334,39.939,156.89,47.195
1.987,0.306,-0.37,31.707,143.963,28.232
1.891,0.165,-0.501,21.829,82.012,1.463
1.447,0.195,-0.653,0.549,16.524,-25.244
1.358,0.325,-0.654,-23.537,-27.5,-46.341
1.443,0.387,-0.55,-37.134,-55.488,-60.549
1.321,0.351,-0.467,-40.183,-74.817,-69.39
1.11,0.318,-0.424,-42.378,-86.037,-72.622
0.942,0.323,-0.353,-39.39,-82.5,-69.817
0.753,0.318,-0.263,-30.488,-66.28,-62.622
0.621,0.33,-0.195,-21.646,-39.329,-53.902
0.543,0.393,-0.101,-15.183,-15.732,-39.512
0.437,0.468,-0.004,-9.817,-8.902,-14.451
0.257,0.516,0.035,-1.098,-10.671,13.232
0.046,0.557,0.017,8.537,-8.11,35.366
-0.064,0.593,-0.082,17.134,9.085,50.122
0.088,0.586,-0.146,29.39,36.829,66.037
0.471,0.496,-0.116,48.841,64.878,87.622
0.735,0.386,0.011,55.915,83.72,96.768
0.7,0.42,-0.001,42.805,103.78,79.329
0.931,0.539,-0.272,30.427,132.012,54.817
1.685,0.406,-0.513,24.634,137.683,29.207
2.141,0.144,-0.572,17.256,96.951,2.988
1.872,0.06,-0.591,-0.549,32.439,-25.122
1.606,0.208,-0.579,-22.378,-18.232,-50.122
1.587,0.348,-0.513,-32.622,-51.524,-67.378
1.42,0.349,-0.452,-35.427,-74.451,-74.207
1.141,0.323,-0.411,-37.134,-84.085,-73.963
0.931,0.32,-0.319,-31.037,-79.817,-68.476
0.729,0.307,-0.221,-21.89,-59.451,-60.61
0.604,0.345,-0.123,-15.183,-30.305,-54.634
0.567,0.439,-0.02,-9.634,-12.988,-39.634
0.47,0.492,0.034,-2.561,-8.537,-13.049
0.228,0.526,0.071,7.073,-10.427,13.11
-0.034,0.572,0.078,16.037,-9.085,33.232
-0.128,0.611,0.013,23.171,7.561,48.476
0.106,0.591,-0.064,31.037,38.841,63.171
0.537,0.483,-0.15,46.402,64.512,76.524
0.791,0.352,-0.091,63.11,63.537,93.659
0.738,0.332,0.125,56.037,59.207,89.085
0.629,0.539,-0.029,45.244,81.463,56.951
1.275,0.551,-0.37,45.61,115.793,34.329
2.154,0.17,-0.498,40.793,110.061,11.524
2.169,-0.023,-0.565,20.427,53.72,-17.134
1.729,0.159,-0.615,-7.927,-25.732,-48.293
1.548,0.372,-0.649,-27.988,-88.598,-67.378
1.368,0.362,-0.608,-38.11,-118.11,-74.512
