acc_x_axis_g,acc_y_axis_g,acc_z_axis_g,gyr_x_axis_deg/s,gyr_y_axis_deg/s,gyr_z_axis_deg/s
0.868,0.276,-0.759,131.22,-29.024,41.341
0.833,0.304,-0.775,98.293,-30.183,41.585
0.804,0.333,-0.758,63.537,-36.159,42.866
0.783,0.393,-0.72,35.915,-39.085,40.183
0.752,0.418,-0.61,19.329,-30.305,33.72
0.845,0.402,-0.517,6.159,-19.268,29.451
0.935,0.399,-0.491,-9.39,-18.963,27.622
0.879,0.407,-0.527,-20.854,-25.061,26.585
0.779,0.42,-0.537,-27.195,-35.427,26.098
0.786,0.412,-0.477,-34.573,-46.646,28.537
0.79,0.427,-0.388,-41.28,-56.402,30.305
0.748,0.471,-0.322,-47.561,-61.28,30.366
0.726,0.5,-0.272,-51.829,-55.488,31.463
0.748,0.539,-0.229,-54.451,-45.671,31.463
0.76,0.547,-0.213,-57.012,-40.61,30.854
0.78,0.533,-0.214,-59.573,-45.671,33.293
0.814,0.512,-0.208,-58.171,-56.098,38.659
0.805,0.472,-0.204,-51.463,-66.89,43.963
0.775,0.447,-0.22,-42.317,-72.805,49.207
0.732,0.459,-0.235,-35.061,-71.829,51.707
0.702,0.498,-0.202,-30.305,-68.293,50.366
0.712,0.507,-0.142,-28.476,-61.585,47.5
0.748,0.5,-0.131,-27.439,-51.524,42.561
0.793,0.488,-0.161,-27.5,-40.854,38.354
0.833,0.465,-0.201,-30.061,-35.976,37.805
0.863,0.448,-0.215,-34.207,-43.354,40.427
0.807,0.439,-0.225,-39.207,-58.72,44.146
0.72,0.436,-0.275,-44.39,-73.659,46.28
0.705,0.444,-0.307,-50.671,-82.073,44.451
0.731,0.462,-0.315,-56.951,-81.585,40.244
0.757,0.461,-0.309,-61.341,-75.183,35.671
0.773,0.432,-0.326,-63.598,-74.512,31.768
0.75,0.404,-0.373,-65.0,-78.902,32.195
0.663,0.377,-0.409,-64.756,-85.793,35.061
0.602,0.365,-0.412,-59.573,-92.866,38.232
0.566,0.364,-0.428,-53.049,-88.902,40.732
0.569,0.388,-0.457,-45.549,-70.488,39.939
0.656,0.433,-0.496,-38.171,-38.659,39.512
0.778,0.457,-0.522,-29.146,-4.085,37.561
0.866,0.442,-0.509,-20.122,25.0,35.671
0.906,0.409,-0.503,-12.073,43.598,34.329
0.917,0.381,-0.458,-7.195,51.89,29.512
0.91,0.375,-0.44,-5.976,44.146,21.585
0.863,0.409,-0.479,-8.72,25.366,13.78
0.834,0.437,-0.495,-12.866,8.841,6.159
0.886,0.431,-0.455,-15.671,-4.451,-0.244
0.989,0.404,-0.438,-17.073,-13.659,-4.451
1.064,0.383,-0.438,-17.195,-19.451,-7.927
1.038,0.375,-0.435,-17.378,-28.537,-12.439
0.967,0.387,-0.427,-17.805,-36.646,-16.463
0.937,0.395,-0.43,-16.768,-37.378,-20.244
0.961,0.382,-0.435,-15.976,-29.451,-24.39
1.003,0.382,-0.383,-17.256,-21.28,-26.585
1.003,0.406,-0.36,-18.354,-15.122,-27.683
0.944,0.427,-0.411,-17.073,-10.915,-29.634
0.901,0.418,-0.429,-16.402,-16.098,-31.524
0.859,0.406,-0.433,-18.537,-26.646,-33.537
0.782,0.409,-0.418,-24.024,-34.817,-37.378
0.758,0.424,-0.376,-28.902,-34.451,-41.646
0.789,0.425,-0.333,-30.732,-28.537,-43.598
0.791,0.421,-0.346,-30.61,-23.11,-43.537
0.739,0.433,-0.395,-30.183,-20.976,-38.415
0.654,0.453,-0.392,-30.976,-24.329,-30.0
0.568,0.489,-0.364,-30.732,-35.61,-20.854
0.441,0.524,-0.36,-27.317,-43.293,-6.707
0.285,0.536,-0.344,-21.646,-40.549,10.0
