acc_x_axis_g,acc_y_axis_g,acc_z_axis_g,gyr_x_axis_deg/s,gyr_y_axis_deg/s,gyr_z_axis_deg/s
0.58,0.597,-0.144,-33.902,-67.744,33.11
0.627,0.597,-0.162,-35.366,-55.488,34.024
0.677,0.588,-0.182,-35.549,-45.732,35.0
0.749,0.56,-0.212,-34.268,-40.122,35.122
0.802,0.531,-0.249,-32.866,-38.78,34.817
0.818,0.516,-0.238,-30.732,-40.488,34.146
0.799,0.499,-0.203,-27.378,-46.707,33.476
0.75,0.487,-0.18,-26.463,-54.146,33.232
0.713,0.512,-0.178,-27.744,-54.634,34.146
0.734,0.547,-0.131,-30.488,-49.451,33.963
0.763,0.563,-0.065,-33.841,-46.768,32.561
0.724,0.561,-0.063,-36.951,-52.012,32.317
0.667,0.554,-0.1,-38.902,-61.463,33.902
0.67,0.552,-0.142,-40.366,-78.963,34.939
0.684,0.552,-0.208,-39.573,-105.061,38.841
0.615,0.514,-0.223,-35.61,-129.451,46.22
0.564,0.45,-0.188,-29.329,-142.317,49.817
0.608,0.431,-0.168,-23.598,-139.878,47.866
0.678,0.464,-0.167,-19.451,-122.683,44.207
0.789,0.482,-0.174,-15.549,-93.598,40.061
0.933,0.46,-0.196,-10.61,-64.207,33.11
1.009,0.426,-0.238,-6.646,-49.634,24.268
1.02,0.403,-0.299,-4.268,-47.927,18.293
1.031,0.375,-0.353,-4.146,-57.5,13.354
1.056,0.38,-0.376,-6.768,-73.049,8.354
1.081,0.408,-0.373,-11.098,-83.659,0.061
1.071,0.429,-0.387,-15.549,-88.537,-12.317
1.05,0.445,-0.422,-20.61,-88.963,-22.5
1.082,0.458,-0.476,-26.646,-81.159,-28.598
1.14,0.462,-0.5,-29.024,-67.622,-32.012
1.14,0.46,-0.457,-29.817,-61.402,-33.049
1.062,0.461,-0.443,-31.341,-66.463,-31.951
0.927,0.474,-0.444,-31.524,-74.085,-30.793
0.785,0.49,-0.396,-29.573,-77.256,-29.451
0.716,0.507,-0.358,-27.256,-72.073,-27.195
0.698,0.527,-0.309,-23.78,-60.183,-25.244
0.668,0.53,-0.273,-17.866,-46.22,-22.195
0.634,0.514,-0.244,-10.793,-31.402,-16.463
0.604,0.498,-0.224,-5.793,-17.5,-9.085
0.57,0.498,-0.218,-2.561,-10.549,-1.463
0.507,0.5,-0.232,0.244,-9.268,9.207
0.403,0.489,-0.263,2.134,-6.22,21.22
0.332,0.489,-0.293,4.817,1.951,33.841
0.326,0.499,-0.322,9.451,10.427,47.012
0.376,0.488,-0.331,13.293,18.354,62.561
0.419,0.466,-0.333,14.817,27.988,75.488
0.474,0.487,-0.344,12.561,38.72,82.073
0.591,0.519,-0.381,8.841,52.927,82.744
0.755,0.5,-0.437,9.024,68.902,76.159
0.954,0.444,-0.47,11.098,82.073,65.976
1.172,0.385,-0.482,11.951,84.817,53.415
1.29,0.351,-0.485,10.61,69.817,35.122
1.225,0.369,-0.472,3.11,45.732,15.427
1.174,0.417,-0.456,-6.098,29.573,-0.366
1.274,0.43,-0.445,-11.951,23.293,-13.049
1.35,0.407,-0.451,-16.402,23.415,-24.146
1.291,0.4,-0.463,-20.061,30.061,-30.915
1.224,0.401,-0.468,-19.451,43.049,-36.524
1.172,0.393,-0.44,-15.305,55.0,-42.988
1.054,0.392,-0.403,-11.768,56.098,-47.5
0.898,0.398,-0.353,-8.293,44.39,-48.415
0.741,0.401,-0.323,-4.146,22.256,-47.012
0.566,0.403,-0.285,-3.415,-5.976,-41.098
0.44,0.418,-0.215,-8.293,-30.549,-30.122
0.391,0.461,-0.159,-14.817,-44.329,-19.695
0.384,0.505,-0.178,-17.012,-42.622,-10.366
0.348,0.508,-0.249,-16.037,-33.171,0.976
0.316,0.503,-0.317,-15.183,-24.878,17.561
0.309,0.499,-0.358,-15.061,-25.122,37.378
0.292,0.5,-0.342,-14.451,-30.671,56.402
0.285,0.504,-0.297,-10.0,-33.415,73.598
0.331,0.503,-0.223,-4.024,-28.049,87.866
0.504,0.517,-0.127,-2.622,-9.573,91.463
0.767,0.527,-0.196,0.061,23.415,82.073
1.12,0.465,-0.325,13.415,58.963,62.927
1.565,0.331,-0.34,23.354,72.988,46.951
1.854,0.247,-0.302,26.037,64.573,28.049
1.728,0.256,-0.323,20.427,34.024,1.646
1.509,0.355,-0.399,7.5,-4.756,-20.671
1.458,0.421,-0.46,-6.037,-33.598,-34.268
1.38,0.412,-0.476,-17.439,-48.902,-45.183
1.264,0.397,-0.495,-26.22,-50.976,-54.573
1.191,0.402,-0.515,-29.878,-41.89,-59.573
1.099,0.391,-0.501,-29.756,-29.085,-62.378
0.956,0.38,-0.446,-26.89,-20.549,-61.463
0.789,0.371,-0.396,-20.854,-15.793,-55.427
0.618,0.353,-0.345,-14.268,-13.049,-48.78
0.451,0.381,-0.256,-15.793,-16.524,-38.902
0.343,0.464,-0.169,-22.317,-20.61,-24.085
0.295,0.53,-0.133,-25.488,-21.341,-8.232
0.246,0.545,-0.16,-23.659,-25.0,6.707
0.177,0.545,-0.241,-22.988,-29.939,24.573
0.133,0.551,-0.297,-20.549,-30.488,42.561
0.17,0.534,-0.272,-14.817,-30.061,59.878
0.336,0.498,-0.238,-2.317,-24.817,78.049
0.492,0.448,-0.158,12.805,-14.39,93.049
0.593,0.446,-0.069,18.659,1.829,98.171
0.735,0.501,-0.086,15.122,22.866,90.244
1.012,0.505,-0.25,19.329,55.122,71.037
1.48,0.376,-0.371,31.098,77.866,50.549
1.928,0.226,-0.408,35.61,73.902,31.22
1.846,0.188,-0.45,28.476,38.11,0.488
1.461,0.304,-0.553,10.61,-8.72,-30.122
