acc_x_axis_g,acc_y_axis_g,acc_z_axis_g,gyr_x_axis_deg/s,gyr_y_axis_deg/s,gyr_z_axis_deg/s
0.616,0.417,-0.576,-46.585,-69.085,4.573
0.617,0.422,-0.565,-51.28,-53.963,6.89
0.606,0.429,-0.562,-52.134,-37.805,9.268
0.609,0.437,-0.536,-49.39,-26.524,12.988
0.601,0.436,-0.497,-42.378,-22.622,18.171
0.599,0.438,-0.461,-34.939,-21.707,23.11
0.602,0.436,-0.437,-25.488,-21.22,26.341
0.59,0.428,-0.398,-16.037,-17.317,26.829
0.584,0.425,-0.374,-9.695,-3.902,23.415
0.609,0.433,-0.337,-6.463,14.939,19.634
0.684,0.441,-0.277,-6.89,22.988,19.146
0.737,0.424,-0.285,-8.659,18.293,21.28
0.693,0.398,-0.354,-10.488,5.793,24.024
0.632,0.381,-0.427,-11.951,-8.232,26.646
0.57,0.38,-0.444,-11.402,-17.622,27.866
0.521,0.387,-0.45,-9.939,-17.195,28.963
0.525,0.393,-0.469,-10.244,-9.695,31.524
0.597,0.396,-0.455,-13.049,-3.293,35.915
0.69,0.381,-0.452,-16.89,0.122,37.561
0.729,0.367,-0.462,-18.78,1.28,34.451
0.729,0.355,-0.479,-17.683,-0.061,28.232
0.775,0.346,-0.52,-14.512,-5.732,20.671
0.857,0.349,-0.529,-11.341,-13.902,12.866
0.93,0.358,-0.51,-10.427,-21.28,4.939
0.989,0.362,-0.474,-10.976,-28.476,-5.122
1.03,0.368,-0.434,-12.317,-36.28,-15.0
1.054,0.387,-0.418,-14.451,-41.402,-22.805
1.087,0.395,-0.413,-14.878,-43.171,-28.476
1.138,0.371,-0.404,-9.39,-43.841,-34.024
1.11,0.328,-0.422,-3.902,-45.793,-42.195
1.004,0.299,-0.482,-3.537,-48.537,-52.012
0.967,0.32,-0.56,-7.866,-50.671,-60.122
1.02,0.354,-0.646,-14.512,-50.915,-63.78
1.086,0.372,-0.689,-22.561,-48.902,-66.951
1.053,0.394,-0.658,-33.537,-46.402,-72.256
0.959,0.437,-0.641,-45.549,-44.024,-77.988
0.891,0.473,-0.619,-55.183,-45.244,-80.427
0.854,0.482,-0.607,-58.537,-50.305,-79.39
0.766,0.474,-0.584,-54.329,-58.354,-74.39
0.602,0.471,-0.557,-51.037,-67.439,-65.549
0.455,0.511,-0.525,-50.244,-64.939,-55.122
