acc_x_axis_g,acc_y_axis_g,acc_z_axis_g,gyr_x_axis_deg/s,gyr_y_axis_deg/s,gyr_z_axis_deg/s
0.7,0.558,0.413,-29.634,69.878,67.744
1.022,0.578,0.589,-29.024,17.744,26.463
1.204,0.652,0.755,-20.854,-44.634,-19.085
1.359,0.704,0.856,-7.927,-95.976,-56.646
1.437,0.711,0.853,1.341,-123.72,-79.634
1.319,0.732,0.72,1.951,-129.39,-85.976
0.966,0.753,0.571,1.159,-122.5,-90.549
0.613,0.8,0.521,3.537,-107.866,-91.22
0.385,0.812,0.474,6.829,-83.354,-76.89
0.229,0.786,0.354,4.024,-50.0,-45.732
0.112,0.783,0.216,-2.988,-21.707,-3.232
-0.078,0.782,0.133,-11.098,-3.537,40.61
-0.36,0.783,0.09,-17.317,13.841,72.744
-0.475,0.835,0.054,-22.744,38.902,92.927
-0.211,0.813,0.074,-25.427,73.902,104.268
0.184,0.673,0.125,-27.317,108.232,102.378
0.446,0.549,0.205,-32.866,128.72,88.049
0.58,0.524,0.348,-38.354,116.707,66.524
0.757,0.534,0.563,-34.878,65.549,36.463
1.074,0.532,0.825,-17.439,-2.134,-5.732
1.374,0.551,1.018,3.232,-62.073,-46.28
1.45,0.596,1.083,20.0,-105.549,-75.793
1.33,0.66,0.983,27.683,-124.024,-89.451
1.037,0.716,0.797,31.159,-121.098,-99.634
0.811,0.738,0.646,32.866,-98.902,-104.817
0.667,0.745,0.568,30.061,-67.073,-93.171
0.369,0.749,0.323,19.268,-31.829,-58.171
-0.074,0.748,-0.012,2.622,4.451,-4.024
-0.38,0.751,-0.156,-16.585,40.671,54.756
-0.571,0.815,-0.143,-32.317,64.024,93.049
-0.619,0.908,-0.041,-38.659,71.768,109.817
-0.239,0.85,0.088,-37.683,100.732,121.22
0.278,0.652,0.151,-38.476,148.171,117.5
0.617,0.473,0.292,-45.915,167.073,96.22
0.887,0.489,0.596,-44.329,129.39,65.854
1.216,0.521,0.993,-25.671,42.5,21.402
1.499,0.519,1.214,4.329,-54.939,-35.061
1.512,0.582,1.209,27.866,-126.524,-77.805
1.498,0.584,1.04,35.671,-153.293,-91.402
1.287,0.614,0.884,34.512,-154.207,-106.829
1.015,0.685,0.789,32.805,-136.463,-126.463
0.82,0.724,0.712,32.927,-102.378,-125.366
0.567,0.714,0.57,27.866,-56.28,-93.354
0.07,0.688,0.169,15.244,-6.829,-37.256
-0.49,0.688,-0.166,-0.915,33.841,27.561
-0.825,0.744,-0.171,-14.756,58.415,81.037
-0.829,0.862,-0.022,-25.366,66.707,103.11
-0.501,0.911,0.128,-29.451,73.659,110.183
0.037,0.772,0.211,-23.78,104.024,115.915
0.525,0.534,0.181,-29.024,137.866,103.841
0.841,0.409,0.417,-34.39,122.256,71.402
1.12,0.556,0.77,-24.695,61.098,32.439
1.427,0.562,1.037,-4.756,-20.976,-15.061
1.582,0.571,1.115,18.659,-96.89,-64.634
1.562,0.65,1.037,33.476,-139.085,-88.476
1.426,0.641,0.896,37.622,-147.317,-102.134
1.163,0.695,0.791,39.512,-130.488,-116.829
0.856,0.753,0.724,41.159,-90.61,-110.976
0.49,0.736,0.505,34.878,-37.012,-74.329
-0.002,0.71,0.086,21.463,5.244,-20.915
-0.464,0.708,-0.152,4.634,37.622,41.707
-0.825,0.739,-0.11,-11.037,60.061,86.341
-0.918,0.875,-0.04,-22.805,72.378,103.293
-0.535,0.882,0.008,-30.305,93.537,114.695
0.077,0.679,0.051,-31.585,136.402,118.598
0.518,0.457,0.081,-42.195,165.427,101.585
0.817,0.386,0.419,-44.878,127.988,67.317
1.197,0.514,0.862,-28.232,45.183,22.317
1.592,0.498,1.182,-0.793,-45.549,-31.707
1.718,0.57,1.296,29.085,-120.793,-82.195
1.703,0.646,1.176,44.024,-153.841,-99.39
1.466,0.655,0.953,47.866,-151.22,-109.268
1.096,0.718,0.797,48.537,-124.085,-117.805
0.772,0.756,0.695,50.122,-81.28,-109.024
0.464,0.75,0.46,44.573,-35.549,-73.171
0.018,0.711,0.067,26.951,5.549,-15.854
-0.523,0.707,-0.144,8.293,38.72,44.756
-0.949,0.8,-0.11,-7.195,56.341,83.659
-0.936,0.913,-0.068,-19.573,69.024,104.573
-0.478,0.851,-0.016,-24.817,93.232,120.366
0.072,0.643,0.048,-22.622,137.073,123.354
0.458,0.445,0.078,-31.159,179.756,105.183
0.716,0.374,0.384,-43.171,177.134,77.683
0.954,0.541,0.688,-41.951,118.841,43.78
1.311,0.513,0.988,-26.402,33.598,2.012
1.582,0.535,1.138,-1.28,-51.402,-40.244
1.59,0.607,1.119,19.573,-112.378,-64.268
1.47,0.595,1.042,31.22,-142.195,-82.378
1.273,0.66,0.91,34.695,-145.61,-97.805
1.014,0.702,0.786,35.427,-126.28,-104.634
0.759,0.708,0.708,37.5,-90.549,-99.085
0.471,0.714,0.579,35.427,-49.207,-75.427
0.117,0.705,0.293,26.341,-11.585,-36.22
-0.246,0.718,0.043,11.463,10.671,9.451
-0.489,0.768,-0.046,-2.927,26.037,53.11
-0.575,0.837,-0.007,-16.402,43.963,82.622
-0.448,0.858,0.042,-26.524,64.024,98.963
-0.093,0.781,0.072,-28.293,93.659,109.024
0.292,0.615,0.055,-29.634,131.829,104.512
0.579,0.458,0.176,-39.085,142.439,84.024
0.814,0.503,0.465,-40.427,105.061,55.0
1.113,0.565,0.797,-30.305,38.293,18.415
1.458,0.564,1.019,-11.037,-38.415,-25.244
1.596,0.629,1.068,10.122,-105.427,-56.829
1.549,0.6,1.011,22.561,-146.402,-75.244
1.381,0.616,0.891,28.354,-160.915,-93.049
1.097,0.678,0.782,29.756,-149.268,-105.671
0.821,0.692,0.708,31.159,-117.378,-108.415
0.6,0.702,0.606,31.829,-76.768,-95.732
0.317,0.672,0.396,26.098,-38.171,-63.72
-0.077,0.637,0.153,15.061,-12.195,-20.488
-0.445,0.688,0.045,3.72,8.232,26.341
-0.664,0.797,0.04,-5.793,30.61,63.72
-0.597,0.868,0.056,-15.488,58.78,88.78
-0.296,0.84,0.083,-19.817,87.012,104.573
0.056,0.721,0.08,-17.561,119.451,110.793
0.382,0.551,0.06,-22.683,151.341,100.61
0.652,0.461,0.236,-32.195,147.439,75.671
0.925,0.554,0.52,-33.293,99.939,44.878
1.251,0.566,0.79,-22.744,29.878,5.854
1.529,0.579,0.945,-5.305,-38.232,-33.11
1.594,0.616,0.939,9.329,-91.768,-58.659
1.516,0.612,0.865,16.951,-123.415,-77.439
1.29,0.67,0.777,20.244,-132.561,-94.146
1.019,0.698,0.723,21.707,-117.866,-103.476
0.788,0.704,0.674,23.963,-88.476,-101.341
0.547,0.713,0.58,25.305,-57.134,-86.402
0.258,0.693,0.392,24.085,-30.122,-57.134
