acc_x_axis_g,acc_y_axis_g,acc_z_axis_g,gyr_x_axis_deg/s,gyr_y_axis_deg/s,gyr_z_axis_deg/s
0.734,0.66,0.604,-12.317,30.61,40.366
0.802,0.665,0.661,-15.183,-3.537,16.585
0.919,0.717,0.655,-15.183,-38.963,-9.451
1.022,0.731,0.608,-15.122,-66.463,-32.134
1.07,0.722,0.583,-15.0,-85.854,-53.537
1.074,0.774,0.516,-15.61,-93.11,-67.805
1.008,0.813,0.436,-18.293,-91.829,-75.854
0.906,0.825,0.367,-20.61,-86.341,-80.061
0.757,0.842,0.329,-19.024,-73.11,-80.549
0.579,0.814,0.338,-19.512,-56.646,-74.146
0.427,0.797,0.322,-23.171,-36.89,-60.0
0.246,0.844,0.296,-28.78,-19.146,-38.476
0.096,0.904,0.193,-29.939,8.354,-5.427
-0.06,0.88,0.083,-33.598,47.622,39.329
-0.254,0.835,-0.026,-35.244,90.793,76.646
-0.426,0.848,-0.083,-33.11,122.805,95.549
-0.321,0.799,0.021,-29.756,152.683,104.817
0.021,0.673,0.194,-29.329,188.354,103.293
0.266,0.625,0.329,-25.244,220.366,87.378
0.363,0.613,0.377,-19.329,253.841,71.037
0.405,0.525,0.419,-21.585,285.793,61.28
0.449,0.534,0.398,-26.22,301.098,55.61
0.426,0.625,0.466,-26.646,284.207,55.488
0.4,0.661,0.646,-24.268,234.024,55.305
0.412,0.703,0.858,-8.049,163.598,51.707
0.459,0.696,1.05,16.646,98.11,42.927
0.705,0.595,1.289,36.829,43.78,15.671
0.996,0.648,1.406,49.329,-10.671,-20.122
1.178,0.685,1.363,53.171,-60.366,-44.512
1.212,0.641,1.212,46.951,-93.415,-59.085
1.074,0.639,1.021,31.707,-105.061,-70.854
0.848,0.709,0.839,15.671,-100.244,-81.402
0.651,0.772,0.688,0.0,-81.829,-84.329
0.466,0.787,0.497,-19.512,-64.634,-77.988
0.228,0.818,0.298,-33.841,-65.549,-64.451
-0.022,0.831,0.181,-47.012,-72.988,-32.134
-0.279,0.772,0.089,-56.402,-73.598,5.976
-0.429,0.753,0.087,-58.72,-49.939,36.28
-0.376,0.731,0.232,-55.976,-12.317,47.5
-0.126,0.707,0.372,-53.049,20.61,47.439
0.205,0.646,0.542,-49.695,25.976,42.073
0.453,0.575,0.803,-34.329,-2.988,26.829
0.67,0.542,1.082,-13.659,-38.659,1.829
0.883,0.554,1.243,4.512,-72.256,-32.073
1.07,0.575,1.263,18.11,-100.549,-61.159
1.179,0.553,1.131,18.598,-119.817,-76.402
0.994,0.573,0.997,18.598,-138.11,-92.256
0.718,0.66,0.882,23.232,-142.439,-102.561
0.56,0.652,0.739,21.159,-121.098,-94.939
0.38,0.646,0.448,10.427,-75.0,-64.939
0.043,0.699,0.205,-4.878,-23.72,-23.841
-0.231,0.785,0.077,-26.098,27.988,22.866
-0.44,0.881,0.026,-45.244,69.39,61.098
-0.577,0.95,0.042,-51.951,95.61,85.183
-0.532,0.867,0.168,-49.024,111.707,99.573
-0.203,0.733,0.275,-41.463,145.427,109.939
0.207,0.643,0.343,-33.415,197.805,111.829
0.49,0.581,0.432,-32.927,250.976,102.073
