acc_x_axis_g,acc_y_axis_g,acc_z_axis_g,gyr_x_axis_deg/s,gyr_y_axis_deg/s,gyr_z_axis_deg/s
1.312,0.586,0.679,-18.476,-115.671,-73.11
0.899,0.698,0.483,-18.415,-94.695,-80.122
0.609,0.785,0.42,-23.354,-64.878,-75.0
0.312,0.768,0.301,-36.951,-31.402,-52.744
-0.17,0.779,0.059,-48.902,-12.073,-18.963
-0.603,0.761,-0.07,-56.037,-7.622,27.012
-0.759,0.694,-0.089,-59.634,-2.866,68.598
-0.682,0.648,-0.03,-59.634,2.195,91.28
-0.354,0.61,0.111,-54.146,17.195,100.915
0.09,0.538,0.239,-38.72,28.78,90.366
0.659,0.386,0.526,-23.476,14.573,55.183
1.49,0.345,0.967,-7.5,-8.963,-2.866
1.941,0.554,1.235,11.768,-42.561,-58.902
1.885,0.59,1.125,26.768,-67.988,-92.622
1.686,0.494,0.843,31.098,-64.512,-105.122
1.315,0.515,0.602,28.598,-46.524,-106.28
0.865,0.602,0.417,24.085,-25.976,-99.39
0.448,0.639,0.245,12.256,2.927,-68.476
-0.066,0.647,0.066,-3.537,24.085,-23.415
-0.594,0.717,-0.074,-14.207,31.402,25.427
-0.883,0.745,-0.097,-20.122,33.902,65.732
-0.771,0.708,0.009,-21.768,35.61,92.073
-0.307,0.654,0.218,-13.049,50.305,101.829
0.18,0.594,0.291,-2.805,92.378,99.817
0.507,0.459,0.32,-4.268,107.317,77.073
1.048,0.405,0.697,0.915,76.463,38.171
1.631,0.521,1.089,16.89,24.573,-14.329
1.86,0.555,1.297,34.817,-32.012,-66.829
1.853,0.572,1.169,47.317,-65.061,-92.195
1.594,0.56,0.832,43.232,-63.476,-89.268
1.198,0.565,0.513,34.085,-43.171,-91.037
0.906,0.671,0.394,29.817,-12.744,-93.171
0.708,0.687,0.372,16.037,24.207,-77.439
0.367,0.676,0.264,-4.512,47.073,-49.756
-0.19,0.772,0.157,-22.744,51.098,-8.293
-0.641,0.813,0.043,-39.085,40.732,40.488
-0.71,0.792,0.044,-46.646,30.61,88.963
-0.518,0.664,0.261,-45.671,23.049,116.098
-0.204,0.605,0.477,-32.256,33.049,125.61
0.17,0.598,0.477,-17.317,81.585,123.415
0.516,0.425,0.515,-19.329,98.415,90.915
1.084,0.447,0.833,-16.341,62.866,46.159
1.599,0.542,1.113,-4.634,18.659,6.22
1.681,0.483,1.184,9.756,-31.585,-38.902
1.676,0.538,1.08,21.951,-68.598,-66.524
1.524,0.558,0.828,22.317,-78.232,-70.732
1.197,0.542,0.579,16.829,-73.537,-80.976
0.915,0.656,0.487,13.72,-60.732,-90.732
0.708,0.701,0.509,12.439,-39.512,-94.329
0.507,0.668,0.507,7.073,-12.439,-84.878
0.221,0.662,0.378,-2.622,19.024,-55.61
-0.167,0.688,0.213,-16.463,40.915,-15.671
-0.466,0.73,0.077,-29.329,50.061,32.134
-0.608,0.726,0.033,-37.439,48.598,77.134
-0.536,0.641,0.146,-41.098,45.183,105.427
-0.233,0.602,0.351,-37.256,49.817,114.939
0.147,0.613,0.421,-24.878,81.098,117.622
0.424,0.482,0.429,-20.488,95.488,100.366
0.917,0.402,0.761,-10.732,63.841,58.841
1.591,0.486,1.097,5.793,16.829,14.39
1.725,0.513,1.279,27.073,-49.085,-35.671
1.665,0.531,1.234,45.427,-99.329,-74.085
1.623,0.497,1.043,50.244,-114.512,-92.317
1.406,0.495,0.816,47.073,-110.854,-108.537
1.084,0.59,0.668,44.451,-89.329,-116.402
0.75,0.625,0.612,41.524,-51.951,-108.232
0.425,0.6,0.477,30.0,-8.598,-79.634
0.011,0.612,0.161,9.329,25.915,-33.11
-0.491,0.687,-0.063,-11.28,45.122,18.354
-0.885,0.746,-0.05,-26.829,56.585,65.915
-0.97,0.748,0.039,-37.012,71.402,101.037
-0.667,0.678,0.239,-36.89,89.085,120.366
-0.121,0.598,0.354,-18.902,127.744,129.939
0.292,0.468,0.281,-7.195,190.793,120.793
0.567,0.275,0.444,-14.634,221.22,88.171
0.911,0.457,0.822,-10.915,207.5,51.707
1.182,0.566,1.208,5.244,153.902,14.634
1.458,0.546,1.312,27.134,81.829,-19.634
1.611,0.539,1.269,44.756,12.195,-37.012
1.527,0.531,1.177,56.037,-45.976,-50.854
1.281,0.562,1.02,60.0,-80.732,-66.646
1.06,0.63,0.856,58.963,-81.768,-81.707
0.921,0.675,0.748,55.0,-51.89,-89.878
0.746,0.663,0.659,48.049,-13.354,-91.159
0.502,0.633,0.537,34.695,7.805,-79.39
0.182,0.605,0.33,13.415,7.622,-49.085
-0.203,0.621,0.136,-10.183,-11.768,-12.5
-0.511,0.723,0.063,-27.317,-26.037,29.329
-0.683,0.749,0.03,-39.756,-15.122,63.659
-0.626,0.738,0.128,-46.829,8.354,79.939
-0.318,0.731,0.274,-45.122,24.634,87.317
0.036,0.648,0.325,-35.976,40.732,92.439
0.309,0.499,0.313,-28.049,67.744,90.183
0.532,0.396,0.404,-32.561,79.39,73.232
0.796,0.457,0.643,-34.512,52.012,49.451
1.02,0.537,0.896,-29.207,-2.683,28.72
1.135,0.525,1.044,-14.024,-62.012,6.707
1.226,0.526,1.074,4.329,-102.073,-12.439
1.331,0.509,1.074,18.171,-120.976,-37.805
1.417,0.578,1.047,23.963,-122.622,-62.317
1.313,0.629,0.946,22.561,-116.768,-80.427
1.102,0.622,0.812,22.195,-100.854,-89.512
0.832,0.621,0.701,22.012,-70.732,-89.573
0.6,0.612,0.605,18.049,-30.244,-82.012
0.42,0.628,0.503,9.329,5.122,-65.305
0.174,0.674,0.393,-0.549,17.683,-40.427
-0.089,0.729,0.335,-11.402,9.39,-8.476
-0.341,0.755,0.345,-15.915,-13.11,26.89
-0.482,0.756,0.269,-19.024,-17.317,65.488
-0.513,0.669,0.272,-18.171,-8.476,90.549
-0.352,0.662,0.302,-9.817,13.902,104.085
-0.048,0.606,0.315,1.402,51.646,108.537
0.292,0.487,0.284,0.061,90.854,99.024
0.653,0.43,0.388,-8.72,90.122,73.476
1.051,0.493,0.66,-10.793,49.329,40.671
1.329,0.504,0.917,-3.171,-7.988,5.0
1.478,0.512,1.008,11.037,-56.707,-27.866
1.63,0.495,1.001,21.341,-84.817,-54.573
1.633,0.536,0.947,25.0,-98.963,-78.841
1.413,0.599,0.812,23.354,-99.39,-93.78
1.078,0.622,0.696,24.878,-78.659,-101.585
0.775,0.651,0.644,25.061,-42.012,-102.378
0.571,0.66,0.556,16.098,-5.488,-90.61
0.298,0.658,0.413,1.402,9.329,-62.134
-0.144,0.68,0.308,-11.646,1.28,-19.512
-0.587,0.718,0.271,-16.341,-9.268,31.402
-0.855,0.724,0.204,-19.573,4.512,80.305
-0.837,0.667,0.207,-21.768,37.317,108.415
-0.53,0.653,0.3,-17.317,72.5,117.439
-0.067,0.599,0.296,-10.732,114.756,116.341
0.357,0.441,0.182,-18.171,166.89,102.012
0.652,0.35,0.293,-36.89,181.402,75.671
0.908,0.495,0.591,-42.195,133.232,45.488
