acc_x_axis_g,acc_y_axis_g,acc_z_axis_g,gyr_x_axis_deg/s,gyr_y_axis_deg/s,gyr_z_axis_deg/s
0.582,0.676,0.362,-30.61,49.146,53.476
0.775,0.719,0.481,-34.451,34.329,35.305
0.932,0.729,0.631,-32.683,7.439,11.951
1.006,0.752,0.765,-23.963,-27.744,-15.732
1.11,0.776,0.809,-13.598,-62.134,-41.22
1.184,0.748,0.794,-6.341,-83.78,-59.268
1.078,0.769,0.702,-4.329,-85.671,-67.561
0.889,0.803,0.602,-6.28,-70.305,-72.744
0.739,0.833,0.543,-6.402,-46.707,-79.268
0.646,0.848,0.5,-11.098,-27.622,-79.329
0.512,0.82,0.398,-18.598,-18.049,-64.39
0.188,0.819,0.269,-22.5,-17.561,-34.634
-0.13,0.768,0.194,-28.78,-27.866,5.0
-0.147,0.693,0.164,-34.878,-33.537,41.402
-0.203,0.647,0.213,-34.024,-31.646,66.646
-0.328,0.608,0.25,-25.244,-14.939,81.646
-0.144,0.534,0.322,-15.732,20.244,86.037
0.302,0.46,0.428,-8.963,57.866,79.39
0.522,0.464,0.498,-4.39,73.78,66.037
0.551,0.535,0.533,0.061,63.049,50.244
0.825,0.556,0.635,3.476,36.89,29.512
1.198,0.586,0.805,10.366,-9.146,-0.305
1.324,0.658,0.915,24.024,-64.878,-34.207
1.306,0.694,0.94,34.756,-97.134,-66.768
1.239,0.746,0.797,34.512,-99.756,-84.39
1.146,0.777,0.584,27.012,-88.72,-92.744
1.054,0.769,0.446,21.341,-72.439,-99.207
0.874,0.776,0.381,18.841,-52.805,-99.756
0.62,0.763,0.3,8.476,-29.878,-83.415
0.233,0.761,0.104,-7.988,-4.268,-46.341
-0.267,0.795,-0.054,-24.512,1.585,-2.073
-0.476,0.824,-0.046,-40.244,-3.415,44.207
-0.452,0.813,0.047,-46.402,-0.549,80.366
-0.479,0.761,0.206,-36.768,12.439,100.305
-0.281,0.659,0.331,-18.659,44.878,106.829
0.212,0.557,0.322,-2.561,99.268,100.61
0.641,0.438,0.325,-6.768,137.927,85.122
0.873,0.457,0.516,-12.744,124.024,59.146
1.01,0.599,0.755,-12.561,65.61,25.488
1.196,0.583,0.908,-3.537,-3.537,-9.451
1.295,0.594,0.936,10.427,-56.402,-38.78
1.321,0.59,0.902,19.268,-82.805,-59.695
1.326,0.641,0.801,20.305,-87.805,-75.549
1.157,0.741,0.621,16.585,-81.463,-86.037
0.935,0.769,0.5,15.305,-65.915,-93.78
0.791,0.755,0.466,13.841,-45.915,-94.085
0.608,0.73,0.414,4.573,-27.683,-74.695
0.199,0.752,0.226,-7.073,-9.207,-33.72
-0.33,0.806,0.07,-18.537,-8.11,13.598
-0.556,0.841,0.022,-30.122,-6.524,63.476
-0.619,0.838,0.064,-33.232,2.5,97.012
-0.504,0.821,0.143,-27.744,26.768,112.195
-0.052,0.716,0.228,-20.549,65.122,111.707
0.5,0.596,0.209,-15.732,99.756,97.012
0.903,0.443,0.391,-15.915,92.622,64.268
1.415,0.444,0.821,-14.085,45.915,19.573
1.65,0.564,1.062,-2.317,-23.72,-27.256
1.563,0.581,1.089,11.524,-77.256,-67.988
1.502,0.628,0.923,17.012,-92.134,-86.098
1.372,0.667,0.692,15.366,-83.78,-87.317
1.07,0.744,0.524,16.89,-71.524,-90.915
0.779,0.797,0.427,15.854,-57.683,-83.049
0.473,0.751,0.295,7.5,-37.5,-55.0
-0.031,0.736,0.134,-4.573,-25.244,-16.829
-0.437,0.76,0.012,-20.671,-14.939,32.317
-0.681,0.754,-0.039,-33.049,-3.963,75.854
