acc_x_axis_g,acc_y_axis_g,acc_z_axis_g,gyr_x_axis_deg/s,gyr_y_axis_deg/s,gyr_z_axis_deg/s
1.171,0.279,0.15,-58.476,-21.037,-1.707
1.071,0.258,0.197,-61.341,-34.024,-6.159
0.938,0.227,0.254,-58.049,-41.829,-7.378
0.849,0.304,0.36,-50.549,-45.244,-4.451
0.676,0.322,0.4,-44.817,-37.927,0.183
0.582,0.319,0.415,-44.39,-27.012,4.817
0.53,0.354,0.436,-48.476,-39.207,11.037
0.533,0.377,0.413,-31.768,-62.805,19.329
0.519,0.399,0.459,-30.488,-36.951,16.707
0.513,0.458,0.605,-39.512,-1.098,6.341
0.364,0.548,0.75,-38.293,19.634,2.073
0.017,0.56,0.687,-38.293,41.159,-1.707
0.188,0.52,0.729,-36.89,54.634,-3.902
0.744,0.739,0.781,-31.585,49.878,-4.756
0.542,0.565,0.772,-25.183,35.122,-5.122
0.701,0.552,0.788,-20.976,13.963,-5.488
0.702,0.58,0.798,-14.146,-10.732,-5.976
0.627,0.522,0.782,-7.378,-29.207,-5.854
0.618,0.47,0.758,-1.28,-36.768,-6.707
0.616,0.448,0.754,3.11,-35.488,-8.11
0.579,0.424,0.731,4.024,-28.415,-9.817
0.588,0.411,0.705,1.768,-24.634,-12.5
0.649,0.417,0.697,1.159,-32.012,-14.634
0.717,0.425,0.679,2.805,-44.024,-12.805
0.725,0.432,0.683,6.341,-63.11,-12.378
0.708,0.444,0.691,8.232,-81.341,-10.061
0.662,0.433,0.654,7.5,-87.195,-7.683
0.593,0.419,0.611,6.28,-82.744,-7.927
0.576,0.409,0.586,3.537,-75.183,-6.89
0.519,0.402,0.541,-3.049,-70.854,-5.976
0.523,0.428,0.564,-12.073,-70.488,-6.707
0.572,0.466,0.625,-18.415,-74.756,-10.061
0.602,0.467,0.641,-22.256,-81.768,-11.28
0.602,0.501,0.66,-23.598,-87.622,-9.268
0.545,0.543,0.716,-22.256,-90.671,-6.28
0.5,0.565,0.764,-21.28,-95.122,-4.39
0.491,0.564,0.744,-20.244,-106.342,-3.963
0.506,0.563,0.725,-18.049,-123.11,-4.573
0.536,0.553,0.746,-13.72,-145.671,-7.195
0.579,0.559,0.787,-7.927,-170.488,-11.463
0.594,0.545,0.813,-2.012,-188.72,-16.098
0.597,0.522,0.831,6.037,-196.585,-22.378
0.623,0.489,0.842,13.354,-191.403,-28.537
0.662,0.457,0.804,19.512,-173.293,-31.585
0.691,0.461,0.748,22.073,-147.927,-30.732
0.736,0.468,0.701,23.476,-120.122,-25.0
0.787,0.484,0.627,21.159,-87.134,-12.683
0.773,0.511,0.519,14.329,-49.817,4.39
0.719,0.548,0.364,4.573,-9.024,23.963
0.594,0.575,0.177,-6.585,32.317,41.829
0.437,0.606,-0.028,-20.122,72.073,56.098
0.296,0.645,-0.22,-33.659,109.268,64.939
0.166,0.672,-0.378,-48.78,134.573,69.146
0.085,0.665,-0.45,-62.134,138.537,69.207
0.09,0.622,-0.432,-70.427,124.085,62.378
0.144,0.553,-0.35,-72.622,96.22,49.451
0.252,0.457,-0.191,-65.671,54.878,32.683
0.401,0.324,0.094,-52.5,7.378,15.122
0.614,0.211,0.465,-39.939,-42.622,-2.927
0.858,0.177,0.834,-23.963,-90.244,-20.732
1.046,0.157,1.12,-5.244,-124.756,-39.268
1.18,0.16,1.289,14.634,-136.585,-56.22
1.246,0.208,1.337,30.0,-134.573,-69.939
1.246,0.259,1.319,42.561,-125.854,-76.89
1.267,0.321,1.279,52.378,-107.927,-77.317
1.285,0.389,1.16,59.085,-85.0,-68.293
1.242,0.45,0.984,59.024,-58.354,-45.61
1.027,0.483,0.792,49.207,-21.768,-14.756
0.784,0.511,0.584,30.671,26.707,15.061
0.53,0.544,0.302,5.366,78.415,37.622
0.248,0.586,0.0,-20.366,126.098,50.793
0.024,0.641,-0.226,-42.256,165.732,55.549
-0.11,0.707,-0.352,-64.695,188.903,54.024
-0.109,0.723,-0.42,-86.585,182.744,47.561
0.036,0.642,-0.424,-109.817,151.402,35.183
0.251,0.487,-0.375,-123.171,107.744,19.085
0.43,0.336,-0.262,-113.354,65.976,4.939
0.579,0.212,-0.031,-90.976,25.122,-9.817
0.738,0.116,0.287,-61.585,-15.183,-22.561
0.882,0.143,0.669,-32.073,-54.939,-34.39
0.996,0.188,1.054,-6.646,-92.988,-45.366
1.158,0.237,1.332,17.866,-118.963,-54.817
1.231,0.26,1.478,39.024,-129.268,-65.671
1.217,0.295,1.499,61.463,-128.049,-77.195
1.128,0.345,1.41,84.207,-111.098,-78.049
1.067,0.387,1.246,87.805,-74.817,-64.268
1.097,0.403,1.05,70.854,-31.341,-44.573
1.075,0.415,0.822,41.524,9.207,-13.659
0.917,0.421,0.536,8.476,47.927,24.146
0.685,0.525,0.264,-24.756,90.915,56.037
0.407,0.661,0.048,-59.024,133.476,74.146
0.051,0.772,-0.247,-90.122,164.329,81.159
-0.234,0.817,-0.489,-119.085,170.549,78.11
-0.202,0.753,-0.564,-145.976,144.146,64.329
0.029,0.611,-0.497,-150.671,106.281,49.207
0.278,0.414,-0.385,-126.707,63.841,31.098
0.473,0.25,-0.141,-92.073,20.61,14.146
0.628,0.137,0.218,-52.866,-18.659,-3.293
0.797,0.094,0.738,-19.207,-58.415,-19.817
1.028,0.099,1.22,8.11,-93.354,-35.244
1.174,0.068,1.509,33.11,-119.207,-54.329
1.225,0.095,1.688,59.39,-135.427,-74.39
1.25,0.126,1.684,87.988,-129.573,-87.622
1.213,0.147,1.567,100.854,-95.183,-85.061
1.204,0.208,1.391,85.793,-44.634,-65.427
1.15,0.254,1.141,52.622,2.317,-33.476
1.013,0.302,0.82,16.037,34.085,5.976
0.8,0.426,0.43,-23.72,59.329,43.354
0.482,0.63,0.065,-64.085,88.902,67.927
0.166,0.763,-0.256,-99.39,116.159,77.134
-0.185,0.823,-0.495,-132.683,130.793,76.098
-0.344,0.795,-0.582,-143.963,134.085,70.61
-0.153,0.678,-0.535,-125.793,117.134,59.573
0.152,0.48,-0.428,-92.439,79.634,45.854
0.366,0.292,-0.198,-49.634,34.024,28.841
0.498,0.199,0.302,-13.354,-21.402,5.61
0.849,0.115,0.87,15.305,-79.39,-18.902
1.056,0.0,1.312,40.915,-124.085,-46.524
1.14,-0.031,1.646,63.72,-150.976,-74.329
1.213,0.002,1.825,87.195,-161.281,-99.085
1.207,0.017,1.792,109.39,-156.585,-117.195
1.288,0.063,1.627,121.22,-129.817,-113.415
